energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up
-6.00000000,2.29635363,0.16283326,0.06698214,0.79887901,0.52169526,0.53352653,0.31605898,0.92297342,0.00000000
-5.99399700,2.39329048,0.17146955,0.07107644,0.83367208,0.54586850,0.55775172,0.32562606,0.95751577,0.00000000
-5.98799400,2.48930538,0.17962308,0.07504117,0.86687059,0.56954107,0.58101876,0.33583831,0.99220506,0.00000000
-5.98199100,2.58162406,0.18712293,0.07879440,0.89758927,0.59206903,0.60269693,0.34630881,1.02593884,0.00000000
-5.97598799,2.66766261,0.19380973,0.08225775,0.92500535,0.61284562,0.62219563,0.35668607,1.05769874,0.00000000
-5.96998499,2.74510372,0.19954076,0.08535867,0.94838391,0.63131863,0.63898145,0.36666479,1.08658124,0.00000000
-5.96398199,2.81196553,0.20419473,0.08803265,0.96710062,0.64700639,0.65259364,0.37599510,1.11182488,0.00000000
-5.95797899,2.86666017,0.20767587,0.09022527,0.98066095,0.65951172,0.66265734,0.38449009,1.13283290,0.00000000
-5.95197599,2.90803984,0.20991716,0.09189395,0.98871501,0.66853327,0.66889410,0.39203123,1.14919043,0.00000000
-5.94597299,2.93542800,0.21088265,0.09300940,0.99106746,0.67387371,0.67112912,0.39857136,1.16067541,0.00000000
-5.93996998,2.94863446,0.21056859,0.09355656,0.98768196,0.67544445,0.66929499,0.40413521,1.16726266,0.00000000
-5.93396698,2.94795318,0.20900346,0.09353516,0.97868003,0.67326664,0.66343181,0.40881724,1.16912093,0.00000000
-5.92796398,2.93414270,0.20624681,0.09295972,0.96433434,0.66746825,0.65368343,0.41277685,1.16660269,0.00000000
-5.92196098,2.90838975,0.20238695,0.09185904,0.94505670,0.65827745,0.64029030,0.41623100,1.16022718,0.00000000
-5.91595798,2.87225736,0.19753767,0.09027523,0.92138141,0.64601252,0.62357899,0.41944460,1.15065726,0.00000000
-5.90995498,2.82761959,0.19183396,0.08826221,0.89394447,0.63106866,0.60394896,0.42271888,1.13867084,0.00000000
-5.90395198,2.77658542,0.18542722,0.08588394,0.86345985,0.61390230,0.58185713,0.42637820,1.12512822,0.00000000
-5.89794897,2.72141532,0.17847979,0.08321225,0.83069372,0.59501363,0.55780094,0.43075593,1.11093663,0.00000000
-5.89194597,2.66443381,0.17115939,0.08032453,0.79643773,0.57492809,0.53230067,0.43617983,1.09701343,0.00000000
-5.88594297,2.60794185,0.16363350,0.07730124,0.76148261,0.55417751,0.50588170,0.44295769,1.08424958,0.00000000
-5.87993997,2.55413291,0.15606403,0.07422354,0.72659300,0.53328193,0.47905748,0.45136374,1.07347503,0.00000000
-5.87393697,2.50501601,0.14860236,0.07117092,0.69248466,0.51273264,0.45231394,0.46162648,1.06542725,0.00000000
-5.86793397,2.46234898,0.14138511,0.06821905,0.65980471,0.49297721,0.42609576,0.47391851,1.06072450,0.00000000
-5.86193097,2.42758447,0.13453069,0.06543794,0.62911568,0.47440697,0.40079516,0.48834868,1.05984466,0.00000000
-5.85592796,2.40183041,0.12813667,0.06289039,0.60088375,0.45734750,0.37674334,0.50495693,1.06311047,0.00000000
-5.84992496,2.38582620,0.12227824,0.06063075,0.57547133,0.44205220,0.35420490,0.52371205,1.07068162,0.00000000
-5.84392196,2.37993469,0.11700746,0.05870416,0.55313408,0.42869909,0.33337515,0.54451235,1.08255381,0.00000000
-5.83791896,2.38414954,0.11235359,0.05714607,0.53402194,0.41739079,0.31438030,0.56718906,1.09856435,0.00000000
-5.83191596,2.39811657,0.10832414,0.05598210,0.51818407,0.40815736,0.29728023,0.59151231,1.11840399,0.00000000
-5.82591296,2.42116730,0.10490674,0.05522821,0.50557674,0.40096174,0.28207348,0.61719922,1.14163383,0.00000000
-5.81990995,2.45236204,0.10207148,0.05489113,0.49607396,0.39570722,0.26870412,0.64392362,1.16770641,0.00000000
-5.81390695,2.49053995,0.09977384,0.05496896,0.48947968,0.39224645,0.25706999,0.67132683,1.19598958,0.00000000
-5.80790395,2.53437300,0.09795773,0.05545182,0.48554119,0.39039150,0.24703180,0.69902897,1.22579199,0.00000000
-5.80190095,2.58242094,0.09655874,0.05632270,0.48396275,0.38992429,0.23842261,0.72664003,1.25638867,0.00000000
-5.79589795,2.63318459,0.09550730,0.05755823,0.48441900,0.39060687,0.23105728,0.75377039,1.28704560,0.00000000
-5.78989495,2.68515505,0.09473167,0.05912943,0.48656747,0.39219124,0.22474147,0.78004016,1.31704218,0.00000000
-5.78389195,2.73685698,0.09416069,0.06100248,0.49005983,0.39442812,0.21927975,0.80508700,1.34569063,0.00000000
-5.77788894,2.78688456,0.09372607,0.06313939,0.49455161,0.39707452,0.21448276,0.82857225,1.37235183,0.00000000
-5.77188594,2.83392966,0.09336439,0.06549867,0.49971022,0.39989997,0.21017309,0.85018532,1.39644719,0.00000000
-5.76588294,2.87680185,0.09301857,0.06803588,0.50522132,0.40269120,0.20618981,0.86964626,1.41746665,0.00000000
-5.75987994,2.91444102,0.09263897,0.07070435,0.51079357,0.40525555,0.20239177,0.88670687,1.43497278,0.00000000
-5.75387694,2.94592341,0.09218402,0.07345573,0.51616199,0.40742295,0.19865953,0.90115051,1.44860180,0.00000000
-5.74787394,2.97046247,0.09162059,0.07624081,0.52109031,0.40904703,0.19489627,0.91279111,1.45806188,0.00000000
-5.74187094,2.98740610,0.09092401,0.07901026,0.52537239,0.41000521,0.19102758,0.92147165,1.46312954,0.00000000
-5.73586793,2.99623177,0.09007786,0.08171561,0.52883330,0.41019839,0.18700063,0.92706265,1.46364508,0.00000000
-5.72986493,2.99654123,0.08907359,0.08431033,0.53133001,0.40955021,0.18278262,0.92946094,1.45950757,0.00000000
-5.72386193,2.98805590,0.08791011,0.08675097,0.53275225,0.40800635,0.17835890,0.92858905,1.45067027,0.00000000
-5.71785893,2.97061392,0.08659321,0.08899848,0.53302332,0.40553379,0.17373089,0.92439541,1.43713687,0.00000000
-5.71185593,2.94416947,0.08513511,0.09101950,0.53210126,0.40212038,0.16891396,0.91685538,1.41895885,0.00000000
-5.70585293,2.90879431,0.08355388,0.09278776,0.52998000,0.39777460,0.16393527,0.90597314,1.39623424,0.00000000
-5.69984992,2.86468129,0.08187297,0.09428527,0.52669058,0.39252555,0.15883188,0.89178414,1.36910748,0.00000000
-5.69384692,2.81214895,0.08012072,0.09550349,0.52230218,0.38642305,0.15364896,0.87435802,1.33777024,0.00000000
-5.68784392,2.75164623,0.07832984,0.09644417,0.51692266,0.37953777,0.14843817,0.85380141,1.30246278,0.00000000
