energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.61686987,0.03533200,0.07645301,0.67327410,0.02770409,0.88771673,0.41355885,0.19289612
-5.99399700,1.53516053,0.03353305,0.07223694,0.63330253,0.02681702,0.84428129,0.39273839,0.18322583
-5.98799400,1.46209296,0.03171735,0.06839490,0.59599411,0.02609490,0.80590513,0.37417772,0.17444928
-5.98199100,1.39759695,0.02989685,0.06494283,0.56150962,0.02553353,0.77249656,0.35786099,0.16657464
-5.97598799,1.34149003,0.02808450,0.06189272,0.52996295,0.02512540,0.74389697,0.34373314,0.15959991
-5.96998499,1.29348521,0.02629378,0.05925240,0.50142090,0.02485984,0.71988652,0.33170223,0.15351329
-5.96398199,1.25319858,0.02453826,0.05702514,0.47590323,0.02472333,0.70018992,0.32164235,0.14829345
-5.95797899,1.22015696,0.02283118,0.05520938,0.45338339,0.02469973,0.68448220,0.31339704,0.14390973
-5.95197599,1.19380592,0.02118496,0.05379835,0.43378965,0.02477072,0.67239475,0.30678332,0.14032228
-5.94597299,1.17351833,0.01961080,0.05277983,0.41700707,0.02491623,0.66352153,0.30159613,0.13748222
-5.93996998,1.15860373,0.01811833,0.05213601,0.40288010,0.02511491,0.65742576,0.29761334,0.13533191
-5.93396698,1.14831877,0.01671536,0.05184336,0.39121606,0.02534468,0.65364706,0.29460110,0.13380534
-5.92796398,1.14187880,0.01540761,0.05187281,0.38178935,0.02558331,0.65170899,0.29231946,0.13282870
-5.92196098,1.13847066,0.01419870,0.05218992,0.37434650,0.02580896,0.65112722,0.29052817,0.13232121
-5.91595798,1.13726667,0.01309007,0.05275541,0.36861186,0.02600080,0.65141803,0.28899253,0.13219621
-5.90995498,1.13743958,0.01208112,0.05352568,0.36429394,0.02613949,0.65210715,0.28748898,0.13236244
-5.90395198,1.13817818,0.01116929,0.05445364,0.36109209,0.02620773,0.65273876,0.28581051,0.13272565
-5.89794897,1.13870333,0.01035033,0.05548965,0.35870352,0.02619069,0.65288438,0.28377146,0.13319040
-5.89194597,1.13828381,0.00961857,0.05658257,0.35683043,0.02607633,0.65215146,0.28121176,0.13366199
-5.88594297,1.13625173,0.00896718,0.05768097,0.35518687,0.02585567,0.65019136,0.27800036,0.13404855
-5.87993997,1.13201667,0.00838854,0.05873434,0.35350545,0.02552297,0.64670651,0.27403780,0.13426316
-5.87393697,1.12507847,0.00787455,0.05969439,0.35154340,0.02507574,0.64145648,0.26925783,0.13422594
-5.86793397,1.11503782,0.00741693,0.06051630,0.34908798,0.02451471,0.63426264,0.26362806,0.13386599
