energy_ev,total_up,In_p_up,In_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,1.00990837,0.13556857,0.00315595,0.77124418,0.32626781,0.00314069,0.09356988
-5.99399700,1.11010180,0.14835888,0.00346826,0.84388842,0.36038531,0.00346843,0.10279305
-5.98799400,1.21173697,0.16121662,0.00378486,0.91689970,0.39529874,0.00380357,0.11215001
-5.98199100,1.31346347,0.17395972,0.00410152,0.98924271,0.43057425,0.00414190,0.12151607
-5.97598799,1.41381237,0.18639364,0.00441363,1.05981222,0.46573036,0.00447876,0.13075657
-5.96998499,1.51122897,0.19831609,0.00471631,1.12745974,0.50024778,0.00480911,0.13972991
-5.96398199,1.60411141,0.20952229,0.00500456,1.19102375,0.53358157,0.00512767,0.14829120
-5.95797899,1.69085391,0.21981078,0.00527335,1.24936250,0.56517519,0.00542906,0.15629637
-5.95197599,1.76989323,0.22898937,0.00551777,1.30138810,0.59447614,0.00570790,0.16360668
-5.94597299,1.83975633,0.23688116,0.00573321,1.34610042,0.62095244,0.00595905,0.17009328
-5.93996998,1.89910753,0.24333019,0.00591547,1.38261953,0.64410947,0.00617768,0.17564189
-5.93396698,1.94679312,0.24820665,0.00606091,1.41021508,0.66350643,0.00635949,0.18015725
-5.92796398,1.98188127,0.25141130,0.00616657,1.42833137,0.67877164,0.00650082,0.18356723
-5.92196098,2.00369580,0.25287890,0.00623029,1.43660689,0.68961620,0.00659880,0.18582646
-5.91595798,2.01184197,0.25258055,0.00625074,1.43488746,0.69584518,0.00665142,0.18691927
-5.90995498,2.00622317,0.25052477,0.00622751,1.42323233,0.69736597,0.00665763,0.18686188
-5.90395198,1.98704795,0.24675729,0.00616109,1.40191286,0.69419334,0.00661736,0.18570379
-5.89794897,1.95482681,0.24135959,0.00605288,1.37140407,0.68645112,0.00653156,0.18352825
-5.89194597,1.91035907,0.23444621,0.00590516,1.33236920,0.67437013,0.00640212,0.18045184
-5.88594297,1.85471053,0.22616098,0.00572094,1.28563825,0.65828281,0.00623188,0.17662323
-5.87993997,1.78918283,0.21667240,0.00550395,1.23218141,0.63861456,0.00602447,0.17222113
-5.87393697,1.71527598,0.20616832,0.00525845,1.17307857,0.61587230,0.00578426,0.16745143
-5.86793397,1.63464574,0.19485018,0.00498915,1.10948634,0.59063060,0.00551617,0.16254388
-5.86193097,1.54905767,0.18292706,0.00470101,1.04260402,0.56351622,0.00522558,0.15774800
-5.85592796,1.46033958,0.17060984,0.00439913,0.97363980,0.53519139,0.00491812,0.15332877
-5.84992496,1.37033439,0.15810559,0.00408860,0.90377862,0.50633666,0.00459955,0.14956177
-5.84392196,1.28085484,0.14561246,0.00377437,0.83415279,0.47763382,0.00427561,0.14672814
-5.83791896,1.19364155,0.13331529,0.00346112,0.76581620,0.44974947,0.00395186,0.14510927
-5.83191596,1.11032554,0.12138190,0.00315317,0.69972308,0.42331969,0.00363359,0.14498125
-5.82591296,1.03239607,0.10996023,0.00285440,0.63671137,0.39893616,0.00332569,0.14660921
-5.81990995,0.96117409,0.09917645,0.00256819,0.57749117,0.37713398,0.00303260,0.15024145
-5.81390695,0.89779173,0.08913375,0.00229735,0.52263814,0.35838148,0.00275823,0.15610349
-5.80790395,0.84317748,0.07991205,0.00204419,0.47259141,0.34307183,0.00250593,0.16439197
-5.80190095,0.79804694,0.07156835,0.00181042,0.42765577,0.33151672,0.00227850,0.17526859
-5.79589795,0.76289853,0.06413769,0.00159725,0.38800747,0.32394185,0.00207816,0.18885406
-5.78989495,0.73801363,0.05763459,0.00140540,0.35370289,0.32048431,0.00190660,0.20522227
-5.78389195,0.72346058,0.05205483,0.00123514,0.32468957,0.32119148,0.00176501,0.22439474
-5.77788894,0.71910196,0.04737747,0.00108634,0.30081882,0.32602164,0.00165411,0.24633574
-5.77188594,0.72460462,0.04356701,0.00095857,0.28185926,0.33484594,0.00157422,0.27094809
-5.76588294,0.73945213,0.04057554,0.00085110,0.26751078,0.34745181,0.00152530,0.29807011
-5.75987994,0.76295922,0.03834492,0.00076301,0.25741838,0.36354768,0.00150698,0.32747390
-5.75387694,0.79428818,0.03680883,0.00069320,0.25118559,0.38276898,0.00151864,0.35886515
-5.74787394,0.83246696,0.03589468,0.00064047,0.24838706,0.40468546,0.00155944,0.39188490
-5.74187094,0.87640900,0.03552538,0.00060356,0.24858016,0.42880970,0.00162833,0.42611328
-5.73586793,0.92493464,0.03562105,0.00058118,0.25131550,0.45460691,0.00172412,0.46107542
-5.72986493,0.97679410,0.03610043,0.00057201,0.25614622,0.48150575,0.00184544,0.49624955
-5.72386193,1.03069194,0.03688235,0.00057478,0.26263602,0.50891026,0.00199080,0.53107724
-5.71785893,1.08531250,0.03788696,0.00058821,0.27036608,0.53621251,0.00215856,0.56497553
-5.71185593,1.13934633,0.03903693,0.00061108,0.27894072,0.56280596,0.00234694,0.59735072
-5.70585293,1.19151680,0.04025853,0.00064222,0.28799193,0.58809894,0.00255401,0.62761339
-5.69984992,1.24060648,0.04148272,0.00068047,0.29718288,0.61152824,0.00277767,0.65519411
-5.69384692,1.28548259,0.04264603,0.00072471,0.30621042,0.63257202,0.00301564,0.67955932
-5.68784392,1.32512066,0.04369147,0.00077385,0.31480656,0.65076202,0.00326548,0.70022674
-5.68184092,1.35862576,0.04456925,0.00082684,0.32273923,0.66569430,0.00352451,0.71677962
-5.67583792,1.38525050,0.04523744,0.00088262,0.32981210,0.67703838,0.00378990,0.72887935
-5.66983492,1.40440913,0.04566243,0.00094017,0.33586388,0.68454427,0.00405860,0.73627568
-5.66383192,1.41568727,0.04581924,0.00099845,0.34076687,0.68804725,0.00432740,0.73881432
-5.65782891,1.41884688,0.04569166,0.00105647,0.34442516,0.68747007,0.00459293,0.73644134
-5.65182591,1.41382625,0.04527216,0.00111323,0.34677243,0.68282265,0.00485173,0.72920438
-5.64582291,1.40073518,0.04456161,0.00116777,0.34776952,0.67419924,0.00510027,0.71725041
-5.63981991,1.37984550,0.04356876,0.00121917,0.34740189,0.66177322,0.00533503,0.70082039
-5.63381691,1.35157752,0.04230963,0.00126654,0.34567715,0.64578980,0.00555257,0.68024078
-5.62781391,1.31648295,0.04080659,0.00130907,0.34262267,0.62655693,0.00574964,0.65591267
-5.62181091,1.27522510,0.03908743,0.00134602,0.33828342,0.60443490,0.00592325,0.62829865
-5.61580790,1.22855736,0.03718424,0.00137678,0.33272010,0.57982512,0.00607078,0.59790834
-5.60980490,1.17730068,0.03513231,0.00140081,0.32600760,0.55315837,0.00619009,0.56528300
-5.60380190,1.12232111,0.03296894,0.00141775,0.31823373,0.52488334,0.00627962,0.53097996
-5.59779890,1.06450821,0.03073235,0.00142739,0.30949839,0.49545552,0.00633849,0.49555756
-5.59179590,1.00475506,0.02846060,0.00142967,0.29991281,0.46532715,0.00636656,0.45956102
-5.58579290,0.94394044,0.02619070,0.00142472,0.28959914,0.43493829,0.00636455,0.42350986
-5.57978989,0.88291372,0.02395778,0.00141286,0.27869007,0.40470947,0.00633404,0.38788726
-5.57378689,0.82248257,0.02179442,0.00139460,0.26732841,0.37503583,0.00627753,0.35313153
-5.56778389,0.76340377,0.01973025,0.00137064,0.25566673,0.34628297,0.00619844,0.31962995
-5.56178089,0.70637688,0.01779157,0.00134184,0.24386662,0.31878434,0.00610105,0.28771495
-5.55577789,0.65204062,0.01600126,0.00130923,0.23209787,0.29284011,0.00599049,0.25766257
-5.54977489,0.60097165,0.01437877,0.00127399,0.22053722,0.26871736,0.00587263,0.22969297
-5.54377189,0.55368523,0.01294025,0.00123742,0.20936687,0.24665127,0.00575395,0.20397280
-5.53776888,0.51063745,0.01169877,0.00120088,0.19877258,0.22684705,0.00564144,0.18061912
-5.53176588,0.47222834,0.01066461,0.00116581,0.18894148,0.20948253,0.00554238,0.15970432
-5.52576288,0.43880556,0.00984564,0.00113367,0.18005964,0.19471080,0.00546421,0.14126205
-5.51975988,0.41066813,0.00924755,0.00110587,0.17230943,0.18266302,0.00541429,0.12529334
