energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,0.64490350,-1.02501915,0.00364603,-0.00421100,0.07979203,-0.20830241,0.40797671,-0.53144358,0.09009416,-0.32251208,0.21016494,-0.24772552,0.00000000,-0.00000000,0.22641436,-0.28785544,0.05886325,-0.06616029
-5.99399700,0.63896047,-0.96185478,0.00360574,-0.00411021,0.08077752,-0.18770784,0.40548107,-0.50493069,0.09124678,-0.28693497,0.20842946,-0.24039141,0.00000000,-0.00000000,0.22185640,-0.27770260,0.05772709,-0.06469426
-5.98799400,0.63492612,-0.90124575,0.00355747,-0.00400051,0.08292816,-0.16873396,0.40405844,-0.47871819,0.09415083,-0.25448405,0.20654590,-0.23271536,0.00000000,-0.00000000,0.21700970,-0.26721066,0.05642930,-0.06298528
-5.98199100,0.63322074,-0.84361143,0.00350177,-0.00388248,0.08630695,-0.15148632,0.40406819,-0.45312346,0.09882547,-0.22524951,0.20467179,-0.22478354,0.00000000,-0.00000000,0.21199758,-0.25645641,0.05500589,-0.06105861
-5.97598799,0.63432103,-0.78934968,0.00343974,-0.00375693,0.09097790,-0.13604403,0.40588817,-0.42847350,0.10529945,-0.19926866,0.20298846,-0.21670235,0.00000000,-0.00000000,0.20697324,-0.24553340,0.05349878,-0.05894499
-5.96998499,0.63874116,-0.73884608,0.00337310,-0.00362494,0.09700183,-0.12246383,0.40990083,-0.40510484,0.11360662,-0.17653553,0.20169573,-0.20859871,0.00000000,-0.00000000,0.20211551,-0.23455275,0.05195457,-0.05668025
-5.96398199,0.64701118,-0.69248184,0.00330407,-0.00348787,0.10443185,-0.11078423,0.41647830,-0.38336257,0.12378064,-0.15701061,0.20100572,-0.20061970,0.00000000,-0.00000000,0.19762356,-0.22364331,0.05042319,-0.05430474
-5.95797899,0.65965341,-0.65063997,0.00323532,-0.00334737,0.11330858,-0.10102953,0.42596678,-0.36359868,0.13584912,-0.14063012,0.20113597,-0.19293129,0.00000000,-0.00000000,0.19371069,-0.21295112,0.04895647,-0.05186263
-5.95197599,0.67715783,-0.61370908,0.00316986,-0.00320536,0.12365538,-0.09321339,0.43867081,-0.34616937,0.14982746,-0.12731436,0.20230200,-0.18571634,0.00000000,-0.00000000,0.19059751,-0.20263798,0.04760647,-0.04940116
-5.94597299,0.69995696,-0.58208454,0.00311095,-0.00306405,0.13547374,-0.08734175,0.45483798,-0.33143138,0.16571258,-0.11697495,0.20470967,-0.17917177,0.00000000,-0.00000000,0.18850447,-0.19287935,0.04642395,-0.04696971
