energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,5.30726970,0.05611103,0.56586159,0.02607886,0.00000000,0.06619467,2.48493224,1.40012392,1.00976297
-5.99399700,5.45773956,0.05738825,0.57687456,0.02686648,0.00000000,0.06681864,2.56598340,1.45577912,1.03713445
-5.98799400,5.62390782,0.05899817,0.58846935,0.02770862,0.00000000,0.06776766,2.65610127,1.51399470,1.06617873
-5.98199100,5.80469835,0.06092748,0.60055064,0.02859609,0.00000000,0.06902126,2.75474759,1.57453069,1.09671523
-5.97598799,5.99887742,0.06316023,0.61303126,0.02951880,0.00000000,0.07055592,2.86126887,1.63711265,1.12856525
-5.96998499,6.20505703,0.06567807,0.62583204,0.03046595,0.00000000,0.07234574,2.97489809,1.70142617,1.16155280
-5.96398199,6.42169311,0.06846043,0.63888026,0.03142615,0.00000000,0.07436293,3.09475561,1.76711118,1.19550319
-5.95797899,6.64707970,0.07148453,0.65210671,0.03238746,0.00000000,0.07657816,3.21984972,1.83375628,1.23023975
-5.95197599,6.87934088,0.07472529,0.66544182,0.03333760,0.00000000,0.07896093,3.34907764,1.90089415,1.26557894
-5.94597299,7.11642263,0.07815510,0.67881098,0.03426397,0.00000000,0.08147970,3.48122778,1.96799853,1.30132429
-5.93996998,7.35608693,0.08174362,0.69212973,0.03515377,0.00000000,0.08410205,3.61498403,2.03448341,1.33725999
-5.93396698,7.59591043,0.08545745,0.70529896,0.03599418,0.00000000,0.08679472,3.74893298,2.09970490,1.37314448
-5.92796398,7.83328979,0.08925991,0.71820088,0.03677242,0.00000000,0.08952365,3.88157452,2.16296631,1.40870497
-5.92196098,8.06545561,0.09311083,0.73069588,0.03747594,0.00000000,0.09225406,4.01133643,2.22352629,1.44363330
-5.91595798,8.28949602,0.09696651,0.74262087,0.03809257,0.00000000,0.09495043,4.13659317,2.28061026,1.47758383
-5.90995498,8.50239081,0.10077973,0.75378923,0.03861076,0.00000000,0.09757672,4.25568868,2.33342471,1.51017365
