energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.96996965,0.04152129,0.02130227,1.82712109,0.22826707,0.09975717,1.87816895,0.48620809,0.10269806
-5.99399700,2.88837327,0.04088301,0.02042292,1.81120529,0.22964467,0.09534529,1.82725926,0.47919414,0.09593725
-5.98799400,2.81282286,0.04012854,0.01960607,1.79404960,0.23171685,0.09114727,1.77998590,0.47274537,0.08956064
-5.98199100,2.74334090,0.03926738,0.01885661,1.77555516,0.23452420,0.08716939,1.73634300,0.46677951,0.08358263
-5.97598799,2.67986296,0.03831190,0.01817792,1.75565448,0.23810088,0.08341349,1.69627256,0.46120957,0.07801069
-5.96998499,2.62226254,0.03727734,0.01757199,1.73432117,0.24247407,0.07987808,1.65968071,0.45594947,0.07284661
-5.96398199,2.57037435,0.03618160,0.01703947,1.71157801,0.24766358,0.07655925,1.62645298,0.45091918,0.06808776
-5.95797899,2.52401482,0.03504503,0.01657983,1.68750246,0.25368137,0.07345161,1.59646758,0.44604909,0.06372820
-5.95197599,2.48299866,0.03389002,0.01619138,1.66222946,0.26053112,0.07054898,1.56960622,0.44128326,0.05975974
-5.94597299,2.44715110,0.03274063,0.01587145,1.63595093,0.26820790,0.06784498,1.54576188,0.43658167,0.05617272
-5.93996998,2.41631518,0.03162200,0.01561647,1.60891214,0.27669768,0.06533345,1.52484347,0.43192125,0.05295668
-5.93396698,2.39035430,0.03055975,0.01542212,1.58140487,0.28597705,0.06300866,1.50677727,0.42729573,0.05010081
-5.92796398,2.36915010,0.02957937,0.01528337,1.55375769,0.29601276,0.06086544,1.49150524,0.42271447,0.04759415
-5.92196098,2.35259618,0.02870542,0.01519469,1.52632388,0.30676136,0.05889907,1.47898073,0.41820026,0.04542567
-5.91595798,2.34058829,0.02796085,0.01515009,1.49946727,0.31816879,0.05710519,1.46916174,0.41378635,0.04358415
-5.90995498,2.33301172,0.02736621,0.01514328,1.47354690,0.33016987,0.05547945,1.46200237,0.40951285,0.04205796
-5.90395198,2.32972675,0.02693897,0.01516778,1.44890103,0.34268783,0.05401731,1.45744305,0.40542272,0.04083473
-5.89794897,2.33055305,0.02669280,0.01521698,1.42583116,0.35563376,0.05271359,1.45540007,0.40155755,0.03990095
-5.89194597,2.33525401,0.02663695,0.01528428,1.40458692,0.36890607,0.05156220,1.45575508,0.39795338,0.03924154
-5.88594297,2.34352200,0.02677580,0.01536317,1.38535238,0.38239003,0.05055577,1.45834521,0.39463673,0.03883951
-5.87993997,2.35496538,0.02710841,0.01544728,1.36823450,0.39595735,0.04968537,1.46295437,0.39162107,0.03867557
-5.87393697,2.36909835,0.02762831,0.01553045,1.35325422,0.40946606,0.04894027,1.46930638,0.38890384,0.03872784
-5.86793397,2.38533428,0.02832344,0.01560681,1.34034072,0.42276068,0.04830784,1.47706044,0.38646431,0.03897176
-5.86193097,2.40298341,0.02917620,0.01567076,1.32932911,0.43567281,0.04777343,1.48580931,0.38426222,0.03937999
-5.85592796,2.42125539,0.03016381,0.01571705,1.31996193,0.44802226,0.04732047,1.49508067,0.38223739,0.03992255
-5.84992496,2.43926705,0.03125875,0.01574079,1.31189440,0.45961894,0.04693060,1.50434189,0.38031040,0.04056707
-5.84392196,2.45605569,0.03242944,0.01573745,1.30470345,0.47026533,0.04658389,1.51300816,0.37838414,0.04127920
-5.83791896,2.47059762,0.03364106,0.01570291,1.29790022,0.47975983,0.04625927,1.52045407,0.37634644,0.04202317
-5.83191596,2.48183168,0.03485651,0.01563347,1.29094573,0.48790084,0.04593489,1.52602833,0.37407350,0.04276245
-5.82591296,2.48868708,0.03603752,0.01552588,1.28326907,0.49449152,0.04558873,1.52907111,0.37143407,0.04346058
-5.81990995,2.49011455,0.03714578,0.01537739,1.27428758,0.49934514,0.04519907,1.52893359,0.36829424,0.04408200
