energy_ev,total_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,1.14302713,0.44788489,0.52869128,0.02572290,0.36298464,0.22659395,0.00000000
-5.99399700,1.09736225,0.45197093,0.49706923,0.02448929,0.35558014,0.21917383,0.00000000
-5.98799400,1.05923848,0.45944822,0.46981845,0.02337249,0.34959064,0.21418214,0.00000000
-5.98199100,1.02970844,0.47074909,0.44756659,0.02238576,0.34524966,0.21196505,0.00000000
-5.97598799,1.00979001,0.48633280,0.43090331,0.02154176,0.34279241,0.21286767,0.00000000
-5.96998499,1.00045848,0.50667964,0.42037703,0.02085246,0.34245299,0.21723118,0.00000000
-5.96398199,1.00263657,0.53228216,0.41649139,0.02032888,0.34446067,0.22538926,0.00000000
-5.95797899,1.01718177,0.56363314,0.41970119,0.01998086,0.34903502,0.23766344,0.00000000
-5.95197599,1.04487048,0.60121043,0.43040737,0.01981683,0.35638002,0.25435733,0.00000000
-5.94597299,1.08637876,0.64545869,0.44895074,0.01984344,0.36667712,0.27574973,0.00000000
-5.93996998,1.14225985,0.69676846,0.47560447,0.02006528,0.38007732,0.30208642,0.00000000
-5.93396698,1.21291883,0.75545297,0.51056519,0.02048448,0.39669258,0.33357095,0.00000000
-5.92796398,1.29858515,0.82172385,0.55394305,0.02110037,0.41658679,0.37035452,0.00000000
-5.92196098,1.39928415,0.89566631,0.60575077,0.02190913,0.43976679,0.41252521,0.00000000
-5.91595798,1.51480902,0.97721543,0.66589255,0.02290346,0.46617387,0.46009712,0.00000000
-5.90995498,1.64469463,1.06613457,0.73415305,0.02407236,0.49567633,0.51299978,0.00000000
-5.90395198,1.78819526,1.16199737,0.81018741,0.02540091,0.52806350,0.57106840,0.00000000
-5.89794897,1.94426781,1.26417478,0.89351300,0.02687022,0.56304199,0.63403564,0.00000000
-5.89194597,2.11156246,1.37182821,0.98350367,0.02845749,0.60023444,0.70152543,0.00000000
-5.88594297,2.28842221,1.48390997,1.07938736,0.03013618,0.63918130,0.77304949,0.00000000
-5.87993997,2.47289272,1.59917171,1.18024768,0.03187638,0.67934583,0.84800700,0.00000000
-5.87393697,2.66274327,1.71618140,1.28503010,0.03364529,0.72012256,0.92568799,0.00000000
-5.86793397,2.85549931,1.83334878,1.39255308,0.03540790,0.76084901,1.00528064,0.00000000
-5.86193097,3.04848638,1.94895894,1.50152451,0.03712779,0.80082061,1.08588272,0.00000000
-5.85592796,3.23888475,2.06121329,1.61056312,0.03876801,0.83930832,1.16651705,0.00000000
-5.84992496,3.42379345,2.16827655,1.71822486,0.04029213,0.87557845,1.24615094,0.00000000
-5.84392196,3.60030178,2.26832824,1.82303350,0.04166529,0.90891386,1.32371903,0.00000000
-5.83791896,3.76556603,2.35961666,1.92351477,0.04285527,0.93863589,1.39814894,0.00000000
-5.83191596,3.91688869,2.44051340,2.01823295,0.04383352,0.96412598,1.46838912,0.00000000
-5.82591296,4.05179706,2.50956590,2.10582866,0.04457618,0.98484610,1.53343776,0.00000000
-5.81990995,4.16811840,2.56554605,2.18505670,0.04506490,1.00035722,1.59237183,0.00000000
-5.81390695,4.26404826,2.60749259,2.25482227,0.04528753,1.01033480,1.64437520,0.00000000
-5.80790395,4.33820950,2.63474551,2.31421430,0.04523864,1.01458083,1.68876458,0.00000000
-5.80190095,4.38969910,2.64697091,2.36253448,0.04491987,1.01303172,1.72501228,0.00000000
-5.79589795,4.41812095,2.64417528,2.39932061,0.04433989,1.00576177,1.75276478,0.00000000
-5.78989495,4.42360298,2.62670837,2.42436335,0.04351438,0.99298211,1.77185611,0.00000000
-5.78389195,4.40679768,2.59525481,2.43771522,0.04246552,0.97503501,1.78231557,0.00000000
-5.77788894,4.36886592,2.55081456,2.43969159,0.04122150,0.95238405,1.78436897,0.00000000
-5.77188594,4.31144432,2.49467313,2.43086299,0.03981569,0.92560030,1.77843344,0.00000000
-5.76588294,4.23659730,2.42836282,2.41203911,0.03828573,0.89534541,1.76510562,0.00000000
-5.75987994,4.14675550,2.35361644,2.38424452,0.03667250,0.86235195,1.74514353,0.00000000
-5.75387694,4.04464266,2.27231544,2.34868713,0.03501898,0.82740214,1.71944272,0.00000000
-5.74787394,3.93319352,2.18643424,2.30672007,0.03336907,0.79130545,1.68900742,0.00000000
-5.74187094,3.81546558,2.09798300,2.25979848,0.03176649,0.75487607,1.65491764,0.00000000
-5.73586793,3.69454794,2.00895058,2.20943266,0.03025357,0.71891099,1.61829348,0.00000000
-5.72986493,3.57346998,1.92124981,2.15713918,0.02887027,0.68416929,1.58025789,0.00000000
-5.72386193,3.45511336,1.83666660,2.10439185,0.02765313,0.65135331,1.54189938,0.00000000
-5.71785893,3.34212995,1.75681443,2.05257429,0.02663449,0.62109218,1.50423594,0.00000000
-5.71185593,3.23686847,1.68309549,2.00293596,0.02584170,0.59392808,1.46818171,0.00000000
-5.70585293,3.14131216,1.61666936,1.95655326,0.02529657,0.57030549,1.43451772,0.00000000
