energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,6.50744713,0.11649990,0.51640725,1.43346420,0.96060618,0.08293748,2.68335602,0.56641383,0.47659903
-5.99399700,6.63147120,0.11977107,0.52520179,1.48414091,0.97887278,0.08411279,2.73712819,0.57820131,0.48255646
-5.98799400,6.74722091,0.12317879,0.53558007,1.53485680,0.99918643,0.08499455,2.78322526,0.58889098,0.48699812
-5.98199100,6.85420821,0.12666407,0.54740360,1.58538219,1.02123767,0.08558152,2.82166795,0.59842428,0.48995097
-5.97598799,6.95208981,0.13016296,0.56050540,1.63546605,1.04467506,0.08587782,2.85261369,0.60676648,0.49146961
-5.96998499,7.04063582,0.13360799,0.57469137,1.68482831,1.06911118,0.08589243,2.87633443,0.61390307,0.49163244
-5.96398199,7.11969371,0.13692974,0.58974225,1.73315325,1.09412901,0.08563854,2.89319099,0.61983535,0.49053714
-5.95797899,7.18915038,0.14005845,0.60541600,1.78008481,1.11928877,0.08513278,2.90360538,0.62457565,0.48829571
-5.95197599,7.24889492,0.14292563,0.62145068,1.82522417,1.14413503,0.08439454,2.90803291,0.62814247,0.48502932
-5.94597299,7.29878519,0.14546570,0.63756800,1.86813032,1.16820391,0.08344514,2.90693555,0.63055595,0.48086327
-5.93996998,7.33862037,0.14761754,0.65347720,1.90832382,1.19103056,0.08230722,2.90075815,0.63183385,0.47592237
-5.93396698,7.36812181,0.14932591,0.66887964,1.94529383,1.21215658,0.08100402,2.88990862,0.63198850,0.47032682
-5.92796398,7.38692348,0.15054269,0.68347374,1.97850842,1.23113758,0.07955893,2.87474298,0.63102484,0.46418895
-5.92196098,7.39457297,0.15122802,0.69696045,2.00742768,1.24755070,0.07799505,2.85555602,0.62893953,0.45761068
-5.91595798,7.39054301,0.15135111,0.70904904,2.03151928,1.26100208,0.07633488,2.83257746,0.62572146,0.45068204
-5.90995498,7.37425315,0.15089090,0.71946313,2.05027562,1.27113427,0.07460014,2.80597370,0.62135335,0.44348041
-5.90395198,7.34510019,0.14983640,0.72794681,2.06323189,1.27763342,0.07281168,2.77585461,0.61581445,0.43607075
-5.89794897,7.30249586,0.14818686,0.73427083,2.06998413,1.28023618,0.07098945,2.74228456,0.60908413,0.42850645
-5.89194597,7.24590955,0.14595165,0.73823841,2.07020632,1.27873622,0.06915256,2.70529687,0.60114610,0.42083088
-5.88594297,7.17491378,0.14314989,0.73969077,2.06366581,1.27299016,0.06731934,2.66491052,0.59199299,0.41307929
-5.87993997,7.08923003,0.13980994,0.73851205,2.05023625,1.26292276,0.06550750,2.62114814,0.58163104,0.40528119
-5.87393697,6.98877253,0.13596866,0.73463344,2.02990743,1.24853116,0.06373421,2.57405423,0.57008458,0.39746276
-5.86793397,6.87368783,0.13167054,0.72803638,2.00279169,1.22988804,0.06201626,2.52371244,0.55739999,0.38964940
-5.86193097,6.74438815,0.12696671,0.71875470,1.96912652,1.20714333,0.06037011,2.47026142,0.54364905,0.38186823
-5.85592796,6.60157707,0.12191386,0.70687561,1.92927345,1.18052457,0.05881209,2.41390811,0.52893135,0.37415040
-5.84992496,6.44626613,0.11657306,0.69253932,1.88371330,1.15033551,0.05735839,2.35493833,0.51337570,0.36653324
-5.84392196,6.27978177,0.11100863,0.67593743,1.83303795,1.11695294,0.05602520,2.29372400,0.49714048,0.35906208
-5.83791896,6.10376199,0.10528696,0.65731004,1.77793930,1.08082177,0.05482872,2.23072695,0.48041285,0.35179184
-5.83191596,5.92014280,0.09947528,0.63694154,1.71919566,1.04244824,0.05378525,2.16649916,0.46340690,0.34478813
-5.82591296,5.73113469,0.09364060,0.61515529,1.65765621,1.00239141,0.05291116,2.10167941,0.44636085,0.33812805
-5.81990995,5.53918969,0.08784858,0.59230726,1.59422410,0.96125299,0.05222289,2.03698649,0.42953323,0.33190048
-5.81390695,5.34695978,0.08216253,0.56877878,1.52983877,0.91966587,0.05173694,1.97320918,0.41319853,0.32620586
-5.80790395,5.15724781,0.07664242,0.54496868,1.46545780,0.87828145,0.05146971,1.91119308,0.39764208,0.32115543
-5.80190095,4.97295197,0.07134404,0.52128493,1.40203899,0.83775611,0.05143736,1.85182484,0.38315468,0.31686988
-5.79589795,4.79700527,0.06631820,0.49813605,1.34052289,0.79873734,0.05165559,1.79601387,0.37002699,0.31347734
-5.78989495,4.63231153,0.06161002,0.47592259,1.28181613,0.76184968,0.05213933,1.74467210,0.35854383,0.31111077
-5.78389195,4.48167946,0.05725836,0.45502874,1.22677587,0.72768106,0.05290228,1.69869226,0.34897882,0.30990459
-5.77788894,4.34775663,0.05329527,0.43581452,1.17619551,0.69676978,0.05395650,1.65892519,0.34158918,0.30999088
-5.77188594,4.23296505,0.04974563,0.41860857,1.13079192,0.66959270,0.05531180,1.62615689,0.33661116,0.31149493
-5.76588294,4.13944044,0.04662688,0.40370173,1.09119433,0.64655474,0.05697517,1.60108594,0.33425610,0.31453042
-5.75987994,4.06897684,0.04394883,0.39134171,1.05793497,0.62798019,0.05895010,1.58430218,0.33470721,0.31919443
-5.75387694,4.02297856,0.04171364,0.38172876,1.03144163,0.61410601,0.06123596,1.57626740,0.33811728,0.32556231
-5.74787394,4.00242126,0.03991591,0.37501257,1.01203228,0.60507729,0.06382743,1.57729883,0.34460733,0.33368289
-5.74187094,4.00782348,0.03854292,0.37129035,0.99991174,0.60094500,0.06671395,1.58755636,0.35426619,0.34357398
-5.73586793,4.03923005,0.03757495,0.37060613,0.99517057,0.60166610,0.06987938,1.60703400,0.36715107,0.35521870
-5.72986493,4.09620824,0.03698586,0.37295123,0.99778609,0.60710597,0.07330172,1.63555622,0.38328900,0.36856268
-5.72386193,4.17785688,0.03674366,0.37826583,1.00762555,0.61704305,0.07695315,1.67277961,0.40267905,0.38351240
-5.71785893,4.28282857,0.03681130,0.38644150,1.02445131,0.63117546,0.08080016,1.71819981,0.42529520,0.39993485
-5.71185593,4.40936405,0.03714757,0.39732465,1.04792786,0.64912956,0.08480397,1.77116369,0.45108950,0.41765859
-5.70585293,4.55533776,0.03770808,0.41072058,1.07763037,0.67046988,0.08892117,1.83088636,0.47999547,0.43647623
-5.69984992,4.71831244,0.03844632,0.42639816,1.11305454,0.69471025,0.09310454,1.89647220,0.51193127,0.45614830
-5.69384692,4.89560089,0.03931480,0.44409477,1.15362722,0.72132573,0.09730405,1.96693913,0.54680234,0.47640839
-5.68784392,5.08433204,0.04026616,0.46352153,1.19871755,0.74976486,0.10146799,2.04124487,0.58450337,0.49696934
-5.68184092,5.28151854,0.04125436,0.48436843,1.24764807,0.77946192,0.10554415,2.11831393,0.62491912,0.51753026
-5.67583792,5.48412317,0.04223567,0.50630946,1.29970551,0.80984867,0.10948104,2.19706405,0.66792401,0.53778405
-5.66983492,5.68912120,0.04316977,0.52900745,1.35415078,0.84036547,0.11322906,2.27643078,0.71338023,0.55742511
-5.66383192,5.89355643,0.04402053,0.55211863,1.41022810,0.87047113,0.11674159,2.35538906,0.76113452,0.57615690
-5.65782891,6.09458905,0.04475676,0.57529689,1.46717296,0.89965162,0.11997587,2.43297090,0.81101353,0.59369909
-5.65182591,6.28953396,0.04535272,0.59819761,1.52421894,0.92742720,0.12289378,2.50827847,0.86281809,0.60979389
-5.64582291,6.47588914,0.04578849,0.62048135,1.58060363,0.95335810,0.12546231,2.58049239,0.91631679,0.62421150
-5.63981991,6.65135424,0.04605002,0.64181715,1.63557356,0.97704867,0.12765394,2.64887521,0.97123933,0.63675438
-5.63381691,6.81384026,0.04612907,0.66188578,1.68838888,0.99815015,0.12944666,2.71277062,1.02727019,0.64726032
-5.62781391,6.96147199,0.04602293,0.68038292,1.73832780,1.01636226,0.13082390,2.77159909,1.08404341,0.65560432
-5.62181091,7.09258508,0.04573391,0.69702234,1.78469146,1.03143370,0.13177429,2.82485104,1.14113913,0.66169926
-5.61580790,7.20572024,0.04526873,0.71153923,1.82680948,1.04316208,0.13229123,2.87207870,1.19808255,0.66549551
-5.60980490,7.29961689,0.04463780,0.72369364,1.86404661,1.05139321,0.13237250,2.91288807,1.25434589,0.66697970
-5.60380190,7.37320849,0.04385440,0.73327412,1.89581067,1.05602031,0.13201979,2.94693208,1.30935389,0.66617278
-5.59779890,7.42562161,0.04293383,0.74010141,1.92156178,1.05698309,0.13123823,2.97390626,1.36249309,0.66312750
-5.59179590,7.45617988,0.04189264,0.74403221,1.94082294,1.05426704,0.13003609,2.99354764,1.41312484,0.65792573
-5.58579290,7.46441366,0.04074784,0.74496274,1.95319151,1.04790283,0.12842448,3.00563746,1.46060204,0.65067556
-5.57978989,7.45007532,0.03951625,0.74283208,1.95835129,1.03796596,0.12641722,3.01000784,1.50428898,0.64150844
-5.57378689,7.41315914,0.03821393,0.73762496,1.95608454,1.02457648,0.12403081,3.00655220,1.54358355,0.63057643
-5.56778389,7.35392443,0.03685581,0.72937384,1.94628320,1.00789866,0.12128450,2.99523866,1.57794100,0.61804965
-5.56178089,7.27291953,0.03545538,0.71815999,1.92895867,0.98814045,0.11820051,2.97612551,1.60689800,0.60411382
-5.55577789,7.17100423,0.03402462,0.70411357,1.90424926,0.96555245,0.11480417,2.94937741,1.63009578,0.58896796
-5.54977489,7.04936772,0.03257395,0.68741230,1.87242468,0.94042621,0.11112424,2.91528084,1.64730102,0.57282218
-5.54377189,6.90953942,0.03111237,0.66827885,1.83388692,0.91309160,0.10719306,2.87425733,1.65842328,0.55589540
-5.53776888,6.75339012,0.02964772,0.64697687,1.78916721,0.88391319,0.10304670,2.82687287,1.66352775,0.53841296
-5.53176588,6.58312156,0.02818686,0.62380563,1.73891871,0.85328546,0.09872498,2.77384237,1.66284234,0.52060403
-5.52576288,6.40124302,0.02673606,0.59909356,1.68390497,0.82162681,0.09427139,2.71602792,1.65675849,0.50269879
-5.51975988,6.21053451,0.02530126,0.57319079,1.62498456,0.78937261,0.08973276,2.65443033,1.64582524,0.48492527
-5.51375688,6.01399688,0.02388837,0.54646099,1.56309210,0.75696725,0.08515884,2.59017373,1.63073639,0.46750597
-5.50775388,5.81479000,0.02250353,0.51927285,1.49921660,0.72485558,0.08060168,2.52448315,1.61231134,0.45065421
-5.50175088,5.61616112,0.02115327,0.49199152,1.43437777,0.69347392,0.07611486,2.45865606,1.59146987,0.43457032
-5.49574787,5.42136589,0.01984468,0.46497043,1.36960137,0.66324122,0.07175254,2.39402856,1.56920210,0.41943784
-5.48974487,5.23358551,0.01858541,0.43854364,1.30589461,0.63455040,0.06756849,2.33193773,1.54653475,0.40541982
-5.48374187,5.05584316,0.01738371,0.41301933,1.24422241,0.60776060,0.06361498,2.27368182,1.52449499,0.39265534
-5.47773887,4.89092361,0.01624830,0.38867437,1.18548574,0.58319045,0.05994171,2.22047975,1.50407369,0.38125660
-5.47173587,4.74129928,0.01518830,0.36575039,1.13050264,0.56111267,0.05659465,2.17343213,1.48618937,0.37130644
-5.46573287,4.60906604,0.01421304,0.34445124,1.07999267,0.54175044,0.05361508,2.13348524,1.47165465,0.36285670
-5.45972986,4.49589140,0.01333189,0.32494212,1.03456526,0.52527530,0.05103861,2.10139986,1.46114651,0.35592741
-5.45372686,4.40297730,0.01255406,0.30735008,0.99471229,0.51180708,0.04889434,2.07772610,1.45518171,0.35050687
-5.44772386,4.33103882,0.01188846,0.29176598,0.96080494,0.50141540,0.04720425,2.06278571,1.45409840,0.34655265
-5.44172086,4.28029947,0.01134348,0.27824752,0.93309463,0.49412295,0.04598265,2.05666232,1.45804476,0.34399363
-5.43571786,4.25050315,0.01092686,0.26682325,0.91171796,0.48991012,0.04523589,2.05920019,1.46697502,0.34273284
-5.42971486,4.24094178,0.01064560,0.25749730,0.89670489,0.48872076,0.04496219,2.07001158,1.48065308,0.34265111
-5.42371186,4.25049727,0.01050583,0.25025435,0.88798992,0.49046883,0.04515176,2.08849225,1.49866361,0.34361144
-5.41770885,4.27769574,0.01051280,0.24506477,0.88542527,0.49504544,0.04578699,2.11384451,1.52042992,0.34546379
-5.41170585,4.32077161,0.01067076,0.24188948,0.88879554,0.50232592,0.04684288,2.14510685,1.54523805,0.34805025
-5.40570285,4.37773845,0.01098300,0.24068436,0.89783303,0.51217669,0.04828762,2.18118887,1.57226583,0.35121033
-5.39969985,4.44646384,0.01145176,0.24140389,0.91223283,0.52446131,0.05008334,2.22090995,1.60061575,0.35478612
-5.39369685,4.52474486,0.01207829,0.24400398,0.93166718,0.53904564,0.05218693,2.26304025,1.62935014,0.35862719
-5.38769385,4.61038120,0.01286273,0.24844369,0.95579822,0.55580167,0.05455104,2.30634219,1.65752724,0.36259500
-5.38169085,4.70124293,0.01380415,0.25468589,0.98428872,0.57461002,0.05712512,2.34961080,1.68423646,0.36656667
