energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,0.97952738,0.02042508,0.00000000,0.04121828,0.46347536,0.26741855,0.26334172
-5.99399700,0.95172486,0.02014133,0.00000000,0.03962214,0.44987503,0.26317511,0.25373550
-5.98799400,0.92261092,0.01991914,0.00000000,0.03788448,0.43544766,0.25878049,0.24336428
-5.98199100,0.89278397,0.01976311,0.00000000,0.03603754,0.42049889,0.25439743,0.23242402
-5.97598799,0.86283619,0.01967680,0.00000000,0.03411437,0.40533364,0.25017860,0.22111472
-5.96998499,0.83333002,0.01966235,0.00000000,0.03214775,0.39024478,0.24625956,0.20963373
-5.96398199,0.80477647,0.01972013,0.00000000,0.03016919,0.37550267,0.24275257,0.19816961
-5.95797899,0.77761661,0.01984851,0.00000000,0.02820800,0.36134632,0.23974162,0.18689670
-5.95197599,0.75220703,0.02004364,0.00000000,0.02629058,0.34797635,0.23727874,0.17597063
-5.94597299,0.72880997,0.02029941,0.00000000,0.02443977,0.33555031,0.23538201,0.16552503
-5.93996998,0.70758873,0.02060755,0.00000000,0.02267452,0.32418032,0.23403519,0.15566941
-5.93396698,0.68860818,0.02095779,0.00000000,0.02100960,0.31393330,0.23318917,0.14648835
-5.92796398,0.67184059,0.02133825,0.00000000,0.01945563,0.30483352,0.23276490,0.13804195
-5.92196098,0.65717592,0.02173583,0.00000000,0.01801919,0.29686741,0.23265796,0.13036739
-5.91595798,0.64443628,0.02213679,0.00000000,0.01670315,0.28999016,0.23274416,0.12348146
-5.90995498,0.63339328,0.02252735,0.00000000,0.01550705,0.28413373,0.23288622,0.11738391
-5.90395198,0.62378753,0.02289433,0.00000000,0.01442764,0.27921583,0.23294093,0.11206129
-5.89794897,0.61534900,0.02322578,0.00000000,0.01345944,0.27514922,0.23276651,0.10749109
-5.89194597,0.60781708,0.02351161,0.00000000,0.01259535,0.27185087,0.23222975,0.10364597
-5.88594297,0.60095931,0.02374412,0.00000000,0.01182722,0.26925042,0.23121270,0.10049773
-5.87993997,0.59458772,0.02391845,0.00000000,0.01114642,0.26729744,0.22961832,0.09802084
-5.87393697,0.58857186,0.02403286,0.00000000,0.01054431,0.26596708,0.22737517,0.09619536
-5.86793397,0.58284800,0.02408889,0.00000000,0.01001271,0.26526383,0.22444054,0.09500915
-5.86193097,0.57742391,0.02409140,0.00000000,0.00954416,0.26522313,0.22080228,0.09445909
-5.85592796,0.57237913,0.02404834,0.00000000,0.00913218,0.26591076,0.21647897,0.09455152
-5.84992496,0.56786069,0.02397042,0.00000000,0.00877141,0.26742002,0.21151862,0.09530161
-5.84392196,0.56407468,0.02387067,0.00000000,0.00845761,0.26986689,0.20599605,0.09673200
-5.83791896,0.56127410,0.02376376,0.00000000,0.00818765,0.27338334,0.20000900,0.09887059
-5.83191596,0.55974368,0.02366532,0.00000000,0.00795934,0.27810924,0.19367328,0.10174769
-5.82591296,0.55978261,0.02359116,0.00000000,0.00777127,0.28418324,0.18711727,0.10539280
-5.81990995,0.56168608,0.02355643,0.00000000,0.00762260,0.29173311,0.18047603,0.10983102
-5.81390695,0.56572658,0.02357487,0.00000000,0.00751282,0.30086615,0.17388535,0.11507947
-5.80790395,0.57213609,0.02365799,0.00000000,0.00744147,0.31166007,0.16747605,0.12114390
-5.80190095,0.58109003,0.02381452,0.00000000,0.00740796,0.32415493,0.16136881,0.12801558
-5.79589795,0.59269381,0.02404981,0.00000000,0.00741131,0.33834661,0.15566976,0.13566892
-5.78989495,0.60697279,0.02436546,0.00000000,0.00745006,0.35418219,0.15046707,0.14405962
-5.78389195,0.62386607,0.02475920,0.00000000,0.00752209,0.37155748,0.14582854,0.15312387
-5.77788894,0.64322449,0.02522479,0.00000000,0.00762463,0.39031697,0.14180048,0.16277835
-5.77188594,0.66481296,0.02575227,0.00000000,0.00775420,0.41025620,0.13840765,0.17292126
-5.76588294,0.68831693,0.02632829,0.00000000,0.00790673,0.43112657,0.13565434,0.18343435
-5.75987994,0.71335277,0.02693667,0.00000000,0.00807764,0.45264227,0.13352644,0.19418571
-5.75387694,0.73948142,0.02755907,0.00000000,0.00826197,0.47448916,0.13199437,0.20503348
-5.74787394,0.76622470,0.02817577,0.00000000,0.00845462,0.49633508,0.13101658,0.21582998
-5.74187094,0.79308331,0.02876651,0.00000000,0.00865052,0.51784118,0.13054348,0.22642644
-5.73586793,0.81955586,0.02931142,0.00000000,0.00884487,0.53867372,0.13052155,0.23667772
-5.72986493,0.84515770,0.02979187,0.00000000,0.00903333,0.55851568,0.13089740,0.24644713
-5.72386193,0.86943882,0.03019128,0.00000000,0.00921222,0.57707779,0.13162150,0.25561083
-5.71785893,0.89199998,0.03049587,0.00000000,0.00937868,0.59410832,0.13265147,0.26406189
-5.71185593,0.91250626,0.03069525,0.00000000,0.00953078,0.60940127,0.13395482,0.27171353
-5.70585293,0.93069758,0.03078285,0.00000000,0.00966764,0.62280257,0.13551087,0.27850161
-5.69984992,0.94639578,0.03075622,0.00000000,0.00978937,0.63421418,0.13731199,0.28438618
-5.69384692,0.95950815,0.03061715,0.00000000,0.00989714,0.64359585,0.13936404,0.28935214
-5.68784392,0.97002751,0.03037154,0.00000000,0.00999300,0.65096468,0.14168616,0.29340885
-5.68184092,0.97802905,0.03002921,0.00000000,0.01007986,0.65639270,0.14430992,0.29658902
-5.67583792,0.98366454,0.02960355,0.00000000,0.01016124,0.66000265,0.14727810,0.29894677
-5.66983492,0.98715440,0.02911099,0.00000000,0.01024114,0.66196249,0.15064312,0.30055518
-5.66383192,0.98877838,0.02857048,0.00000000,0.01032384,0.66247896,0.15446550,0.30150349
-5.65782891,0.98886572,0.02800292,0.00000000,0.01041367,0.66179079,0.15881237,0.30189403
-5.65182591,0.98778543,0.02743054,0.00000000,0.01051487,0.66016202,0.16375634,0.30183933
-5.64582291,0.98593741,0.02687637,0.00000000,0.01063139,0.65787582,0.16937478,0.30145938
-5.63981991,0.98374506,0.02636379,0.00000000,0.01076678,0.65522926,0.17574970,0.30087927
-5.63381691,0.98164971,0.02591610,0.00000000,0.01092410,0.65252920,0.18296822,0.30022735
-5.62781391,0.98010705,0.02555629,0.00000000,0.01110587,0.65008958,0.19112362,0.29963390
-5.62181091,0.97958568,0.02530686,0.00000000,0.01131408,0.64822988,0.20031690,0.29923042
-5.61580790,0.98056743,0.02518977,0.00000000,0.01155019,0.64727492,0.21065862,0.29914931
-5.60980490,0.98354896,0.02522650,0.00000000,0.01181526,0.64755535,0.22227095,0.29952399
-5.60380190,0.98904418,0.02543816,0.00000000,0.01211003,0.64940884,0.23528945,0.30048917
-5.59779890,0.99758650,0.02584558,0.00000000,0.01243500,0.65318111,0.24986441,0.30218122
-5.59179590,1.00973018,0.02646956,0.00000000,0.01279062,0.65922652,0.26616133,0.30473823
-5.58579290,1.02604979,0.02733084,0.00000000,0.01317730,0.66790760,0.28436031,0.30829971
-5.57978989,1.04713709,0.02845022,0.00000000,0.01359560,0.67959293,0.30465394,0.31300568
-5.57378689,1.07359439,0.02984835,0.00000000,0.01404620,0.69465311,0.32724359,0.31899497
-5.56778389,1.10602402,0.03154552,0.00000000,0.01452995,0.71345428,0.35233381,0.32640259
-5.56178089,1.14501362,0.03356119,0.00000000,0.01504782,0.73634927,0.38012500,0.33535627
-5.55577789,1.19111718,0.03591336,0.00000000,0.01560081,0.76366619,0.41080424,0.34597203
-5.54977489,1.24483224,0.03861775,0.00000000,0.01618986,0.79569486,0.44453471,0.35834900
