energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,5.22474933,0.02701307,0.78166848,1.48921833,1.41196998,0.25967226,1.51827144,0.38934700,0.30128332
-5.99399700,5.14484659,0.02605331,0.78454091,1.48013290,1.39557905,0.25779684,1.48079627,0.37911920,0.29378193
-5.98799400,5.04852158,0.02502868,0.78447678,1.46976483,1.37342192,0.25469407,1.43973774,0.36900126,0.28537604
-5.98199100,4.93699833,0.02394581,0.78140230,1.45820978,1.34589470,0.25038213,1.39567907,0.35923327,0.27613404
-5.97598799,4.81191357,0.02281309,0.77532497,1.44574308,1.31352000,0.24490181,1.34929080,0.35005741,0.26614550
-5.96998499,4.67527284,0.02164039,0.76633518,1.43282087,1.27693351,0.23831556,1.30131038,0.34170952,0.25551893
-5.96398199,4.52939891,0.02043868,0.75460533,1.42007696,1.23686828,0.23070591,1.25252120,0.33441141,0.24437899
-5.95797899,4.37687420,0.01921970,0.74038660,1.40831505,1.19413704,0.22217338,1.20373180,0.32836451,0.23286347
-5.95197599,4.22047936,0.01799559,0.72400348,1.39849612,1.14961340,0.21283394,1.15575592,0.32374472,0.22111999
-5.94597299,4.06312932,0.01677855,0.70584608,1.39172072,1.10421225,0.20281608,1.10939408,0.32069888,0.20930257
-5.93996998,3.90780863,0.01558056,0.68636033,1.38920613,1.05887007,0.19225760,1.06541701,0.31934269,0.19756818
-5.93396698,3.75750729,0.01441304,0.66603656,1.39225806,1.01452530,0.18130232,1.02455130,0.31976001,0.18607329
-5.92796398,3.61515817,0.01328668,0.64539643,1.40223728,0.97209947,0.17009664,0.98746739,0.32200359,0.17497054
-5.92196098,3.48357705,0.01221122,0.62497876,1.42052118,0.93247908,0.15878630,0.95476991,0.32609683,0.16440554
-5.91595798,3.36540588,0.01119528,0.60532454,1.44846077,0.89649864,0.14751321,0.92699026,0.33203647,0.15451392
-5.90995498,3.26306000,0.01024626,0.58696161,1.48733407,0.86492502,0.13641263,0.90458130,0.33979590,0.14541854
-5.90395198,3.17867981,0.00937032,0.57038925,1.53829660,0.83844325,0.12561058,0.88791378,0.34932879,0.13722708
-5.89794897,3.11408741,0.00857228,0.55606341,1.60233057,0.81764386,0.11522180,0.87727429,0.36057276,0.13002986
-5.89194597,3.07074867,0.00785565,0.54438278,1.68019428,0.80301201,0.10534800,0.87286446,0.37345296,0.12389806
-5.88594297,3.04974134,0.00722267,0.53567627,1.77237361,0.79491834,0.09607668,0.87480108,0.38788515,0.11888226
-5.87993997,3.05172987,0.00667437,0.53019239,1.87903770,0.79361192,0.08748032,0.88311698,0.40377831,0.11501149
-5.87393697,3.07694747,0.00621058,0.52809067,2.00000109,0.79921518,0.07961612,0.89776246,0.42103649,0.11229256
-5.86793397,3.12518616,0.00583009,0.52943580,2.13469446,0.81172120,0.07252601,0.91860722,0.43956010,0.11071000
-5.86193097,3.19579559,0.00553066,0.53419451,2.28214607,0.83099337,0.06623716,0.94544279,0.45924645,0.11022641
-5.85592796,3.28769109,0.00530921,0.54223548,2.44097586,0.85676760,0.06076269,0.97798540,0.47998967,0.11078331
-5.84992496,3.39937143,0.00516184,0.55333240,2.60940369,0.88865713,0.05610271,1.01587952,0.50168023,0.11230252
-5.84392196,3.52894670,0.00508396,0.56717013,2.78527260,0.92616002,0.05224544,1.05870207,0.52420409,0.11468800
-5.83791896,3.67417598,0.00507041,0.58335394,2.96608756,0.96866926,0.04916851,1.10596747,0.54744176,0.11782823
-5.83191596,3.83251464,0.00511552,0.60142140,3.14906927,1.01548545,0.04684032,1.15713364,0.57126735,0.12159893
-5.82591296,4.00117036,0.00521325,0.62085686,3.33122192,1.06583162,0.04522132,1.21160898,0.59554781,0.12586623
-5.81990995,4.17716667,0.00535724,0.64110777,3.50941306,1.11887024,0.04426535,1.26876040,0.62014256,0.13049009
-5.81390695,4.35741251,0.00554093,0.66160247,3.68046280,1.17372169,0.04392077,1.32792233,0.64490355,0.13532796
-5.80790395,4.53877581,0.00575762,0.68176878,3.84123931,1.22948392,0.04413162,1.38840664,0.66967579,0.14023852
-5.80190095,4.71815892,0.00600057,0.70105271,3.98875670,1.28525273,0.04483856,1.44951333,0.69429845,0.14508540
-5.79589795,4.89257368,0.00626305,0.71893654,4.12027132,1.34014207,0.04597975,1.51054169,0.71860654,0.14974078
-5.78989495,5.05921349,0.00653845,0.73495571,4.23337239,1.39330385,0.04749160,1.57080190,0.74243294,0.15408870
-5.78389195,5.21552047,0.00682030,0.74871375,4.32606278,1.44394679,0.04930947,1.62962662,0.76561095,0.15802803
-5.77788894,5.35924530,0.00710237,0.75989488,4.39682661,1.49135366,0.05136827,1.68638242,0.78797710,0.16147499
-5.77188594,5.48849819,0.00737872,0.76827358,4.44468031,1.53489671,0.05360303,1.74048090,0.80937413,0.16436500
-5.76588294,5.60178955,0.00764376,0.77372113,4.46920503,1.57405085,0.05594948,1.79138905,0.82965416,0.16665406
-5.75987994,5.69805953,0.00789232,0.77620875,4.47055901,1.60840438,0.05834463,1.83863892,0.84868176,0.16831941
-5.75387694,5.77669596,0.00811966,0.77580729,4.44946933,1.63766726,0.06072737,1.88183634,0.86633696,0.16935947
-5.74787394,5.83754071,0.00832160,0.77268390,4.40720374,1.66167672,0.06303909,1.92066847,0.88251811,0.16979323
-5.74187094,5.88088500,0.00849450,0.76709554,4.34552396,1.68040032,0.06522445,1.95491015,0.89714434,0.16965898
-5.73586793,5.90745429,0.00863531,0.75938007,4.26662282,1.69393661,0.06723200,1.98442893,0.91015784,0.16901248
-5.72986493,5.91838376,0.00874167,0.74994518,4.17304826,1.70251330,0.06901502,2.00918854,0.92152557,0.16792472
-5.72386193,5.91518553,0.00881187,0.73925565,4.06761755,1.70648326,0.07053216,2.02925074,0.93124055,0.16647925
-5.71785893,5.89970861,0.00884489,0.72781965,3.95332567,1.70631814,0.07174824,2.04477520,0.93932250,0.16476927
-5.71185593,5.87409283,0.00884045,0.71617439,3.83325153,1.70259996,0.07263480,2.05601751,0.94581788,0.16289455
-5.70585293,5.84071743,0.00879896,0.70487162,3.71046570,1.69601040,0.07317063,2.06332475,0.95079913,0.16095825
-5.69984992,5.80214533,0.00872151,0.69446352,3.58794311,1.68731791,0.07334216,2.06712867,0.95436315,0.15906381
-5.69384692,5.76106367,0.00860987,0.68548909,3.46848344,1.67736249,0.07314368,2.06793629,0.95662884,0.15731190
-5.68784392,5.72022112,0.00846639,0.67846135,3.35464145,1.66703828,0.07257727,2.06631778,0.95773388,0.15579756
-5.68184092,5.68236263,0.00829399,0.67385552,3.24866911,1.65727370,0.07165262,2.06289166,0.95783052,0.15460763
-5.67583792,5.65016204,0.00809604,0.67209827,3.15247019,1.64900945,0.07038661,2.05830749,0.95708062,0.15381835
-5.66983492,5.62615339,0.00787627,0.67355790,3.06756798,1.64317445,0.06880265,2.05322632,0.95564999,0.15349340
-5.66383192,5.61266171,0.00763868,0.67853564,2.99508570,1.64066004,0.06692982,2.04829927,0.95370220,0.15368222
-5.65782891,5.61173452,0.00738743,0.68725790,2.93573922,1.64229296,0.06480189,2.04414504,0.95139203,0.15441874
-5.65182591,5.62507564,0.00712673,0.69986961,2.88984085,1.64880770,0.06245624,2.04132684,0.94885892,0.15572040
-5.64582291,5.65398288,0.00686071,0.71642848,2.85731314,1.66081912,0.05993258,2.04032976,0.94622063,0.15758765
-5.63981991,5.69929197,0.00659333,0.73690053,2.83771135,1.67879618,0.05727182,2.04153956,0.94356748,0.16000380
-5.63381691,5.76132890,0.00632829,0.76115676,2.83025297,1.70303806,0.05451480,2.04522375,0.94095741,0.16293526
-5.62781391,5.83987326,0.00606895,0.78897139,2.83385328,1.73365355,0.05170121,2.05151608,0.93841231,0.16633213
-5.62181091,5.93413489,0.00581825,0.82002178,2.84716536,1.77054523,0.04886861,2.06040523,0.93591565,0.17012925
-5.61580790,6.04274634,0.00557871,0.85389039,2.86862366,1.81339920,0.04605150,2.07172863,0.93341187,0.17424755
-5.60980490,6.16377282,0.00535238,0.89006892,2.89649002,1.86168169,0.04328073,2.08517188,0.93080752,0.17859582
-5.60380190,6.29474145,0.00514087,0.92796506,2.92890123,1.91464311,0.04058300,2.10027435,0.92797416,0.18307276
-5.59779890,6.43269023,0.00494536,0.96691194,2.96391754,1.97133024,0.03798055,2.11644089,0.92475313,0.18756941
-5.59179590,6.57423702,0.00476666,1.00618027,2.99957126,2.03060665,0.03549116,2.13295974,0.92096201,0.19197180
-5.58579290,6.71566745,0.00460529,1.04499339,3.03391482,2.09118132,0.03312821,2.14902600,0.91640247,0.19616388
-5.57978989,6.85303991,0.00446154,1.08254476,3.06506771,2.15164475,0.03090097,2.16377015,0.91086938,0.20003057
-5.57378689,6.98230478,0.00433561,1.11801783,3.09126153,2.21051173,0.02881504,2.17629043,0.90416066,0.20346089
-5.56778389,7.09943413,0.00422763,1.15060750,3.11088239,2.26626922,0.02687281,2.18568806,0.89608757,0.20635120
-5.56178089,7.20055738,0.00413784,1.17954281,3.12250985,2.31742780,0.02507408,2.19110379,0.88648501,0.20860820
-5.55577789,7.28209759,0.00406664,1.20410986,3.12495159,2.36257449,0.02341666,2.19175425,0.87522126,0.21015188
-5.54977489,7.34090288,0.00401466,1.22367409,3.11727272,2.40042486,0.02189700,2.18696659,0.86220678,0.21091813
-5.54377189,7.37436720,0.00398287,1.23770120,3.09881900,2.42987202,0.02051073,2.17620975,0.84740172,0.21086093
-5.53776888,7.38053485,0.00397257,1.24577540,3.06923300,2.45003020,0.01925324,2.15912092,0.83082153,0.20995410
-5.53176588,7.35818348,0.00398545,1.24761444,3.02846240,2.46027077,0.01812009,2.13552586,0.81254065,0.20819246
-5.52576288,7.30688131,0.00402356,1.24308043,2.97675992,2.46024886,0.01710738,2.10545199,0.79269370,0.20559232
-5.51975988,7.22701508,0.00408925,1.23218586,2.91467441,2.44991903,0.01621200,2.06913341,0.77147439,0.20219136
-5.51375688,7.11978654,0.00418515,1.21509446,2.84303302,2.42953895,0.01543177,2.02700748,0.74913170,0.19804769
-5.50775388,6.98717684,0.00431400,1.19211660,2.76291469,2.39966073,0.01476551,1.97970283,0.72596373,0.19323827
-5.50175088,6.83187948,0.00447859,1.16369938,2.67561543,2.36110996,0.01421292,1.92801916,0.70230915,0.18785665
-5.49574787,6.65720422,0.00468153,1.13041167,2.58260646,2.31495322,0.01377449,1.87289952,0.67853666,0.18201012
-5.48974487,6.46695564,0.00492516,1.09292473,2.48548625,2.26245545,0.01345125,1.81539613,0.65503272,0.17581627
-5.48374187,6.26529143,0.00521128,1.05198919,2.38592827,2.20502901,0.01324445,1.75663129,0.63218812,0.16939930
-5.47773887,6.05656642,0.00554102,1.00840928,2.28562611,2.14417672,0.01315529,1.69775489,0.61038380,0.16288593
-5.47173587,5.84516942,0.00591465,0.96301562,2.18623799,2.08143163,0.01318453,1.63990044,0.58997660,0.15640136
-5.46573287,5.63535993,0.00633136,0.91663749,2.08933291,2.01829609,0.01333216,1.58414165,0.57128551,0.15006523
-5.45972986,5.43111222,0.00678921,0.87007596,1.99634034,1.95618325,0.01359707,1.53145145,0.55457903,0.14398783
-5.45372686,5.23597361,0.00728493,0.82407902,1.90850562,1.89636347,0.01397674,1.48266528,0.54006414,0.13826678
-5.44772386,5.05294348,0.00781392,0.77931952,1.82685271,1.83991824,0.01446710,1.43845041,0.52787761,0.13298416
-5.44172086,4.88437794,0.00837018,0.73637703,1.75215596,1.78770365,0.01506228,1.39928268,0.51807985,0.12820438
-5.43571786,4.73192444,0.00894644,0.69572415,1.68492181,1.74032491,0.01575464,1.36543160,0.51065175,0.12397278
-5.42971486,4.59648857,0.00953417,0.65771761,1.62538123,1.69812302,0.01653477,1.33695457,0.50549477,0.12031500
-5.42371186,4.47823406,0.01012381,0.62259453,1.57349314,1.66117386,0.01739166,1.31370035,0.50243415,0.11723723
-5.41770885,4.37661513,0.01070495,0.59047362,1.52895831,1.62929943,0.01831293,1.29532159,0.50122540,0.11472721
-5.41170585,4.29043891,0.01126664,0.56136101,1.49124324,1.60209046,0.01928515,1.28129560,0.50156361,0.11275596
-5.40570285,4.21795414,0.01179766,0.53516037,1.45961261,1.57893879,0.02029431,1.27095255,0.50309533,0.11128019
-5.39969985,4.15696121,0.01228690,0.51168636,1.43316884,1.55907784,0.02132622,1.26350933,0.50543247,0.11024518
-5.39369685,4.10493765,0.01272370,0.49068098,1.41089679,1.54162868,0.02236704,1.25810764,0.50816767,0.10958802
-5.38769385,4.05917270,0.01309820,0.47183153,1.39171163,1.52564948,0.02340379,1.25385432,0.51089036,0.10924106
-5.38169085,4.01690399,0.01340173,0.45478963,1.37450759,1.51018562,0.02442484,1.24986200,0.51320291,0.10913535
-5.37568784,3.97545012,0.01362706,0.43919016,1.35820551,1.49431802,0.02542033,1.24528814,0.51473608,0.10920399
-5.36968484,3.93233256,0.01376868,0.42466936,1.34179704,1.47720739,0.02638250,1.23937064,0.51516308,0.10938506
-5.36368184,3.88538185,0.01382306,0.41088141,1.32438382,1.45813243,0.02730596,1.23145851,0.51421171,0.10962417
-5.35767884,3.83282351,0.01378873,0.39751277,1.30520994,1.43652027,0.02818778,1.22103618,0.51167398,0.10987645
-5.35167584,3.77334057,0.01366633,0.38429384,1.28368667,1.41196811,0.02902748,1.20774063,0.50741284,0.11010785
-5.34567284,3.70611093,0.01345867,0.37100772,1.25940857,1.38425545,0.02982682,1.19137076,0.50136582,0.11029576
-5.33966983,3.63081905,0.01317055,0.35749576,1.23216085,1.35334676,0.03058954,1.17188890,0.49354550,0.11042893
-5.33366683,3.54764293,0.01280865,0.34366002,1.20191796,1.31938501,0.03132089,1.14941474,0.48403684,0.11050675
-5.32766383,3.45721842,0.01238124,0.32946286,1.16883399,1.28267703,0.03202706,1.12421229,0.47299159,0.11053793
-5.32166083,3.36058416,0.01189798,0.31492370,1.13322591,1.24367185,0.03271462,1.09667102,0.46062027,0.11053867
-5.31565783,3.25911116,0.01136951,0.30011360,1.09555062,1.20293365,0.03338980,1.06728227,0.44718202,0.11053051
-5.30965483,3.15442154,0.01080714,0.28514789,1.05637748,1.16111116,0.03405789,1.03661253,0.43297295,0.11053794
-5.30365183,3.04830147,0.01022250,0.27017755,1.01635769,1.11890516,0.03472258,1.00527501,0.41831367,0.11058599
-5.29764882,2.94261314,0.00962715,0.25537967,0.97619228,1.07703619,0.03538546,0.97390114,0.40353647,0.11069787
-5.29164582,2.83921046,0.00903228,0.24094761,0.93660020,1.03621401,0.03604563,0.94311341,0.38897289,0.11089286
-5.28564282,2.73986260,0.00844843,0.22708125,0.89828806,0.99711034,0.03669942,0.91350095,0.37494215,0.11118465
