energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.28919191,0.03933897,0.10093639,0.28596164,0.10211423,0.56295188,0.00000000,0.83633012,0.15388193
-5.99399700,1.32030906,0.03963164,0.10125435,0.29272838,0.10619554,0.57972023,0.00000000,0.84710542,0.15664076
-5.98799400,1.34967329,0.03986454,0.10117761,0.29903691,0.11028905,0.59618744,0.00000000,0.85546379,0.15907360
-5.98199100,1.37711338,0.04003524,0.10070228,0.30484781,0.11437441,0.61228914,0.00000000,0.86136602,0.16115439
-5.97598799,1.40242928,0.04014021,0.09982864,0.31011814,0.11842550,0.62793671,0.00000000,0.86478722,0.16285640
-5.96998499,1.42539004,0.04017491,0.09856139,0.31480091,0.12240996,0.64301448,0.00000000,0.86571523,0.16415269
-5.96398199,1.44573405,0.04013400,0.09690977,0.31884496,0.12628896,0.65737836,0.00000000,0.86414935,0.16501683
-5.95797899,1.46317188,0.04001155,0.09488762,0.32219534,0.13001733,0.67085612,0.00000000,0.86009944,0.16542369
-5.95197599,1.47739153,0.03980137,0.09251340,0.32479410,0.13354413,0.68324945,0.00000000,0.85358541,0.16535041
-5.94597299,1.48806603,0.03949738,0.08981001,0.32658158,0.13681350,0.69433785,0.00000000,0.84463720,0.16477735
-5.93996998,1.49486336,0.03909394,0.08680455,0.32749813,0.13976602,0.70388421,0.00000000,0.83329509,0.16368910
-5.93396698,1.49745799,0.03858621,0.08352796,0.32748614,0.14234027,0.71164195,0.00000000,0.81961045,0.16207536
-5.92796398,1.49554402,0.03797048,0.08001451,0.32649241,0.14447479,0.71736354,0.00000000,0.80364687,0.15993189
-5.92196098,1.48884897,0.03724448,0.07630117,0.32447075,0.14611018,0.72080995,0.00000000,0.78548143,0.15726116
-5.91595798,1.47714792,0.03640758,0.07242700,0.32138453,0.14719139,0.72176065,0.00000000,0.76520618,0.15407296
-5.90995498,1.46027718,0.03546099,0.06843234,0.31720935,0.14766995,0.72002374,0.00000000,0.74292967,0.15038481
-5.90395198,1.43814678,0.03440782,0.06435805,0.31193540,0.14750619,0.71544563,0.00000000,0.71877821,0.14622211
-5.89794897,1.41075128,0.03325316,0.06024476,0.30556961,0.14667118,0.70791985,0.00000000,0.69289703,0.14161818
-5.89194597,1.37817809,0.03200398,0.05613209,0.29813732,0.14514843,0.69739448,0.00000000,0.66545090,0.13661397
-5.88594297,1.34061303,0.03066905,0.05205797,0.28968343,0.14293515,0.68387779,0.00000000,0.63662425,0.13125767
