energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,6.17867263,-6.16596537,0.09005125,-0.09017973,0.50894986,-0.50908286,0.87755284,-0.87591764,0.92097268,-0.92198503,0.08967587,-0.08942347,2.72209824,-2.71476166,0.47964283,-0.47843583,0.49527634,-0.49341631
-5.99399700,6.30889579,-6.29737166,0.08535058,-0.08549492,0.49806819,-0.49821232,0.89716171,-0.89561716,0.88187496,-0.88295988,0.09248096,-0.09225071,2.82083395,-2.81415786,0.49293562,-0.49185082,0.51330775,-0.51155289
-5.98799400,6.42577719,-6.41561338,0.08057392,-0.08073231,0.48857934,-0.48873567,0.91727197,-0.91584358,0.84378733,-0.84493610,0.09494898,-0.09474402,2.91003857,-2.90412575,0.50449693,-0.50355068,0.52951823,-0.52788929
-5.98199100,6.52718081,-6.51854044,0.07576262,-0.07593304,0.48052899,-0.48069888,0.93756954,-0.93628217,0.80697538,-0.80817897,0.09704263,-0.09686581,2.98833791,-2.98328268,0.51412437,-0.51333115,0.54365925,-0.54217556
-5.97598799,6.61110176,-6.60412920,0.07095661,-0.07113690,0.47392505,-0.47411013,0.95771553,-0.95659267,0.77166125,-0.77291044,0.09872943,-0.09858322,3.05448706,-3.05037262,0.52164538,-0.52101731,0.55550889,-0.55418781
-5.96998499,6.67573753,-6.67055392,0.06619382,-0.06638176,0.46874132,-0.46894331,0.97735893,-0.97642199,0.73802512,-0.73931065,0.09998271,-0.09986916,3.10740756,-3.10430349,0.52692358,-0.52647007,0.56487887,-0.56373530
-5.96398199,6.71955767,-6.71625688,0.06150963,-0.06170296,0.46492218,-0.46514282,0.99615042,-0.99541800,0.70620809,-0.70752073,0.10078269,-0.10070330,3.14622202,-3.14418204,0.52986435,-0.52959172,0.57162104,-0.57066697
-5.95797899,6.74136929,-6.74001433,0.05693643,-0.05713292,0.46238823,-0.46262911,1.01375639,-1.01324365,0.67631619,-0.67764677,0.10111721,-0.10107294,3.17028492,-3.16934499,0.53041948,-0.53033070,0.57563307,-0.57487717
-5.95197599,6.74037542,-6.74099566,0.05250323,-0.05270073,0.46104265,-0.46130509,1.02987295,-1.02959106,0.64842528,-0.64976478,0.10098245,-0.10097365,3.17920829,-3.17938512,0.52859055,-0.52868510,0.57686305,-0.57631037
-5.94597299,6.71622394,-6.71881306,0.04823537,-0.04843185,0.46077806,-0.46106293,1.04423923,-1.04419490,0.62258671,-0.62392624,0.10038340,-0.10040977,3.17288103,-3.17417107,0.52443103,-0.52470480,0.57531283,-0.57496456
-5.93996998,6.66904444,-6.67355937,0.04415440,-0.04434798,0.46148348,-0.46179110,1.05664953,-1.05684468,0.59883334,-0.60016411,0.09933405,-0.09939465,3.15148097,-3.15386001,0.51804684,-0.51849214,0.57103987,-0.57089324
-5.93396698,6.59947122,-6.60583216,0.04027796,-0.04046695,0.46305140,-0.46338138,1.06696369,-1.06739528,0.57718570,-0.57849905,0.09785735,-0.09795061,3.11547879,-3.11890211,0.50959535,-0.51020106,0.56415750,-0.56420578
-5.92796398,6.50865085,-6.51674230,0.03661982,-0.03680273,0.46538430,-0.46573545,1.07511536,-1.07577532,0.55765803,-0.55894532,0.09598496,-0.09610868,3.06563343,-3.07003656,0.49928280,-0.50003457,0.55483348,-0.55506608
-5.92196098,6.39823314,-6.40790609,0.03319001,-0.03336557,0.46840067,-0.46877094,1.08111763,-1.08199301,0.54026384,-0.54151648,0.09375658,-0.09390800,3.00297868,-3.00827878,0.48736007,-0.48824070,0.54328683,-0.54368956
-5.91595798,6.27034538,-6.28142047,0.02999500,-0.03016216,0.47204005,-0.47242643,1.08506575,-1.08613898,0.52502077,-0.52623013,0.09121918,-0.09139503,2.92880121,-2.93489905,0.47411710,-0.47510691,0.52978306,-0.53033845
-5.90995498,6.12754979,-6.13982151,0.02703798,-0.02719590,0.47626686,-0.47666542,1.08713662,-1.08838595,0.51195447,-0.51311192,0.08842585,-0.08862243,2.84461058,-2.85139296,0.45987587,-0.46095321,0.51462776,-0.51531555
-5.90395198,5.97278526,-5.98602699,0.02431916,-0.02446721,0.48107284,-0.48147871,1.08758503,-1.08898508,0.50110128,-0.50219816,0.08543452,-0.08564780,2.75210196,-2.75944464,0.44498229,-0.44612411,0.49815895,-0.49895660
-5.89794897,5.80929498,-5.82326467,0.02183613,-0.02197389,0.48647783,-0.48688533,1.08673648,-1.08825892,0.49250953,-0.49353722,0.08230646,-0.08253217,2.65311290,-2.66088383,0.42979714,-0.43097956,0.48073828,-0.48162160
-5.89194597,5.64054202,-5.65498840,0.01958421,-0.01971143,0.49252891,-0.49293161,1.08497675,-1.08659109,0.48623940,-0.48718940,0.07910466,-0.07933843,2.54957553,-2.55763827,0.41468646,-0.41588542,0.46274138,-0.46368520
