energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.90089393,-1.75580939,0.00484964,-0.00336391,0.19252048,-0.17080736,0.01295983,-0.01229220,0.00000000,-0.00000000,0.97128828,-0.85137316,0.56180926,-0.52662958,0.01110870,-0.00989309,0.95824032,-0.89385582
-5.99399700,1.96116139,-1.81775502,0.00546352,-0.00380354,0.19749797,-0.17972749,0.01340258,-0.01264746,0.00000000,-0.00000000,1.02524900,-0.90090746,0.56661801,-0.53816848,0.01172601,-0.01040333,0.99454309,-0.92549597
-5.98799400,2.02209193,-1.88141338,0.00613290,-0.00428910,0.20200356,-0.18826840,0.01386234,-0.01303013,0.00000000,-0.00000000,1.07937418,-0.95214409,0.57098950,-0.54913507,0.01237054,-0.01094609,1.03190368,-0.95891506
-5.98199100,2.08291873,-1.94608915,0.00685949,-0.00482196,0.20603347,-0.19631515,0.01433061,-0.01343611,0.00000000,-0.00000000,1.13283402,-1.00451132,0.57495506,-0.55938252,0.01303660,-0.01151768,1.06977052,-0.99377589
-5.97598799,2.14281810,-2.01097825,0.00764476,-0.00540341,0.20959654,-0.20375855,0.01479788,-0.01385992,0.00000000,-0.00000000,1.18474904,-1.05733983,0.57855482,-0.56876569,0.01371795,-0.01211364,1.10753734,-1.02965805
-5.96998499,2.20093947,-2.07518768,0.00848993,-0.00603471,0.21271502,-0.21049873,0.01525397,-0.01429478,0.00000000,-0.00000000,1.23421672,-1.10987657,0.58183977,-0.57714647,0.01440798,-0.01272882,1.14456301,-1.06606679
-5.96398199,2.25643807,-2.13776145,0.00939584,-0.00671706,0.21542509,-0.21644889,0.01568838,-0.01473276,0.00000000,-0.00000000,1.28034040,-1.16130331,0.58487386,-0.58439983,0.01509993,-0.01335751,1.18019343,-1.10244601
-5.95797899,2.30850845,-2.19771158,0.01036288,-0.00745154,0.21777697,-0.22153875,0.01609066,-0.01516505,0.00000000,-0.00000000,1.32225913,-1.21075943,0.58773576,-0.59042002,0.01578705,-0.01399361,1.21378453,-1.13819492
-5.95197599,2.35641718,-2.25405288,0.01139095,-0.00823915,0.21983470,-0.22571782,0.01645076,-0.01558222,0.00000000,-0.00000000,1.35917709,-1.25736791,0.59052020,-0.59512698,0.01646290,-0.01463081,1.24472506,-1.17268756
-5.94597299,2.39953274,-2.30583983,0.01247926,-0.00908071,0.22167532,-0.22895823,0.01675946,-0.01597457,0.00000000,-0.00000000,1.39039127,-1.30026354,0.59333852,-0.59847228,0.01712147,-0.01526280,1.27245826,-1.20529424
-5.93996998,2.43735096,-2.35220379,0.01362630,-0.00997684,0.22338760,-0.23125706,0.01700866,-0.01633244,0.00000000,-0.00000000,1.41531591,-1.33862213,0.59631823,-0.60044451,0.01775738,-0.01588348,1.29650123,-1.23540402
-5.93396698,2.46951452,-2.39238855,0.01482972,-0.01092783,0.22507008,-0.23263792,0.01719166,-0.01664661,0.00000000,-0.00000000,1.43350269,-1.37168922,0.59960128,-0.60107364,0.01836600,-0.01648714,1.31646097,-1.26244684
-5.92796398,2.49582527,-2.42578240,0.01608620,-0.01193362,0.22682853,-0.23315178,0.01730346,-0.01690861,0.00000000,-0.00000000,1.44465558,-1.39880709,0.60334109,-0.60043412,0.01894357,-0.01706866,1.33204664,-1.28591454
-5.92196098,2.51624876,-2.45194501,0.01739141,-0.01299360,0.22877271,-0.23287702,0.01734086,-0.01711107,0.00000000,-0.00000000,1.44863966,-1.41943859,0.60769808,-0.59864636,0.01948724,-0.01762366,1.34307714,-1.30537930
-5.91595798,2.53091045,-2.47062754,0.01873996,-0.01410658,0.23101265,-0.23191839,0.01730259,-0.01724795,0.00000000,-0.00000000,1.44548364,-1.43318677,0.61283385,-0.59587658,0.01999507,-0.01814859,1.34948407,-1.32050900
