energy_ev,total_up,In_p_up,In_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,5.47949059,0.47895389,0.01169816,2.88227547,2.02129566,2.01318702,0.00000000
-5.99399700,5.36152771,0.46359957,0.01181855,2.85434214,1.97480922,1.93051996,0.00000000
-5.98799400,5.22942452,0.44687079,0.01190392,2.81461375,1.92477412,1.84383635,0.00000000
-5.98199100,5.08581936,0.42905684,0.01195369,2.76401055,1.87226481,1.75474398,0.00000000
-5.97598799,4.93347738,0.41045294,0.01196773,2.70365033,1.81837140,1.66487060,0.00000000
-5.96998499,4.77521144,0.39135126,0.01194632,2.63480703,1.76417164,1.57582208,0.00000000
-5.96398199,4.61380656,0.37203268,0.01189014,2.55886722,1.71070483,1.48914243,0.00000000
-5.95797899,4.45195084,0.35275947,0.01180026,2.47728622,1.65894845,1.40627712,0.00000000
-5.95197599,4.29217472,0.33376921,0.01167810,2.39154569,1.60979817,1.32854050,0.00000000
-5.94597299,4.13680026,0.31527014,0.01152546,2.30311419,1.56405164,1.25708833,0.00000000
-5.93996998,3.98790127,0.29743797,0.01134449,2.21341194,1.52239612,1.19289583,0.00000000
-5.93396698,3.84727452,0.28041406,0.01113769,2.12378057,1.48540018,1.13674162,0.00000000
-5.92796398,3.71642179,0.26430519,0.01090791,2.03545842,1.45350905,1.08919774,0.00000000
-5.92196098,3.59654193,0.24918440,0.01065834,1.94956157,1.42704344,1.05062541,0.00000000
-5.91595798,3.48853176,0.23509306,0.01039248,1.86707036,1.40620133,1.02117655,0.00000000
-5.90995498,3.39299440,0.22204380,0.01011408,1.78882118,1.39106218,1.00080029,0.00000000
-5.90395198,3.31025360,0.21002411,0.00982715,1.71550281,1.38159322,0.98925418,0.00000000
-5.89794897,3.24037237,0.19900039,0.00953585,1.64765675,1.37765704,0.98611923,0.00000000
-5.89194597,3.18317456,0.18892223,0.00924442,1.58568072,1.37902022,0.99081832,0.00000000
-5.88594297,3.13826812,0.17972674,0.00895711,1.52983467,1.38536260,1.00263709,0.00000000
-5.87993997,3.10506909,0.17134279,0.00867808,1.48024864,1.39628672,1.02074670,0.00000000
-5.87393697,3.08282541,0.16369494,0.00841125,1.43693190,1.41132747,1.04422772,0.00000000
-5.86793397,3.07064025,0.15670701,0.00816025,1.39978285,1.42996162,1.07209468,0.00000000
-5.86193097,3.06749460,0.15030530,0.00792826,1.36859958,1.45161739,1.10332042,0.00000000
-5.85592796,3.07226908,0.14442121,0.00771793,1.34309064,1.47568393,1.13686004,0.00000000
-5.84992496,3.08376523,0.13899350,0.00753130,1.32288611,1.50152097,1.17167381,0.00000000
-5.84392196,3.10072653,0.13396993,0.00736972,1.30754883,1.52846863,1.20674862,0.00000000
-5.83791896,3.12185950,0.12930852,0.00723379,1.29658599,1.55585764,1.24111792,0.00000000
-5.83191596,3.14585515,0.12497827,0.00712336,1.28946091,1.58301994,1.27387957,0.00000000
-5.82591296,3.17141109,0.12095947,0.00703750,1.28560528,1.60929983,1.30421172,0.00000000
-5.81990995,3.19725437,0.11724363,0.00697460,1.28443169,1.63406568,1.33138636,0.00000000
-5.81390695,3.22216502,0.11383299,0.00693235,1.28534647,1.65672201,1.35478062,0.00000000
-5.80790395,3.24500004,0.11073964,0.00690789,1.28776279,1.67672201,1.37388577,0.00000000
-5.80190095,3.26471762,0.10798440,0.00689790,1.29111363,1.69358007,1.38831381,0.00000000
-5.79589795,3.28040075,0.10559539,0.00689874,1.29486458,1.70688422,1.39780179,0.00000000
-5.78989495,3.29127985,0.10360627,0.00690659,1.29852602,1.71630789,1.40221395,0.00000000
-5.78389195,3.29675343,0.10205444,0.00691761,1.30166429,1.72162086,1.40154157,0.00000000
-5.77788894,3.29640595,0.10097890,0.00692808,1.30391162,1.72269868,1.39590078,0.00000000
-5.77188594,3.29002213,0.10041820,0.00693456,1.30497426,1.71953029,1.38552832,0.00000000
-5.76588294,3.27759685,0.10040829,0.00693405,1.30463863,1.71222335,1.37077540,0.00000000
-5.75987994,3.25933986,0.10098043,0.00692404,1.30277510,1.70100681,1.35209967,0.00000000
-5.75387694,3.23567497,0.10215926,0.00690269,1.29933925,1.68623050,1.33005551,0.00000000
-5.74787394,3.20723309,0.10396110,0.00686883,1.29437050,1.66836141,1.30528269,0.00000000
-5.74187094,3.17483922,0.10639250,0.00682202,1.28798808,1.64797657,1.27849356,0.00000000
-5.73586793,3.13949330,0.10944918,0.00676258,1.28038450,1.62575246,1.25045890,0.00000000
