energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,2.05406431,0.00684491,0.12850791,0.47285126,0.24116759,1.48200572,0.84168553,0.00217339,0.73531444
-5.99399700,2.05559043,0.00715043,0.13035198,0.48553761,0.23715277,1.50288922,0.83185449,0.00215829,0.74727134
-5.98799400,2.06645242,0.00747683,0.13346327,0.49959093,0.23434872,1.53202537,0.82651662,0.00217883,0.76132156
-5.98199100,2.08649613,0.00781725,0.13781353,0.51479276,0.23283035,1.56869598,0.82582167,0.00223392,0.77720772
-5.97598799,2.11549139,0.00816492,0.14337267,0.53091612,0.23266028,1.61213517,0.82987958,0.00232271,0.79465519
-5.96998499,2.15314231,0.00851324,0.15010829,0.54773296,0.23388773,1.66154325,0.83876060,0.00244459,0.81338168
-5.96398199,2.19909939,0.00885591,0.15798492,0.56502191,0.23654767,1.71610109,0.85249613,0.00259911,0.83310739
-5.95797899,2.25297229,0.00918707,0.16696313,0.58257599,0.24066024,1.77498479,0.87107999,0.00278594,0.85356517
-5.95197599,2.31434224,0.00950135,0.17699850,0.60020980,0.24623036,1.83737966,0.89446985,0.00300480,0.87451015
-5.94597299,2.38277305,0.00979401,0.18804062,0.61776590,0.25324748,1.90249328,0.92258829,0.00325542,0.89572814
-5.93996998,2.45781962,0.01006098,0.20003192,0.63511987,0.26168535,1.96956688,0.95532336,0.00353745,0.91704237
-5.93396698,2.53903344,0.01029891,0.21290660,0.65218395,0.27150182,2.03788466,0.99252841,0.00385042,0.93831811
-5.92796398,2.62596451,0.01050519,0.22658968,0.66890887,0.28263857,2.10678080,1.03402105,0.00419368,0.95946487
-5.92196098,2.71815955,0.01067797,0.24099618,0.68528379,0.29502093,2.17564403,1.07958143,0.00456635,0.98043602
-5.91595798,2.81515690,0.01081613,0.25603054,0.70133441,0.30855759,2.24391970,1.12894982,0.00496726,1.00122585
-5.90995498,2.91647850,0.01091927,0.27158639,0.71711922,0.32314053,2.31110975,1.18182403,0.00539491,1.02186427
-5.90395198,3.02161984,0.01098761,0.28754668,0.73272417,0.33864498,2.37677075,1.23785683,0.00584745,1.04240936
-5.89794897,3.13003891,0.01102195,0.30378428,0.74825595,0.35492978,2.44051055,1.29665386,0.00632262,1.06293842
-5.89194597,3.24114523,0.01102361,0.32016301,0.76383425,0.37183801,2.50198409,1.35777254,0.00681779,1.08353778
-5.88594297,3.35429022,0.01099431,0.33653922,0.77958341,0.38919813,2.56088879,1.42072224,0.00732992,1.10429228
-5.87993997,3.46875992,0.01093615,0.35276376,0.79562386,0.40682561,2.61696007,1.48496617,0.00785563,1.12527478
-5.87393697,3.58377097,0.01085144,0.36868446,0.81206372,0.42452524,2.66996741,1.54992514,0.00839118,1.14653645
-5.86793397,3.69847067,0.01074273,0.38414891,0.82899101,0.44209389,2.71971116,1.61498337,0.00893256,1.16809839
-5.86193097,3.81194141,0.01061266,0.39900751,0.84646683,0.45932400,2.76602045,1.67949624,0.00947558,1.18994494
-5.85592796,3.92320969,0.01046395,0.41311666,0.86451974,0.47600750,2.80875191,1.74279991,0.01001591,1.21201912
-5.84992496,4.03125943,0.01029936,0.42634194,0.88314161,0.49194014,2.84778946,1.80422244,0.01054924,1.23422040
-5.84392196,4.13504925,0.01012163,0.43856117,0.90228521,0.50692610,2.88304462,1.86309610,0.01107136,1.25640488
-5.83791896,4.23353270,0.00993346,0.44966714,0.92186332,0.52078268,2.91445718,1.91877028,0.01157830,1.27838777
-5.83191596,4.32568077,0.00973753,0.45957002,0.94174968,0.53334489,2.94199593,1.97062457,0.01206645,1.29994808
-5.82591296,4.41050541,0.00953642,0.46819909,0.96178146,0.54446975,2.96565882,2.01808140,0.01253269,1.32083515
-5.81990995,4.48708299,0.00933269,0.47550407,0.98176325,0.55404002,2.98547251,2.06061776,0.01297450,1.34077670
-5.81390695,4.55457648,0.00912879,0.48145556,1.00147221,0.56196728,3.00149071,2.09777553,0.01339004,1.35948780
-5.80790395,4.61225543,0.00892711,0.48604496,1.02066428,0.56819414,3.01379137,2.12916999,0.01377824,1.37668046
-5.80190095,4.65951264,0.00872994,0.48928361,1.03908108,0.57269539,3.02247240,2.15449634,0.01413881,1.39207315
-5.79589795,4.69587697,0.00853949,0.49120133,1.05645713,0.57547813,3.02764614,2.17353386,0.01447230,1.40539996
-5.78989495,4.72102160,0.00835780,0.49184443,1.07252731,0.57658072,3.02943262,2.18614787,0.01477999,1.41641871
-5.78389195,4.73476768,0.00818680,0.49127318,1.08703398,0.57607065,3.02795183,2.19228938,0.01506388,1.42491792
-5.77788894,4.73708308,0.00802821,0.48955905,1.09973372,0.57404134,3.02331564,2.19199262,0.01532653,1.43072216
-5.77188594,4.72807673,0.00788353,0.48678164,1.11040336,0.57060802,3.01561946,2.18537068,0.01557091,1.43369566
-5.76588294,4.70798875,0.00775396,0.48302564,1.11884513,0.56590288,3.00493443,2.17260955,0.01580025,1.43374415
-5.75987994,4.67717716,0.00764044,0.47837777,1.12489080,0.56006965,2.99130050,2.15396089,0.01601777,1.43081490
-5.75387694,4.63610177,0.00754348,0.47292397,1.12840473,0.55325788,2.97472095,2.12973382,0.01622650,1.42489512
-5.74787394,4.58530618,0.00746323,0.46674685,1.12928578,0.54561718,2.95515877,2.10028609,0.01642903,1.41600896
-5.74187094,4.52539879,0.00739940,0.45992356,1.12746816,0.53729162,2.93253526,2.06601501,0.01662728,1.40421330
-5.73586793,4.45703360,0.00735120,0.45252407,1.12292123,0.52841470,2.90673110,2.02734833,0.01682233,1.38959283
-5.72986493,4.38089180,0.00731741,0.44460998,1.11564838,0.51910486,2.87758992,1.98473535,0.01701425,1.37225466
-5.72386193,4.29766472,0.00729631,0.43623380,1.10568511,0.50946204,2.84492457,1.93863852,0.01720196,1.35232276
-5.71785893,4.20803897,0.00728573,0.42743872,1.09309652,0.49956512,2.80852557,1.88952555,0.01738321,1.32993286
-5.71185593,4.11268401,0.00728311,0.41825894,1.07797433,0.48947064,2.76817181,1.83786234,0.01755456,1.30522772
-5.70585293,4.01224270,0.00728553,0.40872029,1.06043356,0.47921260,2.72364279,1.78410657,0.01771147,1.27835332
-5.69984992,3.90732489,0.00728978,0.39884127,1.04060915,0.46880348,2.67473200,1.72870223,0.01784844,1.24945604
-5.69384692,3.79850400,0.00729250,0.38863445,1.01865252,0.45823630,2.62126084,1.67207493,0.01795917,1.21868085
-5.68784392,3.68631653,0.00729021,0.37810793,0.99472832,0.44748772,2.56309238,1.61462812,0.01803688,1.18617068
-5.68184092,3.57126420,0.00727951,0.36726706,0.96901139,0.43652183,2.50014437,1.55674013,0.01807454,1.15206673
-5.67583792,3.45381833,0.00725711,0.35611618,0.94168400,0.42529459,2.43240084,1.49876211,0.01806526,1.11650981
-5.66983492,3.33442599,0.00722001,0.34466029,0.91293351,0.41375860,2.35992179,1.44101681,0.01800255,1.07964237
