energy_ev,total_up,In_p_up,In_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,6.26093697,2.40653542,0.02884932,2.65918713,4.65435643,0.00978795,0.18821841
-5.99399700,6.15726487,2.37511844,0.02831057,2.59612561,4.58034590,0.00955649,0.18274389
-5.98799400,6.03216529,2.33596767,0.02765500,2.52365874,4.49026313,0.00929601,0.17674027
-5.98199100,5.88826102,2.28986792,0.02689841,2.44302168,4.38611028,0.00901352,0.17029277
-5.97598799,5.72842405,2.23768486,0.02605787,2.35554517,4.27008480,0.00871626,0.16349009
-5.96998499,5.55568979,2.18033925,0.02515120,2.26261909,4.14451284,0.00841154,0.15642225
-5.96398199,5.37316940,2.11878061,0.02419639,2.16565580,4.01178096,0.00810645,0.14917850
-5.95797899,5.18396389,2.05396153,0.02321105,2.06605472,3.87426893,0.00780771,0.14184534
-5.95197599,4.99108355,1.98681365,0.02221196,1.96516968,3.73428659,0.00752142,0.13450488
-5.94597299,4.79737572,1.91822620,0.02121461,1.86427994,3.59401691,0.00725296,0.12723333
-5.93996998,4.60546324,1.84902781,0.02023291,1.76456590,3.45546734,0.00700685,0.12010000
-5.93396698,4.41769529,1.77997195,0.01927885,1.66708986,3.32043079,0.00678664,0.11316643
-5.92796398,4.23611143,1.71172626,0.01836244,1.57278213,3.19045681,0.00659488,0.10648599
-5.92196098,4.06241910,1.64486584,0.01749156,1.48243244,3.06683344,0.00643312,0.10010365
-5.91595798,3.89798378,1.57987009,0.01667202,1.39668623,2.95057908,0.00630192,0.09405613
-5.90995498,3.74383089,1.51712283,0.01590760,1.31604533,2.84244370,0.00620093,0.08837214
-5.90395198,3.60065779,1.45691529,0.01520028,1.24087236,2.74291810,0.00612896,0.08307279
-5.89794897,3.46885380,1.39945125,0.01455036,1.17139810,2.65224991,0.00608409,0.07817217
-5.89194597,3.34852659,1.34485381,0.01395675,1.10773098,2.57046453,0.00606379,0.07367784
-5.88594297,3.23953258,1.29317331,0.01341718,1.04986808,2.49738972,0.00606505,0.06959145
-5.87993997,3.14150978,1.24439587,0.01292850,0.99770695,2.43268213,0.00608451,0.06590925
-5.87393697,3.05391124,1.19845205,0.01248686,0.95105772,2.37585457,0.00611855,0.06262262
-5.86793397,2.97603807,1.15522558,0.01208799,0.90965510,2.32630296,0.00616344,0.05971847
-5.86193097,2.90707084,1.11456161,0.01172738,0.87317011,2.28333216,0.00621543,0.05717968
-5.85592796,2.84609896,1.07627471,0.01140044,0.84122133,2.24618000,0.00627082,0.05498547
-5.84992496,2.79214773,1.04015639,0.01110261,0.81338568,2.21403955,0.00632605,0.05311180
-5.84392196,2.74420297,1.00598217,0.01082952,0.78920884,2.18607922,0.00637774,0.05153177
-5.83791896,2.70123359,0.97351847,0.01057700,0.76821538,2.16146102,0.00642274,0.05021606
-5.83191596,2.66221231,0.94252908,0.01034113,0.74991876,2.13935713,0.00645816,0.04913349
-5.82591296,2.62613500,0.91278153,0.01011832,0.73383121,2.11896506,0.00648140,0.04825164
-5.81990995,2.59203888,0.88405333,0.00990523,0.71947368,2.09952169,0.00649018,0.04753756
-5.81390695,2.55901999,0.85613801,0.00969884,0.70638576,2.08031638,0.00648249,0.04695861
-5.80790395,2.52624993,0.82885096,0.00949643,0.69413553,2.06070333,0.00645670,0.04648337
-5.80190095,2.49299194,0.80203497,0.00929554,0.68232911,2.04011317,0.00641147,0.04608260
