energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.95166328,0.00791600,0.22116010,1.13221049,1.35408949,0.84550035,0.00000000,1.13032093,0.10610831
-5.99399700,2.99180027,0.00758927,0.23082714,1.15383060,1.38142487,0.84794696,0.00000000,1.12337223,0.10647602
-5.98799400,3.03348046,0.00728473,0.24059480,1.17653987,1.40879998,0.85133769,0.00000000,1.11856517,0.10684404
-5.98199100,3.07587400,0.00700110,0.25037874,1.20018400,1.43567787,0.85551161,0.00000000,1.11584585,0.10719783
-5.97598799,3.11800495,0.00673641,0.26008807,1.22453667,1.46145620,0.86025759,0.00000000,1.11508909,0.10751898
-5.96998499,3.15878066,0.00648817,0.26962713,1.24930136,1.48548547,0.86532215,0.00000000,1.11610310,0.10778582
-5.96398199,3.19702580,0.00625353,0.27889747,1.27411585,1.50708990,0.87041828,0.00000000,1.11863531,0.10797420
-5.95797899,3.23151975,0.00602947,0.28780008,1.29855926,1.52559024,0.87523528,0.00000000,1.12237931,0.10805821
-5.95197599,3.26103607,0.00581291,0.29623770,1.32216141,1.54032766,0.87944892,0.00000000,1.12698260,0.10801106
-5.94597299,3.28438243,0.00560093,0.30411719,1.34441438,1.55068754,0.88273179,0.00000000,1.13205530,0.10780596
-5.93996998,3.30043958,0.00539085,0.31135187,1.36478585,1.55612222,0.88476348,0.00000000,1.13717954,0.10741693
-5.93396698,3.30819789,0.00518036,0.31786372,1.38273382,1.55617176,0.88524016,0.00000000,1.14191953,0.10681966
-5.92796398,3.30678996,0.00496759,0.32358535,1.39772221,1.55048154,0.88388339,0.00000000,1.14583207,0.10599227
-5.92196098,3.29551830,0.00475119,0.32846172,1.40923688,1.53881614,0.88044797,0.00000000,1.14847746,0.10491596
-5.91595798,3.27387697,0.00453033,0.33245140,1.41680135,1.52106876,0.87472845,0.00000000,1.14943047,0.10357564
-5.90995498,3.24156650,0.00430471,0.33552746,1.41999186,1.49726580,0.86656446,0.00000000,1.14829123,0.10196038
-5.90395198,3.19850174,0.00407453,0.33767784,1.41845105,1.46756635,0.85584445,0.00000000,1.14469572,0.10006378
-5.89794897,3.14481246,0.00384045,0.33890520,1.41189986,1.43225691,0.84250810,0.00000000,1.13832552,0.09788423
-5.89194597,3.08083698,0.00360352,0.33922621,1.40014709,1.39174140,0.82654716,0.00000000,1.12891663,0.09542500
-5.88594297,3.00710919,0.00336511,0.33867044,1.38309638,1.34652714,0.80800494,0.00000000,1.11626685,0.09269426
-5.87993997,2.92433982,0.00312680,0.33727864,1.36075024,1.29720752,0.78697444,0.00000000,1.10024161,0.08970496
-5.87393697,2.83339281,0.00289034,0.33510080,1.33321097,1.24444217,0.76359519,0.00000000,1.08077785,0.08647460
-5.86793397,2.73525789,0.00265751,0.33219372,1.30067855,1.18893570,0.73804906,0.00000000,1.05788590,0.08302488
-5.86193097,2.63102063,0.00243012,0.32861856,1.26344545,1.13141580,0.71055505,0.00000000,1.03164902,0.07938126
-5.85592796,2.52183113,0.00220984,0.32443823,1.22188860,1.07261189,0.68136341,0.00000000,1.00222086,0.07557249
-5.84992496,2.40887262,0.00199821,0.31971490,1.17645898,1.01323501,0.65074906,0.00000000,0.96982061,0.07162994
-5.84392196,2.29333117,0.00179660,0.31450766,1.12766905,0.95395995,0.61900472,0.00000000,0.93472631,0.06758700
