energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,1.77675917,0.00384602,0.19887351,0.52391194,0.28803519,0.64413304,0.40504745,0.00469010,0.82070584
-5.99399700,1.83962808,0.00364054,0.21311660,0.53303204,0.29670157,0.66912391,0.42961368,0.00440834,0.83564849
-5.98799400,1.91211941,0.00346916,0.22825843,0.54508617,0.30713480,0.69532110,0.45667313,0.00419651,0.85508218
-5.98199100,1.99331207,0.00332995,0.24418081,0.55983329,0.31915725,0.72247091,0.48594903,0.00405238,0.87868256
-5.97598799,2.08223817,0.00322074,0.26075756,0.57702912,0.33258058,0.75033945,0.51713704,0.00397317,0.90612017
-5.96998499,2.17790268,0.00313932,0.27785593,0.59643302,0.34721077,0.77871512,0.54990981,0.00395569,0.93706967
-5.96398199,2.27930084,0.00308351,0.29533820,0.61781384,0.36285266,0.80740972,0.58392197,0.00399647,0.97121667
-5.95797899,2.38543269,0.00305127,0.31306325,0.64095428,0.37931374,0.83625852,0.61881530,0.00409183,1.00826230
-5.95197599,2.49531466,0.00304075,0.33088834,0.66565393,0.39640726,0.86511905,0.65422409,0.00423792,1.04792526
-5.94597299,2.60798835,0.00305040,0.34867083,0.69173092,0.41395459,0.89386896,0.68978054,0.00443077,1.08994167
-5.93996998,2.72252658,0.00307890,0.36626990,0.71902230,0.43178678,0.92240317,0.72512021,0.00466632,1.13406292
-5.93396698,2.83803720,0.00312524,0.38354831,0.74738329,0.44974553,0.95063033,0.75988737,0.00494035,1.18005198
-5.92796398,2.95366505,0.00318861,0.40037399,0.77668556,0.46768350,0.97846907,0.79374016,0.00524854,1.22767859
-5.92196098,3.06859263,0.00326843,0.41662159,0.80681488,0.48546425,1.00584408,0.82635549,0.00558638,1.27671387
-5.91595798,3.18204001,0.00336423,0.43217384,0.83766815,0.50296191,1.03268237,0.85743358,0.00594917,1.32692496
-5.90995498,3.29326444,0.00347563,0.44692268,0.86915026,0.52006062,1.05890986,0.88670209,0.00633199,1.37807007
-5.90395198,3.40156022,0.00360221,0.46077026,0.90117080,0.53665409,1.08444838,0.91391966,0.00672967,1.42989440
-5.89794897,3.50625904,0.00374349,0.47362961,0.93364089,0.55264519,1.10921328,0.93887886,0.00713684,1.48212740
-5.89194597,3.60673115,0.00389882,0.48542507,0.96647030,0.56794587,1.13311169,0.96140849,0.00754787,1.53448151
-5.88594297,3.70238751,0.00406735,0.49609248,0.99956484,0.58247733,1.15604142,0.98137509,0.00795696,1.58665256
-5.87993997,3.79268278,0.00424799,0.50557909,1.03282424,0.59617061,1.17789044,0.99868375,0.00835820,1.63832182
-5.87393697,3.87711927,0.00443933,0.51384322,1.06614052,0.60896743,1.19853705,1.01327813,0.00874561,1.68915974
