energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.92701117,0.01202841,0.43125258,0.89158954,0.45001355,1.28412703,1.73473138,0.01435198,1.33317175
-5.99399700,3.95670777,0.01208644,0.44806776,0.88471409,0.44931141,1.28783648,1.76321353,0.01353004,1.32389576
-5.98799400,3.98418358,0.01213562,0.46490672,0.87716557,0.44837633,1.29036368,1.79083943,0.01270404,1.31386049
-5.98199100,4.00999389,0.01217765,0.48162823,0.86922577,0.44730355,1.29181410,1.81776772,0.01188151,1.30350620
-5.97598799,4.03467738,0.01221368,0.49808427,0.86116120,0.44618522,1.29228174,1.84416350,0.01106969,1.29325258
-5.96998499,4.05872981,0.01224420,0.51412318,0.85321405,0.44510610,1.29184583,1.87018794,0.01027533,1.28348267
-5.96398199,4.08258089,0.01226896,0.52959311,0.84559471,0.44413980,1.29056879,1.89598866,0.00950459,1.27452884
-5.95797899,4.10657531,0.01228690,0.54434551,0.83847594,0.44334563,1.28849558,1.92169126,0.00876288,1.26666122
-5.95197599,4.13095836,0.01229624,0.55823869,0.83198901,0.44276626,1.28565410,1.94739208,0.00805482,1.26007922
-5.94597299,4.15586650,0.01229451,0.57114090,0.82622177,0.44242629,1.28205652,1.97315251,0.00738415,1.25490634
-5.93996998,4.18132291,0.01227869,0.58293313,0.82121858,0.44233169,1.27770140,1.99899480,0.00675374,1.25118842
-5.93396698,4.20723790,0.01224532,0.59351119,0.81698216,0.44247033,1.27257614,2.02489943,0.00616558,1.24889535
-5.92796398,4.23341383,0.01219074,0.60278719,0.81347681,0.44281328,1.26665968,2.05080406,0.00562080,1.24792593
-5.92196098,4.25955406,0.01211128,0.61069019,0.81063312,0.44331697,1.25992522,2.07660393,0.00511978,1.24811575
-5.91595798,4.28527532,0.01200345,0.61716625,0.80835359,0.44392610,1.25234264,2.10215362,0.00466219,1.24924734
-5.90995498,4.31012288,0.01186416,0.62217771,0.80651891,0.44457694,1.24388081,2.12727018,0.00424713,1.25106233
-5.90395198,4.33358778,0.01169091,0.62570202,0.80499467,0.44520102,1.23450937,2.15173733,0.00387320,1.25327478
-5.89794897,4.35512546,0.01148195,0.62773013,0.80363798,0.44572898,1.22420028,2.17531081,0.00353864,1.25558512
-5.89194597,4.37417501,0.01123638,0.62826472,0.80230399,0.44609428,1.21292899,2.19772450,0.00324148,1.25769401
-5.88594297,4.39017843,0.01095426,0.62731830,0.80085172,0.44623661,1.20067546,2.21869738,0.00297956,1.25931548
-5.87993997,4.40259923,0.01063663,0.62491152,0.79914931,0.44610492,1.18742489,2.23794099,0.00275074,1.26018875
-5.87393697,4.41093967,0.01028547,0.62107169,0.79707829,0.44565977,1.17316850,2.25516722,0.00255293,1.26008828
-5.86793397,4.41475624,0.00990369,0.61583167,0.79453693,0.44487500,1.15790423,2.27009620,0.00238417,1.25883164
-5.86193097,4.41367266,0.00949498,0.60922918,0.79144246,0.44373855,1.14163741,2.28246400,0.00224273,1.25628483
-5.85592796,4.40739017,0.00906371,0.60130658,0.78773230,0.44225247,1.12438152,2.29202989,0.00212712,1.25236506
-5.84992496,4.39569461,0.00861475,0.59211097,0.78336417,0.44043214,1.10615885,2.29858287,0.00203613,1.24704085
-5.84392196,4.37846023,0.00815328,0.58169463,0.77831534,0.43830469,1.08700112,2.30194715,0.00196888,1.24032962
-5.83791896,4.35564995,0.00768467,0.57011572,0.77258096,0.43590685,1.06694987,2.30198648,0.00192475,1.23229306
-5.83191596,4.32731240,0.00721421,0.55743895,0.76617173,0.43328224,1.04605659,2.29860698,0.00190343,1.22303048
-5.82591296,4.29357570,0.00674701,0.54373623,0.75911104,0.43047835,1.02438248,2.29175854,0.00190482,1.21267083
-5.81990995,4.25463857,0.00628782,0.52908717,0.75143174,0.42754345,1.00199781,2.28143462,0.00192906,1.20136368
-5.81390695,4.21075919,0.00584091,0.51357912,0.74317281,0.42452352,0.97898077,2.26767057,0.00197641,1.18926976
-5.80790395,4.16224251,0.00540998,0.49730704,0.73437603,0.42145942,0.95541586,2.25054070,0.00204720,1.17655172
-5.80190095,4.10942671,0.00499807,0.48037272,0.72508285,0.41838455,0.93139189,2.23015410,0.00214175,1.16336544
-5.79589795,4.05266959,0.00460756,0.46288372,0.71533177,0.41532306,0.90699966,2.20664970,0.00226030,1.14985252
-5.78989495,3.99233565,0.00424014,0.44495186,0.70515608,0.41228872,0.88232933,2.18019082,0.00240290,1.13613415
-5.78389195,3.92878442,0.00389681,0.42669134,0.69458234,0.40928453,0.85746790,2.15095947,0.00256934,1.12230675
-5.77788894,3.86236076,0.00357800,0.40821672,0.68362952,0.40630308,0.83249665,2.11915075,0.00275904,1.10843941
-5.77188594,3.79338737,0.00328353,0.38964072,0.67230877,0.40332754,0.80748893,2.08496766,0.00297101,1.09457324
-5.76588294,3.72215973,0.00301278,0.37107204,0.66062389,0.40033328,0.78250835,2.04861640,0.00320376,1.08072239
-5.75987994,3.64894354,0.00276472,0.35261337,0.64857245,0.39728989,0.75760749,2.01030247,0.00345524,1.06687661
-5.75387694,3.57397437,0.00253801,0.33435957,0.63614722,0.39416352,0.73282727,1.97022744,0.00372284,1.05300497
-5.74787394,3.49745918,0.00233112,0.31639624,0.62333806,0.39091927,0.70819695,1.92858654,0.00400336,1.03906040
-5.74187094,3.41957928,0.00214236,0.29879868,0.61013397,0.38752350,0.68373477,1.88556677,0.00429302,1.02498461
-5.73586793,3.34049417,0.00197002,0.28163120,0.59652507,0.38394588,0.65944918,1.84134569,0.00458753,1.01071301
-5.72986493,3.26034553,0.00181237,0.26494701,0.58250453,0.38016103,0.63534064,1.79609052,0.00488212,0.99617922
-5.72386193,3.17926114,0.00166778,0.24878839,0.56807017,0.37614957,0.61140365,1.74995743,0.00517167,0.98131896
-5.71785893,3.09735800,0.00153472,0.23318726,0.55322571,0.37189865,0.58762918,1.70309100,0.00545082,0.96607288
-5.71185593,3.01474453,0.00141180,0.21816610,0.53798153,0.36740180,0.56400701,1.65562366,0.00571410,0.95038858
-5.70585293,2.93152162,0.00129780,0.20373898,0.52235502,0.36265828,0.54052814,1.60767513,0.00595606,0.93422134
-5.69984992,2.84778270,0.00119169,0.18991283,0.50637039,0.35767186,0.51718687,1.55935179,0.00617150,0.91753408
-5.69384692,2.76361278,0.00109258,0.17668874,0.49005810,0.35244928,0.49398266,1.51074622,0.00635557,0.90029641
-5.68784392,2.67908701,0.00099976,0.16406316,0.47345400,0.34699846,0.47092151,1.46193678,0.00650393,0.88248314
-5.68184092,2.59426900,0.00091268,0.15202914,0.45659816,0.34132668,0.44801693,1.41298764,0.00661294,0.86407258
-5.67583792,2.50920945,0.00083090,0.14057734,0.43953364,0.33543885,0.42529041,1.36394909,0.00667974,0.84504473
-5.66983492,2.42394541,0.00075411,0.12969693,0.42230527,0.32933611,0.40277146,1.31485856,0.00670237,0.82537988
-5.66383192,2.33850059,0.00068207,0.11937630,0.40495851,0.32301473,0.38049713,1.26574220,0.00667984,0.80505762
-5.65782891,2.25288699,0.00061461,0.10960351,0.38753850,0.31646568,0.35851130,1.21661720,0.00661216,0.78405667
-5.65182591,2.16710796,0.00055161,0.10036669,0.37008940,0.30967457,0.33686351,1.16749472,0.00650032,0.76235534
-5.64582291,2.08116261,0.00049297,0.09165415,0.35265401,0.30262235,0.31560770,1.11838340,0.00634629,0.73993293
-5.63981991,1.99505141,0.00043862,0.08345440,0.33527362,0.29528641,0.29480069,1.06929326,0.00615292,0.71677180
-5.63381691,1.90878272,0.00038846,0.07575612,0.31798822,0.28764223,0.27450067,1.02023981,0.00592385,0.69285997
-5.62781391,1.82237972,0.00034241,0.06854795,0.30083680,0.27966530,0.25476566,0.97124807,0.00566338,0.66819419
