energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,9.50743274,0.02920574,1.71648647,0.13500117,7.23474558,4.90179631,2.59011170,0.00000000
-5.99399700,9.16160669,0.02926164,1.62241286,0.12884478,6.83845453,4.74653946,2.52381115,0.00000000
-5.98799400,8.80654733,0.02925041,1.52807297,0.12281330,6.43411057,4.58606262,2.45439356,0.00000000
-5.98199100,8.44408507,0.02916370,1.43414143,0.11692183,6.02558891,4.42096957,2.38199833,0.00000000
-5.97598799,8.07601309,0.02899441,1.34125707,0.11118235,5.61666522,4.25186559,2.30676339,0.00000000
-5.96998499,7.70407795,0.02873694,1.25001327,0.10560397,5.21094402,4.07935993,2.22883345,0.00000000
-5.96398199,7.32997264,0.02838749,1.16094974,0.10019321,4.81179455,3.90406848,2.14836850,0.00000000
-5.95797899,6.95533203,0.02794424,1.07454602,0.09495446,4.42229589,3.72661642,2.06555186,0.00000000
-5.95197599,6.58173005,0.02740756,0.99121683,0.08989057,4.04519300,3.54764060,1.98059735,0.00000000
-5.94597299,6.21067852,0.02678015,0.91130930,0.08500351,3.68286431,3.36779130,1.89375518,0.00000000
-5.93996998,5.84362678,0.02606702,0.83510220,0.08029511,3.33730139,3.18773313,1.80531592,0.00000000
-5.93396698,5.48196195,0.02527557,0.76280695,0.07576780,3.01010058,3.00814468,1.71561268,0.00000000
-5.92796398,5.12700900,0.02441544,0.69457027,0.07142540,2.70246593,2.82971705,1.62502103,0.00000000
-5.92196098,4.78003063,0.02349844,0.63047830,0.06727376,2.41522253,2.65315077,1.53395686,0.00000000
-5.91595798,4.44222647,0.02253831,0.57056191,0.06332145,2.14883890,2.47915157,1.44287231,0.00000000
-5.90995498,4.11473163,0.02155051,0.51480289,0.05958028,1.90345696,2.30842469,1.35224990,0.00000000
-5.90395198,3.79861453,0.02055187,0.46314073,0.05606569,1.67892782,2.14166834,1.26259536,0.00000000
-5.89794897,3.49487442,0.01956035,0.41547976,0.05279710,1.47485187,1.97956636,1.17442950,0.00000000
-5.89194597,3.20443866,0.01859459,0.37169641,0.04979802,1.29062128,1.82278060,1.08827952,0.00000000
-5.88594297,2.92816031,0.01767358,0.33164623,0.04709609,1.12546361,1.67194340,1.00467040,0.00000000
-5.87993997,2.66681650,0.01681625,0.29517067,0.04472300,0.97848488,1.52765067,0.92411667,0.00000000
-5.87393697,2.42110791,0.01604105,0.26210336,0.04271427,0.84871122,1.39045597,0.84711498,0.00000000
-5.86793397,2.19165993,0.01536558,0.23227586,0.04110891,0.73512776,1.26086592,0.77413800,0.00000000
-5.86193097,1.97902575,0.01480613,0.20552270,0.03994906,0.63671436,1.13933742,0.70562966,0.00000000
-5.85592796,1.78369162,0.01437736,0.18168586,0.03927949,0.55247744,1.02627664,0.64200209,0.00000000
-5.84992496,1.60608422,0.01409188,0.16061850,0.03914706,0.48147756,0.92204010,0.58363418,0.00000000
-5.84392196,1.44658019,0.01395992,0.14218810,0.03960019,0.42285267,0.82693762,0.53087184,0.00000000
