energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,1.39327092,0.01261764,0.03821420,0.73854810,0.36226679,0.35942463,0.13603941,0.02351630,0.89101905
-5.99399700,1.40897464,0.01240495,0.03945101,0.72467834,0.36768019,0.35606478,0.13712740,0.02366613,0.89768154
-5.98799400,1.42203306,0.01218030,0.04057994,0.71221799,0.37178451,0.35285142,0.13811076,0.02367234,0.90315226
-5.98199100,1.43187007,0.01194575,0.04157666,0.70093978,0.37445428,0.34969439,0.13892267,0.02353450,0.90706935
-5.97598799,1.43791622,0.01170250,0.04241783,0.69055108,0.37558325,0.34648082,0.13949385,0.02325492,0.90906282
-5.96998499,1.43963139,0.01145092,0.04308182,0.68071051,0.37508822,0.34308119,0.13975543,0.02283858,0.90876999
-5.96398199,1.43652709,0.01119063,0.04354948,0.67104612,0.37291219,0.33935624,0.13964182,0.02229299,0.90585109
-5.95797899,1.42818735,0.01092069,0.04380476,0.66117433,0.36902689,0.33516420,0.13909343,0.02162788,0.90000423
-5.95197599,1.41428755,0.01063974,0.04383536,0.65071869,0.36343425,0.33036828,0.13805917,0.02085500,0.89097918
-5.94597299,1.39461007,0.01034626,0.04363318,0.63932765,0.35616715,0.32484379,0.13649863,0.01998766,0.87858933
-5.93996998,1.36905630,0.01003873,0.04319462,0.62669064,0.34728914,0.31848464,0.13438382,0.01904038,0.86272119
-5.93396698,1.33765442,0.00971583,0.04252084,0.61255174,0.33689326,0.31120904,0.13170041,0.01802849,0.84334128
-5.92796398,1.30056261,0.00937667,0.04161772,0.59672045,0.32510010,0.30296390,0.12844840,0.01696766,0.82049989
-5.92196098,1.25806771,0.00902094,0.04049575,0.57907929,0.31205498,0.29372806,0.12464233,0.01587357,0.79433182
-5.91595798,1.21057940,0.00864901,0.03916979,0.55958802,0.29792464,0.28351397,0.12031083,0.01476146,0.76505397
-5.90995498,1.15862026,0.00826207,0.03765855,0.53828450,0.28289332,0.27236798,0.11549571,0.01364584,0.73296009
-5.90395198,1.10281227,0.00786214,0.03598413,0.51528239,0.26715858,0.26036925,0.11025061,0.01254021,0.69841298
-5.89794897,1.04386039,0.00745211,0.03417131,0.49076607,0.25092697,0.24762742,0.10463922,0.01145680,0.66183457
-5.89194597,0.98253413,0.00703573,0.03224685,0.46498320,0.23440971,0.23427921,0.09873329,0.01040644,0.62369446
-5.88594297,0.91964798,0.00661754,0.03023873,0.43823544,0.21781849,0.22048421,0.09261033,0.00939840,0.58449746
-5.87993997,0.85604147,0.00620281,0.02817536,0.41086809,0.20136170,0.20642016,0.08635138,0.00844040,0.54477079
-5.87393697,0.79256000,0.00579747,0.02608488,0.38325909,0.18524105,0.19227792,0.08003869,0.00753859,0.50505148
-5.86793397,0.73003691,0.00540802,0.02399437,0.35580804,0.16964876,0.17825654,0.07375355,0.00669758,0.46587454
-5.86193097,0.66927777,0.00504140,0.02192932,0.32892583,0.15476542,0.16455846,0.06757436,0.00592058,0.42776245
-5.85592796,0.61104709,0.00470496,0.01991305,0.30302518,0.14075839,0.15138525,0.06157490,0.00520947,0.39121608
-5.84992496,0.55605804,0.00440633,0.01796628,0.27851256,0.12778095,0.13893395,0.05582298,0.00456500,0.35670759
-5.84392196,0.50496501,0.00415338,0.01610686,0.25578154,0.11597202,0.12739403,0.05037942,0.00398692,0.32467509
-5.83791896,0.45835922,0.00395415,0.01434954,0.23520767,0.10545627,0.11694515,0.04529737,0.00347415,0.29551930
-5.83191596,0.41676682,0.00381677,0.01270593,0.21714490,0.09634481,0.10775555,0.04062195,0.00302496,0.26960181
-5.82591296,0.38064925,0.00374944,0.01118456,0.20192322,0.08873597,0.09998104,0.03639026,0.00263710,0.24724480
-5.81990995,0.35040527,0.00376032,0.00979093,0.18984729,0.08271626,0.09376446,0.03263161,0.00230800,0.22873187
-5.81390695,0.32637389,0.00385748,0.00852781,0.18119571,0.07836121,0.08923535,0.02936797,0.00203484,0.21430944
-5.80790395,0.30883775,0.00404878,0.00739545,0.17622057,0.07573607,0.08650989,0.02661459,0.00181469,0.20418836
-5.80190095,0.29802607,0.00434176,0.00639196,0.17514682,0.07489604,0.08569056,0.02438067,0.00164458,0.19854535
-5.79589795,0.29411676,0.00474346,0.00551356,0.17817120,0.07588614,0.08686567,0.02267013,0.00152157,0.19752376
