energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.64713700,0.00189615,0.04221137,0.22717543,0.22863552,0.10690078,0.04004768,0.00385167,0.33568387
-5.99399700,0.61710976,0.00176850,0.03964697,0.21944991,0.21564960,0.10712928,0.03988474,0.00352290,0.32428384
-5.98799400,0.59599871,0.00167441,0.03760777,0.21507131,0.20563523,0.10922986,0.04037461,0.00324283,0.31778316
-5.98199100,0.58446041,0.00161846,0.03613016,0.21432288,0.19878055,0.11337004,0.04156852,0.00301292,0.31656155
-5.97598799,0.58303201,0.00160553,0.03524270,0.21745098,0.19522662,0.11970150,0.04351042,0.00283391,0.32093837
-5.96998499,0.59213228,0.00164091,0.03496647,0.22466487,0.19506835,0.12835851,0.04623644,0.00270585,0.33117160
-5.96398199,0.61206341,0.00173038,0.03531561,0.23613673,0.19835576,0.13945623,0.04977441,0.00262818,0.34745706
-5.95797899,0.64301315,0.00188028,0.03629790,0.25200159,0.20509548,0.15308890,0.05414338,0.00259980,0.36992779
-5.95197599,0.68505686,0.00209757,0.03791543,0.27235706,0.21525235,0.16932768,0.05935316,0.00261909,0.39865314
-5.94597299,0.73815903,0.00238985,0.04016524,0.29726281,0.22875103,0.18821842,0.06540388,0.00268405,0.43363775
-5.93996998,0.80217428,0.00276537,0.04303997,0.32673963,0.24547745,0.20977921,0.07228557,0.00279230,0.47482019
-5.93396698,0.87684769,0.00323295,0.04652849,0.36076815,0.26528030,0.23399777,0.07997777,0.00294119,0.52207140
-5.92796398,0.96181460,0.00380192,0.05061644,0.39928729,0.28797235,0.26082890,0.08844927,0.00312780,0.57519299
-5.92196098,1.05660011,0.00448195,0.05528676,0.44219242,0.31333190,0.29019203,0.09765787,0.00334906,0.63391563
-5.91595798,1.16061858,0.00528282,0.06052012,0.48933341,0.34110435,0.32196897,0.10755027,0.00360172,0.69789768
-5.90995498,1.27317341,0.00621423,0.06629527,0.54051278,0.37100393,0.35600203,0.11806219,0.00388246,0.76672427
-5.90395198,1.39345754,0.00728539,0.07258933,0.59548397,0.40271582,0.39209272,0.12911849,0.00418786,0.83990716
-5.89794897,1.52055507,0.00850477,0.07937801,0.65395000,0.43589872,0.43000107,0.14063360,0.00451448,0.91688552
-5.89194597,1.65344418,0.00987958,0.08663564,0.71556266,0.47018784,0.46944579,0.15251207,0.00485885,0.99702788
-5.88594297,1.79100200,0.01141542,0.09433528,0.77992241,0.50519860,0.51010533,0.16464934,0.00521750,1.07963546
-5.87993997,1.93201136,0.01311577,0.10244852,0.84657908,0.54053075,0.55161998,0.17693268,0.00558701,1.16394703
-5.87393697,2.07516991,0.01498160,0.11094543,0.91503358,0.57577324,0.59359503,0.18924235,0.00596396,1.24914532
-5.86793397,2.21910157,0.01701082,0.11979424,0.98474073,0.61050962,0.63560511,0.20145294,0.00634498,1.33436523
-5.86193097,2.36237055,0.01919801,0.12896103,1.05511332,0.64432388,0.67719962,0.21343486,0.00672674,1.41870368
-5.85592796,2.50349789,0.02153395,0.13840945,1.12552738,0.67680690,0.71790926,0.22505606,0.00710596,1.50123117
-5.84992496,2.64098036,0.02400546,0.14810026,1.19532884,0.70756307,0.75725357,0.23618384,0.00747938,1.58100486
-5.84392196,2.77331176,0.02659518,0.15799103,1.26384154,0.73621723,0.79474937,0.24668686,0.00784379,1.65708322
-5.83791896,2.89900620,0.02928153,0.16803584,1.33037655,0.76242170,0.82991991,0.25643721,0.00819599,1.72854171
-5.83191596,3.01662313,0.03203884,0.17818503,1.39424266,0.78586320,0.86230454,0.26531263,0.00853282,1.79448961
-5.82591296,3.12479355,0.03483754,0.18838509,1.45475808,0.80626957,0.89146867,0.27319874,0.00885112,1.85408733
-5.81990995,3.22224701,0.03764461,0.19857875,1.51126299,0.82341604,0.91701366,0.27999135,0.00914779,1.90656405
-5.81390695,3.30783867,0.04042406,0.20870517,1.56313276,0.83713102,0.93858656,0.28559866,0.00941976,1.95123506
-5.80790395,3.38057565,0.04313765,0.21870037,1.60979152,0.84730098,0.95588906,0.28994351,0.00966401,1.98751849
-5.80190095,3.43964197,0.04574573,0.22849786,1.65072574,0.85387455,0.96868568,0.29296535,0.00987764,2.01495073
-5.79589795,3.48442115,0.04820810,0.23802947,1.68549732,0.85686539,0.97681066,0.29462209,0.01005786,2.03320014
-5.78989495,3.51451568,0.05048504,0.24722639,1.71375576,0.85635391,0.98017333,0.29489166,0.01020210,2.04207846
-5.78389195,3.52976235,0.05253835,0.25602029,1.73524898,0.85248749,0.97876184,0.29377315,0.01030802,2.04154932
-5.77788894,3.53024290,0.05433241,0.26434468,1.74983216,0.84547932,0.97264482,0.29128762,0.01037357,2.03173358
