energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,3.20043000,0.00249833,0.34963975,0.97732181,0.54031752,0.43382692,0.91309291,0.00822004,1.64350974
-5.99399700,3.10498217,0.00228256,0.33593616,0.95164763,0.52766491,0.42207050,0.87931215,0.00795053,1.60003548
-5.98799400,3.00813709,0.00211034,0.32190378,0.92513314,0.51526328,0.41118034,0.84444097,0.00765685,1.55604641
-5.98199100,2.91093206,0.00197912,0.30771349,0.89804169,0.50326109,0.40122961,0.80887854,0.00734303,1.51197236
-5.97598799,2.81444514,0.00188620,0.29353756,0.87066465,0.49180543,0.39229300,0.77303215,0.00701359,1.46827010
-5.96998499,2.71975954,0.00182871,0.27954621,0.84331028,0.48103579,0.38444365,0.73730724,0.00667346,1.42540500
-5.96398199,2.62792758,0.00180367,0.26590413,0.81629169,0.47107791,0.37774961,0.70209771,0.00632775,1.38383214
-5.95797899,2.53993569,0.00180797,0.25276725,0.78991474,0.46203826,0.37227023,0.66777655,0.00598160,1.34397790
-5.95197599,2.45667226,0.00183841,0.24027958,0.76446642,0.45399938,0.36805244,0.63468748,0.00564005,1.30622303
-5.94597299,2.37889971,0.00189172,0.22857037,0.74020436,0.44701632,0.36512737,0.60313743,0.00530785,1.27088809
-5.93996998,2.30723199,0.00196454,0.21775155,0.71734787,0.44111442,0.36350741,0.57339036,0.00498938,1.23822194
-5.93396698,2.24211849,0.00205349,0.20791556,0.69607118,0.43628844,0.36318389,0.54566245,0.00468850,1.20839397
-5.92796398,2.18383485,0.00215514,0.19913360,0.67649887,0.43250323,0.36412551,0.52011876,0.00440849,1.18149030
-5.92196098,2.13248107,0.00226609,0.19145435,0.65870387,0.42969584,0.36627774,0.49687151,0.00415199,1.15751415
-5.91595798,2.08798676,0.00238299,0.18490321,0.64270797,0.42777891,0.36956305,0.47597992,0.00392096,1.13639008
-5.90995498,2.05012320,0.00250256,0.17948219,0.62848461,0.42664529,0.37388231,0.45745167,0.00371667,1.11797213
-5.90395198,2.01852149,0.00262168,0.17517034,0.61596392,0.42617364,0.37911701,0.44124577,0.00353972,1.10205490
-5.89794897,1.99269590,0.00273742,0.17192487,0.60503950,0.42623465,0.38513252,0.42727692,0.00339006,1.08838735
-5.89194597,1.97207127,0.00284709,0.16968296,0.59557655,0.42669773,0.39178221,0.41542110,0.00326708,1.07668823
-5.88594297,1.95601324,0.00294830,0.16836414,0.58742088,0.42743778,0.39891229,0.40552215,0.00316961,1.06666244
-5.87993997,1.94386000,0.00303902,0.16787334,0.58040839,0.42834166,0.40636731,0.39739927,0.00309609,1.05801750
-5.87393697,1.93495407,0.00311759,0.16810455,0.57437431,0.42931427,0.41399610,0.39085513,0.00304456,1.05047920
-5.86793397,1.92867307,0.00318276,0.16894483,0.56916205,0.43028370,0.42165793,0.38568431,0.00301285,1.04380577
-5.86193097,1.92445792,0.00323372,0.17027882,0.56463088,0.43120541,0.42922886,0.38168183,0.00299860,1.03779983
-5.85592796,1.92183765,0.00327007,0.17199339,0.56066247,0.43206517,0.43660779,0.37865147,0.00299941,1.03231768
-5.84992496,1.92044979,0.00329186,0.17398241,0.55716579,0.43288063,0.44372226,0.37641364,0.00301290,1.02727543
-5.84392196,1.92005559,0.00329948,0.17615146,0.55408021,0.43370142,0.45053362,0.37481257,0.00303681,1.02265190
-5.83791896,1.92054958,0.00329370,0.17842215,0.55137692,0.43460784,0.45704130,0.37372244,0.00306911,1.01848804
-5.83191596,1.92196324,0.00327556,0.18073617,0.54905846,0.43570806,0.46328617,0.37305236,0.00310800,1.01488321
-5.82591296,1.92446260,0.00324635,0.18305848,0.54715660,0.43713400,0.46935252,0.37275009,0.00315205,1.01198829
-5.81990995,1.92833996,0.00320748,0.18537992,0.54572868,0.43903605,0.47536871,0.37280406,0.00320020,1.00999622
-5.81390695,1.93400017,0.00316047,0.18771871,0.54485272,0.44157679,0.48150614,0.37324401,0.00325183,1.00913029
-5.80790395,1.94194178,0.00310687,0.19012095,0.54462141,0.44492388,0.48797662,0.37413981,0.00330676,1.00963083
-5.80190095,1.95273397,0.00304814,0.19266001,0.54513553,0.44924257,0.49502789,0.37559875,0.00336528,1.01174084
-5.79589795,1.96698991,0.00298565,0.19543466,0.54649690,0.45468781,0.50293737,0.37776124,0.00342814,1.01569120
-5.78989495,1.98533760,0.00292064,0.19856606,0.54880127,0.46139658,0.51200422,0.38079496,0.00349654,1.02168617
-5.78389195,2.00838902,0.00285411,0.20219358,0.55213152,0.46948041,0.52253971,0.38488784,0.00357212,1.02988967
-5.77788894,2.03670876,0.00278689,0.20646963,0.55655133,0.47901864,0.53485620,0.39023974,0.00365688,1.04041297
-5.77188594,2.07078319,0.00271957,0.21155351,0.56209957,0.49005246,0.54925492,0.39705343,0.00375319,1.05330428
-5.76588294,2.11099110,0.00265255,0.21760456,0.56878581,0.50258012,0.56601291,0.40552487,0.00386367,1.06854068
-5.75987994,2.15757697,0.00258602,0.22477488,0.57658681,0.51655345,0.58536958,0.41583325,0.00399113,1.08602261
-5.75387694,2.21062784,0.00252002,0.23320170,0.58544433,0.53187588,0.60751324,0.42813110,0.00413853,1.10557139
-5.74787394,2.27005453,0.00245445,0.24299989,0.59526429,0.54840201,0.63256828,0.44253476,0.00430882,1.12692960
-5.74187094,2.33557825,0.00238915,0.25425477,0.60591720,0.56593898,0.66058341,0.45911565,0.00450489,1.14976458
