energy_ev,total_up,Nb_p_up,Nb_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,0.42032193,0.26394326,0.12156947,0.08478059,0.00096282,0.00076918,0.23400356
-5.99399700,0.40640621,0.24446010,0.11196043,0.08725337,0.00093498,0.00070076,0.22448277
-5.98799400,0.39502803,0.22738840,0.10350599,0.08985161,0.00091259,0.00064018,0.21649735
-5.98199100,0.38585389,0.21256694,0.09613350,0.09248858,0.00089487,0.00058701,0.20986624
-5.97598799,0.37850437,0.19979562,0.08975157,0.09507425,0.00088090,0.00054068,0.20438037
-5.96998499,0.37257252,0.18884763,0.08425556,0.09751881,0.00086974,0.00050053,0.19981286
-5.96398199,0.36764207,0.17948142,0.07953308,0.09973638,0.00086038,0.00046584,0.19592906
-5.95797899,0.36330475,0.17145191,0.07546914,0.10164852,0.00085187,0.00043587,0.19249610
-5.95197599,0.35917627,0.16452086,0.07195081,0.10318757,0.00084329,0.00040988,0.18929167
-5.94597299,0.35491033,0.15846587,0.06887128,0.10429958,0.00083379,0.00038714,0.18611164
-5.93996998,0.35021027,0.15308789,0.06613334,0.10494682,0.00082266,0.00036700,0.18277644
-5.93396698,0.34483812,0.14821723,0.06365195,0.10510964,0.00080930,0.00034884,0.17913601
-5.92796398,0.33862082,0.14371774,0.06135621,0.10478772,0.00079324,0.00033214,0.17507323
-5.92196098,0.33145357,0.13948949,0.05919047,0.10400062,0.00077419,0.00031647,0.17050587
-5.91595798,0.32330049,0.13546972,0.05711483,0.10278755,0.00075199,0.00030145,0.16538705
-5.90995498,0.31419249,0.13163233,0.05510485,0.10120652,0.00072663,0.00028682,0.15970438
-5.90395198,0.30422289,0.12798605,0.05315080,0.09933266,0.00069822,0.00027240,0.15347799
-5.89794897,0.29354094,0.12457139,0.05125630,0.09725603,0.00066701,0.00025808,0.14675746
-5.89194597,0.28234366,0.12145657,0.04943664,0.09507882,0.00063335,0.00024380,0.13961809
-5.88594297,0.27086647,0.11873275,0.04771672,0.09291210,0.00059766,0.00022958,0.13215658
-5.87993997,0.25937291,0.11650860,0.04612882,0.09087222,0.00056043,0.00021548,0.12448651
-5.87393697,0.24814410,0.11490452,0.04471014,0.08907697,0.00052220,0.00020160,0.11673362
-5.86793397,0.23746805,0.11404673,0.04350049,0.08764168,0.00048350,0.00018804,0.10903138
-5.86193097,0.22762953,0.11406127,0.04253982,0.08667529,0.00044488,0.00017495,0.10151673
-5.85592796,0.21890043,0.11506830,0.04186599,0.08627657,0.00040687,0.00016244,0.09432632
-5.84992496,0.21153128,0.11717663,0.04151269,0.08653063,0.00036997,0.00015064,0.08759330
-5.84392196,0.20574384,0.12047882,0.04150759,0.08750575,0.00033463,0.00013967,0.08144460
-5.83791896,0.20172495,0.12504678,0.04187074,0.08925072,0.00030124,0.00012963,0.07599887
-5.83191596,0.19962190,0.13092818,0.04261338,0.09179271,0.00027015,0.00012058,0.07136493
-5.82591296,0.19953907,0.13814354,0.04373697,0.09513574,0.00024163,0.00011258,0.06764063
-5.81990995,0.20153607,0.14668423,0.04523266,0.09925989,0.00021591,0.00010563,0.06491219
-5.81390695,0.20562712,0.15651132,0.04708112,0.10412118,0.00019314,0.00009974,0.06325372
-5.80790395,0.21178166,0.16755540,0.04925272,0.10965219,0.00017343,0.00009487,0.06272692
-5.80190095,0.21992607,0.17971715,0.05170806,0.11576347,0.00015682,0.00009097,0.06338083
-5.79589795,0.22994629,0.19286900,0.05439890,0.12234560,0.00014333,0.00008795,0.06525146
-5.78989495,0.24169126,0.20685740,0.05726931,0.12927198,0.00013291,0.00008572,0.06836133
