energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-6.00000000,5.17650924,0.14305251,0.21241979,0.98539378,0.88821549,0.88607497,0.00000000,0.16354576,2.38659973
-5.99399700,4.96416500,0.13266271,0.20498878,0.94577467,0.85181280,0.83165320,0.00000000,0.16064742,2.28898153
-5.98799400,4.75225067,0.12226185,0.19732437,0.90700400,0.81455859,0.77778928,0.00000000,0.15782052,2.19227026
-5.98199100,4.54309057,0.11197700,0.18951765,0.86942049,0.77693565,0.72507297,0.00000000,0.15509782,2.09749381
-5.97598799,4.33882473,0.10192418,0.18166311,0.83331718,0.73941116,0.67405210,0.00000000,0.15250222,2.00557355
-5.96998499,4.14135796,0.09220642,0.17385607,0.79893541,0.70242438,0.62522204,0.00000000,0.15004632,1.91730330
-5.96398199,3.95232295,0.08291234,0.16619026,0.76646177,0.66637630,0.57901789,0.00000000,0.14773242,1.83333555
-5.95797899,3.77305786,0.07411538,0.15875573,0.73602785,0.63162163,0.53580930,0.00000000,0.14555313,1.75417475
-5.95197599,3.60459822,0.06587362,0.15163711,0.70771257,0.59846330,0.49589797,0.00000000,0.14349231,1.68017743
-5.94597299,3.44768186,0.05823003,0.14491223,0.68154672,0.56714945,0.45951735,0.00000000,0.14152654,1.61155859
-5.93996998,3.30276528,0.05121329,0.13865109,0.65751905,0.53787272,0.42683452,0.00000000,0.13962678,1.54840308
-5.93396698,3.17004920,0.04483890,0.13291518,0.63558350,0.51077170,0.39795358,0.00000000,0.13776029,1.49068122
-5.92796398,3.04951090,0.03911056,0.12775710,0.61566697,0.48593423,0.37292029,0.00000000,0.13589266,1.43826705
-5.92196098,2.94094078,0.03402175,0.12322041,0.59767696,0.46340203,0.35172745,0.00000000,0.13398981,1.39095820
-5.91595798,2.84398055,0.02955742,0.11933965,0.58150890,0.44317641,0.33432067,0.00000000,0.13201994,1.34849593
-5.90995498,2.75816087,0.02569563,0.11614054,0.56705242,0.42522458,0.32060416,0.00000000,0.12995523,1.31058447
-5.90395198,2.68293642,0.02240917,0.11364017,0.55419663,0.40948611,0.31044625,0.00000000,0.12777338,1.27690848
-5.89794897,2.61771675,0.01966699,0.11184733,0.54283399,0.39587933,0.30368447,0.00000000,0.12545872,1.24714815
-5.89194597,2.56189195,0.01743553,0.11076278,0.53286290,0.38430719,0.30013002,0.00000000,0.12300306,1.22099131
-5.88594297,2.51485240,0.01567978,0.11037953,0.52418908,0.37466253,0.29957173,0.00000000,0.12040608,1.19814233
-5.87993997,2.47600264,0.01436413,0.11068313,0.51672573,0.36683253,0.30177945,0.00000000,0.11767535,1.17832784
-5.87393697,2.44476951,0.01345302,0.11165200,0.51039301,0.36070220,0.30650692,0.00000000,0.11482597,1.16129948
-5.86793397,2.42060535,0.01291137,0.11325776,0.50511683,0.35615715,0.31349454,0.00000000,0.11187983,1.14683398
-5.86193097,2.40298739,0.01270476,0.11546573,0.50082752,0.35308536,0.32247190,0.00000000,0.10886466,1.13473120
-5.85592796,2.39141423,0.01279957,0.11823546,0.49745854,0.35137846,0.33316055,0.00000000,0.10581264,1.12481062
-5.84992496,2.38540117,0.01316284,0.12152155,0.49494560,0.35093233,0.34527689,0.00000000,0.10275905,1.11690706
-5.84392196,2.38447519,0.01376219,0.12527461,0.49322640,0.35164747,0.35853565,0.00000000,0.09974064,1.11086622
