energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,3.51119067,0.36377278,0.00000000,0.01359872,0.60116263,0.08975536,1.44688832,1.01537306,0.88917023
-5.99399700,3.61787219,0.36023395,0.00000000,0.01395658,0.63607740,0.09142462,1.47316037,1.04665246,0.93423129
-5.98799400,3.72850698,0.35757498,0.00000000,0.01433619,0.67240752,0.09290341,1.50060810,1.07861626,0.98228879
-5.98199100,3.84113660,0.35564649,0.00000000,0.01472892,0.70978286,0.09413630,1.52849360,1.11073720,1.03287291
-5.97598799,3.95379910,0.35428635,0.00000000,0.01512551,0.74781508,0.09507352,1.55609395,1.14248668,1.08548755
-5.96998499,4.06457324,0.35332340,0.00000000,0.01551633,0.78610620,0.09567220,1.58271816,1.17334614,1.13962106
-5.96398199,4.17162153,0.35258155,0.00000000,0.01589154,0.82425751,0.09589745,1.60772287,1.20281848,1.19475731
-5.95797899,4.27323072,0.35188423,0.00000000,0.01624134,0.86187863,0.09572313,1.63052634,1.23043925,1.25038652
-5.95197599,4.36784863,0.35105889,0.00000000,0.01655618,0.89859632,0.09513233,1.65062059,1.25578709,1.30601555
-5.94597299,4.45411606,0.34994171,0.00000000,0.01682701,0.93406265,0.09411767,1.66758109,1.27849326,1.36117714
-5.93996998,4.53089279,0.34838205,0.00000000,0.01704553,0.96796223,0.09268119,1.68107390,1.29824975,1.41543763
-5.93396698,4.59727664,0.34624677,0.00000000,0.01720437,1.00001809,0.09083409,1.69086010,1.31481559,1.46840287
-5.92796398,4.65261494,0.34342405,0.00000000,0.01729733,1.02999592,0.08859615,1.69679721,1.32802119,1.51972182
-5.92196098,4.69650770,0.33982669,0.00000000,0.01731955,1.05770649,0.08599497,1.69883777,1.33777034,1.56908787
-5.91595798,4.72880259,0.33539464,0.00000000,0.01726763,1.08300607,0.08306504,1.69702495,1.34403979,1.61623751
