energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down
-6.00000000,0.64183654,-0.33755789,0.16747698,-0.07642781,0.12250598,-0.05616618,0.01134533,-0.00618414,0.14896792,-0.08810431,0.20928795,-0.10201691,0.00000000,-0.00000000
-5.99399700,0.69289575,-0.35567198,0.18423320,-0.08449027,0.13379962,-0.06087176,0.01220022,-0.00650261,0.15812936,-0.08980581,0.22859678,-0.11047550,0.00000000,-0.00000000
-5.98799400,0.74852524,-0.37937899,0.20215693,-0.09396268,0.14592016,-0.06655924,0.01312259,-0.00691868,0.16837145,-0.09285829,0.24940369,-0.12073993,0.00000000,-0.00000000
-5.98199100,0.80817563,-0.40880235,0.22111676,-0.10488931,0.15876439,-0.07325368,0.01410107,-0.00743349,0.17955728,-0.09728170,0.27154189,-0.13286164,0.00000000,-0.00000000
-5.97598799,0.87119523,-0.44397294,0.24095418,-0.11729370,0.17220963,-0.08096451,0.01512258,-0.00804634,0.19152651,-0.10307171,0.29481072,-0.14686448,0.00000000,-0.00000000
-5.96998499,0.93684160,-0.48482469,0.26148551,-0.13117639,0.18611562,-0.08968429,0.01617261,-0.00875464,0.20409885,-0.11019948,0.31897849,-0.16274243,0.00000000,-0.00000000
-5.96398199,1.00429522,-0.53119134,0.28250446,-0.14651303,0.20032683,-0.09938778,0.01723556,-0.00955387,0.21707803,-0.11861170,0.34378609,-0.18045775,0.00000000,-0.00000000
-5.95797899,1.07267504,-0.58280473,0.30378528,-0.16325286,0.21467522,-0.11003114,0.01829510,-0.01043756,0.23025607,-0.12823105,0.36895118,-0.19993951,0.00000000,-0.00000000
-5.95197599,1.14105537,-0.63929470,0.32508644,-0.18131751,0.22898326,-0.12155155,0.01933451,-0.01139738,0.24341782,-0.13895698,0.39417303,-0.22108269,0.00000000,-0.00000000
-5.94597299,1.20848388,-0.70019086,0.34615466,-0.20060051,0.24306728,-0.13386726,0.02033713,-0.01242317,0.25634557,-0.15066686,0.41913777,-0.24374794,0.00000000,-0.00000000
