energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,4.15480387,0.72047502,2.26473205,0.08457688,0.16111200,0.79677574,0.47647589,0.58345856,0.00000000
-5.99399700,4.33994060,0.74471715,2.38124560,0.08624656,0.16903615,0.83112925,0.49155379,0.60126769,0.00000000
-5.98799400,4.52908326,0.76956877,2.49916686,0.08797994,0.17689530,0.86610097,0.50725622,0.62039794,0.00000000
-5.98199100,4.71941643,0.79461158,2.61642717,0.08975663,0.18457833,0.90134986,0.52338672,0.64073299,0.00000000
-5.97598799,4.90800581,0.81938914,2.73096677,0.09155102,0.19196860,0.93649015,0.53971678,0.66210314,0.00000000
-5.96998499,5.09187860,0.84342038,2.84079098,0.09333307,0.19894748,0.97110268,0.55599204,0.68428984,0.00000000
-5.96398199,5.26810651,0.86621459,2.94402446,0.09506948,0.20539815,1.00474833,0.57193963,0.70703218,0.00000000
-5.95797899,5.43388813,0.88728709,3.03896106,0.09672496,0.21120937,1.03698255,0.58727649,0.73003522,0.00000000
-5.95197599,5.58662688,0.90617513,3.12410742,0.09826365,0.21627933,1.06737049,0.60171809,0.75297953,0.00000000
-5.94597299,5.72400130,0.92245306,3.19821831,0.09965067,0.22051910,1.09550196,0.61498736,0.77553170,0.00000000
-5.93996998,5.84402454,0.93574632,3.26032239,0.10085359,0.22385570,1.12100533,0.62682329,0.79735521,0.00000000
-5.93396698,5.94509074,0.94574343,3.30973734,0.10184392,0.22623462,1.14355990,0.63698895,0.81812127,0.00000000
-5.92796398,6.02600646,0.95220554,3.34607409,0.10259844,0.22762155,1.16290613,0.64527840,0.83751905,0.00000000
-5.92196098,6.08600631,0.95497316,3.36923010,0.10310033,0.22800346,1.17885305,0.65152253,0.85526507,0.00000000
-5.91595798,6.12475268,0.95396969,3.37937262,0.10334014,0.22738872,1.19128300,0.65559330,0.87111114,0.00000000
-5.90995498,6.14232034,0.94920178,3.37691302,0.10331649,0.22580650,1.20015307,0.65740648,0.88485086,0.00000000
-5.90395198,6.13916747,0.94075650,3.36247393,0.10303645,0.22330532,1.20549365,0.65692267,0.89632429,0.00000000
-5.89794897,6.11609525,0.92879554,3.33685124,0.10251564,0.21995100,1.20740416,0.65414687,0.90542073,0.00000000
-5.89194597,6.07419883,0.91354688,3.30097306,0.10177808,0.21582389,1.20604616,0.64912641,0.91207977,0.00000000
-5.88594297,6.01481250,0.89529430,3.25585808,0.10085571,0.21101575,1.20163459,0.64194767,0.91629044,0.00000000
-5.87993997,5.93945233,0.87436544,3.20257534,0.09978754,0.20562638,1.19442732,0.63273166,0.91808884,0.00000000
-5.87393697,5.84975916,0.85111884,3.14220750,0.09861869,0.19976001,1.18471389,0.62162876,0.91755438,0.00000000
-5.86793397,5.74744479,0.82593083,3.07581921,0.09739905,0.19352186,1.17280391,0.60881295,0.91480490,0.00000000
-5.86193097,5.63424364,0.79918272,3.00443179,0.09618178,0.18701483,1.15901565,0.59447570,0.90999096,0.00000000
-5.85592796,5.51187165,0.77124897,2.92900497,0.09502165,0.18033657,1.14366548,0.57881993,0.90328968,0.00000000
-5.84992496,5.38199370,0.74248672,2.85042597,0.09397322,0.17357701,1.12705850,0.56205412,0.89489831,0.00000000
-5.84392196,5.24619989,0.71322720,2.76950555,0.09308894,0.16681636,1.10948070,0.54438693,0.88502794,0.00000000
-5.83791896,5.10599089,0.68376919,2.68698057,0.09241724,0.16012381,1.09119305,0.52602247,0.87389745,0.00000000
-5.83191596,4.96277140,0.65437470,2.60352183,0.09200063,0.15355672,1.07242733,0.50715620,0.86172804,0.00000000
-5.82591296,4.81785089,0.62526687,2.51974595,0.09187398,0.14716046,1.05338401,0.48797176,0.84873841,0.00000000
-5.81990995,4.67244997,0.59662995,2.43622983,0.09206281,0.14096875,1.03423189,0.46863854,0.83514070,0.00000000
-5.81390695,4.52771078,0.56861122,2.35352615,0.09258200,0.13500453,1.01510935,0.44931009,0.82113724,0.00000000
-5.80790395,4.38470962,0.54132438,2.27217834,0.09343463,0.12928113,0.99612690,0.43012334,0.80691813,0.00000000
-5.80190095,4.24446996,0.51485421,2.19273371,0.09461131,0.12380377,0.97737078,0.41119837,0.79265960,0.00000000
-5.79589795,4.10797433,0.48926197,2.11575356,0.09608986,0.11857121,0.95890720,0.39263881,0.77852305,0.00000000
-5.78989495,3.97617357,0.46459114,2.04181942,0.09783543,0.11357745,0.94078689,0.37453272,0.76465464,0.00000000
-5.78389195,3.84999236,0.44087308,1.97153462,0.09980109,0.10881341,0.92304954,0.35695361,0.75118542,0.00000000
