energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-6.00000000,9.69862996,1.96829887,6.48292377,0.06187839,0.16096243,1.42422841,0.00000000,0.09581459,2.22640416
-5.99399700,9.74177228,1.96582592,6.50268409,0.06394039,0.15552598,1.44900988,0.00000000,0.09815931,2.24119402
-5.98799400,9.77919719,1.95924708,6.52344271,0.06587072,0.15033807,1.46947095,0.00000000,0.10019076,2.25226273
-5.98199100,9.81273306,1.94899694,6.54686409,0.06766772,0.14542924,1.48553985,0.00000000,0.10189603,2.25991502
-5.97598799,9.84439796,1.93562087,6.57462396,0.06933349,0.14083249,1.49723802,0.00000000,0.10326949,2.26456447
-5.96998499,9.87632573,1.91975289,6.60834919,0.07087358,0.13658160,1.50467647,0.00000000,0.10431285,2.26672039
-5.96398199,9.91068449,1.90209005,6.64955651,0.07229655,0.13270940,1.50804897,0.00000000,0.10503504,2.26697025
-5.95797899,9.94958969,1.88336413,6.69959178,0.07361328,0.12924587,1.50762233,0.00000000,0.10545179,2.26595835
-5.95197599,9.99501464,1.86431189,6.75957154,0.07483625,0.12621628,1.50372416,0.00000000,0.10558507,2.26436114
-5.94597299,10.04870149,1.84564506,6.83032894,0.07597858,0.12363934,1.49672839,0.00000000,0.10546218,2.26286033
-5.93996998,10.11207609,1.82802146,6.91236584,0.07705318,0.12152561,1.48703936,0.00000000,0.10511481,2.26211486
-5.93396698,10.18617027,1.81201844,7.00581301,0.07807175,0.11987613,1.47507512,0.00000000,0.10457783,2.26273279
-5.92796398,10.27155496,1.79810976,7.11040019,0.07904393,0.11868134,1.46125060,0.00000000,0.10388813,2.26524460
-5.92196098,10.36828742,1.78664720,7.22543753,0.07997648,0.11792049,1.44596165,0.00000000,0.10308329,2.27007900
-5.91595798,10.47587556,1.77784740,7.34980974,0.08087267,0.11756149,1.42957051,0.00000000,0.10220040,2.27754256
-5.90995498,10.59326165,1.77178483,7.48198379,0.08173180,0.11756122,1.41239357,0.00000000,0.10127488,2.28780420
-5.90395198,10.71882699,1.76839086,7.62003076,0.08254904,0.11786638,1.39469188,0.00000000,0.10033948,2.30088525
-5.89794897,10.85041851,1.76745926,7.76166169,0.08331537,0.11841481,1.37666498,0.00000000,0.09942339,2.31665586
-5.89194597,10.98539703,1.76865757,7.90427705,0.08401788,0.11913729,1.35844817,0.00000000,0.09855161,2.33483781
-5.88594297,11.12070615,1.77154383,8.04502866,0.08464021,0.11995966,1.34011342,0.00000000,0.09774452,2.35501379
-5.87993997,11.25295966,1.77558787,8.18089245,0.08516331,0.12080531,1.32167369,0.00000000,0.09701761,2.37664269
-5.87393697,11.37854461,1.78019607,8.30874996,0.08556619,0.12159782,1.30309041,0.00000000,0.09638157,2.39908032
-5.86793397,11.49373620,1.78473835,8.42547596,0.08582699,0.12226372,1.28428352,0.00000000,0.09584241,2.42160449
-5.86193097,11.59482021,1.78857624,8.52802936,0.08592393,0.12273522,1.26514358,0.00000000,0.09540194,2.44344337
-5.85592796,11.67821823,1.79109058,8.61354418,0.08583639,0.12295276,1.24554511,0.00000000,0.09505829,2.46380583
-5.84992496,11.74061076,1.79170780,8.67941745,0.08554589,0.12286734,1.22536043,0.00000000,0.09480656,2.48191243
-5.84392196,11.77905327,1.78992354,8.72339070,0.08503696,0.12244251,1.20447316,0.00000000,0.09463962,2.49702554
-5.83791896,11.79108083,1.78532277,8.74362225,0.08429791,0.12165580,1.18279073,0.00000000,0.09454884,2.50847761
-5.83191596,11.77479708,1.77759559,8.73874744,0.08332134,0.12049981,1.16025520,0.00000000,0.09452496,2.51569613
-5.82591296,11.72894430,1.76654841,8.70792474,0.08210456,0.11898258,1.13685182,0.00000000,0.09455883,2.51822452
-5.81990995,11.65295216,1.75211014,8.65086603,0.08064971,0.11712750,1.11261504,0.00000000,0.09464210,2.51573821
-5.81390695,11.54696332,1.73433337,8.56784983,0.07896372,0.11497264,1.08763165,0.00000000,0.09476792,2.50805536
