energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,2.19593856,0.62534911,0.39393537,0.01430514,0.28737301,1.04383949,0.51921408,0.96468967,0.00000000
-5.99399700,2.16190997,0.62151767,0.38754700,0.01380360,0.28310127,1.03452107,0.50587108,0.95568534,0.00000000
-5.98799400,2.12911422,0.61829541,0.38068695,0.01326684,0.27882106,1.02736805,0.49338323,0.94730378,0.00000000
-5.98199100,2.09739118,0.61566658,0.37338689,0.01270665,0.27449972,1.02227164,0.48166686,0.93948143,0.00000000
-5.97598799,2.06658920,0.61361297,0.36568808,0.01213511,0.27011159,1.01909553,0.47063532,0.93215750,0.00000000
-5.96998499,2.03658922,0.61211820,0.35764232,0.01156409,0.26564196,1.01768325,0.46020995,0.92528192,0.00000000
-5.96398199,2.00732546,0.61117134,0.34931229,0.01100497,0.26109031,1.01786436,0.45033009,0.91882205,0.00000000
-5.95797899,1.97880178,0.61076956,0.34077147,0.01046821,0.25647268,1.01945924,0.44096159,0.91276768,0.00000000
-5.95197599,1.95110296,0.61091970,0.33210354,0.00996310,0.25182308,1.02228255,0.43210372,0.90713440,0.00000000
-5.94597299,1.92440051,0.61163892,0.32340122,0.00949743,0.24719387,1.02614546,0.42379384,0.90196498,0.00000000
-5.93996998,1.89895307,0.61295431,0.31476467,0.00907736,0.24265513,1.03085683,0.41610986,0.89732904,0.00000000
-5.93396698,1.87510140,0.61490158,0.30629955,0.00870722,0.23829311,1.03622382,0.40917042,0.89332095,0.00000000
-5.92796398,1.85325869,0.61752313,0.29811468,0.00838948,0.23420780,1.04205202,0.40313269,0.89005628,0.00000000
-5.92196098,1.83389667,0.62086547,0.29031953,0.00812474,0.23050983,1.04814573,0.39818806,0.88766703,0.00000000
-5.91595798,1.81752829,0.62497628,0.28302157,0.00791179,0.22731681,1.05430840,0.39455579,0.88629582,0.00000000
-5.90995498,1.80468803,0.62990126,0.27632363,0.00774778,0.22474928,1.06034373,0.39247505,0.88608952,0.00000000
-5.90395198,1.79591042,0.63568090,0.27032124,0.00762839,0.22292654,1.06605742,0.39219548,0.88719239,0.00000000
-5.89794897,1.79170794,0.64234726,0.26510025,0.00754805,0.22196232,1.07125955,0.39396679,0.88973913,0.00000000
-5.89194597,1.79254884,0.64992092,0.26073460,0.00750024,0.22196067,1.07576781,0.39802768,0.89384801,0.00000000
-5.88594297,1.79883579,0.65840813,0.25728436,0.00747778,0.22301206,1.07941102,0.40459451,0.89961431,0.00000000
-5.87993997,1.81088588,0.66779818,0.25479422,0.00747313,0.22518982,1.08203309,0.41385009,0.90710412,0.00000000
-5.87393697,1.82891266,0.67806108,0.25329223,0.00747870,0.22854712,1.08349683,0.42593303,0.91634890,0.00000000
-5.86793397,1.85301067,0.68914554,0.25278902,0.00748712,0.23311436,1.08368753,0.44092806,0.92734061,0.00000000
-5.86193097,1.88314294,0.70097740,0.25327744,0.00749156,0.23889726,1.08251586,0.45885755,0.94002787,0.00000000
-5.85592796,1.91913189,0.71345837,0.25473264,0.00748589,0.24587551,1.07992005,0.47967480,0.95431306,0.00000000
-5.84992496,1.96065415,0.72646549,0.25711263,0.00746491,0.25400212,1.07586701,0.50325932,0.97005071,0.00000000
-5.84392196,2.00723955,0.73985112,0.26035927,0.00742451,0.26320348,1.07035238,0.52941432,0.98704725,0.00000000
-5.83791896,2.05827470,0.75344382,0.26439984,0.00736172,0.27338014,1.06339971,0.55786688,1.00506234,0.00000000
-5.83191596,2.11301160,0.76705014,0.26914897,0.00727475,0.28440827,1.05505865,0.58827066,1.02381196,0.00000000
-5.82591296,2.17058128,0.78045761,0.27451125,0.00716302,0.29614195,1.04540259,0.62021161,1.04297345,0.00000000
-5.81990995,2.23001267,0.79343885,0.28038412,0.00702705,0.30841612,1.03452595,0.65321632,1.06219252,0.00000000
-5.81390695,2.29025665,0.80575704,0.28666137,0.00686842,0.32105029,1.02254142,0.68676316,1.08109234,0.00000000
-5.80790395,2.35021486,0.81717268,0.29323697,0.00668955,0.33385282,1.00957759,0.72029588,1.09928458,0.00000000
-5.80190095,2.40877285,0.82745163,0.30000917,0.00649366,0.34662590,0.99577709,0.75323928,1.11638224,0.00000000
-5.79589795,2.46483653,0.83637410,0.30688491,0.00628447,0.35917091,0.98129559,0.78501660,1.13201393,0.00000000
-5.78989495,2.51737115,0.84374455,0.31378423,0.00606612,0.37129416,0.96630174,0.81506788,1.14583923,0.00000000
-5.78389195,2.56544103,0.84940193,0.32064457,0.00584293,0.38281288,0.95097802,0.84286880,1.15756441,0.00000000
-5.77788894,2.60824895,0.85322999,0.32742488,0.00561929,0.39356106,0.93552246,0.86794911,1.16695799,0.00000000
-5.77188594,2.64517302,0.85516697,0.33410908,0.00539944,0.40339527,0.92015089,0.88991000,1.17386532,0.00000000
-5.76588294,2.67579963,0.85521426,0.34070896,0.00518740,0.41219987,0.90509955,0.90843951,1.17822139,0.00000000
-5.75987994,2.69995055,0.85344342,0.34726609,0.00498684,0.41989173,0.89062742,0.92332541,1.18006113,0.00000000
-5.75387694,2.71770246,0.85000105,0.35385262,0.00480102,0.42642395,0.87701807,0.93446480,1.17952644,0.00000000
-5.74787394,2.72939780,0.84511099,0.36057087,0.00463273,0.43178858,0.86458027,0.94186994,1.17686937,0.00000000
-5.74187094,2.73564555,0.83907365,0.36755142,0.00448431,0.43601817,0.85364727,0.94566997,1.17245097,0.00000000
-5.73586793,2.73731146,0.83226195,0.37494990,0.00435757,0.43918582,0.84457401,0.94610829,1.16673548,0.00000000
-5.72986493,2.73549746,0.82511415,0.38294220,0.00425390,0.44140396,0.83773230,0.94353558,1.16027989,0.00000000
-5.72386193,2.73151052,0.81812325,0.39171840,0.00417424,0.44282158,0.83350369,0.93839876,1.15371888,0.00000000
-5.71785893,2.72682179,0.81182355,0.40147540,0.00411914,0.44362011,0.83227008,0.93122612,1.14774566,0.00000000
-5.71185593,2.72301721,0.80677444,0.41240857,0.00408880,0.44400796,0.83440233,0.92260930,1.14308915,0.00000000
-5.70585293,2.72174141,0.80354219,0.42470266,0.00408310,0.44421396,0.84024706,0.91318268,1.14048849,0.00000000
-5.69984992,2.72463682,0.80268031,0.43852235,0.00410164,0.44447979,0.85011231,0.90360117,1.14066560,0.00000000
-5.69384692,2.73328045,0.80470911,0.45400271,0.00414375,0.44505181,0.86425258,0.89451708,1.14429701,0.00000000
-5.68784392,2.74912086,0.81009547,0.47124015,0.00420852,0.44617241,0.88285388,0.88655714,1.15198603,0.00000000
-5.68184092,2.77341765,0.81923341,0.49028413,0.00429478,0.44807133,0.90601972,0.88030045,1.16423643,0.00000000
-5.67583792,2.80718627,0.83242646,0.51113013,0.00440110,0.45095717,0.93375864,0.87625830,1.18142867,0.00000000
-5.66983492,2.85115019,0.84987237,0.53371423,0.00452580,0.45500946,0.96597408,0.87485650,1.20379979,0.00000000
-5.66383192,2.90570259,0.87165101,0.55790958,0.00466690,0.46037159,1.00245716,0.87642103,1.23142780,0.00000000
-5.65782891,2.97087916,0.89771583,0.58352506,0.00482212,0.46714474,1.04288307,0.88116725,1.26422124,0.00000000
