energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Li_s_up,Li_s_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,8.79695805,-3.63013855,0.08081752,-0.04506820,1.62616204,-0.84910396,0.47885598,-0.23374095,3.90831919,-2.31613417,2.59599042,-0.54290400,3.07262235,-1.27554071,0.00000000,-0.00000000
-5.99399700,8.66516272,-3.81411107,0.07956068,-0.04447695,1.57869446,-0.88996645,0.47356579,-0.23734999,3.82377578,-2.41662436,2.55540902,-0.57170737,3.06500065,-1.34388309,0.00000000,-0.00000000
-5.98799400,8.52694015,-4.01293076,0.07801659,-0.04418463,1.52974753,-0.93329858,0.46785166,-0.24214594,3.74096462,-2.51856490,2.50996327,-0.60474572,3.05614491,-1.41825943,0.00000000,-0.00000000
-5.98199100,8.38430610,-4.22638515,0.07620467,-0.04419945,1.48000901,-0.97901964,0.46178206,-0.24820426,3.66120855,-2.62176555,2.46023768,-0.64202413,3.04625588,-1.49863893,0.00000000,-0.00000000
-5.97598799,8.23880299,-4.45392738,0.07414645,-0.04452103,1.43009392,-1.02697896,0.45539646,-0.25556689,3.58548971,-2.72595043,2.40677357,-0.68346089,3.03532829,-1.58487633,0.00000000,-0.00000000
-5.96998499,8.09148147,-4.69465435,0.07186516,-0.04514059,1.38053299,-1.07695123,0.44870514,-0.26423924,3.51442829,-2.83074914,2.35006379,-0.72888319,3.02315645,-1.67670374,0.00000000,-0.00000000
-5.96398199,7.94290887,-4.94729640,0.06938537,-0.04604148,1.33176522,-1.12863447,0.44169091,-0.27418833,3.44827747,-2.93569269,2.29055142,-0.77802543,3.00935136,-1.77372627,0.00000000,-0.00000000
-5.95797899,7.79320341,-5.21021954,0.06673265,-0.04719984,1.28413449,-1.18165100,0.43431240,-0.28534198,3.38693466,-3.04021468,2.22863229,-0.83052993,2.99336843,-1.87542149,0.00000000,-0.00000000
-5.95197599,7.64209156,-5.48144030,0.06393321,-0.04858552,1.23789033,-1.23555140,0.42650884,-0.29758929,3.32996828,-3.14365800,2.16466082,-0.88595034,2.97454445,-1.98114289,0.00000000,-0.00000000
-5.94597299,7.48898486,-5.75865318,0.06101354,-0.05016314,1.19319252,-1.28982146,0.41820598,-0.31078228,3.27665866,-3.24528673,2.09895853,-0.94375765,2.95214168,-2.09012721,0.00000000,-0.00000000
-5.93996998,7.33307152,-6.03926957,0.05800016,-0.05189325,1.15011900,-1.34389199,0.40932282,-0.32473883,3.22605085,-3.34430284,2.03182425,-1.00334855,2.92539671,-2.20150544,0.00000000,-0.00000000
-5.93396698,7.17341709,-6.32046702,0.05491930,-0.05373357,1.10867664,-1.39715103,0.39977876,-0.33924676,3.17701668,-3.43986673,1.96354525,-1.06405612,2.89357150,-2.31431686,0.00000000,-0.00000000
-5.92796398,7.00906846,-6.59924686,0.05179660,-0.05564027,1.06881414,-1.44895805,0.38950061,-0.35406897,3.12832280,-3.53112055,1.89440834,-1.12516243,2.85600357,-2.42752589,0.00000000,-0.00000000
-5.92196098,6.83915521,-6.87249800,0.04865688,-0.05756910,1.03043613,-1.49865954,0.37842924,-0.36894955,3.07870146,-3.61721294,1.82470990,-1.18591273,2.81215299,-2.54004086,0.00000000,-0.00000000
-5.91595798,6.66298271,-7.13706466,0.04552388,-0.05947666,0.99341792,-1.54560540,0.36652531,-0.38362061,3.02692038,-3.69732378,1.75476413,-1.24553097,2.76164328,-2.65073419,0.00000000,-0.00000000
-5.90995498,6.48011179,-7.38981542,0.04242007,-0.06132135,0.95761982,-1.58916547,0.35377393,-0.39780971,2.97184853,-3.77068757,1.68490886,-1.30323613,2.70429436,-2.75846325,0.00000000,-0.00000000
-5.90395198,6.29042108,-7.62771128,0.03936640,-0.06306437,0.92290057,-1.62874546,0.34018781,-0.41124756,2.91251458,-3.83661411,1.61550835,-1.35825896,2.64014574,-2.86209131,0.00000000,-0.00000000
-5.89794897,6.09414888,-7.84787050,0.03638216,-0.06467050,0.88912896,-1.66380179,0.32580891,-0.42367580,2.84815562,-3.89450540,1.54695282,-1.40985874,2.56946890,-2.96050792,0.00000000,-0.00000000
-5.89194597,5.89191275,-8.04762822,0.03348484,-0.06610870,0.85619342,-1.69385475,0.31070850,-0.43485453,2.77825389,-3.94386799,1.47965478,-1.45733964,2.49276825,-3.05264837,0.00000000,-0.00000000
-5.88594297,5.68470652,-8.22458935,0.03068997,-0.06735268,0.82400895,-1.71849959,0.29498559,-0.44456943,2.70256037,-3.98432027,1.41404216,-1.50006625,2.41077099,-3.13751167,0.00000000,-0.00000000
-5.87993997,5.47387532,-8.37667365,0.02801104,-0.06838119,0.79252135,-1.73741516,0.27876401,-0.45263799,2.62110444,-4.01559458,1.35054879,-1.53747797,2.32440629,-3.21417697,0.00000000,-0.00000000
-5.87393697,5.26107083,-8.50215208,0.02545947,-0.06917826,0.76170875,-1.75037013,0.26218820,-0.45891496,2.53418983,-4.03753446,1.28960272,-1.56910185,2.23477530,-3.28181810,0.00000000,-0.00000000
-5.86793397,5.04818966,-8.59967437,0.02304456,-0.06973328,0.73158047,-1.75722648,0.24541808,-0.46329642,2.44237749,-4.05008767,1.23161307,-1.59456368,2.14311338,-3.33971621,0.00000000,-0.00000000
-5.86193097,4.83729868,-8.66828763,0.02077351,-0.07004102,0.70217353,-1.75794057,0.22862326,-0.46572259,2.34645693,-4.05329566,1.17695628,-1.61359702,2.05074670,-3.38727054,0.00000000,-0.00000000
-5.85592796,4.63055168,-8.70744654,0.01865146,-0.07010154,0.67354736,-1.75256187,0.21197699,-0.46617915,2.24740792,-4.04728086,1.12596255,-1.62604988,1.95904532,-3.42400717,0.00000000,-0.00000000
-5.84992496,4.43010191,-8.71701555,0.01668157,-0.06991998,0.64577699,-1.74122957,0.19564998,-0.46469703,2.14635476,-4.03223272,1.07890322,-1.63188915,1.86937501,-3.44958607,0.00000000,-0.00000000
-5.84392196,4.23801523,-8.69726390,0.01486510,-0.06950643,0.61894544,-1.72416754,0.17980472,-0.46135065,2.04451586,-4.00839374,1.03598004,-1.63120226,1.78304991,-3.46380618,0.00000000,-0.00000000
-5.83791896,4.05618810,-8.64885413,0.01320160,-0.06887561,0.59313583,-1.70167774,0.16459019,-0.45625473,1.94315111,-3.97604669,0.99731671,-1.62419642,1.70128828,-3.46660871,0.00000000,-0.00000000
-5.83191596,3.88627442,-8.57282482,0.01168898,-0.06804661,0.56842376,-1.67413271,0.15013746,-0.44955970,1.84350975,-3.93550381,0.96295338,-1.61119506,1.62517283,-3.45807864,0.00000000,-0.00000000
-5.82591296,3.72962428,-8.47056819,0.01032372,-0.06704256,0.54487048,-1.64196713,0.13655619,-0.44144605,1.74678114,-3.88709869,0.93284439,-1.59263174,1.55561736,-3.43844411,0.00000000,-0.00000000
-5.81990995,3.58723717,-8.34380319,0.00910105,-0.06589023,0.52251724,-1.60566897,0.12393222,-0.43211767,1.65405053,-3.83118124,0.90685931,-1.56904151,1.49334070,-3.40807397,0.00000000,-0.00000000
