energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,5.74719771,0.00954545,0.91677881,0.68674453,0.31738008,1.62389808,1.53325121,0.11576782,1.88208284
-5.99399700,5.84073427,0.00955222,0.94253843,0.73263135,0.32186927,1.65123333,1.57932145,0.11256218,1.90220855
-5.98799400,5.95808346,0.00958501,0.97201310,0.78310342,0.32774332,1.68521473,1.63135842,0.10953665,1.93029350
-5.98199100,6.09585161,0.00963652,1.00441193,0.83761167,0.33486312,1.72492939,1.68811533,0.10667174,1.96558989
-5.97598799,6.25013920,0.00969904,1.03888640,0.89547403,0.34305313,1.76934897,1.74824071,0.10394388,2.00714465
-5.96998499,6.41664400,0.00976486,1.07455689,0.95588690,0.35210493,1.81735643,1.81031913,0.10132663,2.05381790
-5.96398199,6.59077391,0.00982642,1.11053927,1.01794107,0.36178169,1.86777458,1.87291262,0.09879188,2.10430706
-5.95797899,6.76776699,0.00987664,1.14597081,1.08064188,0.37182350,1.91939608,1.93460170,0.09631099,2.15717664
-5.95197599,6.94281607,0.00990912,1.18003446,1.14293338,0.38195349,1.97101424,1.99402462,0.09385586,2.21089326
-5.94597299,7.11119462,0.00991831,1.21198100,1.20372563,0.39188462,2.02145411,2.04991370,0.09140005,2.26386512
-5.93996998,7.26838070,0.00989970,1.24114814,1.26192457,0.40132693,2.06960299,2.10112768,0.08891962,2.31448505
-5.93396698,7.41017520,0.00984990,1.26697618,1.31646335,0.40999516,2.11443966,2.14667901,0.08639400,2.36117575
-5.92796398,7.53281094,0.00976677,1.28901983,1.36633403,0.41761641,2.15506125,2.18575547,0.08380664,2.40243582
-5.92196098,7.63304891,0.00964940,1.30695563,1.41061842,0.42393765,2.19070694,2.21773530,0.08114558,2.43688474
-5.91595798,7.70825831,0.00949813,1.32058521,1.44851691,0.42873279,2.22077741,2.24219569,0.07840376,2.46330523
-5.90995498,7.75647772,0.00931452,1.32983410,1.47937382,0.43180905,2.24484929,2.25891446,0.07557924,2.48068109
-5.90395198,7.77645498,0.00910123,1.33474641,1.50269838,0.43301243,2.26268374,2.26786514,0.07267520,2.48822881
-5.89794897,7.76766435,0.00886194,1.33547587,1.51818020,0.43223204,2.27422879,2.26920604,0.06969975,2.48542172
-5.89194597,7.73030055,0.00860121,1.33227353,1.52569852,0.42940297,2.27961495,2.26326399,0.06666566,2.47200518
-5.88594297,7.66525006,0.00832429,1.32547306,1.52532463,0.42450791,2.27914436,2.25051370,0.06358980,2.44800238
-5.87993997,7.57404103,0.00803698,1.31547422,1.51731743,0.41757703,2.27327358,2.23155420,0.06049257,2.41371015
-5.87393697,7.45877453,0.00774541,1.30272546,1.50211209,0.40868652,2.26259097,2.20708331,0.05739717,2.36968504
-5.86793397,7.32204020,0.00745588,1.28770663,1.48030233,0.39795555,2.24778939,2.17787186,0.05432883,2.31672016
-5.86193097,7.16682035,0.00717464,1.27091238,1.45261706,0.38554198,2.22963569,2.14473883,0.05131395,2.25581399
-5.85592796,6.99638714,0.00690774,1.25283742,1.41989246,0.37163697,2.20893842,2.10852867,0.04837928,2.18813239
-5.84992496,6.81419736,0.00666084,1.23396400,1.38304068,0.35645863,2.18651529,2.07009197,0.04555111,2.11496577
-5.84392196,6.62378959,0.00643909,1.21475228,1.34301663,0.34024515,2.16316211,2.03027009,0.04285454,2.03768321
-5.83791896,6.42868805,0.00624700,1.19563387,1.30078434,0.32324763,2.13962476,1.98988444,0.04031280,1.95768585
-5.83191596,6.23231692,0.00608832,1.17700869,1.25728445,0.30572285,2.11657547,1.94973034,0.03794674,1.87636135
-5.82591296,6.03792798,0.00596604,1.15924485,1.21340408,0.28792638,2.09459470,1.91057538,0.03577437,1.79504163
-5.81990995,5.84854372,0.00588230,1.14268143,1.16995058,0.27010628,2.07415922,1.87316152,0.03381064,1.71496547
-5.81390695,5.66691664,0.00583842,1.12763334,1.12762995,0.25249742,2.05563683,1.83821007,0.03206724,1.63724739
-5.80790395,5.49550466,0.00583491,1.11439770,1.08703091,0.23531691,2.03928763,1.80642842,0.03055270,1.56285388
-5.80190095,5.33646133,0.00587158,1.10326075,1.04861489,0.21876044,2.02527133,1.77851691,0.02927243,1.49258752
-5.79589795,5.19163864,0.00594756,1.09450442,1.01271219,0.20299968,2.01365960,1.75517461,0.02822900,1.42707904
-5.78989495,5.06259948,0.00606145,1.08841158,0.97952402,0.18818085,2.00445241,1.73710248,0.02742246,1.36678715
-5.78389195,4.95063635,0.00621143,1.08526912,0.94913001,0.17442410,1.99759658,1.72500247,0.02685071,1.31200531
-5.77788894,4.85679268,0.00639534,1.08536805,0.92150027,0.16182393,1.99300511,1.71957169,0.02650988,1.26287439
-5.77188594,4.78188301,0.00661087,1.08900027,0.89651127,0.15045014,1.99057558,1.72149086,0.02639472,1.21939999
-5.76588294,4.72650914,0.00685564,1.09645141,0.87396417,0.14034946,1.99020591,1.73140671,0.02649894,1.18147282
-5.75987994,4.69106933,0.00712728,1.10799008,0.85360461,0.13154739,1.99180640,1.74990857,0.02681550,1.14889075
-5.75387694,4.67575907,0.00742353,1.12385359,0.83514269,0.12405036,1.99530684,1.77749987,0.02733676,1.12138097
-5.74787394,4.68056268,0.00774230,1.14423088,0.81827214,0.11784771,2.00065818,1.81456568,0.02805459,1.09862083
-5.74187094,4.70523598,0.00808165,1.16924346,0.80268758,0.11291377,2.00782862,1.86133801,0.02896032,1.08025652
-5.73586793,4.74928167,0.00843980,1.19892563,0.78809925,0.10920953,2.01679456,1.91786085,0.03004459,1.06591831
-5.72986493,4.81191983,0.00881511,1.23320519,0.77424461,0.10668414,2.02752706,1.98395727,0.03129711,1.05523230
-5.72386193,4.89205682,0.00920595,1.27188614,0.76089648,0.10527613,2.03997524,2.05920092,0.03270637,1.04782808
-5.71785893,4.98825642,0.00961068,1.31463467,0.74786776,0.10491429,2.05404807,2.14289446,0.03425921,1.04334281
-5.71185593,5.09871757,0.01002747,1.36097008,0.73501288,0.10551844,2.06959638,2.23405703,0.03594046,1.04142193
-5.70585293,5.22126271,0.01045423,1.41026144,0.72222634,0.10699998,2.08639700,2.33142270,0.03773258,1.04171727
-5.69984992,5.35334057,0.01088851,1.46173126,0.70943904,0.10926249,2.10414075,2.43345132,0.03961531,1.04388360
-5.69384692,5.49204661,0.01132737,1.51446651,0.69661290,0.11220236,2.12242608,2.53835257,0.04156552,1.04757432
-5.68784392,5.63416320,0.01176733,1.56743731,0.68373466,0.11570963,2.14075953,2.64412334,0.04355709,1.05243763
-5.68184092,5.77622056,0.01220431,1.61952296,0.67080956,0.11966909,2.15856400,2.74859785,0.04556105,1.05811386
-5.67583792,5.91457810,0.01263369,1.66954479,0.65785543,0.12396176,2.17519519,2.84950916,0.04754581,1.06423492
-5.66983492,6.04552445,0.01305027,1.71630452,0.64489803,0.12846666,2.18996609,2.94456011,0.04947765,1.07042638
-5.66383192,6.16539308,0.01344844,1.75862688,0.63196779,0.13306306,2.20217878,3.03150084,0.05132140,1.07631261
-5.65782891,6.27068915,0.01382225,1.79540456,0.61909840,0.13763304,2.21116235,3.10820998,0.05304123,1.08152487
-5.65182591,6.35822243,0.01416564,1.82564371,0.60632721,0.14206432,2.21631522,3.17277593,0.05460164,1.08571236
-5.64582291,6.42524009,0.01447262,1.84850775,0.59369737,0.14625335,2.21714973,3.22357460,0.05596855,1.08855552
-5.63981991,6.46955317,0.01473747,1.86335748,0.58126139,0.15010841,2.21333685,3.25934010,0.05711041,1.08978089
-5.63381691,6.48965009,0.01495504,1.86978564,0.56908576,0.15355269,2.20474838,3.27922502,0.05799931,1.08917672
-5.62781391,6.48479144,0.01512091,1.86764410,0.55725605,0.15652710,2.19149429,3.28284738,0.05861213,1.08660814
-5.62181091,6.45508048,0.01523167,1.85706226,0.54588201,0.15899276,2.17395296,3.27032192,0.05893142,1.08203087
-5.61580790,6.40150522,0.01528504,1.83845571,0.53510186,0.16093296,2.15279221,3.24227405,0.05894627,1.07550250
-5.60980490,6.32594886,0.01528004,1.81252459,0.52508551,0.16235448,2.12897962,3.19983560,0.05865285,1.06719022
-5.60380190,6.23116715,0.01521708,1.78024136,0.51603597,0.16328818,2.10378080,3.14462217,0.05805483,1.05737441
-5.59779890,6.12073227,0.01509796,1.74282843,0.50818877,0.16378877,2.07874508,3.07869286,0.05716343,1.04644742
-5.59179590,5.99894477,0.01492586,1.70172631,0.50180897,0.16393381,2.05567843,3.00449368,0.05599727,1.03490736
-5.58579290,5.87071623,0.01470519,1.65855347,0.49718592,0.16382176,2.03660399,2.92478684,0.05458193,1.02334676
-5.57978989,5.74142662,0.01444153,1.61505913,0.49462563,0.16356939,2.02371127,2.84256825,0.05294930,1.01243657
-5.57378689,5.61676138,0.01414130,1.57307089,0.49444118,0.16330843,2.01929516,2.76097639,0.05113666,1.00290586
-5.56778389,5.50253408,0.01381161,1.53443879,0.49694143,0.16318159,2.02568697,2.68319569,0.04918564,0.99551817
-5.56178089,5.40450111,0.01345996,1.50097785,0.50241871,0.16333828,2.04517928,2.61235775,0.04714105,0.99104545
-5.55577789,5.32817482,0.01309393,1.47441086,0.51113587,0.16392994,2.07994737,2.55144366,0.04504965,0.99024064
-5.54977489,5.27864200,0.01272094,1.45631346,0.52331357,0.16510531,2.13196980,2.50319074,0.04295886,0.99381028
-5.54377189,5.26039395,0.01234796,1.44806311,0.53911838,0.16700587,2.20295097,2.47000652,0.04091561,1.00238822
-5.53776888,5.27717415,0.01198130,1.45079363,0.55865238,0.16976143,2.29424845,2.45389272,0.03896516,1.01651165
-5.53176588,5.33184885,0.01162643,1.46535678,0.58194480,0.17348623,2.40680803,2.45638159,0.03715014,1.03660061
-5.52576288,5.42630517,0.01128779,1.49229206,0.60894627,0.17827559,2.54110914,2.47848637,0.03550974,1.06294183
-5.51975988,5.56138019,0.01096881,1.53180567,0.63952607,0.18420330,2.69712296,2.52066754,0.03407907,1.09567756
-5.51375688,5.73682370,0.01067182,1.58375953,0.67347253,0.19131972,2.87428563,2.58281581,0.03288872,1.13480002
-5.50775388,5.95129615,0.01039811,1.64767070,0.71049668,0.19965074,3.07148803,2.66425252,0.03196458,1.18015152
-5.50175088,6.20240185,0.01014807,1.72272133,0.75023910,0.20919766,3.28708352,2.76374739,0.03132774,1.23143030
-5.49574787,6.48675687,0.00992126,1.80777918,0.79227965,0.21993771,3.51891419,2.87955336,0.03099473,1.28820174
-5.48974487,6.80008927,0.00971668,1.90142817,0.83614969,0.23182553,3.76435547,3.00945759,0.03097773,1.34991434
-5.48374187,7.13736852,0.00953289,2.00200808,0.88134614,0.24479513,4.02037837,3.15084713,0.03128504,1.41591966
-5.47773887,7.49295974,0.00936828,2.10766243,0.92734691,0.25876250,4.28362778,3.30078739,0.03192156,1.48549533
-5.47173587,7.86079731,0.00922128,2.21639304,0.97362674,0.27362850,4.55051424,3.45611100,0.03288932,1.55786986
-5.46573287,8.23457176,0.00909053,2.32611951,1.01967288,0.28928208,4.81731646,3.61351423,0.03418800,1.63224821
-5.45972986,8.60792297,0.00897505,2.43474163,1.06499964,0.30560346,5.08029050,3.76965776,0.03581544,1.70783673
-5.45372686,8.97463261,0.00887441,2.54020258,1.10916136,0.32246725,5.33578177,3.92126837,0.03776803,1.78386653
-5.44772386,9.32880839,0.00878875,2.64055057,1.15176293,0.33974537,5.58033507,4.06523795,0.04004103,1.85961396
-5.44172086,9.66505317,0.00871890,2.73399663,1.19246754,0.35730955,5.81079821,4.19871611,0.04262879,1.93441758
-5.43571786,9.97861242,0.00866626,2.81896638,1.23100130,0.37503341,6.02441480,4.31919316,0.04552479,2.00769077
-5.42971486,10.26549440,0.00863284,2.89414357,1.26715453,0.39279403,6.21890201,4.42457005,0.04872159,2.07892970
-5.42371186,10.52255879,0.00862106,2.95850396,1.30077989,0.41047305,6.39250992,4.51321290,0.05221066,2.14771639
-5.41770885,10.74757061,0.00863366,3.01133794,1.33178741,0.42795725,6.54405987,4.58398980,0.05598214,2.21371725
-5.41170585,10.93921834,0.00867349,3.05226119,1.36013700,0.44513874,6.67296004,4.63628881,0.06002445,2.27667735
-5.40570285,11.09709624,0.00874332,3.08121313,1.38582886,0.46191478,6.77919796,4.67001656,0.06432400,2.33641113
-5.39969985,11.22165322,0.00884565,3.09844327,1.40889262,0.47818750,6.86331025,4.68557794,0.06886481,2.39279054
-5.39369685,11.31411145,0.00898245,3.10448644,1.42937568,0.49386341,6.92633168,4.68383797,0.07362825,2.44573149
-5.38769385,11.37635995,0.00915507,3.10012813,1.44733186,0.50885304,6.96972609,4.66606812,0.07859284,2.49517978
-5.38169085,11.41082884,0.00936397,3.08636176,1.46281074,0.52307074,6.99530299,4.63387954,0.08373419,2.54109753
-5.37568784,11.42035118,0.00960869,3.06434006,1.47584866,0.53643470,7.00512401,4.58914671,0.08902510,2.58345108
-5.36968484,11.40801913,0.00988768,3.03532283,1.48646161,0.54886734,7.00140408,4.53392491,0.09443583,2.62220123
-5.36368184,11.37704154,0.01019833,3.00062352,1.49464070,0.56029600,6.98641212,4.47036544,0.09993455,2.65729637
-5.35767884,11.33060931,0.01053691,2.96155722,1.50035021,0.57065404,6.96237594,4.40063229,0.10548792,2.68866898
-5.35167584,11.27177414,0.01089866,2.91939203,1.50352837,0.57988214,6.93139563,4.32682371,0.11106185,2.71623536
-5.34567284,11.20334516,0.01127789,2.87530599,1.50409066,0.58792983,6.89536918,4.25090182,0.11662231,2.73989873
-5.33966983,11.12780673,0.01166809,2.83035106,1.50193545,0.59475712,6.85593296,4.17463271,0.12213621,2.75955497
-5.33366683,11.04725927,0.01206211,2.78542526,1.49695136,0.60033602,6.81441911,4.09953903,0.12757228,2.77510052
-5.32766383,10.96338343,0.01245238,2.74125368,1.48902597,0.60465190,6.77183055,4.02686598,0.13290181,2.78644162
-5.32166083,10.87742697,0.01283106,2.69837843,1.47805524,0.60770446,6.72883356,3.95756130,0.13809937,2.79350401
-5.31565783,10.79021217,0.01319033,2.65715739,1.46395292,0.60950828,6.68576681,3.89226882,0.14314323,2.79624208
-5.30965483,10.70216101,0.01352257,2.61777080,1.44665952,0.61009275,6.64266491,3.83133464,0.14801562,2.79464688
-5.30365183,10.61333457,0.01382058,2.58023491,1.42615017,0.60950152,6.59929414,3.77482457,0.15270273,2.78875196
-5.29764882,10.52348274,0.01407775,2.54442116,1.40244101,0.60779115,6.55519715,3.72255079,0.15719440,2.77863680
-5.29164582,10.43210046,0.01428826,2.51007951,1.37559372,0.60502936,6.50974373,3.67410570,0.16148360,2.76442731
-5.28564282,10.33848667,0.01444722,2.47686449,1.34571806,0.60129270,6.46218419,3.62890074,0.16556566,2.74629338
-5.27963982,10.24180276,0.01455074,2.44436226,1.31297223,0.59666384,6.41170261,3.58620790,0.16943730,2.72444379
-5.27363682,10.14112783,0.01459601,2.41211753,1.27756126,0.59122866,6.35746698,3.54520191,0.17309562,2.69911859
-5.26763382,10.03550892,0.01458137,2.37965906,1.23973345,0.58507333,6.29867426,3.50500124,0.17653697,2.67057987
-5.26163082,9.92400469,0.01450625,2.34652275,1.19977517,0.57828144,6.23458856,3.46470647,0.17975590,2.63910133
-5.25562781,9.80572236,0.01437119,2.31227167,1.15800441,0.57093153,6.16457155,3.42343488,0.18274427,2.60495769
