energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,1.98432040,0.00236222,0.04730920,0.68433385,0.73444249,0.11847407,0.37232496,0.00429046,0.98481569
-5.99399700,2.11980919,0.00253247,0.05185149,0.72954862,0.77957084,0.12923620,0.39720705,0.00472474,1.05317895
-5.98799400,2.25681769,0.00271412,0.05664703,0.77569893,0.82387919,0.14067531,0.42276102,0.00518269,1.12203033
-5.98199100,2.39407108,0.00290406,0.06166060,0.82245252,0.86685570,0.15268282,0.44877767,0.00566114,1.19071292
-5.97598799,2.53032409,0.00309929,0.06685455,0.86946980,0.90802361,0.16514564,0.47505007,0.00615673,1.25858358
-5.96998499,2.66438600,0.00329690,0.07218920,0.91640764,0.94695486,0.17794720,0.50137587,0.00666594,1.32502717
-5.96398199,2.79514319,0.00349412,0.07762322,0.96292335,0.98328179,0.19096868,0.52755931,0.00718515,1.38946953
-5.95797899,2.92157794,0.00368838,0.08311412,1.00867868,1.01670630,0.20409025,0.55341280,0.00771071,1.45138868
-5.95197599,3.04278272,0.00387730,0.08861866,1.05334365,1.04700614,0.21719229,0.57875800,0.00823901,1.51032360
-5.94597299,3.15796906,0.00405873,0.09409321,1.09659997,1.07403778,0.23015660,0.60342633,0.00876647,1.56588011
-5.93996998,3.26647072,0.00423075,0.09949419,1.13814406,1.09773593,0.24286740,0.62725881,0.00928964,1.61773380
-5.93396698,3.36774097,0.00439170,0.10477829,1.17768929,1.11810971,0.25521220,0.65010536,0.00980517,1.66562970
-5.92796398,3.46134448,0.00454014,0.10990272,1.21496763,1.13523560,0.26708257,0.67182354,0.01030988,1.70937890
-5.92196098,3.54694425,0.00467488,0.11482543,1.24973042,1.14924783,0.27837457,0.69227690,0.01080071,1.74885249
-5.91595798,3.62428504,0.00479496,0.11950513,1.28174858,1.16032656,0.28898917,0.71133305,0.01127473,1.78397323
-5.90995498,3.69317425,0.00489963,0.12390151,1.31081218,1.16868476,0.29883243,0.72886181,0.01172912,1.81470567
-5.90395198,3.75346215,0.00498831,0.12797522,1.33672979,1.17455447,0.30781574,0.74473347,0.01216115,1.84104550
-5.89794897,3.80502292,0.00506059,0.13168807,1.35932757,1.17817327,0.31585597,0.75881763,0.01256814,1.86300894
-5.89194597,3.84773823,0.00511622,0.13500321,1.37844868,1.17977181,0.32287581,0.77098263,0.01294745,1.88062304
-5.88594297,3.88148482,0.00515510,0.13788539,1.39395309,1.17956317,0.32880417,0.78109594,0.01329647,1.89391764
-5.87993997,3.90612729,0.00517723,0.14030136,1.40571811,1.17773446,0.33357693,0.78902558,0.01361263,1.90291966
-5.87393697,3.92151695,0.00518278,0.14222041,1.41363981,1.17444133,0.33713781,0.79464260,0.01389339,1.90765028
-5.86793397,3.92749708,0.00517203,0.14361503,1.41763547,1.16980552,0.33943965,0.79782470,0.01413631,1.90812508
-5.86193097,3.92391452,0.00514543,0.14446166,1.41764702,1.16391554,0.34044583,0.79846073,0.01433911,1.90435742
-5.85592796,3.91063697,0.00510360,0.14474153,1.41364544,1.15683024,0.34013193,0.79645607,0.01449970,1.89636463
-5.84992496,3.88757480,0.00504738,0.14444162,1.40563585,1.14858501,0.33848752,0.79173840,0.01461634,1.88417668
-5.84392196,3.85470598,0.00497781,0.14355549,1.39366290,1.13920009,0.33551788,0.78426370,0.01468768,1.86784663
-5.83791896,3.81210232,0.00489619,0.14208417,1.37781629,1.12869019,0.33124561,0.77402198,0.01471292,1.84746197
-5.83191596,3.75995483,0.00480410,0.14003686,1.35823566,1.11707479,0.32571198,0.76104236,0.01469188,1.82315607
-5.82591296,3.69859639,0.00470336,0.13743144,1.33511461,1.10438840,0.31897786,0.74539716,0.01462509,1.79511855
-5.81990995,3.62851969,0.00459612,0.13429477,1.30870322,1.09068971,0.31112400,0.72720463,0.01451390,1.76360388
-5.81390695,3.55038878,0.00448473,0.13066269,1.27930880,1.07606936,0.30225082,0.70663005,0.01436053,1.72893713
-5.80790395,3.46504279,0.00437181,0.12657968,1.24729441,1.06065528,0.29247737,0.68388491,0.01416805,1.69151640
-5.80190095,3.37349125,0.00426016,0.12209825,1.21307508,1.04461554,0.28193954,0.65922433,0.01394040,1.65181134
-5.79589795,3.27690039,0.00415268,0.11727794,1.17711153,1.02815813,0.27078760,0.63294252,0.01368235,1.61035753
-5.78989495,3.17657081,0.00405235,0.11218405,1.13990164,1.01152783,0.25918302,0.60536645,0.01339937,1.56774685
-5.78389195,3.07390732,0.00396208,0.10688613,1.10196979,0.99500009,0.24729472,0.57684817,0.01309753,1.52461406
-5.77788894,2.97038208,0.00388469,0.10145626,1.06385447,0.97887239,0.23529494,0.54775584,0.01278332,1.48162022
-5.77188594,2.86749300,0.00382276,0.09596718,1.02609480,0.96345337,0.22335479,0.51846409,0.01246350,1.43943361
-5.76588294,2.76671912,0.00377858,0.09049047,0.98921638,0.94905053,0.21163980,0.48934405,0.01214483,1.39870918
-5.75987994,2.66947537,0.00375404,0.08509460,0.95371726,0.93595702,0.20030557,0.46075354,0.01183393,1.36006750
-5.75387694,2.57706895,0.00375059,0.07984329,0.92005466,0.92443836,0.18949378,0.43302787,0.01153700,1.32407439
-5.74787394,2.49065954,0.00376919,0.07479391,0.88863321,0.91471990,0.17932868,0.40647166,0.01125969,1.29122218
-5.74187094,2.41122526,0.00381025,0.06999623,0.85979511,0.90697570,0.16991432,0.38135206,0.01100687,1.26191375
-5.73586793,2.33953626,0.00387372,0.06549144,0.83381299,0.90131951,0.16133252,0.35789357,0.01078253,1.23645010
-5.72986493,2.27613714,0.00395901,0.06131151,0.81088570,0.89779839,0.15364176,0.33627478,0.01058964,1.21502224
-5.72386193,2.22133914,0.00406515,0.05747891,0.79113738,0.89638953,0.14687702,0.31662696,0.01043015,1.19770789
-5.71785893,2.17522254,0.00419084,0.05400674,0.77461990,0.89700030,0.14105050,0.29903466,0.01030495,1.18447312
-5.71185593,2.13764900,0.00433459,0.05089912,0.76131861,0.89947178,0.13615332,0.28353804,0.01021397,1.17517920
-5.70585293,2.10828348,0.00449485,0.04815195,0.75116123,0.90358569,0.13215796,0.27013693,0.01015624,1.16959407
