energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,V_p_up,V_d_up
-6.00000000,4.55316511,0.00168111,3.17820745,0.22252731,0.00065664,2.96017687,1.71613289
-5.99399700,4.77251359,0.00171296,3.34005043,0.23141124,0.00067571,3.11147219,1.81590692
-5.98799400,4.99210872,0.00173987,3.50289079,0.24000149,0.00069342,3.26187587,1.91819097
-5.98199100,5.21042796,0.00176136,3.66567238,0.24816571,0.00070957,3.41026621,2.02258382
-5.97598799,5.42593813,0.00177705,3.82732184,0.25576955,0.00072399,3.55555795,2.12867831
-5.96998499,5.63712853,0.00178661,3.98677083,0.26268002,0.00073653,3.69673087,2.23606638
-5.96398199,5.84254440,0.00178981,4.14297833,0.26876929,0.00074703,3.83285662,2.34434306
-5.95797899,6.04081876,0.00178650,4.29495183,0.27391839,0.00075537,3.96312192,2.45310885
-5.95197599,6.23070051,0.00177666,4.44176590,0.27802100,0.00076148,4.08684666,2.56196999
-5.94597299,6.41107701,0.00176039,4.58257694,0.28098683,0.00076529,4.20349544,2.67053638
-5.93996998,6.58098956,0.00173793,4.71663311,0.28274473,0.00076679,4.31268165,2.77841674
-5.93396698,6.73964048,0.00170962,4.84327855,0.28324520,0.00076600,4.41416332,2.88521135
-5.92796398,6.88639133,0.00167596,4.96195178,0.28246216,0.00076297,4.50783084,2.99050238
-5.92196098,7.02075220,0.00163756,5.07217809,0.28039410,0.00075782,4.59368682,3.09384257
-5.91595798,7.14236269,0.00159516,5.17355678,0.27706427,0.00075068,4.67181919,3.19474282
-5.90995498,7.25096610,0.00154959,5.26574400,0.27252014,0.00074172,4.74236917,3.29265992
-5.90395198,7.34637845,0.00150174,5.34843278,0.26683195,0.00073116,4.80549585,3.38698543
-5.89794897,7.42845502,0.00145258,5.42133183,0.26009065,0.00071921,4.86133999,3.47703689
-5.89194597,7.49705680,0.00140308,5.48414504,0.25240500,0.00070614,4.90998920,3.56205279
-5.88594297,7.55201986,0.00135420,5.53655366,0.24389834,0.00069220,4.95144736,3.64119211
-5.87993997,7.59313012,0.00130688,5.57820285,0.23470482,0.00067765,4.98561038,3.71353964
-5.87393697,7.62010616,0.00126196,5.60869438,0.22496549,0.00066275,5.01225048,3.77811740
-5.86793397,7.63259179,0.00122019,5.62758646,0.21482437,0.00064773,5.03101051,3.83390264
-5.86193097,7.63015978,0.00118220,5.63440162,0.20442454,0.00063282,5.04140930,3.87985209
-5.85592796,7.61232722,0.00114845,5.62864271,0.19390463,0.00061823,5.04285835,3.91493194
-5.84992496,7.57858231,0.00111925,5.60981663,0.18339562,0.00060412,5.03468933,3.93815248
-5.84392196,7.52842140,0.00109473,5.57746474,0.17301822,0.00059062,5.01619133,3.94860597
-5.83791896,7.46139447,0.00107485,5.53119851,0.16288084,0.00057785,4.98665601,3.94550616
-5.83191596,7.37715660,0.00105937,5.47073837,0.15307827,0.00056588,4.94542823,3.92822728
-5.82591296,7.27552229,0.00104792,5.39595353,0.14369092,0.00055475,4.89195942,3.89634068
-5.81990995,7.15651958,0.00103999,5.30690029,0.13478483,0.00054447,4.82586063,3.84964709
-5.81390695,7.02044019,0.00103493,5.20385637,0.12641225,0.00053504,4.74695215,3.78820245
-5.80790395,6.86788275,0.00103202,5.08734898,0.11861272,0.00052643,4.65530680,3.71233603
-5.80190095,6.69978593,0.00103048,4.95817453,0.11141460,0.00051861,4.55128408,3.62265933
