energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.38673080,-1.23557048,0.00111199,-0.00319100,0.03807515,-0.04987032,1.20439582,-0.97243483,0.21379469,-0.18320959,0.51617628,-0.47855558,0.33455683,-0.14845351,0.84415351,-0.77454885,0.00000000,-0.00000000
-5.99399700,1.44272434,-1.21666439,0.00110120,-0.00302990,0.03821976,-0.04959778,1.24203767,-0.96323467,0.22225773,-0.18019079,0.53633349,-0.47136076,0.35337821,-0.14637403,0.87905827,-0.76223982,0.00000000,-0.00000000
-5.98799400,1.49924513,-1.19402649,0.00110539,-0.00286856,0.03832501,-0.04919317,1.27793825,-0.95200041,0.23087330,-0.17643081,0.55645944,-0.46261639,0.37201460,-0.14415218,0.91425488,-0.74757218,0.00000000,-0.00000000
-5.98199100,1.55512979,-1.16823206,0.00112301,-0.00270689,0.03837504,-0.04867614,1.31123815,-0.93918119,0.23943162,-0.17201684,0.57608797,-0.45253920,0.39017305,-0.14187747,0.94901484,-0.73090849,0.00000000,-0.00000000
-5.97598799,1.60921024,-1.13995816,0.00115240,-0.00254512,0.03835615,-0.04806879,1.34111617,-0.92527436,0.24772026,-0.16705341,0.59475340,-0.44138657,0.40756054,-0.13965206,0.98260562,-0.71267619,0.00000000,-0.00000000
-5.96998499,1.66034311,-1.10996855,0.00119185,-0.00238377,0.03825717,-0.04739495,1.36681063,-0.91081226,0.25553014,-0.16166029,0.61200305,-0.42945061,0.42389116,-0.13758915,1.01430923,-0.69335832,0.00000000,-0.00000000
-5.96398199,1.70743804,-1.07909630,0.00123962,-0.00222360,0.03806968,-0.04667927,1.38763881,-0.89634775,0.26266140,-0.15596998,0.62740928,-0.41705119,0.43889302,-0.13581122,1.04344023,-0.67348269,0.00000000,-0.00000000
-5.95797899,1.74948372,-1.04822461,0.00129397,-0.00206554,0.03778811,-0.04594640,1.40301368,-0.88243915,0.26892885,-0.15012475,0.64058079,-0.40452835,0.45231491,-0.13444796,1.06936247,-0.65360989,0.00000000,-0.00000000
-5.95197599,1.78557110,-1.01826635,0.00135323,-0.00191061,0.03740966,-0.04522015,1.41245767,-0.86963498,0.27416693,-0.14427347,0.65117267,-0.39223407,0.46393223,-0.13363415,1.09150411,-0.63432055,0.00000000,-0.00000000
-5.94597299,1.81491323,-0.99014315,0.00141581,-0.00175991,0.03693412,-0.04452262,1.41561308,-0.85845938,0.27823393,-0.13856832,0.65889500,-0.38052394,0.47355220,-0.13350725,1.10937051,-0.61620212,0.00000000,-0.00000000
-5.93996998,1.83686100,-0.96476446,0.00148025,-0.00161455,0.03636361,-0.04387355,1.41224876,-0.84939850,0.28101547,-0.13316134,0.66351967,-0.36974875,0.48101806,-0.13420500,1.12255467,-0.59983569,0.00000000,-0.00000000
-5.93396698,1.85091485,-0.94300728,0.00154530,-0.00147563,0.03570229,-0.04328968,1.40226334,-0.84288846,0.28242694,-0.12820103,0.66488530,-0.36024640,0.48621224,-0.13586280,1.13074502,-0.58578308,0.00000000,-0.00000000
-5.92796398,1.85673206,-0.92569685,0.00160991,-0.00134416,0.03495589,-0.04278431,1.38568461,-0.83930526,0.28241515,-0.12382910,0.66290016,-0.35233425,0.48905831,-0.13861101,1.13373036,-0.57457450,0.00000000,-0.00000000
