energy_ev,total_up,B_p_up,B_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,2.82322926,0.04440435,0.00000000,0.01303194,0.07890815,2.95702808,1.64354900
-5.99399700,2.60891051,0.04109992,0.00000000,0.01201556,0.07423211,2.73445728,1.51921246
-5.98799400,2.40444808,0.03792838,0.00000000,0.01105314,0.06991676,2.52122304,1.40025100
-5.98199100,2.20996777,0.03489311,0.00000000,0.01014362,0.06597354,2.31753932,1.28676147
-5.97598799,2.02553359,0.03199708,0.00000000,0.00928563,0.06241630,2.12354610,1.17879787
-5.96998499,1.85116478,0.02924285,0.00000000,0.00847764,0.05926134,1.93932675,1.07638210
-5.96398199,1.68684833,0.02663270,0.00000000,0.00771803,0.05652711,1.76492118,0.97951230
-5.95797899,1.53254682,0.02416854,0.00000000,0.00700522,0.05423356,1.60033472,0.88816863
-5.95197599,1.38820213,0.02185188,0.00000000,0.00633766,0.05240124,1.44554317,0.80231673
-5.94597299,1.25373561,0.01968372,0.00000000,0.00571392,0.05105007,1.30049449,0.72190912
-5.93996998,1.12904531,0.01766446,0.00000000,0.00513262,0.05019796,1.16510788,0.64688505
-5.93396698,1.01400140,0.01579377,0.00000000,0.00459248,0.04985929,1.03927114,0.57716914
-5.92796398,0.90844052,0.01407048,0.00000000,0.00409228,0.05004330,0.92283719,0.51266940
-5.92196098,0.81215997,0.01249254,0.00000000,0.00363081,0.05075257,0.81562036,0.45327511
-5.91595798,0.72491248,0.01105688,0.00000000,0.00320685,0.05198154,0.71739334,0.39885486
-5.90995498,0.64640233,0.00975948,0.00000000,0.00281913,0.05371530,0.62788531,0.34925521
-5.90395198,0.57628310,0.00859532,0.00000000,0.00246631,0.05592857,0.54678149,0.30430010
-5.89794897,0.51415743,0.00755845,0.00000000,0.00214695,0.05858506,0.47372441,0.26379126
-5.89194597,0.45957898,0.00664204,0.00000000,0.00185950,0.06163722,0.40831696,0.22750948
-5.88594297,0.41205651,0.00583857,0.00000000,0.00160231,0.06502641,0.35012705,0.19521689
-5.87993997,0.37105976,0.00513986,0.00000000,0.00137361,0.06868355,0.29869359,0.16666001
-5.87393697,0.33602721,0.00453729,0.00000000,0.00117155,0.07253019,0.25353363,0.14157344
-5.86793397,0.30637492,0.00402195,0.00000000,0.00099421,0.07648005,0.21415009,0.11968396
-5.86193097,0.28150646,0.00358479,0.00000000,0.00083961,0.08044098,0.18003986,0.10071481
-5.85592796,0.26082315,0.00321678,0.00000000,0.00070576,0.08431723,0.15070179,0.08439008
-5.84992496,0.24373444,0.00290910,0.00000000,0.00059067,0.08801198,0.12564422,0.07043878
-5.84392196,0.22966792,0.00265323,0.00000000,0.00049241,0.09143009,0.10439191,0.05859865
-5.83791896,0.21807857,0.00244110,0.00000000,0.00040910,0.09448087,0.08649193,0.04861940
-5.83191596,0.20845711,0.00226520,0.00000000,0.00033895,0.09708079,0.07151862,0.04026548
-5.82591296,0.20033695,0.00211865,0.00000000,0.00028027,0.09915605,0.05907729,0.03331815
-5.81990995,0.19329985,0.00199527,0.00000000,0.00023150,0.10064484,0.04880693,0.02757697
-5.81390695,0.18697997,0.00188960,0.00000000,0.00019122,0.10149924,0.04038173,0.02286072
-5.80790395,0.18106640,0.00179693,0.00000000,0.00015813,0.10168666,0.03351170,0.01900768
-5.80190095,0.17530409,0.00171329,0.00000000,0.00013108,0.10119067,0.02794241,0.01587553
-5.79589795,0.16949337,0.00163544,0.00000000,0.00010907,0.10001139,0.02345408,0.01334077
-5.78989495,0.16348809,0.00156082,0.00000000,0.00009120,0.09816517,0.01986015,0.01129787
-5.78389195,0.15719258,0.00148752,0.00000000,0.00007672,0.09568382,0.01700549,0.00965824
-5.77788894,0.15055772,0.00141418,0.00000000,0.00006501,0.09261323,0.01476444,0.00834895
-5.77188594,0.14357621,0.00133997,0.00000000,0.00005553,0.08901165,0.01303883,0.00731151
-5.76588294,0.13627741,0.00126448,0.00000000,0.00004786,0.08494749,0.01175607,0.00650061
-5.75987994,0.12872187,0.00118769,0.00000000,0.00004164,0.08049697,0.01086749,0.00588295
-5.75387694,0.12099599,0.00110986,0.00000000,0.00003663,0.07574162,0.01034688,0.00543613
-5.74787394,0.11320675,0.00103147,0.00000000,0.00003263,0.07076569,0.01018948,0.00514780
-5.74187094,0.10547705,0.00095318,0.00000000,0.00002951,0.06565379,0.01041122,0.00501489
-5.73586793,0.09794145,0.00087573,0.00000000,0.00002721,0.06048861,0.01104843,0.00504302
-5.72986493,0.09074278,0.00079994,0.00000000,0.00002573,0.05534899,0.01215781,0.00524611
-5.72386193,0.08402945,0.00072665,0.00000000,0.00002511,0.05030834,0.01381675,0.00564614
-5.71785893,0.07795357,0.00065669,0.00000000,0.00002548,0.04543351,0.01612382,0.00627301
-5.71185593,0.07266987,0.00059086,0.00000000,0.00002700,0.04078403,0.01919930,0.00716448
-5.70585293,0.06833534,0.00052993,0.00000000,0.00002994,0.03641191,0.02318579,0.00836620
-5.69984992,0.06510947,0.00047464,0.00000000,0.00003462,0.03236175,0.02824845,0.00993163
-5.69384692,0.06315486,0.00042571,0.00000000,0.00004150,0.02867141,0.03457505,0.01192196
-5.68784392,0.06263820,0.00038389,0.00000000,0.00005112,0.02537292,0.04237528,0.01440583
-5.68184092,0.06373123,0.00034992,0.00000000,0.00006416,0.02249374,0.05187946,0.01745884
-5.67583792,0.06661154,0.00032464,0.00000000,0.00008148,0.02005828,0.06333622,0.02116286
-5.66983492,0.07146309,0.00030900,0.00000000,0.00010407,0.01808954,0.07700916,0.02560485
-5.66383192,0.07847606,0.00030411,0.00000000,0.00013315,0.01661089,0.09317224,0.03087547
-5.65782891,0.08784608,0.00031129,0.00000000,0.00017015,0.01564772,0.11210394,0.03706717
-5.65182591,0.09977249,0.00033213,0.00000000,0.00021674,0.01522921,0.13408001,0.04427189
-5.64582291,0.11445575,0.00036855,0.00000000,0.00027484,0.01538972,0.15936505,0.05257839
-5.63981991,0.13209380,0.00042288,0.00000000,0.00034663,0.01617011,0.18820284,0.06206915
-5.63381691,0.15287745,0.00049787,0.00000000,0.00043455,0.01761865,0.22080588,0.07281704
-5.62781391,0.17698492,0.00059681,0.00000000,0.00054131,0.01979157,0.25734416,0.08488174
-5.62181091,0.20457557,0.00072356,0.00000000,0.00066985,0.02275318,0.29793386,0.09830613
-5.61580790,0.23578316,0.00088260,0.00000000,0.00082331,0.02657549,0.34262619,0.11311277
-5.60980490,0.27070876,0.00107912,0.00000000,0.00100498,0.03133728,0.39139704,0.12930057
-5.60380190,0.30941366,0.00131907,0.00000000,0.00121825,0.03712267,0.44413793,0.14684198
-5.59779890,0.35191259,0.00160923,0.00000000,0.00146648,0.04401907,0.50064891,0.16568077
-5.59179590,0.39816760,0.00195722,0.00000000,0.00175296,0.05211469,0.56063371,0.18573051
-5.58579290,0.44808298,0.00237162,0.00000000,0.00208074,0.06149545,0.62369793,0.20687415
-5.57978989,0.50150136,0.00286201,0.00000000,0.00245250,0.07224162,0.68935037,0.22896451
-5.57378689,0.55820153,0.00343900,0.00000000,0.00287045,0.08442411,0.75700778,0.25182595
