energy_ev,total_up,Cd_p_up,Cd_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,3.69923352,1.46567611,0.41951164,0.94304218,0.00773849,0.16012441,1.28217475
-5.99399700,3.76527398,1.48629581,0.42489434,0.94153280,0.00805874,0.16035520,1.32263844
-5.98799400,3.82686696,1.50345226,0.43016734,0.93710100,0.00836220,0.16018484,1.36408400
-5.98199100,3.88374492,1.51711758,0.43534786,0.92990062,0.00864524,0.15963482,1.40624207
-5.97598799,3.93553410,1.52727520,0.44042873,0.92011226,0.00890421,0.15872824,1.44873135
-5.96998499,3.98175109,1.53391562,0.44537667,0.90793768,0.00913551,0.15748897,1.49106089
-5.96398199,4.02180685,1.53703293,0.45013169,0.89359398,0.00933564,0.15594067,1.53263774
-5.95797899,4.05501830,1.53662259,0.45460801,0.87730793,0.00950133,0.15410614,1.57278005
-5.95197599,4.08062784,1.53268063,0.45869632,0.85931068,0.00962957,0.15200670,1.61073539
-5.94597299,4.09783011,1.52520448,0.46226752,0.83983314,0.00971775,0.14966178,1.64570362
-5.93996998,4.10580542,1.51419556,0.46517767,0.81910212,0.00976372,0.14708880,1.67686374
-5.93396698,4.10375825,1.49966345,0.46727402,0.79733741,0.00976585,0.14430322,1.70340352
-5.92796398,4.09095937,1.48163153,0.46840196,0.77474990,0.00972317,0.14131882,1.72455067
-5.92196098,4.06678923,1.46014361,0.46841245,0.75154055,0.00963534,0.13814818,1.73960431
-5.91595798,4.03078070,1.43527125,0.46716961,0.72790026,0.00950278,0.13480337,1.74796514
-5.90995498,3.98265851,1.40712111,0.46455820,0.70401037,0.00932661,0.13129667,1.74916294
-5.90395198,3.92237324,1.37584174,0.46049040,0.68004358,0.00910875,0.12764143,1.74287995
-5.89794897,3.85012776,1.34162935,0.45491180,0.65616512,0.00885180,0.12385283,1.72896910
-5.89194597,3.76639430,1.30473178,0.44780600,0.63253386,0.00855910,0.11994863,1.70746589
-5.88594297,3.67192075,1.26545041,0.43919781,0.60930311,0.00823458,0.11594976,1.67859341
-5.87993997,3.56772567,1.22413952,0.42915464,0.58662104,0.00788274,0.11188069,1.64276014
-5.87393697,3.45508148,1.18120298,0.41778611,0.56463040,0.00750852,0.10776963,1.60055042
-5.86793397,3.33548650,1.13708820,0.40524189,0.54346770,0.00711719,0.10364839,1.55270813
-5.86193097,3.21062689,1.09227744,0.39170768,0.52326162,0.00671422,0.09955200,1.50011413
-5.85592796,3.08232979,1.04727692,0.37739970,0.50413084,0.00630516,0.09551812,1.44375853
-5.84992496,2.95251006,1.00260396,0.36255784,0.48618148,0.00589552,0.09158613,1.38470896
-5.84392196,2.82311257,0.95877302,0.34743770,0.46950411,0.00549059,0.08779604,1.32407637
-5.83791896,2.69605288,0.91628093,0.33230210,0.45417078,0.00509539,0.08418735,1.26297954
-5.83191596,2.57315869,0.87559237,0.31741218,0.44023218,0.00471450,0.08079767,1.20251017
-5.82591296,2.45611466,0.83712601,0.30301869,0.42771508,0.00435200,0.07766146,1.14369969
-5.81990995,2.34641276,0.80124207,0.28935370,0.41662047,0.00401142,0.07480872,1.08748913
-5.81390695,2.24531025,0.76823192,0.27662318,0.40692233,0.00369562,0.07226391,1.03470327
-5.80790395,2.15379671,0.73831001,0.26500066,0.39856729,0.00340680,0.07004487,0.98602975
-5.80190095,2.07257114,0.71160863,0.25462224,0.39147524,0.00314650,0.06816217,0.94200395
-5.79589795,2.00202999,0.68817564,0.24558314,0.38554089,0.00291557,0.06661851,0.90299979
-5.78989495,1.94226592,0.66797515,0.23793587,0.38063620,0.00271423,0.06540860,0.86922656
-5.78389195,1.89307714,0.65089111,0.23168997,0.37661366,0.00254209,0.06451914,0.84073173
-5.77788894,1.85398652,0.63673368,0.22681342,0.37331027,0.00239821,0.06392924,0.81740917
-5.77188594,1.82426941,0.62524791,0.22323551,0.37055205,0.00228119,0.06361104,0.79901227
-5.76588294,1.80298876,0.61612447,0.22085099,0.36815895,0.00218923,0.06353061,0.78517120
-5.75987994,1.78903600,0.60901188,0.21952538,0.36594987,0.00212019,0.06364905,0.77541348
-5.75387694,1.78117601,0.60352982,0.21910115,0.36374776,0.00207174,0.06392374,0.76918698
-5.74787394,1.77809446,0.59928299,0.21940447,0.36138451,0.00204137,0.06430978,0.76588433
-5.74187094,1.77844567,0.59587495,0.22025233,0.35870548,0.00202654,0.06476144,0.76486786
-5.73586793,1.78089953,0.59292159,0.22145967,0.35557358,0.00202470,0.06523367,0.76549427
-5.72986493,1.78418581,0.59006367,0.22284638,0.35187276,0.00203342,0.06568355,0.76713807
-5.72386193,1.78713452,0.58697814,0.22424374,0.34751076,0.00205039,0.06607165,0.76921313
-5.71785893,1.78871110,0.58338780,0.22550025,0.34242112,0.00207354,0.06636332,0.77119173
-5.71185593,1.78804560,0.57906908,0.22648654,0.33656439,0.00210103,0.06652973,0.77262063
-5.70585293,1.78445499,0.57385780,0.22709931,0.32992842,0.00213132,0.06654877,0.77313364
-5.69984992,1.77745816,0.56765266,0.22726413,0.32252794,0.00216317,0.06640568,0.77246064
-5.69384692,1.76678348,0.56041649,0.22693700,0.31440314,0.00219564,0.06609342,0.77043280
-5.68784392,1.75236885,0.55217530,0.22610479,0.30561763,0.00222815,0.06561284,0.76698401
-5.68184092,1.73435464,0.54301516,0.22478444,0.29625564,0.00226038,0.06497252,0.76214877
-5.67583792,1.71306996,0.53307714,0.22302114,0.28641854,0.00229233,0.06418839,0.75605667
-5.66983492,1.68901311,0.52255049,0.22088543,0.27622098,0.00232423,0.06328316,0.74892388
-5.66383192,1.66282707,0.51166446,0.21846952,0.26578656,0.00235656,0.06228545,0.74104202
-5.65782891,1.63527110,0.50067887,0.21588299,0.25524337,0.00238996,0.06122887,0.73276507
-5.65182591,1.60718968,0.48987409,0.21324788,0.24471944,0.00242523,0.06015086,0.72449462
-5.64582291,1.57947994,0.47954054,0.21069367,0.23433830,0.00246325,0.05909150,0.71666422
-5.63981991,1.55305892,0.46996827,0.20835205,0.22421488,0.00250497,0.05809225,0.70972336
-5.63381691,1.52883160,0.46143690,0.20635189,0.21445181,0.00255131,0.05719472,0.70412155
-5.62781391,1.50766104,0.45420623,0.20481450,0.20513632,0.00260319,0.05643941,0.70029303
-5.62181091,1.49034128,0.44850796,0.20384927,0.19633787,0.00266143,0.05586461,0.69864259
-5.61580790,1.47757393,0.44453855,0.20355002,0.18810655,0.00272676,0.05550528,0.69953275
-5.60980490,1.46994885,0.44245349,0.20399188,0.18047234,0.00279976,0.05539221,0.70327276
-5.60380190,1.46792926,0.44236315,0.20522897,0.17344519,0.00288086,0.05555117,0.71010932
-5.59779890,1.47184147,0.44433006,0.20729288,0.16701598,0.00297032,0.05600231,0.72021951
-5.59179590,1.48186895,0.44836781,0.21019178,0.16115815,0.00306822,0.05675969,0.73370554
-5.58579290,1.49805067,0.45444128,0.21391039,0.15583006,0.00317443,0.05783089,0.75059165
-5.57978989,1.52028312,0.46246816,0.21841047,0.15097777,0.00328864,0.05921693,0.77082281
-5.57378689,1.54832567,0.47232167,0.22363203,0.14653826,0.00341038,0.06091212,0.79426523
-5.56778389,1.58180852,0.48383405,0.22949495,0.14244274,0.00353896,0.06290419,0.82070847
-5.56178089,1.62024285,0.49680094,0.23590108,0.13862005,0.00367354,0.06517446,0.84986900
-5.55577789,1.66303252,0.51098617,0.24273660,0.13499987,0.00381311,0.06769813,0.88139502
-5.54977489,1.70948683,0.52612697,0.24987469,0.13151560,0.00395653,0.07044462,0.91487251
-5.54377189,1.75883404,0.54193943,0.25717833,0.12810690,0.00410249,0.07337810,0.94983221
-5.53776888,1.81023526,0.55812392,0.26450322,0.12472160,0.00424959,0.07645798,0.98575757
-5.53176588,1.86279857,0.57437070,0.27170069,0.12131715,0.00439629,0.07963956,1.02209347
-5.52576288,1.91559327,0.59036529,0.27862072,0.11786138,0.00454096,0.08287477,1.05825578
-5.51975988,1.96766424,0.60579387,0.28511484,0.11433275,0.00468192,0.08611288,1.09364143
-5.51375688,2.01804644,0.62034850,0.29103895,0.11071999,0.00481738,0.08930147,1.12763924
-5.50775388,2.06577964,0.63373225,0.29625614,0.10702133,0.00494555,0.09238731,1.15964110
-5.50175088,2.10992340,0.64566409,0.30063927,0.10324336,0.00506460,0.09531741,1.18905353
-5.49574787,2.14957230,0.65588380,0.30407350,0.09939954,0.00517271,0.09804011,1.21530941
-5.48974487,2.18387142,0.66415646,0.30645853,0.09550865,0.00526811,0.10050616,1.23787971
-5.48374187,2.21203189,0.67027688,0.30771070,0.09159313,0.00534909,0.10266989,1.25628486
-5.47773887,2.23334628,0.67407361,0.30776471,0.08767748,0.00541404,0.10449033,1.27010567
-5.47173587,2.24720350,0.67541253,0.30657516,0.08378679,0.00546152,0.10593226,1.27899324
-5.46573287,2.25310286,0.67419996,0.30411752,0.07994551,0.00549022,0.10696726,1.28267776
-5.45972986,2.25066668,0.67038508,0.30038887,0.07617642,0.00549909,0.10757451,1.28097579
-5.45372686,2.23965103,0.66396161,0.29540803,0.07249992,0.00548731,0.10774157,1.27379563
-5.44772386,2.21995408,0.65496854,0.28921533,0.06893356,0.00545434,0.10746483,1.26114069
-5.44172086,2.19162143,0.64348997,0.28187171,0.06549187,0.00539996,0.10674983,1.24311051
-5.43571786,2.15484813,0.62965376,0.27345751,0.06218640,0.00532426,0.10561127,1.21989929
-5.42971486,2.10997698,0.61362918,0.26407057,0.05902599,0.00522767,0.10407272,1.19179194
-5.42371186,2.05749290,0.59562335,0.25382405,0.05601719,0.00511098,0.10216615,1.15915769
-5.41770885,1.99801335,0.57587673,0.24284374,0.05316471,0.00497529,0.09993103,1.12244126
-5.41170585,1.93227488,0.55465749,0.23126509,0.05047200,0.00482204,0.09741335,1.08215195
-5.40570285,1.86111621,0.53225518,0.21923007,0.04794185,0.00465293,0.09466423,1.03885092
-5.39969985,1.78545819,0.50897369,0.20688378,0.04557689,0.00446995,0.09173847,0.99313707
-5.39369685,1.70628137,0.48512376,0.19437113,0.04338016,0.00427528,0.08869292,0.94563183
-5.38769385,1.62460192,0.46101536,0.18183362,0.04135551,0.00407129,0.08558473,0.89696372
-5.38169085,1.54144674,0.43695010,0.16940624,0.03950810,0.00386044,0.08246966,0.84775273
-5.37568784,1.45782879,0.41321408,0.15721473,0.03784476,0.00364527,0.07940038,0.79859548
-5.36968484,1.37472349,0.39007130,0.14537321,0.03637444,0.00342831,0.07642494,0.75005144
-5.36368184,1.29304720,0.36775797,0.13398222,0.03510864,0.00321206,0.07358538,0.70263064
-5.35767884,1.21363858,0.34647799,0.12312735,0.03406198,0.00299890,0.07091664,0.65678356
-5.35167584,1.13724364,0.32639965,0.11287830,0.03325284,0.00279111,0.06844576,0.61289311
-5.34567284,1.06450504,0.30765378,0.10328857,0.03270421,0.00259079,0.06619135,0.57126927
-5.33966983,0.99595599,0.29033342,0.09439563,0.03244465,0.00239984,0.06416355,0.53214642
-5.33366683,0.93201912,0.27449494,0.08622166,0.03250953,0.00222000,0.06236427,0.49568324
-5.32766383,0.87301005,0.26016070,0.07877464,0.03294239,0.00205278,0.06078782,0.46196532
-5.32166083,0.81914566,0.24732300,0.07204992,0.03379655,0.00189953,0.05942190,0.43101007
-5.31565783,0.77055645,0.23594918,0.06603210,0.03513675,0.00176142,0.05824890,0.40277388
-5.30965483,0.72730236,0.22598771,0.06069705,0.03704093,0.00163951,0.05724745,0.37716087
-5.30365183,0.68939125,0.21737489,0.05601413,0.03960194,0.00153472,0.05639415,0.35403312
-5.29764882,0.65679903,0.21004196,0.05194850,0.04292909,0.00144796,0.05566539,0.33322168
-5.29164582,0.62949038,0.20392214,0.04846323,0.04714937,0.00138009,0.05503928,0.31453796
-5.28564282,0.60743892,0.19895745,0.04552141,0.05240833,0.00133201,0.05449745,0.29778505
-5.27963982,0.59064579,0.19510484,0.04308799,0.05887019,0.00130467,0.05402672,0.28276836
-5.27363682,0.57915539,0.19234127,0.04113134,0.06671724,0.00129913,0.05362054,0.26930540
-5.26763382,0.57306754,0.19066773,0.03962442,0.07614830,0.00131652,0.05328022,0.25723402
-5.26163082,0.57254498,0.19011159,0.03854565,0.08737601,0.00135810,0.05301564,0.24641908
-5.25562781,0.57781573,0.19072743,0.03787935,0.10062292,0.00142522,0.05284570,0.23675721
-5.24962481,0.58916984,0.19259606,0.03761568,0.11611631,0.00151932,0.05279823,0.22817950
-5.24362181,0.60695026,0.19582176,0.03775031,0.13408162,0.00164186,0.05290949,0.22065216
-5.23761881,0.63153807,0.20052774,0.03828358,0.15473466,0.00179426,0.05322317,0.21417521
-5.23161581,0.66333227,0.20685007,0.03921938,0.17827263,0.00197785,0.05378899,0.20877918
-5.22561281,0.70272497,0.21493006,0.04056372,0.20486415,0.00219377,0.05466084,0.20452023
-5.21960980,0.75007266,0.22490560,0.04232310,0.23463870,0.00244285,0.05589466,0.20147379
-5.21360680,0.80566495,0.23690157,0.04450268,0.26767566,0.00272557,0.05754597,0.19972718
-5.20760380,0.86969197,0.25101998,0.04710447,0.30399355,0.00304186,0.05966725,0.19937138
-5.20160080,0.94221210,0.26732996,0.05012545,0.34353989,0.00339108,0.06230524,0.20049260
-5.19559780,1.02312154,0.28585840,0.05355590,0.38618226,0.00377189,0.06549825,0.20316375
-5.18959480,1.11212754,0.30658133,0.05737792,0.43170112,0.00418218,0.06927363,0.20743644
-5.18359180,1.20872673,0.32941694,0.06156422,0.47978490,0.00461902,0.07364549,0.21333370
-5.17758879,1.31219036,0.35422023,0.06607731,0.53002796,0.00507861,0.07861281,0.22084393
-5.17158579,1.42155745,0.38077998,0.07086913,0.58193170,0.00555632,0.08415804,0.22991622
-5.16558279,1.53563714,0.40881818,0.07588111,0.63490935,0.00604667,0.09024623,0.24045742
-5.15957979,1.65302075,0.43799221,0.08104485,0.68829428,0.00654349,0.09682491,0.25233098
-5.15357679,1.77210400,0.46789973,0.08628316,0.74135225,0.00703993,0.10382465,0.26535791
-5.14757379,1.89111895,0.49808648,0.09151168,0.79329700,0.00752866,0.11116031,0.27931966
-5.14157079,2.00817527,0.52805660,0.09664095,0.84330916,0.00800206,0.11873316,0.29396297
-5.13556778,2.12130946,0.55728532,0.10157881,0.89055765,0.00845238,0.12643360,0.30900660
-5.12956478,2.22854051,0.58523365,0.10623313,0.93422307,0.00887199,0.13414456,0.32414964
-5.12356178,2.32793001,0.61136438,0.11051471,0.97352206,0.00925360,0.14174549,0.33908116
-5.11755878,2.41764430,0.63515903,0.11434023,1.00773178,0.00959052,0.14911663,0.35349084
-5.11155578,2.49601631,0.65613485,0.11763525,1.03621340,0.00987686,0.15614360,0.36708014
-5.10555278,2.56160426,0.67386137,0.12033688,1.05843371,0.01010774,0.16272206,0.37957364
-5.09954977,2.61324488,0.68797563,0.12239631,1.07398377,0.01027951,0.16876212,0.39072998
-5.09354677,2.65009859,0.69819565,0.12378086,1.08259385,0.01038986,0.17419254,0.40035206
-5.08754377,2.67168473,0.70433131,0.12447553,1.08414394,0.01043794,0.17896426,0.40829598
-5.08154077,2.67790518,0.70629243,0.12448405,1.07866929,0.01042439,0.18305334,0.41447842
-5.07553777,2.66905523,0.70409352,0.12382928,1.06636087,0.01035141,0.18646297,0.41888209
-5.06953477,2.64582124,0.69785513,0.12255300,1.04756057,0.01022261,0.18922457,0.42155903
-5.06353177,2.60926519,0.68780171,0.12071513,1.02275144,0.01004302,0.19139787,0.42263175
-5.05752876,2.56079686,0.67425619,0.11839230,0.99254347,0.00981885,0.19306991,0.42229191
-5.05152576,2.50213488,0.65763151,0.11567604,0.95765554,0.00955739,0.19435306,0.42079699
-5.04552276,2.43525839,0.63841955,0.11267040,0.91889432,0.00926672,0.19538213,0.41846471
-5.03951976,2.36235153,0.61717799,0.10948933,0.87713113,0.00895551,0.19631060,0.41566574
-5.03351676,2.28574307,0.59451566,0.10625385,0.83327780,0.00863277,0.19730620,0.41281491
-5.02751376,2.20784360,0.57107706,0.10308904,0.78826239,0.00830759,0.19854603,0.41036112
-5.02151076,2.13108286,0.54752663,0.10012106,0.74300591,0.00798890,0.20021127,0.40877655
-5.01550775,2.05784945,0.52453332,0.09747423,0.69840070,0.00768523,0.20248182,0.40854533
