energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.42883280,0.71194991,1.32878458,0.00322598,0.12126096,0.01338163,0.72360082,0.87263377,0.14441655
-5.99399700,2.50003893,0.71388171,1.39293548,0.00327673,0.12120122,0.01322812,0.72828158,0.88036654,0.14640078
-5.98799400,2.57015517,0.71389430,1.45804102,0.00335445,0.12081490,0.01303419,0.73174846,0.88605315,0.14833309
-5.98199100,2.63857430,0.71203050,1.52355090,0.00345597,0.12011245,0.01280290,0.73397535,0.88958840,0.15018933
-5.97598799,2.70467556,0.70836738,1.58886375,0.00357812,0.11910972,0.01253792,0.73495971,0.89089941,0.15194525
-5.96998499,2.76782971,0.70301224,1.65333445,0.00371769,0.11782727,0.01224339,0.73472063,0.88994607,0.15357674
-5.96398199,2.82740520,0.69609812,1.71628323,0.00387143,0.11628966,0.01192373,0.73329645,0.88672122,0.15506013
-5.95797899,2.88277544,0.68777881,1.77700639,0.00403605,0.11452463,0.01158353,0.73074190,0.88125030,0.15637251
-5.95197599,2.93332685,0.67822368,1.83478838,0.00420820,0.11256232,0.01122739,0.72712501,0.87359053,0.15749216
-5.94597299,2.97846767,0.66761246,1.88891478,0.00438449,0.11043436,0.01085977,0.72252384,0.86382964,0.15839881
-5.93996998,3.01763699,0.65613012,1.93868591,0.00456151,0.10817311,0.01048490,0.71702309,0.85208413,0.15907405
-5.93396698,3.05031395,0.64396191,1.98343061,0.00473586,0.10581083,0.01010670,0.71071075,0.83849698,0.15950162
-5.92796398,3.07602658,0.63128876,2.02251977,0.00490417,0.10337899,0.00972866,0.70367484,0.82323473,0.15966763
-5.92196098,3.09436005,0.61828295,2.05537923,0.00506320,0.10090754,0.00935385,0.69600028,0.80648414,0.15956078
-5.91595798,3.10496408,0.60510436,2.08150167,0.00520982,0.09842436,0.00898491,0.68776613,0.78844816,0.15917246
-5.90995498,3.10755926,0.59189707,2.10045725,0.00534116,0.09595467,0.00862398,0.67904300,0.76934152,0.15849675
