energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.50439195,0.03839068,0.00000000,0.00035545,0.22359464,0.10114984,0.09714090
-5.99399700,0.53006382,0.04004157,0.00000000,0.00028566,0.23490083,0.10543867,0.10515416
-5.98799400,0.55680146,0.04184690,0.00000000,0.00022881,0.24626962,0.11007682,0.11346367
-5.98199100,0.58387786,0.04375826,0.00000000,0.00018303,0.25740404,0.11490103,0.12193999
-5.97598799,0.61057414,0.04572794,0.00000000,0.00014667,0.26801363,0.11975477,0.13044484
-5.96998499,0.63619551,0.04770971,0.00000000,0.00011831,0.27782208,0.12449107,0.13883392
-5.96398199,0.66008709,0.04965969,0.00000000,0.00009676,0.28657463,0.12897507,0.14696025
-5.95797899,0.68164912,0.05153696,0.00000000,0.00008107,0.29404490,0.13308649,0.15467771
-5.95197599,0.70035099,0.05330410,0.00000000,0.00007049,0.30004103,0.13672168,0.16184496
-5.94597299,0.71574397,0.05492765,0.00000000,0.00006450,0.30441083,0.13979553,0.16832938
-5.93996998,0.72747192,0.05637839,0.00000000,0.00006280,0.30704588,0.14224286,0.17401097
-5.93396698,0.73527983,0.05763152,0.00000000,0.00006528,0.30788426,0.14401958,0.17878620
-5.92796398,0.73901986,0.05866674,0.00000000,0.00007206,0.30691201,0.14510329,0.18257141
-5.92196098,0.73865464,0.05946822,0.00000000,0.00008346,0.30416317,0.14549359,0.18530588
-5.91595798,0.73425786,0.06002454,0.00000000,0.00010001,0.29971849,0.14521183,0.18695425
-5.90995498,0.72601203,0.06032849,0.00000000,0.00012247,0.29370282,0.14430050,0.18750835
-5.90395198,0.71420369,0.06037690,0.00000000,0.00015181,0.28628146,0.14282229,0.18698824
-5.89794897,0.69921617,0.06017045,0.00000000,0.00018923,0.27765547,0.14085867,0.18544252
-5.89194597,0.68152032,0.05971344,0.00000000,0.00023617,0.26805633,0.13850828,0.18294781
-5.88594297,0.66166352,0.05901362,0.00000000,0.00029429,0.25773998,0.13588499,0.17960751
-5.87993997,0.64025740,0.05808201,0.00000000,0.00036549,0.24698069,0.13311585,0.17554987
-5.87393697,0.61796477,0.05693278,0.00000000,0.00045190,0.23606483,0.13033879,0.17092542
-5.86793397,0.59548611,0.05558309,0.00000000,0.00055586,0.22528480,0.12770027,0.16590393
-5.86193097,0.57354606,0.05405309,0.00000000,0.00067992,0.21493330,0.12535292,0.16067098
-5.85592796,0.55288038,0.05236575,0.00000000,0.00082679,0.20529804,0.12345307,0.15542433
-5.84992496,0.53422347,0.05054687,0.00000000,0.00099931,0.19665715,0.12215837,0.15037011
-5.84392196,0.51829693,0.04862499,0.00000000,0.00120042,0.18927510,0.12162541,0.14571919
-5.83791896,0.50579926,0.04663125,0.00000000,0.00143307,0.18339939,0.12200742,0.14168353
-5.83191596,0.49739674,0.04459932,0.00000000,0.00170021,0.17925790,0.12345202,0.13847296
-5.82591296,0.49371566,0.04256524,0.00000000,0.00200465,0.17705682,0.12609915,0.13629216
-5.81990995,0.49533584,0.04056715,0.00000000,0.00234907,0.17697928,0.13007904,0.13533818
-5.81390695,0.50278540,0.03864509,0.00000000,0.00273584,0.17918437,0.13551040,0.13579824
-5.80790395,0.51653661,0.03684066,0.00000000,0.00316702,0.18380668,0.14249870,0.13784811
-5.80190095,0.53700286,0.03519663,0.00000000,0.00364423,0.19095612,0.15113473,0.14165073
-5.79589795,0.56453631,0.03375658,0.00000000,0.00416860,0.20071801,0.16149331,0.14735535
-5.78989495,0.59942634,0.03256436,0.00000000,0.00474070,0.21315338,0.17363221,0.15509676
-5.78389195,0.64189826,0.03166363,0.00000000,0.00536044,0.22829926,0.18759133,0.16499483
-5.77788894,0.69211238,0.03109729,0.00000000,0.00602710,0.24616909,0.20339207,0.17715405
-5.77188594,0.75016298,0.03090687,0.00000000,0.00673922,0.26675298,0.22103692,0.19166298
-5.76588294,0.81607710,0.03113195,0.00000000,0.00749462,0.29001796,0.24050919,0.20859359
-5.75987994,0.88981296,0.03180947,0.00000000,0.00829041,0.31590804,0.26177292,0.22800027
-5.75387694,0.97125791,0.03297307,0.00000000,0.00912299,0.34434413,0.28477295,0.24991853
-5.74787394,1.06022576,0.03465242,0.00000000,0.00998805,0.37522390,0.30943495,0.27436315
-5.74187094,1.15645367,0.03687254,0.00000000,0.01088067,0.40842145,0.33566565,0.30132602
-5.73586793,1.25959862,0.03965317,0.00000000,0.01179535,0.44378699,0.36335302,0.33077344
-5.72986493,1.36923373,0.04300811,0.00000000,0.01272606,0.48114668,0.39236657,0.36264310
-5.72386193,1.48484481,0.04694474,0.00000000,0.01366637,0.52030255,0.42255775,0.39684083
-5.71785893,1.60582760,0.05146358,0.00000000,0.01460949,0.56103288,0.45376040,0.43323727
-5.71185593,1.73148624,0.05655795,0.00000000,0.01554836,0.60309306,0.48579157,0.47166471
-5.70585293,1.86103356,0.06221387,0.00000000,0.01647581,0.64621718,0.51845256,0.51191435
-5.69984992,1.99359387,0.06841013,0.00000000,0.01738460,0.69012047,0.55153042,0.55373434
-5.69384692,2.12820875,0.07511850,0.00000000,0.01826760,0.73450275,0.58479998,0.59682872
-5.68784392,2.26384638,0.08230431,0.00000000,0.01911785,0.77905288,0.61802647,0.64085779
-5.68184092,2.39941471,0.08992706,0.00000000,0.01992871,0.82345441,0.65096880,0.68543993
-5.67583792,2.53377850,0.09794144,0.00000000,0.02069402,0.86739210,0.68338361,0.73015518
-5.66983492,2.66578011,0.10629836,0.00000000,0.02140816,0.91055931,0.71502980,0.77455068
-5.66383192,2.79426355,0.11494619,0.00000000,0.02206624,0.95266591,0.74567369,0.81814793
-5.65782891,2.91810093,0.12383204,0.00000000,0.02266421,0.99344642,0.77509450,0.86045175
-5.65182591,3.03622038,0.13290299,0.00000000,0.02319893,1.03266774,0.80308989,0.90096081
-5.64582291,3.14763385,0.14210730,0.00000000,0.02366831,1.07013619,0.82948138,0.93917928
-5.63981991,3.25146363,0.15139535,0.00000000,0.02407137,1.10570316,0.85411918,0.97462921
