energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,Ti_p_up,Ti_d_up
-6.00000000,3.44655483,0.03577455,1.80943327,0.11212394,0.00028357,1.64873343,0.73629564
-5.99399700,3.46884380,0.03581690,1.80867541,0.11497354,0.00029071,1.65796401,0.72873027
-5.98799400,3.48495682,0.03589260,1.80741094,0.11756137,0.00029657,1.66010114,0.72235779
-5.98199100,3.49522627,0.03600651,1.80605935,0.11989188,0.00030106,1.65512359,0.71746155
-5.97598799,3.50013042,0.03616421,1.80505544,0.12197783,0.00030416,1.64316713,0.71430279
-5.96998499,3.50027304,0.03637179,1.80483270,0.12383918,0.00030583,1.62452077,0.71311237
-5.96398199,3.49635511,0.03663561,1.80580431,0.12550162,0.00030609,1.59961661,0.71408230
-5.95797899,3.48913973,0.03696192,1.80834267,0.12699470,0.00030498,1.56901397,0.71735758
-5.95197599,3.47941201,0.03735649,1.81275838,0.12834974,0.00030256,1.53337833,0.72302842
-5.94597299,3.46793598,0.03782411,1.81927986,0.12959760,0.00029891,1.49345632,0.73112352
-5.93996998,3.45541105,0.03836811,1.82803482,0.13076647,0.00029413,1.45004786,0.74160454
-5.93396698,3.44243066,0.03898985,1.83903473,0.13187968,0.00028831,1.40397697,0.75436244
-5.92796398,3.42944556,0.03968825,1.85216368,0.13295387,0.00028160,1.35606270,0.76921577
-5.92196098,3.41673439,0.04045945,1.86717236,0.13399752,0.00027410,1.30709154,0.78591152
-5.91595798,3.40438335,0.04129644,1.88367818,0.13500981,0.00026594,1.25779273,0.80412847
-5.90995498,3.39227660,0.04218888,1.90117185,0.13598019,0.00025724,1.20881759,0.82348345
-5.90395198,3.38009839,0.04312312,1.91903057,0.13688838,0.00024811,1.16072362,0.84354026
-5.89794897,3.36734698,0.04408223,1.93653769,0.13770499,0.00023865,1.11396407,0.86382124
-5.89194597,3.35336006,0.04504629,1.95290798,0.13839272,0.00022896,1.06888314,0.88382118
