energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,1.78565846,0.44848851,0.00312269,0.54846885,1.37455417,0.00117747,0.12193491
-5.99399700,1.71403244,0.42881270,0.00305957,0.51522044,1.32633628,0.00125574,0.11532034
-5.98799400,1.64784359,0.41042532,0.00301519,0.48362727,1.28241980,0.00137331,0.10902481
-5.98199100,1.58815338,0.39367274,0.00299061,0.45431282,1.24346455,0.00153370,0.10315630
-5.97598799,1.53591326,0.37888200,0.00298669,0.42786740,1.21004795,0.00174074,0.09781208
-5.96998499,1.49196297,0.36635860,0.00300408,0.40484265,1.18266676,0.00199843,0.09307823
-5.96398199,1.45703358,0.35638540,0.00304330,0.38574765,1.16174221,0.00231091,0.08902958
-5.95797899,1.43175433,0.34922239,0.00310474,0.37104643,1.14762770,0.00268228,0.08573003
-5.95197599,1.41666180,0.34510705,0.00318871,0.36115647,1.14061801,0.00311649,0.08323320
-5.94597299,1.41221015,0.34425487,0.00329551,0.35644789,1.14095889,0.00361712,0.08158319
-5.93996998,1.41878090,0.34685990,0.00342542,0.35724280,1.14885594,0.00418723,0.08081537
-5.93396698,1.43669103,0.35309475,0.00357873,0.36381442,1.16448180,0.00482916,0.08095721
-5.92796398,1.46619822,0.36310999,0.00375577,0.37638566,1.18798087,0.00554431,0.08202882
-5.92196098,1.50750249,0.37703261,0.00395692,0.39512684,1.21947092,0.00633296,0.08404335
-5.91595798,1.56074381,0.39496338,0.00418257,0.42015229,1.25904142,0.00719406,0.08700705
-5.90995498,1.62599560,0.41697321,0.00443310,0.45151597,1.30674850,0.00812511,0.09091901
-5.90395198,1.70325439,0.44309852,0.00470886,0.48920600,1.36260699,0.00912197,0.09577059
-5.89794897,1.79242646,0.47333579,0.00501011,0.53313843,1.42658002,0.01017884,0.10154457
-5.89194597,1.89331238,0.50763561,0.00533700,0.58315056,1.49856705,0.01128814,0.10821407
-5.88594297,2.00559076,0.54589660,0.00568944,0.63899431,1.57839131,0.01244062,0.11574133
-5.87993997,2.12880253,0.58795959,0.00606712,0.70033013,1.66578777,0.01362538,0.12407649
-5.87393697,2.26233729,0.63360251,0.00646940,0.76672207,1.76039268,0.01483006,0.13315648
-5.86793397,2.40542315,0.68253659,0.00689529,0.83763466,1.86173570,0.01604106,0.14290403
-5.86193097,2.55712128,0.73440398,0.00734337,0.91243210,1.96923569,0.01724384,0.15322715
-5.85592796,2.71632620,0.78877759,0.00781180,0.99038037,2.08220066,0.01842326,0.16401902
-5.84992496,2.88177264,0.84516298,0.00829825,1.07065255,2.19983247,0.01956404,0.17515833
-5.84392196,3.05204929,0.90300289,0.00879994,1.15233775,2.32123647,0.02065115,0.18651042
-5.83791896,3.22561937,0.96168418,0.00931362,1.23445364,2.44543594,0.02167031,0.19792887
-5.83191596,3.40084778,1.02054725,0.00983559,1.31596255,2.57139102,0.02260852,0.20925787
-5.82591296,3.57603395,1.07889771,0.01036177,1.39579081,2.69802134,0.02345445,0.22033513
-5.81990995,3.74944931,1.13601998,0.01088774,1.47285099,2.82423164,0.02419895,0.23099539
-5.81390695,3.91937808,1.19119237,0.01140880,1.54606621,2.94893924,0.02483541,0.24107431
-5.80790395,4.08415960,1.24370322,0.01192007,1.61439589,3.07110215,0.02536005,0.25041268
-5.80190095,4.24223078,1.29286739,0.01241657,1.67686197,3.18974675,0.02577218,0.25886084
-5.79589795,4.39216666,1.33804263,0.01289332,1.73257461,3.30399356,0.02607429,0.26628293
-5.78989495,4.53271753,1.37864511,0.01334546,1.78075645,3.41308030,0.02627210,0.27256113
-5.78389195,4.66284105,1.41416364,0.01376832,1.82076437,3.51638082,0.02637438,0.27759932
-5.77788894,4.78172787,1.44417198,0.01415756,1.85210783,3.61341948,0.02639277,0.28132638
-5.77188594,4.88881985,1.46833885,0.01450925,1.87446314,3.70387991,0.02634140,0.28369862
-5.76588294,4.98381986,1.48643521,0.01481998,1.88768290,3.78760815,0.02623646,0.28470151
-5.75987994,5.06669291,1.49833870,0.01508692,1.89180013,3.86460963,0.02609564,0.28435045
-5.75387694,5.13765828,1.50403500,0.01530790,1.88702703,3.93504043,0.02593750,0.28269058
-5.74787394,5.19717306,1.50361618,0.01548146,1.87374819,3.99919276,0.02578087,0.27979562
-5.74187094,5.24590753,1.49727603,0.01560689,1.85250843,4.05747558,0.02564408,0.27576576
-5.73586793,5.28471328,1.48530278,0.01568425,1.82399583,4.11039073,0.02554435,0.27072464
-5.72986493,5.31458530,1.46806922,0.01571432,1.78902042,4.15850565,0.02549712,0.26481557
-5.72386193,5.33661911,1.44602090,0.01569864,1.74848923,4.20242365,0.02551542,0.25819709
-5.71785893,5.35196487,1.41966248,0.01563939,1.70337879,4.24275280,0.02560942,0.25103802
-5.71185593,5.36177966,1.38954305,0.01553938,1.65470579,4.28007451,0.02578597,0.24351226
-5.70585293,5.36718001,1.35624064,0.01540191,1.60349716,4.31491319,0.02604834,0.23579334
-5.69984992,5.36919622,1.32034649,0.01523072,1.55076047,4.34770777,0.02639603,0.22804917
-5.69384692,5.36873009,1.28244962,0.01502980,1.49745564,4.37878649,0.02682473,0.22043697
-5.68784392,5.36651785,1.24312211,0.01480335,1.44446910,4.40834581,0.02732646,0.21309866
-5.68184092,5.36309947,1.20290551,0.01455559,1.39259098,4.43643423,0.02788979,0.20615682
-5.67583792,5.35879573,1.16229888,0.01429068,1.34249627,4.46294194,0.02850017,0.19971148
-5.66983492,5.35369396,1.12174859,0.01401257,1.29473046,4.48759667,0.02914045,0.19383760
-5.66383192,5.34764309,1.08164042,0.01372492,1.24970004,4.50996615,0.02979136,0.18858362
-5.65782891,5.34025842,1.04229397,0.01343096,1.20766809,4.52946735,0.03043221,0.18397089
-5.65182591,5.33093605,1.00395953,0.01313351,1.16875512,4.54538218,0.03104151,0.17999409
-5.64582291,5.31887666,0.96681761,0.01283483,1.13294478,4.55687950,0.03159766,0.17662257
-5.63981991,5.30311778,0.93098085,0.01253666,1.10009437,4.56304272,0.03207967,0.17380260
-5.63381691,5.28257354,0.89649841,0.01224018,1.06994943,4.56290201,0.03246779,0.17146034
-5.62781391,5.25608051,0.86336235,0.01194606,1.04216188,4.55547024,0.03274411,0.16950547
-5.62181091,5.22244773,0.83151605,0.01165448,1.01631090,4.53978122,0.03289312,0.16783534
-5.61580790,5.18050927,0.80086390,0.01136519,0.99192561,4.51492897,0.03290216,0.16633937
-5.60980490,5.12917706,0.77128214,0.01107759,0.96850872,4.48010639,0.03276179,0.16490371
-5.60380190,5.06749197,0.74263022,0.01079083,0.94556013,4.43464197,0.03246599,0.16341574
-5.59779890,4.99467105,0.71476222,0.01050388,0.92259950,4.37803293,0.03201234,0.16176847
-5.59179590,4.91014904,0.68753787,0.01021565,0.89918706,4.30997364,0.03140201,0.15986449
-5.58579290,4.81361244,0.66083264,0.00992506,0.87494173,4.23037795,0.03063968,0.15761949
-5.57978989,4.70502477,0.63454657,0.00963114,0.84955600,4.13939465,0.02973337,0.15496510
-5.57378689,4.58464209,0.60861144,0.00933313,0.82280714,4.03741532,0.02869410,0.15185108
-5.56778389,4.45301814,0.58299603,0.00903050,0.79456433,3.92507443,0.02753557,0.14824673
-5.56178089,4.31099915,0.55770934,0.00872302,0.76479173,3.80324142,0.02627372,0.14414155
-5.55577789,4.15970859,0.53280157,0.00841080,0.73354753,3.67300546,0.02492628,0.13954517
-5.54977489,4.00052269,0.50836318,0.00809431,0.70097921,3.53565319,0.02351226,0.13448663
-5.54377189,3.83503797,0.48452185,0.00777436,0.66731561,3.39264079,0.02205145,0.12901303
-5.53776888,3.66503224,0.46143778,0.00745209,0.63285610,3.24556113,0.02056395,0.12318774
-5.53176588,3.49242084,0.43929758,0.00712893,0.59795785,3.09610771,0.01906975,0.11708815
-5.52576288,3.31921000,0.41830707,0.00680657,0.56302157,2.94603654,0.01758825,0.11080333
-5.51975988,3.14744909,0.39868339,0.00648691,0.52847667,2.79712758,0.01613797,0.10443146
-5.51375688,2.97918379,0.38064679,0.00617198,0.49476648,2.65114696,0.01473626,0.09807725
-5.50775388,2.81641169,0.36441261,0.00586390,0.46233412,2.50981141,0.01339904,0.09184960
-5.50175088,2.66104173,0.35018354,0.00556480,0.43160959,2.37475582,0.01214070,0.08585924
-5.49574787,2.51485872,0.33814276,0.00527676,0.40299849,2.24750484,0.01097400,0.08021678
-5.48974487,2.37949353,0.32844796,0.00500178,0.37687268,2.12944914,0.00991005,0.07503086
-5.48374187,2.25639945,0.32122652,0.00474168,0.35356292,2.02182645,0.00895833,0.07040668
-5.47773887,2.14683481,0.31657194,0.00449812,0.33335367,1.92570770,0.00812680,0.06644464
-5.47173587,2.05185134,0.31454149,0.00427252,0.31647975,1.84198770,0.00742195,0.06323923
-5.46573287,1.97228796,0.31515502,0.00406604,0.30312472,1.77138016,0.00684894,0.06087797
-5.45972986,1.90876886,0.31839494,0.00387960,0.29342075,1.71441624,0.00641169,0.05944047
-5.45372686,1.86170524,0.32420700,0.00371383,0.28744945,1.67144602,0.00611299,0.05899736
-5.44772386,1.83129923,0.33250183,0.00356908,0.28524347,1.64264185,0.00595456,0.05960921
-5.44172086,1.81754942,0.34315707,0.00344547,0.28678833,1.62800299,0.00593710,0.06132529
-5.43571786,1.82025657,0.35601964,0.00334284,0.29202438,1.62736066,0.00606023,0.06418212
-5.42971486,1.83902918,0.37090828,0.00326080,0.30084841,1.64038284,0.00632253,0.06820194
-5.42371186,1.87328801,0.38761597,0.00319872,0.31311492,1.66657852,0.00672135,0.07339100
-5.41770885,1.92226961,0.40591219,0.00315580,0.32863687,1.70530106,0.00725280,0.07973776
