energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up
-6.00000000,1.17212190,0.02352649,0.01677803,0.56458513,0.14523065,0.43275794,0.35178586,0.79576400,0.00000000
-5.99399700,1.10690366,0.02281046,0.01523221,0.54384814,0.13481262,0.40785112,0.33453703,0.75149987,0.00000000
-5.98799400,1.04286352,0.02208273,0.01376423,0.52275064,0.12469009,0.38332370,0.31799643,0.70798931,0.00000000
-5.98199100,0.98047475,0.02134904,0.01237939,0.50152172,0.11492343,0.35936072,0.30224840,0.66555999,0.00000000
-5.97598799,0.92015460,0.02061450,0.01108178,0.48037167,0.10556674,0.33613013,0.28735164,0.62450264,0.00000000
-5.96998499,0.86225838,0.01988351,0.00987432,0.45948722,0.09666723,0.31378097,0.27333962,0.58506699,0.00000000
-5.96398199,0.80707599,0.01915962,0.00875882,0.43902811,0.08826488,0.29244226,0.26022189,0.54745947,0.00000000
-5.95797899,0.75483111,0.01844547,0.00773612,0.41912516,0.08039230,0.27222271,0.24798611,0.51184256,0.00000000
-5.95197599,0.70568314,0.01774279,0.00680624,0.39987983,0.07307491,0.25321122,0.23660097,0.47833611,0.00000000
-5.94597299,0.65973172,0.01705238,0.00596844,0.38136536,0.06633132,0.23547819,0.22601967,0.44702029,0.00000000
-5.93996998,0.61702365,0.01637424,0.00522147,0.36362935,0.06017402,0.21907759,0.21618401,0.41794018,0.00000000
-5.93396698,0.57756180,0.01570768,0.00456368,0.34669754,0.05461024,0.20404967,0.20702882,0.39111171,0.00000000
-5.92796398,0.54131555,0.01505143,0.00399324,0.33057858,0.04964295,0.19042415,0.19848653,0.36652864,0.00000000
-5.92196098,0.50823225,0.01440389,0.00350825,0.31526947,0.04527201,0.17822373,0.19049180,0.34417013,0.00000000
-5.91595798,0.47824896,0.01376330,0.00310697,0.30076122,0.04149540,0.16746777,0.18298586,0.32400863,0.00000000
-5.90995498,0.45130401,0.01312794,0.00278797,0.28704456,0.03831035,0.15817576,0.17592047,0.30601748,0.00000000
-5.90395198,0.42734760,0.01249633,0.00255024,0.27411510,0.03571450,0.15037056,0.16926125,0.29017796,0.00000000
-5.89794897,0.40635110,0.01186740,0.00239339,0.26197784,0.03370681,0.14408103,0.16299029,0.27648529,0.00000000
-5.89194597,0.38831430,0.01124065,0.00231768,0.25065067,0.03228837,0.13934391,0.15710791,0.26495339,0.00000000
-5.88594297,0.37327056,0.01061621,0.00232417,0.24016663,0.03146289,0.13620491,0.15163346,0.25561789,0.00000000
-5.87993997,0.36128929,0.00999495,0.00241473,0.23057484,0.03123694,0.13471866,0.14660516,0.24853759,0.00000000
-5.87393697,0.35247595,0.00937850,0.00259207,0.22194014,0.03161988,0.13494770,0.14207906,0.24379389,0.00000000
