energy_ev,total_up,Ca_p_up,Ca_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,5.32467093,0.00792524,0.00000000,3.75110453,1.69541322,0.02124447,1.36671609,0.04190432,1.87762738
-5.99399700,5.27850917,0.00770948,0.00000000,3.72515144,1.69734347,0.02058307,1.36078111,0.04174413,1.85861121
-5.98799400,5.24346723,0.00750537,0.00000000,3.70736441,1.70415439,0.01992496,1.35918654,0.04167952,1.84244989
-5.98199100,5.21969744,0.00731335,0.00000000,3.69789063,1.71585543,0.01927397,1.36200586,0.04170872,1.82917119
-5.97598799,5.20701073,0.00713359,0.00000000,3.69660490,1.73230543,0.01863423,1.36918272,0.04182871,1.81871274
-5.96998499,5.20487239,0.00696600,0.00000000,3.70310986,1.75321061,0.01801002,1.38053018,0.04203505,1.81092014
-5.96398199,5.21241310,0.00681027,0.00000000,3.71674778,1.77812905,0.01740569,1.39573515,0.04232176,1.80554956
-5.95797899,5.22845467,0.00666588,0.00000000,3.73662297,1.80648133,0.01682548,1.41436781,0.04268136,1.80227464
-5.95197599,5.25154917,0.00653215,0.00000000,3.76163374,1.83756688,0.01627338,1.43589527,0.04310494,1.80069762
-5.94597299,5.28002933,0.00640826,0.00000000,3.79051232,1.87058510,0.01575305,1.45969907,0.04358227,1.80036377
-5.93996998,5.31206771,0.00629332,0.00000000,3.82187057,1.90466045,0.01526764,1.48509535,0.04410210,1.80077874
-5.93396698,5.34574156,0.00618638,0.00000000,3.85424928,1.93887012,0.01481974,1.51135686,0.04465237,1.80142766
-5.92796398,5.37910027,0.00608651,0.00000000,3.88616878,1.97227306,0.01441125,1.53773588,0.04522051,1.80179517
-5.92196098,5.41023203,0.00599283,0.00000000,3.91617835,2.00393917,0.01404339,1.56348677,0.04579379,1.80138518
-5.91595798,5.43732679,0.00590452,0.00000000,3.94290249,2.03297716,0.01371660,1.58788756,0.04635963,1.79973962
-5.90995498,5.45873265,0.00582087,0.00000000,3.96508192,2.05856026,0.01343057,1.61025945,0.04690586,1.79645498
-5.90395198,5.47300345,0.00574131,0.00000000,3.98160808,2.07994849,0.01318427,1.62998378,0.04742103,1.79119613
-5.89794897,5.47893583,0.00566539,0.00000000,3.99154977,2.09650694,0.01297595,1.64651580,0.04789464,1.78370664
-5.89194597,5.47559464,0.00559279,0.00000000,3.99417147,2.10771942,0.01280328,1.65939500,0.04831731,1.77381529
-5.88594297,5.46232622,0.00552336,0.00000000,3.98894316,2.11319728,0.01266336,1.66825187,0.04868092,1.76143864
-5.87993997,5.43875987,0.00545701,0.00000000,3.97554180,2.11268324,0.01255291,1.67281111,0.04897872,1.74657956
-5.87393697,5.40479818,0.00539381,0.00000000,3.95384534,2.10605058,0.01246832,1.67289149,0.04920534,1.72932218
-5.86793397,5.36059753,0.00533386,0.00000000,3.92391999,2.09329802,0.01240580,1.66840282,0.04935683,1.70982348
-5.86193097,5.30654054,0.00527732,0.00000000,3.88600216,2.07454083,0.01236154,1.65934030,0.04943056,1.68830225
-5.85592796,5.24320228,0.00522439,0.00000000,3.84047627,2.04999896,0.01233181,1.64577690,0.04942517,1.66502612
-5.84992496,5.17131252,0.00517527,0.00000000,3.78784992,2.01998286,0.01231310,1.62785431,0.04934048,1.64029727
-5.84392196,5.09171614,0.00513011,0.00000000,3.72872777,1.98487792,0.01230220,1.60577295,0.04917735,1.61443785
-5.83791896,5.00533366,0.00508905,0.00000000,3.66378538,1.94512825,0.01229635,1.57978163,0.04893752,1.58777559
-5.83191596,4.91312393,0.00505218,0.00000000,3.59374420,1.90122057,0.01229327,1.55016734,0.04862349,1.56063062
-5.82591296,4.81605047,0.00501956,0.00000000,3.51934857,1.85366887,0.01229126,1.51724549,0.04823837,1.53330381
-5.81990995,4.71505286,0.00499117,0.00000000,3.44134560,1.80300040,0.01228920,1.48135106,0.04778578,1.50606738
-5.81390695,4.61102400,0.00496701,0.00000000,3.36046832,1.74974345,0.01228658,1.44283071,0.04726964,1.47915803
-5.80790395,4.50479392,0.00494705,0.00000000,3.27742247,1.69441712,0.01228349,1.40203621,0.04669416,1.45277278
-5.80190095,4.39712017,0.00493127,0.00000000,3.19287705,1.63752338,0.01228060,1.35931905,0.04606372,1.42706774
-5.79589795,4.28868484,0.00491974,0.00000000,3.10745864,1.57954128,0.01227909,1.31502637,0.04538279,1.40215955
-5.78989495,4.18009749,0.00491260,0.00000000,3.02174915,1.52092335,0.01228060,1.26949801,0.04465596,1.37812946
-5.78389195,4.07190341,0.00491010,0.00000000,2.93628675,1.46209398,0.01228714,1.22306464,0.04388787,1.35502960
-5.77788894,3.96459613,0.00491268,0.00000000,2.85156963,1.40344938,0.01230103,1.17604680,0.04308331,1.33289105
-5.77188594,3.85863307,0.00492095,0.00000000,2.76806177,1.34535899,0.01232479,1.12875459,0.04224720,1.31173323
-5.76588294,3.75445308,0.00493575,0.00000000,2.68620053,1.28816777,0.01236104,1.08148786,0.04138470,1.29157395
-5.75987994,3.65249442,0.00495817,0.00000000,2.60640502,1.23219908,0.01241245,1.03453674,0.04050128,1.27243960
-5.75387694,3.55321209,0.00498953,0.00000000,2.52908477,1.17775775,0.01248163,0.98818211,0.03960277,1.25437477
-5.74787394,3.45709302,0.00503142,0.00000000,2.45464798,1.12513293,0.01257106,0.94269619,0.03869549,1.23745083
-5.74187094,3.36466811,0.00508566,0.00000000,2.38350851,1.07460046,0.01268305,0.89834262,0.03778627,1.22177282
-5.73586793,3.27652010,0.00515431,0.00000000,2.31609112,1.02642439,0.01281969,0.85537633,0.03688249,1.20748424
-5.72986493,3.19328655,0.00523959,0.00000000,2.25283420,0.98085756,0.01298281,0.81404280,0.03599212,1.19476935
-5.72386193,3.11565729,0.00534389,0.00000000,2.19418956,0.93814102,0.01317395,0.77457674,0.03512363,1.18385283
-5.71785893,3.04436640,0.00546969,0.00000000,2.14061896,0.89850225,0.01339438,0.73720023,0.03428597,1.17499646
-5.71185593,2.98017838,0.00561950,0.00000000,2.09258699,0.86215234,0.01364510,0.70212017,0.03348840,1.16849321
-5.70585293,2.92386937,0.00579580,0.00000000,2.05055059,0.82928203,0.01392684,0.66952526,0.03274039,1.16465858
-5.69984992,2.87620371,0.00600097,0.00000000,2.01494520,0.80005698,0.01424013,0.63958251,0.03205133,1.16381973
-5.69384692,2.83790707,0.00623722,0.00000000,1.98616806,0.77461247,0.01458527,0.61243343,0.03143035,1.16630277
