energy_ev,total_up,As_p_up,As_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,5.00018097,0.82685872,0.00000000,2.53784167,2.37916470,2.05198272,0.00000000
-5.99399700,5.14291122,0.83898204,0.00000000,2.57974260,2.45570251,2.11752857,0.00000000
-5.98799400,5.27784519,0.84775276,0.00000000,2.61071010,2.53156475,2.17910012,0.00000000
-5.98199100,5.40290945,0.85311865,0.00000000,2.63007799,2.60568341,2.23568732,0.00000000
-5.97598799,5.51616618,0.85510866,0.00000000,2.63743198,2.67698058,2.28634483,0.00000000
-5.96998499,5.61585192,0.85383227,0.00000000,2.63261814,2.74438937,2.33021238,0.00000000
-5.96398199,5.70041010,0.84947573,0.00000000,2.61574155,2.80687451,2.36653258,0.00000000
-5.95797899,5.76851729,0.84229569,0.00000000,2.58715567,2.86345226,2.39466567,0.00000000
-5.95197599,5.81910314,0.83261032,0.00000000,2.54744319,2.91320965,2.41410120,0.00000000
-5.94597299,5.85136432,0.82078848,0.00000000,2.49738957,2.95532269,2.42446653,0.00000000
-5.93996998,5.86477307,0.80723736,0.00000000,2.43795087,2.98907353,2.42553222,0.00000000
-5.93396698,5.85908071,0.79238918,0.00000000,2.37021759,3.01386620,2.41721438,0.00000000
-5.92796398,5.83431676,0.77668738,0.00000000,2.29537641,3.02924063,2.39957421,0.00000000
-5.92196098,5.79078410,0.76057296,0.00000000,2.21467164,3.03488466,2.37281482,0.00000000
-5.91595798,5.72905049,0.74447143,0.00000000,2.12936803,3.03064350,2.33727572,0.00000000
-5.90995498,5.64993662,0.72878074,0.00000000,2.04071652,3.01652628,2.29342490,0.00000000
-5.90395198,5.55450100,0.71386053,0.00000000,1.94992399,2.99270925,2.24184896,0.00000000
-5.89794897,5.44402155,0.70002315,0.00000000,1.85812801,2.95953519,2.18324131,0.00000000
-5.89194597,5.31997411,0.68752649,0.00000000,1.76637697,2.91750895,2.11838873,0.00000000
-5.88594297,5.18400783,0.67656875,0.00000000,1.67561594,2.86728884,2.04815651,0.00000000
-5.87993997,5.03791774,0.66728544,0.00000000,1.58667805,2.80967408,1.97347236,0.00000000
-5.87393697,4.88361481,0.65974828,0.00000000,1.50028109,2.74558845,1.89530951,0.00000000
-5.86793397,4.72309398,0.65396625,0.00000000,1.41702871,2.67606076,1.81466915,0.00000000
-5.86193097,4.55840076,0.64988852,0.00000000,1.33741563,2.60220260,1.73256282,0.00000000
-5.85592796,4.39159740,0.64740919,0.00000000,1.26183600,2.52518435,1.64999493,0.00000000
-5.84992496,4.22472945,0.64637364,0.00000000,1.19059419,2.44621019,1.56794606,0.00000000
-5.84392196,4.05979371,0.64658628,0.00000000,1.12391724,2.36649312,1.48735725,0.00000000
-5.83791896,3.89870871,0.64781948,0.00000000,1.06196826,2.28723095,1.40911595,0.00000000
-5.83191596,3.74328853,0.64982330,0.00000000,1.00486022,2.20958410,1.33404387,0.00000000
-5.82591296,3.59522087,0.65233588,0.00000000,0.95266957,2.13465586,1.26288703,0.00000000
-5.81990995,3.45604992,0.65509393,0.00000000,0.90544930,2.06347589,1.19630841,0.00000000
-5.81390695,3.32716442,0.65784317,0.00000000,0.86324111,1.99698709,1.13488320,0.00000000
-5.80790395,3.20979093,0.66034821,0.00000000,0.82608644,1.93603621,1.07909681,0.00000000
-5.80190095,3.10499217,0.66240166,0.00000000,0.79403610,1.88136797,1.02934549,0.00000000
-5.79589795,3.01366990,0.66383198,0.00000000,0.76715846,1.83362255,0.98593939,0.00000000
-5.78989495,2.93657161,0.66450988,0.00000000,0.74554593,1.79333601,0.94910791,0.00000000
-5.78389195,2.87430016,0.66435298,0.00000000,0.72931965,1.76094299,0.91900675,0.00000000
-5.77788894,2.82732527,0.66332865,0.00000000,0.71863228,1.73678115,0.89572642,0.00000000
-5.77188594,2.79599577,0.66145470,0.00000000,0.71366878,1.72109673,0.87930154,0.00000000
