energy_ev,total_up,Au_p_up,Au_d_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.32782968,0.54975013,0.58657245,0.01048017,0.00000000,0.00896378,0.07809920,0.01734711,0.44178749
-5.99399700,1.35433146,0.56015526,0.60704164,0.01056359,0.00000000,0.00817322,0.08012959,0.01734727,0.44605043
-5.98799400,1.38280063,0.56937087,0.62879993,0.01063529,0.00000000,0.00758933,0.08198236,0.01737957,0.45092500
-5.98199100,1.41331370,0.57742806,0.65192730,0.01069519,0.00000000,0.00721324,0.08365992,0.01744249,0.45642715
-5.97598799,1.44605885,0.58441629,0.67654684,0.01074436,0.00000000,0.00704574,0.08517192,0.01753634,0.46261406
-5.96998499,1.48132221,0.59047896,0.70281476,0.01078500,0.00000000,0.00708749,0.08653451,0.01766325,0.46958118
-5.96398199,1.51946833,0.59580648,0.73090788,0.01082036,0.00000000,0.00733916,0.08776933,0.01782703,0.47745715
-5.95797899,1.56091605,0.60062754,0.76100966,0.01085457,0.00000000,0.00780138,0.08890225,0.01803300,0.48639689
-5.95197599,1.60611091,0.60519874,0.79329508,0.01089254,0.00000000,0.00847464,0.08996196,0.01828774,0.49657323
-5.94597299,1.65549550,0.60979332,0.82791539,0.01093972,0.00000000,0.00935908,0.09097850,0.01859879,0.50816743
-5.93996998,1.70947930,0.61468936,0.86498330,0.01100193,0.00000000,0.01045420,0.09198178,0.01897436,0.52135916
-5.93396698,1.76840934,0.62015809,0.90455954,0.01108511,0.00000000,0.01175845,0.09300013,0.01942294,0.53631627
-5.92796398,1.83254320,0.62645283,0.94664133,0.01119515,0.00000000,0.01326877,0.09405907,0.01995302,0.55318497
-5.92196098,1.90202549,0.63379888,0.99115341,0.01133764,0.00000000,0.01498015,0.09518020,0.02057273,0.57208058
-5.91595798,1.97686870,0.64238490,1.03794209,0.01151772,0.00000000,0.01688512,0.09638035,0.02128950,0.59307946
-5.90995498,2.05693922,0.65235586,1.08677246,0.01173985,0.00000000,0.01897328,0.09767098,0.02210975,0.61621221
-5.90395198,2.14194882,0.66380787,1.13732904,0.01200767,0.00000000,0.02123088,0.09905785,0.02303864,0.64145836
-5.89794897,2.23145173,0.67678476,1.18921961,0.01232388,0.00000000,0.02364053,0.10054092,0.02407978,0.66874281
-5.89194597,2.32484708,0.69127655,1.24198205,0.01269008,0.00000000,0.02618092,0.10211452,0.02523495,0.69793376
-5.88594297,2.42138625,0.70721950,1.29509374,0.01310672,0.00000000,0.02882682,0.10376764,0.02650393,0.72884240
-5.87993997,2.52018460,0.72449769,1.34798308,0.01357298,0.00000000,0.03154911,0.10548444,0.02788423,0.76122410
-5.87393697,2.62023666,0.74294575,1.40004237,0.01408675,0.00000000,0.03431502,0.10724483,0.02937092,0.79478098
-5.86793397,2.72043419,0.76235266,1.45064155,0.01464458,0.00000000,0.03708859,0.10902505,0.03095648,0.82916583
-5.86193097,2.81958616,0.78246625,1.49914223,0.01524167,0.00000000,0.03983123,0.11079842,0.03263062,0.86398709
-5.85592796,2.91644002,0.80299827,1.54491119,0.01587189,0.00000000,0.04250250,0.11253588,0.03438022,0.89881487
-5.84992496,3.00970366,0.82362987,1.58733320,0.01652783,0.00000000,0.04506096,0.11420663,0.03618925,0.93318779
-5.84392196,3.09806753,0.84401732,1.62582253,0.01720084,0.00000000,0.04746517,0.11577865,0.03803883,0.96662061
-5.83791896,3.18022669,0.86379801,1.65983308,0.01788117,0.00000000,0.04967479,0.11721921,0.03990729,0.99861248
-5.83191596,3.25490253,0.88259663,1.68886684,0.01855807,0.00000000,0.05165161,0.11849528,0.04177041,1.02865584
