energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.35494970,0.00278614,0.02484288,0.15371653,0.02537830,0.22649891,0.00000000,0.12309108,0.05995338
-5.99399700,0.37437883,0.00301163,0.02713860,0.17024544,0.02707657,0.23695398,0.00000000,0.12969402,0.06453080
-5.98799400,0.39981498,0.00325873,0.02986948,0.18913443,0.02925127,0.25122314,0.00000000,0.13838654,0.06999057
-5.98199100,0.43126045,0.00352451,0.03304563,0.21040107,0.03190901,0.26928823,0.00000000,0.14915615,0.07632504
-5.97598799,0.46868306,0.00380572,0.03667542,0.23404592,0.03505386,0.29110722,0.00000000,0.16197693,0.08352251
-5.96998499,0.51202029,0.00409879,0.04076577,0.26005397,0.03868740,0.31661702,0.00000000,0.17681077,0.09156825
-5.96398199,0.56118327,0.00439990,0.04532242,0.28839671,0.04280885,0.34573615,0.00000000,0.19360850,0.10044559
-5.95797899,0.61606038,0.00470507,0.05035034,0.31903466,0.04741502,0.37836716,0.00000000,0.21231096,0.11013693
-5.95197599,0.67652035,0.00501019,0.05585394,0.35192031,0.05250039,0.41439869,0.00000000,0.23284991,0.12062469
-5.94597299,0.74241473,0.00531113,0.06183741,0.38700130,0.05805702,0.45370721,0.00000000,0.25514882,0.13189216
-5.93996998,0.81357952,0.00560380,0.06830487,0.42422351,0.06407446,0.49615820,0.00000000,0.27912353,0.14392407
-5.93396698,0.88983579,0.00588419,0.07526051,0.46353399,0.07053969,0.54160687,0.00000000,0.30468272,0.15670698
-5.92796398,0.97098912,0.00614848,0.08270849,0.50488325,0.07743683,0.58989819,0.00000000,0.33172812,0.17022921
-5.92196098,1.05682772,0.00639309,0.09065270,0.54822673,0.08474700,0.64086616,0.00000000,0.36015453,0.18448049
-5.91595798,1.14711907,0.00661472,0.09909628,0.59352504,0.09244796,0.69433249,0.00000000,0.38984947,0.19945114
-5.90995498,1.24160514,0.00681038,0.10804091,0.64074284,0.10051374,0.75010431,0.00000000,0.42069262,0.21513070
-5.90395198,1.33999599,0.00697748,0.11748579,0.68984603,0.10891426,0.80797128,0.00000000,0.45255486,0.23150621
-5.89794897,1.44196219,0.00711383,0.12742643,0.74079726,0.11761481,0.86770189,0.00000000,0.48529700,0.24856001
-5.89194597,1.54712600,0.00721765,0.13785315,0.79354965,0.12657560,0.92903931,0.00000000,0.51876820,0.26626711
-5.88594297,1.65505186,0.00728763,0.14874938,0.84803889,0.13575121,0.99169678,0.00000000,0.55280423,0.28459240
-5.87993997,1.76523659,0.00732287,0.16008989,0.90417399,0.14509013,1.05535289,0.00000000,0.58722555,0.30348756
-5.87393697,1.87709995,0.00732296,0.17183886,0.96182708,0.15453437,1.11964710,0.00000000,0.62183534,0.32288815
-5.86793397,1.98997621,0.00728793,0.18394813,1.02082277,0.16401908,1.18417578,0.00000000,0.65641775,0.34271068
-5.86193097,2.10310750,0.00721825,0.19635558,1.08092773,0.17347247,1.24848916,0.00000000,0.69073642,0.36285025
-5.85592796,2.21563975,0.00711484,0.20898374,1.14184116,0.18281581,1.31208969,0.00000000,0.72453356,0.38317864
-5.84992496,2.32662199,0.00697902,0.22173896,1.20318705,0.19196377,1.37443218,0.00000000,0.75752976,0.40354319
-5.84392196,2.43500960,0.00681254,0.23451104,1.26450882,0.20082499,1.43492595,0.00000000,0.78942469,0.42376669
-5.83791896,2.53967232,0.00661748,0.24717353,1.32526720,0.20930301,1.49293953,0.00000000,0.81989901,0.44364823
-5.83191596,2.63940712,0.00639633,0.25958484,1.38484181,0.21729755,1.54780795,0.00000000,0.84861743,0.46296538
-5.82591296,2.73295640,0.00615184,0.27159005,1.44253706,0.22470612,1.59884273,0.00000000,0.87523318,0.48147749
-5.81990995,2.81903125,0.00588707,0.28302358,1.49759236,0.23142598,1.64534463,0.00000000,0.89939388,0.49893024
-5.81390695,2.89633945,0.00560531,0.29371264,1.54919695,0.23735643,1.68661886,0.00000000,0.92074872,0.51506142
-5.80790395,2.96361767,0.00531003,0.30348134,1.59650884,0.24240131,1.72199244,0.00000000,0.93895682,0.52960763
-5.80190095,3.01966674,0.00500486,0.31215541,1.63867744,0.24647172,1.75083328,0.00000000,0.95369667,0.54231182
-5.79589795,3.06338899,0.00469349,0.31956729,1.67486918,0.24948878,1.77257019,0.00000000,0.96467619,0.55293141
-5.78989495,3.09382611,0.00437967,0.32556153,1.70429501,0.25138648,1.78671327,0.00000000,0.97164320,0.56124665
-5.78389195,3.11019610,0.00406711,0.33000002,1.72623875,0.25211426,1.79287366,0.00000000,0.97439573,0.56706885
-5.77788894,3.11192749,0.00375946,0.33276715,1.74008480,0.25163948,1.79078187,0.00000000,0.97279190,0.57024826
-5.77188594,3.09868949,0.00346027,0.33377435,1.74534422,0.24994946,1.78030383,0.00000000,0.96675866,0.57068103
-5.76588294,3.07041623,0.00317291,0.33296401,1.74167753,0.24705311,1.76145378,0.00000000,0.95629915,0.56831516
-5.75987994,3.02732403,0.00290059,0.33031241,1.72891326,0.24298198,1.73440327,0.00000000,0.94149811,0.56315490
-5.75387694,2.96992041,0.00264629,0.32583170,1.70706121,0.23779066,1.69948576,0.00000000,0.92252505,0.55526357
-5.74787394,2.89900430,0.00241275,0.31957057,1.67631962,0.23155665,1.65719632,0.00000000,0.89963489,0.54476445
-5.74187094,2.81565691,0.00220249,0.31161375,1.63707576,0.22437939,1.60818630,0.00000000,0.87316593,0.53183972
-5.73586793,2.72122346,0.00201775,0.30208031,1.58989982,0.21637875,1.55325291,0.00000000,0.84353506,0.51672743
-5.72986493,2.61728612,0.00186055,0.29112076,1.53553232,0.20769284,1.49332404,0.00000000,0.81123032,0.49971657
-5.72386193,2.50562918,0.00173263,0.27891305,1.47486536,0.19847533,1.42943865,0.00000000,0.77680104,0.48114027
-5.71785893,2.38819739,0.00163552,0.26565782,1.40891874,0.18889228,1.36272351,0.00000000,0.74084583,0.46136761
-5.71185593,2.26704930,0.00157048,0.25157287,1.33881174,0.17911862,1.29436703,0.00000000,0.70399879,0.44079404
-5.70585293,2.14430691,0.00153854,0.23688725,1.26573190,0.16933446,1.22559098,0.00000000,0.66691456,0.41983095
-5.69984992,2.02210386,0.00154047,0.22183517,1.19090207,0.15972128,1.15762133,0.00000000,0.63025256,0.39889470
-5.69384692,1.90253354,0.00157680,0.20664993,1.11554705,0.15045816,1.09165899,0.00000000,0.59466110,0.37839543
-5.68784392,1.78759936,0.00164776,0.19155818,1.04086116,0.14171820,1.02885156,0.00000000,0.56076189,0.35872622
-5.68184092,1.67916846,0.00175326,0.17677468,0.96797797,0.13366515,0.97026694,0.00000000,0.52913538,0.34025275
-5.67583792,1.57893040,0.00189292,0.16249770,0.89794316,0.12645039,0.91686963,0.00000000,0.50030746,0.32330399
-5.66983492,1.48836220,0.00206593,0.14890521,0.83169142,0.12021042,0.86950045,0.00000000,0.47473798,0.30816413
-5.66383192,1.40870022,0.00227110,0.13615200,0.77002797,0.11506464,0.82886008,0.00000000,0.45281122,0.29506600
-5.65782891,1.34091992,0.00250680,0.12436764,0.71361515,0.11111375,0.79549688,0.00000000,0.43482869,0.28418626
-5.65182591,1.28572334,0.00277088,0.11365542,0.66296410,0.10843854,0.76979925,0.00000000,0.42100437,0.27564230
-5.64582291,1.24353467,0.00306074,0.10409202,0.61843157,0.10709922,0.75199238,0.00000000,0.41146240,0.26949120
-5.63981991,1.21450345,0.00337324,0.09572812,0.58022158,0.10713511,0.74213952,0.00000000,0.40623718,0.26573044
-5.63381691,1.19851491,0.00370474,0.08858949,0.54839135,0.10856478,0.74014745,0.00000000,0.40527590,0.26430056
-5.62781391,1.19520686,0.00405112,0.08267879,0.52286122,0.11138655,0.74577581,0.00000000,0.40844315,0.26508956
-5.62181091,1.20399234,0.00440783,0.07797766,0.50342764,0.11557929,0.75864989,0.00000000,0.41552762,0.26793876
