energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.30240691,0.01134264,0.07545684,0.02307487,0.74730766,0.20644495,0.13877226,0.26413469,0.10256341
-5.99399700,1.42686166,0.01216750,0.08257490,0.02474833,0.82035437,0.22438499,0.15220000,0.29317392,0.11310853
-5.98799400,1.56466722,0.01306222,0.09037298,0.02653110,0.90126064,0.24533338,0.16700403,0.32505979,0.12491097
-5.98199100,1.71507682,0.01401277,0.09879803,0.02838807,0.98964612,0.26923439,0.18309030,0.35972563,0.13795673
-5.97598799,1.87729577,0.01500546,0.10778712,0.03028276,1.08511633,0.29604495,0.20036118,0.39709894,0.15222274
-5.96998499,2.05048723,0.01602713,0.11726828,0.03217809,1.18726472,0.32573238,0.21871622,0.43710102,0.16767641
-5.96398199,2.23377830,0.01706542,0.12716145,0.03403720,1.29567444,0.35827121,0.23805288,0.47964639,0.18427515
-5.95797899,2.42626607,0.01810895,0.13737978,0.03582437,1.40991967,0.39363917,0.25826735,0.52464187,0.20196594
-5.95197599,2.62702333,0.01914753,0.14783102,0.03750603,1.52956631,0.43181242,0.27925529,0.57198533,0.22068492
-5.94597299,2.83510371,0.02017232,0.15841911,0.03905174,1.65417196,0.47275994,0.30091252,0.62156398,0.24035693
-5.93996998,3.04954576,0.02117600,0.16904582,0.04043523,1.78328501,0.51643742,0.32313566,0.67325213,0.26089528
-5.93396698,3.26937604,0.02215286,0.17961248,0.04163532,1.91644299,0.56278057,0.34582260,0.72690862,0.28220154
-5.92796398,3.49361087,0.02309886,0.19002170,0.04263680,2.05317002,0.61169836,0.36887293,0.78237373,0.30416556
-5.92196098,3.72125720,0.02401164,0.20017899,0.04343116,2.19297386,0.66306619,0.39218811,0.83946591,0.32666573
-5.91595798,3.95131255,0.02489049,0.20999435,0.04401714,2.33534259,0.71671951,0.41567174,0.89797841,0.34956959
-5.90995498,4.18276470,0.02573627,0.21938374,0.04440109,2.47974147,0.77244818,0.43922958,0.95767604,0.37273475
