energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,3.30687966,0.02423830,0.16541713,1.35344515,0.34686641,0.66768115,0.30644840,0.08722541,1.91992353
-5.99399700,3.38199252,0.02549582,0.16421326,1.34577058,0.36334381,0.66934785,0.31249157,0.09296094,1.97426289
-5.98799400,3.46503025,0.02687023,0.16332331,1.34056687,0.38119436,0.67395648,0.31942757,0.09856157,2.03334026
-5.98199100,3.55409697,0.02834251,0.16269396,1.33781375,0.40007226,0.68099281,0.32711583,0.10394725,2.09601002
-5.97598799,3.64717346,0.02989338,0.16226836,1.33741085,0.41961641,0.68991495,0.33539759,0.10904155,2.16104317
-5.96998499,3.74215165,0.03150381,0.16198760,1.33916613,0.43945791,0.70016424,0.34409825,0.11377381,2.22714659
-5.96398199,3.83687326,0.03315536,0.16179226,1.34278914,0.45922793,0.71117656,0.35303033,0.11808111,2.29298522
-5.95797899,3.92917197,0.03483061,0.16162404,1.34788972,0.47856543,0.72239380,0.36199706,0.12190996,2.35720697
-5.95197599,4.01691842,0.03651352,0.16142744,1.35398254,0.49712487,0.73327544,0.37079642,0.12521771,2.41846987
-5.94597299,4.09806662,0.03818978,0.16115140,1.36049742,0.51458354,0.74330983,0.37922568,0.12797361,2.47547075
-5.93996998,4.17070089,0.03984710,0.16075087,1.36679509,0.53064841,0.75202510,0.38708618,0.13015933,2.52697478
-5.93396698,4.23308156,0.04147549,0.16018829,1.37218766,0.54506232,0.75899915,0.39418840,0.13176927,2.57184486
-5.92796398,4.28368820,0.04306753,0.15943481,1.37596281,0.55760934,0.76386878,0.40035689,0.13281020,2.60907003
-5.92196098,4.32125868,0.04461850,0.15847137,1.37741041,0.56811927,0.76633735,0.40543515,0.13330074,2.63779168
-5.91595798,4.34482265,0.04612654,0.15728943,1.37585034,0.57647101,0.76618090,0.40929012,0.13327030,2.65732681
-5.90995498,4.35372806,0.04759275,0.15589142,1.37065990,0.58259474,0.76325238,0.41181611,0.13275786,2.66718712
-5.90395198,4.34765949,0.04902112,0.15429079,1.36129944,0.58647297,0.75748397,0.41293808,0.13181043,2.66709326
-5.89794897,4.32664729,0.05041855,0.15251178,1.34733492,0.58814014,0.74888708,0.41261396,0.13048145,2.65698344
-5.89194597,4.29106683,0.05179461,0.15058868,1.32845619,0.58768096,0.73755026,0.41083608,0.12882903,2.63701575
-5.88594297,4.24162738,0.05316133,0.14856483,1.30449015,0.58522737,0.72363486,0.40763146,0.12691421,2.60756404
-5.87993997,4.17935072,0.05453278,0.14649120,1.27540805,0.58095420,0.70736850,0.40306092,0.12479927,2.56920701
-5.87393697,4.10553958,0.05592458,0.14442461,1.24132679,0.57507354,0.68903672,0.39721711,0.12254604,2.52271088
