energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,3.63698532,-3.63780738,0.01738861,-0.01738628,0.32527600,-0.32535845,1.03033242,-1.03055380,0.22693673,-0.22721547,0.07670115,-0.07672065,1.76428785,-1.76458808,0.48627741,-0.48660867,0.22228006,-0.22235165
-5.99399700,3.67161035,-3.67281701,0.01787048,-0.01787967,0.33070065,-0.33084793,1.03951347,-1.03978847,0.23124566,-0.23159587,0.07716515,-0.07718955,1.77996697,-1.78039471,0.50162469,-0.50202427,0.22540886,-0.22549883
-5.98799400,3.71292353,-3.71453434,0.01860021,-0.01862042,0.33743960,-0.33765415,1.04834392,-1.04867513,0.23718724,-0.23761265,0.07774256,-0.07777357,1.79741209,-1.79797554,0.51791895,-0.51838583,0.22896294,-0.22907444
-5.98199100,3.76160104,-3.76364244,0.01956851,-0.01959937,0.34554961,-0.34583455,1.05690488,-1.05729677,0.24483686,-0.24534207,0.07848900,-0.07852840,1.81695879,-1.81766899,0.53514867,-0.53568189,0.23303750,-0.23317400
-5.97598799,3.81854220,-3.82104510,0.02076903,-0.02081030,0.35510922,-0.35546809,1.06536645,-1.06582486,0.25428418,-0.25487441,0.07946093,-0.07951050,1.83904509,-1.83991486,0.55332243,-0.55392081,0.23773491,-0.23790002
-5.96998499,3.88478305,-3.88778012,0.02219766,-0.02224918,0.36621062,-0.36664712,1.07396834,-1.07449994,0.26562552,-0.26630636,0.08071332,-0.08077475,1.86417107,-1.86521376,0.57245813,-0.57311997,0.24315873,-0.24335599
-5.96398199,3.96140150,-3.96492430,0.02385169,-0.02391337,0.37895068,-0.37946838,1.08299763,-1.08360929,0.27895563,-0.27973272,0.08229712,-0.08237197,1.89285455,-1.89408280,0.59257124,-0.59329409,0.24940732,-0.24964001
-5.95797899,4.04941899,-4.05349508,0.02572901,-0.02580077,0.39342142,-0.39402345,1.09276475,-1.09346291,0.29435906,-0.29523776,0.08425694,-0.08434652,1.92558550,-1.92700991,0.61366302,-0.61444338,0.25656753,-0.25683849
-5.95197599,4.14970363,-4.15435376,0.02782721,-0.02790895,0.40970054,-0.41038929,1.10357907,-1.10436915,0.31190162,-0.31288666,0.08662875,-0.08673410,1.96278138,-1.96440931,0.63570917,-0.63654231,0.26470868,-0.26502012
-5.94597299,4.26287981,-4.26811527,0.03014270,-0.03023427,0.42784232,-0.42861917,1.11572529,-1.11661113,0.33162208,-0.33271720,0.08943795,-0.08955972,2.00474576,-2.00658027,0.65864992,-0.65952974,0.27387711,-0.27423041
-5.93996998,4.38924881,-4.39506919,0.03266988,-0.03277104,0.44786942,-0.44873444,1.12944203,-1.13042541,0.35352462,-0.35473224,0.09269762,-0.09283608,2.05163268,-2.05367158,0.68238210,-0.68330102,0.28409153,-0.28448713
-5.93396698,4.52872461,-4.53511600,0.03540042,-0.03551080,0.46976590,-0.47071764,1.14490360,-1.14598380,0.37757230,-0.37889320,0.09640731,-0.09656226,2.10341832,-2.10565352,0.70675392,-0.70770290,0.29533958,-0.29577683
-5.92796398,4.68078831,-4.68772190,0.03832255,-0.03844161,0.49347184,-0.49450715,1.16220588,-1.16337945,0.40368181,-0.40511482,0.10055224,-0.10072298,2.15988186,-2.16229892,0.73156278,-0.73253138,0.30757549,-0.30805261
-5.92196098,4.84446340,-4.85189487,0.04142053,-0.04154756,0.51887987,-0.51999369,1.18135708,-1.18261766,0.43171972,-0.43326146,0.10510294,-0.10528830,2.22059650,-2.22317450,0.75655659,-0.75753316,0.32071924,-0.32123324
-5.91595798,5.01831367,-5.02618297,0.04467423,-0.04480829,0.54583360,-0.54701896,1.20227374,-1.20361204,0.46150049,-0.46314521,0.11001553,-0.11021383,2.28493120,-2.28764289,0.78143860,-0.78241050,0.33465706,-0.33520376
-5.90995498,5.20046361,-5.20869560,0.04805887,-0.04819879,0.57412831,-0.57537623,1.22478210,-1.22618600,0.49278633,-0.49452579,0.11523248,-0.11544157,2.35206326,-2.35487553,0.80587566,-0.80682962,0.34924340,-0.34981748
-5.90395198,5.38864088,-5.39714642,0.05154493,-0.05168932,0.60351362,-0.60481320,1.24862469,-1.25007947,0.52528899,-0.52711235,0.12068383,-0.12090113,2.42100114,-2.42387572,0.82950968,-0.83043215,0.36430422,-0.36489929
-5.89794897,5.58023860,-5.58891632,0.05509825,-0.05524545,0.63369819,-0.63503668,1.27347164,-1.27496034,0.55867339,-0.56056729,0.12628900,-0.12651153,2.49061649,-2.49351092,0.85197166,-0.85284926,0.37964147,-0.38025019
-5.89194597,5.77239471,-5.78113324,0.05868026,-0.05882840,0.66435616,-0.66571914,1.29893604,-1.30043990,0.59256316,-0.59451181,0.13195887,-0.13218334,2.55968376,-2.56255257,0.87289774,-0.87371770,0.39503851,-0.39565276
-5.88594297,5.96208442,-5.97076511,0.06224850,-0.06239547,0.69513508,-0.69650668,1.32459245,-1.32609139,0.62654780,-0.62853318,0.13759831,-0.13782119,2.62692552,-2.62972156,0.89194631,-0.89269696,0.41026639,-0.41087745
-5.87993997,6.14622158,-6.15472149,0.06575719,-0.06590071,0.72566498,-0.72702817,1.34999735,-1.35147060,0.66019126,-0.66219343,0.14310891,-0.14332651,2.69106120,-2.69373706,0.90881542,-0.90948659,0.42509050,-0.42568927
-5.87393697,6.32176390,-6.32995900,0.06915808,-0.06929570,0.75556817,-0.75690511,1.37471060,-1.37613727,0.69304182,-0.69503926,0.14839178,-0.14860035,2.75085682,-2.75336625,0.92325940,-0.92384285,0.43927746,-0.43985464
-5.86793397,6.48581715,-6.49358569,0.07240138,-0.07253055,0.78446938,-0.78576174,1.39831652,-1.39967619,0.72464265,-0.72661271,0.15335048,-0.15354633,2.80517324,-2.80747260,0.93510381,-0.93559356,0.45260184,-0.45314820
-5.86193097,6.63573359,-6.64295926,0.07543687,-0.07555500,0.81200574,-0.81323514,1.42044358,-1.42171688,0.75454302,-0.75646241,0.15789383,-0.15807338,2.85301058,-2.85506018,0.94425782,-0.94465041,0.46485255,-0.46535917
-5.85592796,6.76919991,-6.77577503,0.07821509,-0.07831961,0.83783631,-0.83898471,1.44078166,-1.44195081,0.78230947,-0.78415484,0.16193846,-0.16209839,2.89354671,-2.89531196,0.95072330,-0.95101793,0.47583858,-0.47629702
-5.84992496,6.88431117,-6.89013942,0.08068860,-0.08077701,0.86165073,-0.86270087,1.45909603,-1.46014528,0.80753680,-0.80928529,0.16541120,-0.16554850,2.92616796,-2.92762038,0.95459997,-0.95479860,0.48539382,-0.48579636
-5.84392196,6.97962734,-6.98462625,0.08281324,-0.08288320,0.88317667,-0.88411243,1.47523743,-1.47615343,0.82985830,-0.83148813,0.16825101,-0.16836308,2.95049070,-2.95160868,0.95608634,-0.95619360,0.49338095,-0.49372078
-5.83791896,7.05421066,-7.05831350,0.08454945,-0.08459886,0.90218585,-0.90299268,1.48914782,-1.48991991,0.84895503,-0.85044607,0.17041049,-0.17049519,2.96637293,-2.96714221,0.95547610,-0.95549917,0.49969421,-0.49996554
-5.83191596,7.10764242,-7.11079969,0.08586342,-0.08589048,0.91849848,-0.91916370,1.50086174,-1.50148212,0.86456363,-0.86589795,0.17185694,-0.17191266,2.97391557,-2.97432947,0.95315024,-0.95309854,0.50426095,-0.50445919
-5.82591296,7.14001950,-7.14219977,0.08672825,-0.08673151,0.93198604,-0.93249916,1.51050332,-1.51096711,0.87648260,-0.87764495,0.17257288,-0.17259857,2.97345360,-2.97351300,0.94956501,-0.94944989,0.50704216,-0.50716397
-5.81990995,7.15193134,-7.15312156,0.08712483,-0.08710329,0.94257235,-0.94292529,1.51827926,-1.51858447,0.88457672,-0.88555494,0.17255609,-0.17255127,2.96553789,-2.96525090,0.94523641,-0.94507070,0.50803185,-0.50807523
-5.81390695,7.14441950,-7.14462472,0.08704263,-0.08699572,0.95023300,-0.95042027,1.52446840,-1.52461580,0.88877950,-0.88956484,0.17181919,-0.17178394,2.95090875,-2.95029020,0.94072173,-0.94051927,0.50725555,-0.50721983
-5.80790395,7.11892238,-7.11816499,0.08648016,-0.08640783,0.95499344,-0.95501221,1.52940855,-1.52940148,0.88909362,-0.88968097,0.17038869,-0.17032367,2.93046291,-2.92953359,0.93659913,-0.93637428,0.50476802,-0.50465387
-5.80190095,7.07720850,-7.07552692,0.08544526,-0.08534797,0.95692559,-0.95677577,1.53348129,-1.53332539,0.88558945,-0.88597744,0.16830379,-0.16821017,2.90521558,-2.90400138,0.93344612,-0.93321321,0.50065033,-0.50045971
-5.79589795,7.02130193,-7.01874900,0.08395505,-0.08383375,0.95614360,-0.95582774,1.53709579,-1.53679866,0.87840160,-0.87859261,0.16561473,-0.16549417,2.87625979,-2.87479070,0.93181792,-0.93159076,0.49500659,-0.49474266
-5.78989495,6.95340380,-6.95004476,0.08203557,-0.08189172,0.95279873,-0.95232191,1.54067230,-1.54024317,0.86772391,-0.86772389,0.16238102,-0.16223559,2.84472489,-2.84303390,0.93222669,-0.93201810,0.48796042,-0.48762747
-5.78389195,6.87581356,-6.87172393,0.07972122,-0.07955673,0.94707369,-0.94644338,1.54462629,-1.54407567,0.85380282,-0.85362115,0.15866943,-0.15850157,2.81173620,-2.80985829,0.93512258,-0.93494398,0.47965137,-0.47925470
-5.77788894,6.79085368,-6.78611690,0.07705389,-0.07687107,0.93917683,-0.93840261,1.54935383,-1.54869312,0.83692978,-0.83657888,0.15455198,-0.15436440,2.77837762,-2.77634870,0.94087729,-0.94073839,0.47023149,-0.46977728
-5.77188594,6.70080054,-6.69550569,0.07408182,-0.07388333,0.92933616,-0.92842947,1.55521884,-1.55446005,0.81743266,-0.81692760,0.15010387,-0.14989949,2.74565874,-2.74351467,0.94977102,-0.94967952,0.45986211,-0.45935725
-5.76588294,6.60782427,-6.60206375,0.07085834,-0.07064709,0.91779371,-0.91676753,1.56254265,-1.56169805,0.79566670,-0.79502474,0.14540158,-0.14518344,2.71448748,-2.71226326,0.96198304,-0.96194453,0.44871084,-0.44816284
-5.75987994,6.51393896,-6.50780638,0.06744040,-0.06721950,0.90480008,-0.90366862,1.57159600,-1.57067791,0.77200539,-0.77124546,0.14052096,-0.14029216,2.68564914,-2.68337816,0.97758643,-0.97760429,0.43694901,-0.43636579
-5.75387694,6.42096443,-6.41455263,0.06388708,-0.06365972,0.89060956,-0.88938787,1.58259371,-1.58161424,0.74683136,-0.74597351,0.13553567,-0.13529928,2.65979225,-2.65750571,0.99654690,-0.99662236,0.42474937,-0.42413915
-5.74787394,6.33049955,-6.32389892,0.06025798,-0.06002739,0.87547563,-0.87417931,1.59569164,-1.59466260,0.72052777,-0.71959265,0.13051569,-0.13027470,2.63742099,-2.63514751,1.01872567,-1.01885792,0.41228410,-0.41165523
-5.74187094,6.24390677,-6.23720376,0.05661172,-0.05638102,0.85964710,-0.85829197,1.61098603,-1.60991872,0.69347041,-0.69247875,0.12552612,-0.12528338,2.61889398,-2.61665923,1.04388606,-1.04407243,0.39972306,-0.39908390
-5.73586793,6.16230659,-6.15558251,0.05300445,-0.05277662,0.84336461,-0.84196638,1.62851443,-1.62741965,0.66602060,-0.66499270,0.12062620,-0.12038437,2.60442842,-2.60225505,1.07170337,-1.07193959,0.38723215,-0.38659093
-5.72986493,6.08658041,-6.07991048,0.04948853,-0.04926635,0.82685766,-0.82543167,1.64825814,-1.64714608,0.63851909,-0.63747439,0.11586856,-0.11563005,2.59410893,-2.59201646,1.10177736,-1.10205787,0.37497180,-0.37433645
-5.72386193,6.01737972,-6.01083235,0.04611140,-0.04589733,0.81034187,-0.80890283,1.67014532,-1.66902559,0.61128098,-0.61023772,0.11129868,-0.11106566,2.58789947,-2.58590435,1.13364669,-1.13396490,0.36309529,-0.36247337
-5.71785893,5.95513966,-5.94877594,0.04291457,-0.04271078,0.79401655,-0.79257834,1.69405456,-1.69293612,0.58459179,-0.58356664,0.10695455,-0.10672889,2.58565756,-2.58377325,1.16680447,-1.16715315,0.35174713,-0.35114568
-5.71185593,5.90009466,-5.89396801,0.03993296,-0.03974123,0.77806239,-0.77663790,1.71981820,-1.71870937,0.55870441,-0.55771230,0.10286652,-0.10264981,2.58714921,-2.58538631,1.20071428,-1.20108578,0.34106116,-0.34048662
-5.70585293,5.85229456,-5.84645049,0.03719434,-0.03701607,0.76263928,-0.76124020,1.74722525,-1.74613369,0.53383714,-0.53289103,0.09905727,-0.09885078,2.59206366,-2.59043002,1.23482567,-1.23521227,0.33115857,-0.33061666
-5.69984992,5.81161931,-5.80609531,0.03471913,-0.03455536,0.74788410,-0.74652089,1.77602356,-1.77495619,0.51017248,-0.50928329,0.09554197,-0.09534669,2.60002689,-2.59852777,1.26858879,-1.26898284,0.32214567,-0.32164132
-5.69384692,5.77779154,-5.77261703,0.03252039,-0.03237177,0.73390866,-0.73259043,1.80592115,-1.80488411,0.48785669,-0.48703330,0.09232851,-0.09214514,2.61061335,-2.60925148,1.30146727,-1.30186144,0.31411166,-0.31364890
-5.68784392,5.75038618,-5.74558246,0.03060400,-0.03047080,0.72079766,-0.71953211,1.83658677,-1.83558534,0.46700003,-0.46624925,0.08941792,-0.08924687,2.62335536,-2.62213101,1.33294921,-1.33333654,0.30712628,-0.30670823
-5.68184092,5.72883726,-5.72441760,0.02896909,-0.02885127,0.70860683,-0.70740028,1.86764994,-1.86668839,0.44767748,-0.44700414,0.08680475,-0.08664621,2.63775018,-2.63666121,1.36255586,-1.36292986,0.30123767,-0.30086646
-5.67583792,5.71244245,-5.70841216,0.02760858,-0.02750580,0.69736143,-0.69621877,1.89870075,-1.89778227,0.42992989,-0.42933700,0.08447774,-0.08433165,2.65326501,-2.65230688,1.38984799,-1.39020263,0.29647040,-0.29614715
-5.66983492,5.70036635,-5.69672292,0.02650997,-0.02642161,0.68705511,-0.68597986,1.92928986,-1.92841641,0.41376566,-0.41325452,0.08242039,-0.08228649,2.66934027,-2.66850602,1.41443001,-1.41475968,0.29282396,-0.29254873
-5.66383192,5.69164387,-5.68837728,0.02565608,-0.02558135,0.67764941,-0.67664378,1.95892931,-1.95810154,0.39916268,-0.39873304,0.08061176,-0.08048963,2.68539188,-2.68467221,1.43595206,-1.43625151,0.29027172,-0.29004359
-5.65782891,5.68518546,-5.68227847,0.02502604,-0.02496398,0.66907410,-0.66813904,1.98709454,-1.98631168,0.38607068,-0.38572100,0.07902727,-0.07891637,2.70081344,-2.70019670,1.45411051,-1.45437477,0.28876070,-0.28857778
-5.65182591,5.67978560,-5.67721433,0.02459624,-0.02454576,0.66122833,-0.66036366,2.01322826,-2.01248811,0.37441402,-0.37414165,0.07763965,-0.07753929,2.71497898,-2.71445132,1.46864718,-1.46887144,0.28821212,-0.28807159
-5.64582291,5.67413629,-5.67187089,0.02434127,-0.02430125,0.65398296,-0.65318749,2.03674646,-2.03604539,0.36409485,-0.36389627,0.07641985,-0.07632930,2.72724734,-2.72679288,1.47934782,-1.47952740,0.28852283,-0.28842103
-5.63981991,5.66684670,-5.66485225,0.02423497,-0.02420425,0.64718392,-0.64645560,2.05704699,-2.05637999,0.35499673,-0.35486778,0.07533811,-0.07525659,2.73696866,-2.73656977,1.48604037,-1.48617065,0.28956771,-0.28950031
-5.63381691,5.65646965,-5.65470723,0.02425131,-0.02422879,0.64065682,-0.63999291,2.07352070,-2.07288156,0.34698868,-0.34692483,0.07436498,-0.07429170,2.74349365,-2.74313130,1.48859334,-1.48866975,0.29120306,-0.29116511
-5.62781391,5.64153527,-5.63996329,0.02436537,-0.02435000,0.63421259,-0.63360984,2.08556510,-2.08494659,0.33992978,-0.33992637,0.07347237,-0.07340657,2.74618574,-2.74583998,1.48691472,-1.48693279,0.29327078,-0.29325694
-5.62181091,5.62059139,-5.61916703,0.02455408,-0.02454492,0.62765408,-0.62710897,2.09260035,-2.09199449,0.33367402,-0.33372652,0.07263453,-0.07257551,2.74443612,-2.74408669,1.48095158,-1.48090701,0.29560335,-0.29560800
-5.61580790,5.59224944,-5.59093029,0.02479701,-0.02479328,0.62078355,-0.62029247,2.09408687,-2.09348529,0.32807563,-0.32817989,0.07182904,-0.07177617,2.73768133,-2.73730825,1.47069056,-1.47057937,0.29802934,-0.29804683
-5.60980490,5.55523435,-5.55398008,0.02507697,-0.02507804,0.61341055,-0.61297004,2.08954405,-2.08893833,0.32299455,-0.32314705,0.07103757,-0.07099031,2.72542254,-2.72500682,1.45615907,-1.45597772,0.30037935,-0.30040413
-5.60380190,5.50843605,-5.50721013,0.02538051,-0.02538594,0.60536006,-0.60496705,2.07856910,-2.07795119,0.31830199,-0.31850006,0.07024659,-0.07020453,2.70724576,-2.70677014,1.43742708,-1.43717273,0.30249195,-0.30251877
-5.59779890,5.45095998,-5.44973136,0.02569831,-0.02570786,0.59648048,-0.59613248,2.06085514,-2.06021777,0.31388586,-0.31412790,0.06944789,-0.06941074,2.68284168,-2.68229132,1.41460924,-1.41427991,0.30421950,-0.30424359
-5.59179590,5.38217376,-5.38091838,0.02602536,-0.02603901,0.58665105,-0.58634634,2.03620747,-2.03554453,0.30965584,-0.30994150,0.06863883,-0.06860642,2.65202395,-2.65138709,1.38786685,-1.38746164,0.30543356,-0.30545076
-5.58579290,5.30174711,-5.30044920,0.02636106,-0.02637899,0.57578838,-0.57552619,2.00455707,-2.00386396,0.30554789,-0.30587824,0.06782243,-0.06779474,2.61474459,-2.61401310,1.35740935,-1.35692864,0.30602949,-0.30603640
-5.57978989,5.20968236,-5.20833542,0.02670916,-0.02673174,0.56385171,-0.56363230,1.96597043,-1.96524440,0.30152798,-0.30190560,0.06700721,-0.06698435,2.57110525,-2.57027510,1.32349476,-1.32294033,0.30593020,-0.30592426
-5.57378689,5.10633307,-5.10494056,0.02707747,-0.02710529,0.55084658,-0.55067138,1.92065499,-1.91989531,0.29759473,-0.29802377,0.06620679,-0.06618898,2.52136344,-2.52043493,1.28642884,-1.28580400,0.30508873,-0.30506831
-5.56778389,4.99240936,-4.99098484,0.02747754,-0.02751135,0.53682675,-0.53669832,1.86895960,-1.86816771,0.29378087,-0.29426703,0.06543925,-0.06542680,2.46593270,-2.46491061,1.24656252,-1.24587215,0.30348957,-0.30345398
-5.56178089,4.86896845,-4.86753542,0.02792413,-0.02796484,0.52189411,-0.52181615,1.81136986,-1.81054939,0.29015333,-0.29070378,0.06472629,-0.06471962,2.40537659,-2.40427006,1.20428752,-1.20353800,0.30114869,-0.30109814
-5.55577789,4.73739061,-4.73598177,0.02843458,-0.02848319,0.50619659,-0.50617385,1.74849815,-1.74765488,0.28681182,-0.28743508,0.06409230,-0.06409185,2.34039611,-2.33921835,1.16002995,-1.15922909,0.29811214,-0.29804775
-5.54977489,4.59934077,-4.59799691,0.02902806,-0.02908567,0.48992415,-0.48996224,1.68106891,-1.68021054,0.28388600,-0.28459167,0.06356317,-0.06356943,2.27181107,-2.27057893,1.11424217,-1.11339903,0.29445352,-0.29437718
-5.54377189,4.45671743,-4.45548585,0.02972479,-0.02979253,0.47330285,-0.47340805,1.60989945,-1.60903539,0.28153105,-0.28232956,0.06316513,-0.06317858,2.20053606,-2.19926934,1.06739300,-1.06651763,0.29027022,-0.29018451
-5.53776888,4.31159082,-4.31052345,0.03054515,-0.03062413,0.45658737,-0.45676638,1.53587729,-1.53501830,0.27992210,-0.28082430,0.06292351,-0.06294460,2.12755196,-2.12627266,1.01995676,-1.01905990,0.28567878,-0.28558679
