energy_ev,total_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
5.02151076,1.56739627,0.38074403,0.02163113,0.28946396,0.00000000,1.43592666,0.05718067
5.02751376,1.65687573,0.39880060,0.02196232,0.31323700,0.00000000,1.51243224,0.05965295
5.03351676,1.74381089,0.41600823,0.02223157,0.33756945,0.00000000,1.58615854,0.06200342
5.03951976,1.82715405,0.43223440,0.02243899,0.36220313,0.00000000,1.65631892,0.06420545
5.04552276,1.90584382,0.44735725,0.02258502,0.38685068,0.00000000,1.72213743,0.06623236
5.05152576,1.97882303,0.46126544,0.02267028,0.41119872,0.00000000,1.78285847,0.06805774
5.05752876,2.04505884,0.47385758,0.02269545,0.43491249,0.00000000,1.83775722,0.06965596
5.06353177,2.10356468,0.48504159,0.02266108,0.45764202,0.00000000,1.88615054,0.07100267
5.06953477,2.15342313,0.49473394,0.02256764,0.47902955,0.00000000,1.92740840,0.07207546
5.07553777,2.19380934,0.50285893,0.02241544,0.49871808,0.00000000,1.96096556,0.07285448
5.08154077,2.22401389,0.50934827,0.02220470,0.51636079,0.00000000,1.98633334,0.07332313
5.08754377,2.24346427,0.51414087,0.02193569,0.53163084,0.00000000,2.00311117,0.07346870
5.09354677,2.25174429,0.51718310,0.02160882,0.54423130,0.00000000,2.01099764,0.07328302
5.09954977,2.24861019,0.51842944,0.02122484,0.55390470,0.00000000,2.00980052,0.07276296
5.10555278,2.23400304,0.51784360,0.02078505,0.56044183,0.00000000,1.99944558,0.07191087
5.11155578,2.20805649,0.51540004,0.02029148,0.56368925,0.00000000,1.97998350,0.07073487
5.11755878,2.17109958,0.51108575,0.01974706,0.56355537,0.00000000,1.95159459,0.06924901
5.12356178,2.12365419,0.50490235,0.01915584,0.56001452,0.00000000,1.91459101,0.06747320
5.12956478,2.06642706,0.49686813,0.01852309,0.55310900,0.00000000,1.86941592,0.06543303
5.13556778,2.00029657,0.48702004,0.01785537,0.54294893,0.00000000,1.81663960,0.06315936
5.14157079,1.92629464,0.47541541,0.01716062,0.52970974,0.00000000,1.75695220,0.06068782
5.14757379,1.84558418,0.46213317,0.01644810,0.51362763,0.00000000,1.69115330,0.05805810
5.15357679,1.75943307,0.44727458,0.01572834,0.49499295,0.00000000,1.62013830,0.05531310
5.15957979,1.66918525,0.43096313,0.01501297,0.47414192,0.00000000,1.54488197,0.05249810
5.16558279,1.57623014,0.41334381,0.01431458,0.45144695,0.00000000,1.46641959,0.04965972
5.17158579,1.48197116,0.39458144,0.01364642,0.42730607,0.00000000,1.38582618,0.04684493
5.17758879,1.38779460,0.37485828,0.01302221,0.40213176,0.00000000,1.30419436,0.04410005
5.18359180,1.29503946,0.35437091,0.01245572,0.37633971,0.00000000,1.22261160,0.04146972
5.18959480,1.20496949,0.33332643,0.01196053,0.35033799,0.00000000,1.14213756,0.03899601
5.19559780,1.11874778,0.31193825,0.01154963,0.32451686,0.00000000,1.06378204,0.03671748
5.20160080,1.03741483,0.29042151,0.01123505,0.29923967,0.00000000,0.98848438,0.03466843
5.20760380,0.96187024,0.26898839,0.01102755,0.27483516,0.00000000,0.91709480,0.03287819
5.21360680,0.89285858,0.24784356,0.01093625,0.25159115,0.00000000,0.85035812,0.03137055
5.21960980,0.83095934,0.22717977,0.01096829,0.22975004,0.00000000,0.78890047,0.03016327
5.22561281,0.77658113,0.20717399,0.01112860,0.20950584,0.00000000,0.73321900,0.02926775
5.23161581,0.72995998,0.18798408,0.01141959,0.19100294,0.00000000,0.68367508,0.02868882
5.23761881,0.69116156,0.16974620,0.01184096,0.17433643,0.00000000,0.64049079,0.02842462
5.24362181,0.66008699,0.15257296,0.01238958,0.15955376,0.00000000,0.60374898,0.02846668
5.24962481,0.63648218,0.13655242,0.01305939,0.14665777,0.00000000,0.57339653,0.02880003
5.25562781,0.61995001,0.12174797,0.01384135,0.13561064,0.00000000,0.54925086,0.02940356
5.26163082,0.60996538,0.10819895,0.01472359,0.12633869,0.00000000,0.53100934,0.03025041
5.26763382,0.60589253,0.09592199,0.01569146,0.11873784,0.00000000,0.51826133,0.03130860
5.27363682,0.60700427,0.08491309,0.01672787,0.11267941,0.00000000,0.51050260,0.03254166
5.27963982,0.61250285,0.07515012,0.01781353,0.10801613,0.00000000,0.50715158,0.03390951
5.28564282,0.62154201,0.06659581,0.01892741,0.10458822,0.00000000,0.50756731,0.03536935
5.29164582,0.63324962,0.05920093,0.02004719,0.10222928,0.00000000,0.51106836,0.03687672
5.29764882,0.64675071,0.05290768,0.02114985,0.10077199,0.00000000,0.51695246,0.03838659
5.30365183,0.66119011,0.04765303,0.02221223,0.10005333,0.00000000,0.52451627,0.03985446
5.30965483,0.67575435,0.04337197,0.02321171,0.09991936,0.00000000,0.53307479,0.04123760
5.31565783,0.68969217,0.04000053,0.02412682,0.10022946,0.00000000,0.54197990,0.04249611
5.32166083,0.70233312,0.03747841,0.02493792,0.10085985,0.00000000,0.55063746,0.04359403
5.32766383,0.71310367,0.03575129,0.02562774,0.10170643,0.00000000,0.55852256,0.04450034
5.33366683,0.72154030,0.03477259,0.02618198,0.10268692,0.00000000,0.56519233,0.04518973
5.33966983,0.72729922,0.03450470,0.02658973,0.10374206,0.00000000,0.57029606,0.04564334
5.34567284,0.73016230,0.03491969,0.02684382,0.10483623,0.00000000,0.57358213,0.04584918
5.35167584,0.73003890,0.03599941,0.02694102,0.10595702,0.00000000,0.57490158,0.04580242
5.35767884,0.72696369,0.03773498,0.02688216,0.10711422,0.00000000,0.57420827,0.04550532
5.36368184,0.72109038,0.04012580,0.02667202,0.10833796,0.00000000,0.57155550,0.04496712
5.36968484,0.71268162,0.04317797,0.02631916,0.10967619,0.00000000,0.56708933,0.04420346
5.37568784,0.70209553,0.04690229,0.02583558,0.11119156,0.00000000,0.56103894,0.04323580
5.38169085,0.68976928,0.05131188,0.02523624,0.11295794,0.00000000,0.55370425,0.04209050
5.38769385,0.67620054,0.05641948,0.02453851,0.11505643,0.00000000,0.54544160,0.04079786
5.39369685,0.66192739,0.06223466,0.02376151,0.11757134,0.00000000,0.53664793,0.03939099
5.39969985,0.64750780,0.06876089,0.02292546,0.12058611,0.00000000,0.52774424,0.03790465
5.40570285,0.63349928,0.07599277,0.02205096,0.12417938,0.00000000,0.51915911,0.03637406
5.41170585,0.62043974,0.08391348,0.02115826,0.12842144,0.00000000,0.51131297,0.03483380
5.41770885,0.60883025,0.09249264,0.02026668,0.13337111,0.00000000,0.50460378,0.03331673
5.42371186,0.59912046,0.10168463,0.01939398,0.13907335,0.00000000,0.49939486,0.03185308
5.42971486,0.59169714,0.11142759,0.01855588,0.14555756,0.00000000,0.49600519,0.03046972
5.43571786,0.58687628,0.12164311,0.01776571,0.15283667,0.00000000,0.49470272,0.02918955
5.44172086,0.58489881,0.13223672,0.01703415,0.16090715,0.00000000,0.49570070,0.02803112
5.44772386,0.58593006,0.14309922,0.01636908,0.16974978,0.00000000,0.49915715,0.02700848
5.45372686,0.59006253,0.15410874,0.01577561,0.17933118,0.00000000,0.50517721,0.02613117
5.45972986,0.59732172,0.16513354,0.01525618,0.18960595,0.00000000,0.51381802,0.02540440
5.46573287,0.60767423,0.17603547,0.01481080,0.20051928,0.00000000,0.52509565,0.02482939
5.47173587,0.62103757,0.18667383,0.01443734,0.21200979,0.00000000,0.53899331,0.02440385
5.47773887,0.63729077,0.19690955,0.01413191,0.22401240,0.00000000,0.55547030,0.02412246
5.48374187,0.65628496,0.20660945,0.01388928,0.23646096,0.00000000,0.57447066,0.02397749
5.48974487,0.67785314,0.21565033,0.01370327,0.24929054,0.00000000,0.59593102,0.02395936
5.49574787,0.70181839,0.22392272,0.01356724,0.26243896,0.00000000,0.61978670,0.02405724
5.50175088,0.72799991,0.23133402,0.01347439,0.27584765,0.00000000,0.64597565,0.02425949
5.50775388,0.75621651,0.23781095,0.01341818,0.28946160,0.00000000,0.67443967,0.02455415
5.51375688,0.78628731,0.24330110,0.01339254,0.30322838,0.00000000,0.70512270,0.02492923
5.51975988,0.81802973,0.24777353,0.01339212,0.31709634,0.00000000,0.73796627,0.02537294
5.52576288,0.85125493,0.25121838,0.01341236,0.33101213,0.00000000,0.77290213,0.02587385
5.53176588,0.88576138,0.25364554,0.01344959,0.34491760,0.00000000,0.80984272,0.02642093
5.53776888,0.92132704,0.25508254,0.01350097,0.35874651,0.00000000,0.84866993,0.02700352
5.54377189,0.95770115,0.25557166,0.01356438,0.37242126,0.00000000,0.88922318,0.02761123
5.54977489,0.99459642,0.25516657,0.01363833,0.38585001,0.00000000,0.93128769,0.02823390
5.55577789,1.03168266,0.25392876,0.01372176,0.39892439,0.00000000,0.97458384,0.02886148
5.56178089,1.06858271,0.25192384,0.01381383,0.41151834,0.00000000,1.01875888,0.02948395
5.56778389,1.10487138,0.24921806,0.01391381,0.42348809,0.00000000,1.06338171,0.03009136
5.57378689,1.14007800,0.24587524,0.01402082,0.43467349,0.00000000,1.10794159,0.03067384
5.57978989,1.17369302,0.24195428,0.01413377,0.44490094,0.00000000,1.15185131,0.03122177
5.58579290,1.20517846,0.23750739,0.01425126,0.45398765,0.00000000,1.19445523,0.03172598
5.59179590,1.23398222,0.23257900,0.01437150,0.46174726,0.00000000,1.23504209,0.03217805
5.59779890,1.25955552,0.22720565,0.01449239,0.46799648,0.00000000,1.27286226,0.03257065
5.60380190,1.28137277,0.22141647,0.01461154,0.47256252,0.00000000,1.30714901,0.03289794
5.60980490,1.29895274,0.21523443,0.01472641,0.47529083,0.00000000,1.33714275,0.03315593
5.61580790,1.31187998,0.20867810,0.01483445,0.47605273,0.00000000,1.36211723,0.03334291
5.62181091,1.31982505,0.20176370,0.01493326,0.47475247,0.00000000,1.38140636,0.03345969
5.62781391,1.32256248,0.19450749,0.01502082,0.47133334,0.00000000,1.39443042,0.03350987
5.63381691,1.31998523,0.18692796,0.01509560,0.46578229,0.00000000,1.40072016,0.03349996
5.63981991,1.31211464,0.17904799,0.01515675,0.45813296,0.00000000,1.39993769,0.03343933
5.64582291,1.29910517,0.17089660,0.01520422,0.44846664,0.00000000,1.39189285,0.03334005
5.65182591,1.28124359,0.16251023,0.01523881,0.43691133,0.00000000,1.37655439,0.03321655
5.65782891,1.25894229,0.15393350,0.01526219,0.42363870,0.00000000,1.35405518,0.03308517
5.66383192,1.23272723,0.14521942,0.01527687,0.40885917,0.00000000,1.32469128,0.03296353
5.66983492,1.20322082,0.13642898,0.01528610,0.39281535,0.00000000,1.28891492,0.03286985
5.67583792,1.17112079,0.12763023,0.01529367,0.37577422,0.00000000,1.24732166,0.03282215
5.68184092,1.13717602,0.11889690,0.01530377,0.35801831,0.00000000,1.20063246,0.03283743
5.68784392,1.10216057,0.11030669,0.01532074,0.33983652,0.00000000,1.14967159,0.03293090
5.69384692,1.06684726,0.10193929,0.01534880,0.32151489,0.00000000,1.09534134,0.03311521
5.69984992,1.03198215,0.09387429,0.01539183,0.30332783,0.00000000,1.03859487,0.03339984
5.70585293,0.99826105,0.08618909,0.01545312,0.28553021,0.00000000,0.98040829,0.03379056
5.71185593,0.96630922,0.07895693,0.01553514,0.26835069,0.00000000,0.92175326,0.03428912
5.71785893,0.93666514,0.07224507,0.01563942,0.25198642,0.00000000,0.86357119,0.03489309
5.72386193,0.90976885,0.06611324,0.01576639,0.23659951,0.00000000,0.80674993,0.03559590
5.72986493,0.88595527,0.06061238,0.01591537,0.22231504,0.00000000,0.75210380,0.03638709
5.73586793,0.86545252,0.05578372,0.01608453,0.20922094,0.00000000,0.70035741,0.03725279
5.74187094,0.84838500,0.05165815,0.01627101,0.19736933,0.00000000,0.65213367,0.03817626
5.74787394,0.83478071,0.04825589,0.01647100,0.18677930,0.00000000,0.60794599,0.03913866
5.75387694,0.82458225,0.04558644,0.01667994,0.17744094,0.00000000,0.56819468,0.04011992
5.75987994,0.81766064,0.04364879,0.01689274,0.16932020,0.00000000,0.53316728,0.04109956
5.76588294,0.81383112,0.04243181,0.01710399,0.16236437,0.00000000,0.50304238,0.04205768
5.77188594,0.81286993,0.04191484,0.01730821,0.15650797,0.00000000,0.47789644,0.04297577
5.77788894,0.81453150,0.04206838,0.01750013,0.15167858,0.00000000,0.45771326,0.04383760
5.78389195,0.81856492,0.04285499,0.01767488,0.14780254,0.00000000,0.44239540,0.04462983
5.78989495,0.82472939,0.04423025,0.01782825,0.14481014,0.00000000,0.43177702,0.04534268
5.79589795,0.83280793,0.04614381,0.01795681,0.14264029,0.00000000,0.42563788,0.04597031
5.80190095,0.84261904,0.04854061,0.01805811,0.14124442,0.00000000,0.42371774,0.04651110
5.80790395,0.85402617,0.05136217,0.01813075,0.14058948,0.00000000,0.42573108,0.04696778
5.81390695,0.86694476,0.05454794,0.01817447,0.14066015,0.00000000,0.43138148,0.04734737
5.81990995,0.88134695,0.05803683,0.01819016,0.14146009,0.00000000,0.44037567,0.04766100
5.82591296,0.89726396,0.06176871,0.01817992,0.14301226,0.00000000,0.45243659,0.04792359
5.83191596,0.91478620,0.06568598,0.01814693,0.14535845,0.00000000,0.46731546,0.04815344
5.83791896,0.93406124,0.06973514,0.01809552,0.14855781,0.00000000,0.48480235,0.04837168
5.84392196,0.95528958,0.07386827,0.01803101,0.15268474,0.00000000,0.50473502,0.04860172
5.84992496,0.97871847,0.07804435,0.01795966,0.15782595,0.00000000,0.52700571,0.04886854
5.85592796,1.00463353,0.08223042,0.01788858,0.16407678,0.00000000,0.55156551,0.04919804
5.86193097,1.03334843,0.08640241,0.01782558,0.17153701,0.00000000,0.57842608,0.04961628
5.86793397,1.06519234,0.09054561,0.01777903,0.18030604,0.00000000,0.60765835,0.05014871
5.87393697,1.10049559,0.09465472,0.01775776,0.19047766,0.00000000,0.63938825,0.05081940
