energy_ev,total_up,In_p_up,In_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,3.86243592,0.42102166,0.01035056,1.54051306,1.46659965,0.00653677,0.80606787
-5.99399700,3.79589046,0.41902462,0.01022314,1.53347685,1.43579822,0.00650563,0.77314152
-5.98799400,3.71811704,0.41569890,0.01006865,1.52291573,1.40066120,0.00647645,0.73754224
-5.98199100,3.63082400,0.41114819,0.00989112,1.50941785,1.36189561,0.00645406,0.69986955
-5.97598799,3.53582714,0.40549671,0.00969491,1.49363415,1.32024175,0.00644336,0.66072318
-5.96998499,3.43501603,0.39888760,0.00948463,1.47626679,1.27645897,0.00644923,0.62068896
-5.96398199,3.33031810,0.39148071,0.00926502,1.45805468,1.23131111,0.00647640,0.58032610
-5.95797899,3.22366069,0.38344948,0.00904093,1.43975605,1.18555189,0.00652932,0.54015633
-5.95197599,3.11693128,0.37497693,0.00881715,1.42212817,1.13991011,0.00661203,0.50065493
-5.94597299,3.01193641,0.36625098,0.00859833,1.40590465,1.09507511,0.00672797,0.46224388
-5.93996998,2.91036002,0.35745906,0.00838885,1.39177083,1.05168244,0.00687988,0.42528700
-5.93396698,2.81372230,0.34878227,0.00819269,1.38033829,1.01030024,0.00706959,0.39008712
-5.92796398,2.72334030,0.34038929,0.00801329,1.37211944,0.97141657,0.00729794,0.35688503
-5.92196098,2.64029195,0.33243036,0.00785347,1.36750342,0.93542823,0.00756463,0.32586019
-5.91595798,2.56538499,0.32503163,0.00771527,1.36673473,0.90263141,0.00786809,0.29713278
-5.90995498,2.49913262,0.31829019,0.00759990,1.36989585,0.87321483,0.00820550,0.27076708
-5.90395198,2.44173741,0.31227001,0.00750767,1.37689505,0.84725561,0.00857267,0.24677578
-5.89794897,2.39308480,0.30699923,0.00743795,1.38746055,0.82471843,0.00896415,0.22512515
-5.89194597,2.35274726,0.30246880,0.00738916,1.40114175,0.80545815,0.00937325,0.20574071
-5.88594297,2.31999960,0.29863272,0.00735883,1.41731803,0.78922609,0.00979218,0.18851332
-5.87993997,2.29384541,0.29540990,0.00734367,1.43521511,0.77567982,0.01021226,0.17330554
-5.87393697,2.27305417,0.29268767,0.00733968,1.45392866,0.76439647,0.01062411,0.15995791
-5.86793397,2.25620775,0.29032660,0.00734226,1.47245446,0.75488896,0.01101796,0.14829532
-5.86193097,2.24175474,0.28816673,0.00734645,1.48972377,0.74662461,0.01138391,0.13813300
-5.85592796,2.22807026,0.28603465,0.00734706,1.50464252,0.73904563,0.01171232,0.12928230
-5.84992496,2.21351896,0.28375119,0.00733888,1.51613262,0.73159037,0.01199412,0.12155598
-5.84392196,2.19651825,0.28113943,0.00731692,1.52317331,0.72371471,0.01222114,0.11477306
-5.83791896,2.17559911,0.27803250,0.00727656,1.52484078,0.71491251,0.01238646,0.10876298
-5.83191596,2.14946181,0.27428086,0.00721374,1.52034405,0.70473432,0.01248466,0.10336924
-5.82591296,2.11702398,0.26975879,0.00712513,1.50905551,0.69280370,0.01251210,0.09845226
-5.81990995,2.07745917,0.26436967,0.00700825,1.49053463,0.67883016,0.01246712,0.09389157
-5.81390695,2.03022427,0.25804987,0.00686153,1.46454390,0.66261873,0.01235014,0.08958733
-5.80790395,1.97507499,0.25077125,0.00668438,1.43105623,0.64407535,0.01216376,0.08546110
-5.80190095,1.91206898,0.24254194,0.00647719,1.39025380,0.62320843,0.01191277,0.08145597
-5.79589795,1.84155714,0.23340571,0.00624126,1.34251851,0.60012641,0.01160404,0.07753615
-5.78989495,1.76416376,0.22343985,0.00597880,1.28841487,0.57503172,0.01124648,0.07368592
-5.78389195,1.68075725,0.21275181,0.00569274,1.22866618,0.54821161,0.01085080,0.06990822
-5.77788894,1.59241293,0.20147477,0.00538665,1.16412567,0.52002641,0.01042935,0.06622283
