energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,4.59371471,0.02411726,0.97677083,0.80370053,0.39010215,1.34200611,1.49583321,1.59437949,0.00000000
-5.99399700,4.59886370,0.02496292,0.96341507,0.83357247,0.37995581,1.34695546,1.47265589,1.61955026,0.00000000
-5.98799400,4.60346385,0.02579521,0.95031050,0.86170870,0.37064420,1.35154907,1.44986969,1.64405347,0.00000000
-5.98199100,4.60626828,0.02660425,0.93722480,0.88759634,0.36223313,1.35529916,1.42715143,1.66738332,0.00000000
-5.97598799,4.60584236,0.02738013,0.92386734,0.91074006,0.35474583,1.35766547,1.40409365,1.68899643,0.00000000
-5.96998499,4.60065388,0.02811321,0.90991004,0.93068208,0.34816741,1.35808447,1.38023634,1.70834138,0.00000000
-5.96398199,4.58916797,0.02879457,0.89500976,0.94702174,0.34245041,1.35600002,1.35510064,1.72488920,0.00000000
-5.95797899,4.56994140,0.02941630,0.87883074,0.95943375,0.33752125,1.35089360,1.32822246,1.73816297,0.00000000
-5.95197599,4.54171097,0.02997180,0.86106601,0.96768416,0.33328722,1.34231270,1.29918431,1.74776505,0.00000000
-5.94597299,4.50347141,0.03045598,0.84145669,0.97164338,0.32964334,1.32989576,1.26764344,1.75340045,0.00000000
-5.93996998,4.45453912,0.03086539,0.81980796,0.97129554,0.32647904,1.31339254,1.23335522,1.75489530,0.00000000
-5.93396698,4.39459869,0.03119824,0.79600142,0.96674393,0.32368420,1.29267905,1.19619047,1.75220957,0.00000000
-5.92796398,4.32373074,0.03145432,0.77000295,0.95821210,0.32115435,1.26776646,1.15614628,1.74544372,0.00000000
-5.92196098,4.24242050,0.03163490,0.74186615,0.94604085,0.31879493,1.23880378,1.11334991,1.73483912,0.00000000
-5.91595798,4.15154768,0.03174247,0.71173131,0.93068107,0.31652454,1.20607465,1.06805614,1.72077274,0.00000000
-5.90995498,4.05235928,0.03178050,0.67982023,0.91268304,0.31427717,1.16998843,1.02063846,1.70374661,0.00000000
-5.90395198,3.94642780,0.03175312,0.64642740,0.89268254,0.31200348,1.13106667,0.97157483,1.68437294,0.00000000
-5.89794897,3.83559771,0.03166486,0.61190819,0.87138438,0.30967131,1.08992566,0.92142927,1.66335595,0.00000000
-5.89194597,3.72192366,0.03152030,0.57666488,0.84954419,0.30726551,1.04725629,0.87083023,1.64147145,0.00000000
-5.88594297,3.60760387,0.03132384,0.54113128,0.82794896,0.30478724,1.00380220,0.82044718,1.61954523,0.00000000
-5.87993997,3.49491191,0.03107947,0.50575680,0.80739716,0.30225298,0.96033750,0.77096647,1.59843114,0.00000000
-5.87393697,3.38612989,0.03079062,0.47099088,0.78867891,0.29969328,0.91764478,0.72306779,1.57898986,0.00000000
-5.86793397,3.28348567,0.03046008,0.43726823,0.77255687,0.29715141,0.87649457,0.67740216,1.56206864,0.00000000
-5.86193097,3.18909575,0.03008996,0.40499576,0.75974813,0.29468200,0.83762658,0.63457230,1.54848270,0.00000000
-5.85592796,3.10491543,0.02968177,0.37454139,0.75090759,0.29234956,0.80173344,0.59511604,1.53899827,0.00000000
-5.84992496,3.03269672,0.02923648,0.34622532,0.74661299,0.29022713,0.76944704,0.55949316,1.53431736,0.00000000
-5.84392196,2.97395431,0.02875469,0.32031360,0.74735176,0.28839467,0.74132757,0.52807600,1.53506417,0.00000000
-5.83791896,2.92993933,0.02823683,0.29701437,0.75350991,0.28693749,0.71785513,0.50114366,1.54177280,0.00000000
-5.83191596,2.90162039,0.02768332,0.27647638,0.76536288,0.28594440,0.69942375,0.47887990,1.55487633,0.00000000
-5.82591296,2.88967114,0.02709475,0.25878983,0.78306864,0.28550568,0.68633746,0.46137427,1.57469684,0.00000000
-5.81990995,2.89446380,0.02647214,0.24398907,0.80666294,0.28571075,0.67880816,0.44862636,1.60143648,0.00000000
-5.81390695,2.91606781,0.02581699,0.23205707,0.83605688,0.28664557,0.67695481,0.44055244,1.63516966,0.00000000
-5.80790395,2.95425337,0.02513148,0.22293110,0.87103690,0.28838983,0.68080390,0.43699436,1.67583655,0.00000000
-5.80190095,3.00849939,0.02441849,0.21650946,0.91126733,0.29101396,0.69029086,0.43773007,1.72323827,0.00000000
-5.79589795,3.07800587,0.02368168,0.21265879,0.95629556,0.29457606,0.70526228,0.44248536,1.77703418,0.00000000
-5.78989495,3.16171089,0.02292544,0.21122182,1.00555986,0.29911898,0.72547913,0.45094647,1.83674197,0.00000000
-5.78389195,3.25831219,0.02215488,0.21202515,1.05840010,0.30466755,0.75062076,0.46277314,1.90174089,0.00000000
-5.77788894,3.36629375,0.02137568,0.21488696,1.11407094,0.31122631,0.78029014,0.47761180,1.97127872,0.00000000
-5.77188594,3.48395745,0.02059407,0.21962435,1.17175773,0.31877773,0.81402024,0.49510854,2.04448284,0.00000000
-5.76588294,3.60945964,0.01981658,0.22606031,1.23059456,0.32728121,0.85128195,0.51492166,2.12037541,0.00000000
-5.75987994,3.74085250,0.01905000,0.23403008,1.28968413,0.33667286,0.89149350,0.53673346,2.19789273,0.00000000
-5.75387694,3.87612932,0.01830114,0.24338688,1.34811893,0.34686618,0.93403168,0.56026107,2.27590835,0.00000000
-5.74787394,4.01327289,0.01757670,0.25400696,1.40500305,0.35775358,0.97824462,0.58526615,2.35325929,0.00000000
-5.74187094,4.15030559,0.01688311,0.26579391,1.45947388,0.36920880,1.02346628,0.61156314,2.42877438,0.00000000
-5.73586793,4.28533950,0.01622639,0.27868217,1.51072278,0.38108998,1.06903216,0.63902589,2.50130387,0.00000000
-5.72986493,4.41662472,0.01561198,0.29263972,1.55801410,0.39324343,1.11429603,0.66759260,2.56974869,0.00000000
-5.72386193,4.54259399,0.01504460,0.30766999,1.60070160,0.40550764,1.15864717,0.69726873,2.63308830,0.00000000
-5.71785893,4.66190150,0.01452817,0.32381280,1.63824163,0.41771755,1.20152754,0.72812790,2.69040572,0.00000000
-5.71185593,4.77345426,0.01406567,0.34114449,1.67020252,0.42970878,1.24244812,0.76031061,2.74090849,0.00000000
-5.70585293,4.87643446,0.01365907,0.35977705,1.69626980,0.44132156,1.28100395,0.79402084,2.78394464,0.00000000
-5.69984992,4.97031161,0.01330926,0.37985626,1.71624707,0.45240420,1.31688704,0.82952031,2.81901300,0.00000000
-5.69384692,5.05484399,0.01301599,0.40155885,1.73005257,0.46281603,1.34989644,0.86712075,2.84576733,0.00000000
-5.68784392,5.13006919,0.01277785,0.42508856,1.73771180,0.47242957,1.37994513,0.90717400,2.86401447,0.00000000
-5.68184092,5.19628423,0.01259232,0.45067109,1.73934669,0.48113204,1.40706301,0.95006028,2.87370675,0.00000000
