energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,8.09617188,0.01384323,1.98300370,5.19177968,4.54744420,0.03875207,1.20707450,0.57937068,0.21168467
-5.99399700,8.20843799,0.01375565,1.99631141,5.37049710,4.54430710,0.04092911,1.25867518,0.59735381,0.22446032
-5.98799400,8.32713252,0.01374292,2.00781587,5.56139447,4.53497359,0.04332604,1.31793039,0.62056937,0.23827512
-5.98199100,8.45183977,0.01380269,2.01751945,5.76390707,4.51976385,0.04592106,1.38450132,0.64890449,0.25303170
-5.97598799,8.58189150,0.01393000,2.02544345,5.97711976,4.49908896,0.04868504,1.45785432,0.68212499,0.26860043
-5.96998499,8.71633125,0.01411750,2.03161544,6.19974712,4.47341630,0.05158206,1.53726380,0.71987562,0.28482064
-5.96398199,8.85388885,0.01435568,2.03605685,6.43012535,4.44323434,0.05457031,1.62182083,0.76168318,0.30150301
-5.95797899,8.99296894,0.01463320,2.03877189,6.66621790,4.40901954,0.05760317,1.71044765,0.80696294,0.31843308
-5.95197599,9.13165553,0.01493735,2.03973861,6.90563614,4.37120729,0.06063058,1.80191802,0.85502845,0.33537589
-5.94597299,9.26773466,0.01525446,2.03890285,7.14567568,4.33016874,0.06360055,1.89488302,0.90510464,0.35208146
-5.93996998,9.39873531,0.01557038,2.03617550,7.38336829,4.28619488,0.06646087,1.98790201,0.95634411,0.36829123
-5.93396698,9.52198823,0.01587098,2.03143336,7.61554815,4.23948847,0.06916083,2.07947768,1.00784642,0.38374492
-5.92796398,9.63470060,0.01614264,2.02452343,7.83893061,4.19016404,0.07165302,2.16809446,1.05867987,0.39818788
-5.92196098,9.73404397,0.01637272,2.01527041,8.05020083,4.13825555,0.07389504,2.25225897,1.10790518,0.41137848
-5.91595798,9.81725148,0.01654999,2.00348698,8.24610880,4.08373080,0.07585110,2.33054135,1.15460046,0.42309530
-5.90995498,9.88172008,0.01666501,1.98898595,8.42356700,4.02651129,0.07749346,2.40161582,1.19788649,0.43314395
-5.90395198,9.92511292,0.01671042,1.97159366,8.57974651,3.96649592,0.07880359,2.46429929,1.23695154,0.44136309
-5.89794897,9.94545693,0.01668123,1.95116375,8.71216741,3.90358693,0.07977313,2.51758640,1.27107466,0.44762959
-5.89194597,9.94123090,0.01657491,1.92759029,8.81877949,3.83771603,0.08040447,2.56067982,1.29964662,0.45186251
-5.88594297,9.91143973,0.01639154,1.90081962,8.89802971,3.76886927,0.08071101,2.59301454,1.32218756,0.45402581
-5.87993997,9.85567132,0.01613372,1.87086010,8.94891358,3.69710898,0.08071711,2.61427531,1.33836051,0.45412969
-5.87393697,9.77413335,0.01580657,1.83778929,8.97100807,3.62259162,0.08045768,2.62440654,1.34798044,0.45223046
-5.86793397,9.66766830,0.01541747,1.80175806,8.96448519,3.54558047,0.07997741,2.62361426,1.35101814,0.44842915
-5.86193097,9.53774612,0.01497591,1.76299160,8.93010570,3.46645282,0.07932979,2.61236017,1.34759897,0.44286857
-5.85592796,9.38643497,0.01449316,1.72178722,8.86919368,3.38570107,0.07857583,2.59134794,1.33799654,0.43572942
-5.84992496,9.21635138,0.01398194,1.67850905,8.78359363,3.30392821,0.07778252,2.56150243,1.32262145,0.42722517
-5.84392196,9.03059226,0.01345608,1.63358013,8.67561221,3.22183772,0.07702117,2.52394248,1.30200592,0.41759622
-5.83791896,8.83265149,0.01293011,1.58747218,8.54794756,3.14021876,0.07636566,2.47994847,1.27678475,0.40710339
-5.83191596,8.62632460,0.01241889,1.54069355,8.40360942,3.05992722,0.07589048,2.43092562,1.24767368,0.39602104
-5.82591296,8.41560517,0.01193721,1.49377608,8.24583333,2.98186363,0.07566885,2.37836454,1.21544593,0.38463004
-5.81990995,8.20457673,0.01149942,1.44726113,8.07799234,2.90694885,0.07577079,2.32380005,1.18090811,0.37321080
-5.81390695,7.99730371,0.01111908,1.40168568,7.90350922,2.83609845,0.07626123,2.26876986,1.14487629,0.36203653
-5.80790395,7.79772491,0.01080864,1.35756865,7.72577202,2.77019664,0.07719815,2.21477413,1.10815330,0.35136701
-5.80190095,7.60955264,0.01057912,1.31539808,7.54805510,2.71007073,0.07863093,2.16323714,1.07150794,0.34144291
-5.79589795,7.43617998,0.01043987,1.27561943,7.37344754,2.65646670,0.08059870,2.11547216,1.03565675,0.33248081
-5.78989495,7.28059872,0.01039838,1.23862528,7.20479012,2.61002675,0.08312895,2.07265023,1.00124900,0.32466905
-5.78389195,7.14532964,0.01046006,1.20474664,7.04462163,2.57126943,0.08623628,2.03577381,0.96885489,0.31816453
