energy_ev,total_up,In_p_up,In_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.37311715,0.03825818,0.00025322,0.23359001,0.00000000,0.10884672,0.08943356
-5.99399700,0.36253771,0.03572225,0.00026191,0.22619936,0.00000000,0.10607677,0.08802149
-5.98799400,0.35708746,0.03355372,0.00027524,0.22191827,0.00000000,0.10486963,0.08775255
-5.98199100,0.35685759,0.03180201,0.00029316,0.22077462,0.00000000,0.10521408,0.08865256
-5.97598799,0.36191408,0.03051400,0.00031558,0.22277932,0.00000000,0.10709115,0.09073999
-5.96998499,0.37230021,0.02973362,0.00034245,0.22792860,0.00000000,0.11047569,0.09402628
-5.96398199,0.38803799,0.02950139,0.00037366,0.23620553,0.00000000,0.11533761,0.09851604
-5.95797899,0.40912818,0.02985389,0.00040913,0.24758101,0.00000000,0.12164271,0.10420704
-5.95197599,0.43554895,0.03082313,0.00044875,0.26201385,0.00000000,0.12935316,0.11108982
-5.94597299,0.46725299,0.03243584,0.00049242,0.27945011,0.00000000,0.13842759,0.11914719
-5.93996998,0.50416324,0.03471256,0.00054000,0.29982157,0.00000000,0.14882066,0.12835335
-5.93396698,0.54616716,0.03766675,0.00059136,0.32304338,0.00000000,0.16048241,0.13867271
-5.92796398,0.59311003,0.04130376,0.00064634,0.34901108,0.00000000,0.17335704,0.15005863
-5.92196098,0.64478730,0.04561976,0.00070474,0.37759697,0.00000000,0.18738157,0.16245188
-5.91595798,0.70093665,0.05060073,0.00076633,0.40864611,0.00000000,0.20248419,0.17577907
-5.90995498,0.76123012,0.05622149,0.00083084,0.44197229,0.00000000,0.21858246,0.18995114
-5.90395198,0.82526692,0.06244491,0.00089795,0.47735410,0.00000000,0.23558161,0.20486198
-5.89794897,0.89256760,0.06922133,0.00096728,0.51453150,0.00000000,0.25337285,0.22038745
-5.89194597,0.96257010,0.07648828,0.00103840,0.55320334,0.00000000,0.27183206,0.23638474
-5.88594297,1.03462837,0.08417054,0.00111081,0.59302592,0.00000000,0.29081878,0.25269244
