energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.95796916,0.00863625,0.04060534,0.00695455,0.43330324,0.35061563,0.06382785,0.45112411,0.07995873
-5.99399700,0.90511775,0.00761542,0.03856131,0.00613502,0.41188381,0.34681338,0.06008633,0.42573652,0.07477045
-5.98799400,0.85730099,0.00667946,0.03674737,0.00538456,0.39277309,0.34397036,0.05681723,0.40297942,0.06992947
-5.98199100,0.81455433,0.00582780,0.03514768,0.00470350,0.37597637,0.34201137,0.05400693,0.38296328,0.06544658
-5.97598799,0.77679021,0.00505880,0.03374200,0.00409107,0.36144444,0.34082824,0.05163526,0.36572710,0.06132220
-5.96998499,0.74381738,0.00436991,0.03250691,0.00354552,0.34908227,0.34028773,0.04967689,0.35124551,0.05754810
-5.96398199,0.71536270,0.00375779,0.03141713,0.00306428,0.33875870,0.34024024,0.04810286,0.33943743,0.05410914
-5.95797899,0.69109402,0.00321852,0.03044681,0.00264408,0.33031678,0.34052910,0.04688206,0.33017579,0.05098526
-5.95197599,0.67064327,0.00274769,0.02957084,0.00228113,0.32358408,0.34099976,0.04598262,0.32329793,0.04815333
-5.94597299,0.65362866,0.00234061,0.02876596,0.00197124,0.31838275,0.34150875,0.04537326,0.31861610,0.04558895
-5.93996998,0.63967515,0.00199244,0.02801187,0.00170995,0.31453882,0.34193169,0.04502442,0.31592774,0.04326811
-5.93396698,0.62843253,0.00169828,0.02729207,0.00149268,0.31189043,0.34217045,0.04490925,0.31502523,0.04116850
-5.92796398,0.61959060,0.00145332,0.02659452,0.00131479,0.31029486,0.34215875,0.04500437,0.31570471,0.03927071
-5.92196098,0.61289103,0.00125294,0.02591215,0.00117173,0.30963402,0.34186639,0.04529051,0.31777384,0.03755893
-5.91595798,0.60813579,0.00109274,0.02524306,0.00105906,0.30981851,0.34130174,0.04575279,0.32105845,0.03602154
-5.90995498,0.60519212,0.00096867,0.02459053,0.00097256,0.31079010,0.34051263,0.04638100,0.32540777,0.03465123
-5.90395198,0.60399421,0.00087700,0.02396285,0.00090825,0.31252269,0.33958545,0.04716952,0.33069844,0.03344496
-5.89794897,0.60454173,0.00081438,0.02337291,0.00086244,0.31502189,0.33864284,0.04811717,0.33683720,0.03240363
-5.89194597,0.60689555,0.00077787,0.02283760,0.00083175,0.31832326,0.33783975,0.04922690,0.34376223,0.03153154
-5.88594297,0.61117115,0.00076487,0.02237709,0.00081313,0.32248949,0.33735836,0.05050536,0.35144343,0.03083569
-5.87993997,0.61752986,0.00077317,0.02201396,0.00080389,0.32760650,0.33740185,0.05196232,0.35988137,0.03032497
-5.87393697,0.62616864,0.00080090,0.02177223,0.00080168,0.33377879,0.33818728,0.05361005,0.36910532,0.03000933
-5.86793397,0.63730856,0.00084647,0.02167635,0.00080452,0.34112411,0.33993790,0.05546264,0.37917020,0.02989881
-5.86193097,0.65118266,0.00090858,0.02175012,0.00081079,0.34976774,0.34287500,0.05753524,0.39015270,0.03000272
-5.85592796,0.66802331,0.00098612,0.02201568,0.00081921,0.35983642,0.34720960,0.05984334,0.40214653,0.03032878
-5.84992496,0.68804972,0.00107818,0.02249246,0.00082889,0.37145219,0.35313431,0.06240190,0.41525709,0.03088245
-5.84392196,0.71145587,0.00118397,0.02319626,0.00083930,0.38472636,0.36081537,0.06522471,0.42959555,0.03166623
-5.83791896,0.73839927,0.00130283,0.02413840,0.00085027,0.39975370,0.37038541,0.06832360,0.44527261,0.03267927
-5.83191596,0.76899088,0.00143414,0.02532505,0.00086201,0.41660710,0.38193694,0.07170777,0.46239214,0.03391702
-5.82591296,0.80328666,0.00157734,0.02675666,0.00087509,0.43533292,0.39551696,0.07538325,0.48104476,0.03537106
-5.81990995,0.84128098,0.00173189,0.02842764,0.00089049,0.45594717,0.41112280,0.07935240,0.50130194,0.03702914
-5.81390695,0.88290225,0.00189729,0.03032625,0.00090956,0.47843263,0.42869952,0.08361357,0.52321049,0.03887540
-5.80790395,0.92801090,0.00207306,0.03243463,0.00093407,0.50273720,0.44813892,0.08816086,0.54678800,0.04089064
-5.80190095,0.97640008,0.00225878,0.03472921,0.00096621,0.52877352,0.46928040,0.09298412,0.57201924,0.04305292
-5.79589795,1.02779887,0.00245410,0.03718125,0.00100861,0.55641982,0.49191361,0.09806899,0.59885384,0.04533810
-5.78989495,1.08187809,0.00265878,0.03975761,0.00106436,0.58552216,0.51578305,0.10339717,0.62720538,0.04772060
-5.78389195,1.13825855,0.00287273,0.04242183,0.00113700,0.61589792,0.54059440,0.10894685,0.65695184,0.05017424
-5.77788894,1.19652129,0.00309605,0.04513528,0.00123061,0.64734032,0.56602247,0.11469316,0.68793754,0.05267299
-5.77188594,1.25621941,0.00332909,0.04785849,0.00134974,0.67962396,0.59172050,0.12060880,0.71997639,0.05519191
-5.76588294,1.31689097,0.00357247,0.05055259,0.00149947,0.71251088,0.61733050,0.12666467,0.75285620,0.05770786
