energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,0.92628781,0.08028636,0.76140235,0.00080769,0.00855329,0.06648227,0.05158759,0.00362959,0.10312849
-5.99399700,0.88393256,0.07650572,0.72655091,0.00077136,0.00813343,0.06403426,0.04912162,0.00345455,0.09844285
-5.98799400,0.84031975,0.07258669,0.69026238,0.00073508,0.00770565,0.06156873,0.04699502,0.00327806,0.09364187
-5.98199100,0.79612817,0.06860412,0.65308356,0.00069992,0.00728017,0.05916323,0.04524233,0.00310473,0.08878962
-5.97598799,0.75209768,0.06463658,0.61560419,0.00066698,0.00686760,0.05690170,0.04390907,0.00293935,0.08395825
-5.96998499,0.70901130,0.06076441,0.57844149,0.00063738,0.00647867,0.05487281,0.04305152,0.00278675,0.07922622
-5.96398199,0.66767666,0.05706796,0.54222460,0.00061222,0.00612401,0.05316817,0.04273647,0.00265171,0.07467639
-5.95797899,0.62890743,0.05362580,0.50757903,0.00059257,0.00581398,0.05188054,0.04304060,0.00253886,0.07039402
-5.95197599,0.59350551,0.05051321,0.47511208,0.00057943,0.00555846,0.05110197,0.04404970,0.00245260,0.06646479
-5.94597299,0.56224436,0.04780077,0.44539938,0.00057372,0.00536671,0.05092186,0.04585771,0.00239703,0.06297294
-5.93996998,0.53585391,0.04555320,0.41897301,0.00057627,0.00524722,0.05142513,0.04856565,0.00237583,0.05999951
-5.93396698,0.51500738,0.04382837,0.39631143,0.00058779,0.00520762,0.05269026,0.05228028,0.00239224,0.05762081
-5.92796398,0.50031002,0.04267652,0.37783138,0.00060887,0.00525453,0.05478738,0.05711280,0.00244896,0.05590699
-5.92196098,0.49229012,0.04213966,0.36388174,0.00063994,0.00539352,0.05777643,0.06317729,0.00254811,0.05492092
-5.91595798,0.49139197,0.04225116,0.35473937,0.00068131,0.00562900,0.06170535,0.07058919,0.00269116,0.05471728
-5.90995498,0.49797104,0.04303542,0.35060690,0.00073309,0.00596419,0.06660837,0.07946361,0.00287886,0.05534179
-5.90395198,0.51229105,0.04450779,0.35161229,0.00079526,0.00640102,0.07250442,0.08991370,0.00311121,0.05683074
-5.89794897,0.53452291,0.04667454,0.35780998,0.00086761,0.00694012,0.07939586,0.10204888,0.00338741,0.05921068
-5.89194597,0.56474553,0.04953296,0.36918363,0.00094978,0.00758077,0.08726741,0.11597325,0.00370587,0.06249820
-5.88594297,0.60294822,0.05307159,0.38565017,0.00104123,0.00832092,0.09608547,0.13178388,0.00406411,0.06670004
-5.87993997,0.64903465,0.05727060,0.40706500,0.00114128,0.00915721,0.10579791,0.14956925,0.00445888,0.07181317
-5.87393697,0.70282829,0.06210216,0.43322830,0.00124915,0.01008499,0.11633437,0.16940778,0.00488608,0.07782508
-5.86793397,0.76407911,0.06753110,0.46389208,0.00136391,0.01109842,0.12760714,0.19136643,0.00534091,0.08471419
-5.86193097,0.83247143,0.07351555,0.49876800,0.00148459,0.01219061,0.13951268,0.21549942,0.00581789,0.09245029
-5.85592796,0.90763268,0.08000776,0.53753560,0.00161015,0.01335372,0.15193370,0.24184705,0.00631099,0.10099512
-5.84992496,0.98914280,0.08695498,0.57985077,0.00173959,0.01457922,0.16474197,0.27043463,0.00681381,0.11030296
-5.84392196,1.07654395,0.09430046,0.62535424,0.00187190,0.01585806,0.17780162,0.30127141,0.00731969,0.12032127
