energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,2.37880838,0.01822474,0.00000000,0.01683535,1.67076297,1.01043601,0.74982835
-5.99399700,2.30907986,0.01773018,0.00000000,0.01655567,1.61946954,0.97941235,0.72511115
-5.98799400,2.23181356,0.01716851,0.00000000,0.01622809,1.56320714,0.94558717,0.69884182
-5.98199100,2.14793868,0.01654812,0.00000000,0.01585736,1.50264759,0.90939044,0.67127718
-5.97598799,2.05853535,0.01587873,0.00000000,0.01544937,1.43856645,0.87130440,0.64272657
-5.96998499,1.96480983,0.01517128,0.00000000,0.01501118,1.37182487,0.83185337,0.61354455
-5.96398199,1.86806558,0.01443773,0.00000000,0.01455084,1.30334864,0.79159241,0.58412181
-5.95797899,1.76967113,0.01369088,0.00000000,0.01407731,1.23410496,0.75109494,0.55487453
-5.95197599,1.67102614,0.01294416,0.00000000,0.01360023,1.16507823,0.71093986,0.52623284
-5.94597299,1.57352679,0.01221139,0.00000000,0.01312967,1.09724535,0.67169861,0.49862864
-5.93996998,1.47853177,0.01150659,0.00000000,0.01267588,1.03155163,0.63392243,0.47248342
-5.93396698,1.38732994,0.01084375,0.00000000,0.01224899,0.96888800,0.59813033,0.44819634
-5.92796398,1.30111064,0.01023665,0.00000000,0.01185867,0.91007022,0.56479792,0.42613315
-5.92196098,1.22093763,0.00969865,0.00000000,0.01151389,0.85582063,0.53434756,0.40661603
-5.91595798,1.14772703,0.00924250,0.00000000,0.01122254,0.80675294,0.50713991,0.38991490
-5.90995498,1.08223004,0.00888024,0.00000000,0.01099124,0.76336037,0.48346721,0.37624024
-5.90395198,1.02502050,0.00862297,0.00000000,0.01082506,0.72600725,0.46354824,0.36573759
-5.89794897,0.97648750,0.00848079,0.00000000,0.01072734,0.69492431,0.44752526,0.35848397
-5.89194597,0.93683298,0.00846258,0.00000000,0.01069954,0.67020742,0.43546274,0.35448606
-5.88594297,0.90607409,0.00857592,0.00000000,0.01074119,0.65181990,0.42734809,0.35368038
-5.87993997,0.88405009,0.00882689,0.00000000,0.01084984,0.63959795,0.42309413,0.35593516
-5.87393697,0.87043328,0.00921998,0.00000000,0.01102111,0.63325917,0.42254337,0.36105412
-5.86793397,0.86474359,0.00975788,0.00000000,0.01124882,0.63241362,0.42547387,0.36878176
-5.86193097,0.86636632,0.01044131,0.00000000,0.01152510,0.63657724,0.43160655,0.37881024
-5.85592796,0.87457235,0.01126892,0.00000000,0.01184066,0.64518724,0.44061380,0.39078756
-5.84992496,0.88854048,0.01223707,0.00000000,0.01218503,0.65761887,0.45212906,0.40432691
-5.84392196,0.90738117,0.01333975,0.00000000,0.01254683,0.67320347,0.46575728,0.41901697
-5.83791896,0.93016120,0.01456845,0.00000000,0.01291416,0.69124704,0.48108594,0.43443282
-5.83191596,0.95592867,0.01591216,0.00000000,0.01327488,0.71104921,0.49769631,0.45014743
-5.82591296,0.98373789,0.01735734,0.00000000,0.01361700,0.73192197,0.51517485,0.46574324
-5.81990995,1.01267352,0.01888808,0.00000000,0.01392899,0.75320782,0.53312430,0.48082366
-5.81390695,1.04187359,0.02048627,0.00000000,0.01420015,0.77429701,0.55117426,0.49502415
-5.80790395,1.07055085,0.02213190,0.00000000,0.01442085,0.79464328,0.56899109,0.50802267
-5.80190095,1.09801204,0.02380348,0.00000000,0.01458285,0.81377794,0.58628676,0.51954908
-5.79589795,1.12367461,0.02547859,0.00000000,0.01467949,0.83132174,0.60282638,0.52939324
-5.78989495,1.14708052,0.02713446,0.00000000,0.01470587,0.84699431,0.61843440,0.53741172
-5.78389195,1.16790674,0.02874871,0.00000000,0.01465894,0.86062092,0.63299901,0.54353250
-5.77788894,1.18597218,0.03030012,0.00000000,0.01453763,0.87213616,0.64647478,0.54775788
-5.77188594,1.20124066,0.03176944,0.00000000,0.01434275,0.88158451,0.65888331,0.55016513
-5.76588294,1.21381983,0.03314020,0.00000000,0.01407702,0.88911761,0.67031175,0.55090484
-5.75987994,1.22395593,0.03439952,0.00000000,0.01374495,0.89498821,0.68090929,0.55019707
