energy_ev,total_up,As_p_up,As_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,1.38003083,1.06889331,0.00000000,0.64838993,1.00749540,0.01928021,0.03568207
-5.99399700,1.39894922,1.08205960,0.00000000,0.65870252,1.01962869,0.02018946,0.03558468
-5.98799400,1.41198529,1.09032499,0.00000000,0.66654065,1.02689004,0.02099424,0.03548310
-5.98199100,1.41857060,1.09335428,0.00000000,0.67154373,1.02901921,0.02168031,0.03534158
-5.97598799,1.41828763,1.09092361,0.00000000,0.67342791,1.02585639,0.02223598,0.03512928
-5.96998499,1.41088458,1.08292975,0.00000000,0.67199489,1.01734989,0.02265260,0.03482091
-5.96398199,1.39628547,1.06939604,0.00000000,0.66713822,1.00356086,0.02292504,0.03439706
-5.95797899,1.37459514,1.05047486,0.00000000,0.65884687,0.98466483,0.02305197,0.03384452
-5.95197599,1.34609892,1.02644619,0.00000000,0.64720596,0.96094991,0.02303613,0.03315625
-5.94597299,1.31125693,0.99771248,0.00000000,0.63239454,0.93281161,0.02288437,0.03233134
-5.93996998,1.27069305,0.96478982,0.00000000,0.61468061,0.90074450,0.02260762,0.03137470
-5.93396698,1.22517916,0.92829571,0.00000000,0.59441339,0.86533079,0.02222070,0.03029669
-5.92796398,1.17561486,0.88893382,0.00000000,0.57201331,0.82722637,0.02174199,0.02911258
-5.92196098,1.12300375,0.84747630,0.00000000,0.54795997,0.78714463,0.02119301,0.02784197
-5.91595798,1.06842669,0.80474410,0.00000000,0.52277843,0.74583877,0.02059783,0.02650815
-5.90995498,1.01301330,0.76158611,0.00000000,0.49702448,0.70408300,0.01998248,0.02513737
-5.90395198,0.95791239,0.71885764,0.00000000,0.47126927,0.66265336,0.01937423,0.02375818
-5.89794897,0.90426245,0.67739900,0.00000000,0.44608378,0.62230883,0.01880082,0.02240075
-5.89194597,0.85316291,0.63801475,0.00000000,0.42202369,0.58377306,0.01828974,0.02109628
-5.88594297,0.80564716,0.60145425,0.00000000,0.39961508,0.54771750,0.01786741,0.01987645
-5.87993997,0.76265793,0.56839399,0.00000000,0.37934121,0.51474618,0.01755848,0.01877295
-5.87393697,0.72502566,0.53942208,0.00000000,0.36163092,0.48538258,0.01738514,0.01781716
-5.86793397,0.69345042,0.51502530,0.00000000,0.34684880,0.46005887,0.01736645,0.01703985
-5.86193097,0.66848755,0.49557896,0.00000000,0.33528730,0.43910768,0.01751783,0.01647101
-5.85592796,0.65053744,0.48133971,0.00000000,0.32716105,0.42275653,0.01785060,0.01613977
-5.84992496,0.63983954,0.47244148,0.00000000,0.32260328,0.41112501,0.01837168,0.01607430
-5.84392196,0.63647051,0.46889452,0.00000000,0.32166467,0.40422467,0.01908337,0.01630187
-5.83791896,0.64034664,0.47058762,0.00000000,0.32431425,0.40196157,0.01998329,0.01684873
-5.83191596,0.65123034,0.47729341,0.00000000,0.33044269,0.40414142,0.02106446,0.01774015
-5.82591296,0.66874053,0.48867662,0.00000000,0.33986754,0.41047715,0.02231555,0.01900024
-5.81990995,0.69236655,0.50430518,0.00000000,0.35234050,0.42059874,0.02372125,0.02065178
-5.81390695,0.72148547,0.52366394,0.00000000,0.36755650,0.43406513,0.02526277,0.02271588
-5.80790395,0.75538211,0.54617061,0.00000000,0.38516429,0.45037787,0.02691852,0.02521149
-5.80190095,0.79327144,0.57119370,0.00000000,0.40477829,0.46899622,0.02866485,0.02815484
-5.79589795,0.83432263,0.59807180,0.00000000,0.42599139,0.48935332,0.03047693,0.03155862
-5.78989495,0.87768399,0.62613386,0.00000000,0.44838825,0.51087300,0.03232960,0.03543113
-5.78389195,0.92250825,0.65471970,0.00000000,0.47155869,0.53298672,0.03419836,0.03977523
