energy_ev,total_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,9.99596397,3.95263718,5.81925139,0.04548324,1.97602944,3.09094397,0.00000000
-5.99399700,9.98302541,3.90789611,5.86034114,0.04571436,1.94031112,3.12731015,0.00000000
-5.98799400,9.96995187,3.85046800,5.90933014,0.04592651,1.90125092,3.16535424,0.00000000
-5.98199100,9.95878709,3.78125017,5.96721007,0.04612547,1.85949053,3.20556831,0.00000000
-5.97598799,9.95126764,3.70133004,6.03454174,0.04631837,1.81573900,3.24824046,0.00000000
-5.96998499,9.94874035,3.61195481,6.11140759,0.04651347,1.77075276,3.29342839,0.00000000
-5.96398199,9.95209606,3.51449689,6.19738255,0.04672008,1.72531450,3.34094218,0.00000000
-5.95797899,9.96172337,3.41041657,6.29152518,0.04694838,1.68021160,3.39033737,0.00000000
-5.95197599,9.97748511,3.30122348,6.39239047,0.04720928,1.63621519,3.44091919,0.00000000
-5.94597299,9.99871945,3.18843845,6.49806439,0.04751429,1.59406047,3.49175793,0.00000000
-5.93996998,10.02426580,3.07355720,6.60621942,0.04787536,1.55442903,3.54171540,0.00000000
-5.93396698,10.05251471,2.95801713,6.71418915,0.04830473,1.51793370,3.58948125,0.00000000
-5.92796398,10.08147940,2.84316827,6.81905895,0.04881472,1.48510631,3.63361810,0.00000000
-5.92196098,10.10888531,2.73024910,6.91776906,0.04941754,1.45638862,3.67261331,0.00000000
-5.91595798,10.13227323,2.62036753,7.00722537,0.05012498,1.43212632,3.70493537,0.00000000
-5.90995498,10.14911042,2.51448733,7.08441318,0.05094807,1.41256603,3.72909226,0.00000000
-5.90395198,10.15690404,2.41341968,7.14650855,0.05189670,1.39785507,3.74368915,0.00000000
-5.89794897,10.15331082,2.31781946,7.19098237,0.05297913,1.38804349,3.74748299,0.00000000
-5.89194597,10.13623760,2.22818574,7.21569229,0.05420151,1.38308803,3.73943122,0.00000000
-5.88594297,10.10392746,2.14486582,7.21895859,0.05556728,1.38285760,3.71873278,0.00000000
-5.87993997,10.05502767,2.06806208,7.19962078,0.05707668,1.38713969,3.68485943,0.00000000
-5.87393697,9.98863646,1.99784099,7.15707270,0.05872620,1.39564752,3.63757631,0.00000000
-5.86793397,9.90432717,1.93414379,7.09127531,0.06050810,1.40802750,3.57695097,0.00000000
-5.86193097,9.80214968,1.87679833,7.00274702,0.06241010,1.42386695,3.50335093,0.00000000
-5.85592796,9.68261013,1.82553165,6.89253310,0.06441512,1.44270177,3.41743016,0.00000000
-5.84992496,9.54663142,1.77998327,6.76215619,0.06650123,1.46402426,3.32010564,0.00000000
-5.84392196,9.39549775,1.73971891,6.61355112,0.06864185,1.48729090,3.21252531,0.00000000
-5.83791896,9.23078711,1.70424465,6.44898751,0.07080605,1.51193034,3.09602942,0.00000000
-5.83191596,9.05429601,1.67302147,6.27098437,0.07295918,1.53735151,2.97210709,0.00000000
-5.82591296,8.86796101,1.64548015,6.08222063,0.07506365,1.56295207,2.84235034,0.00000000
-5.81990995,8.67378101,1.62103637,5.88544574,0.07707989,1.58812703,2.70840747,0.00000000
-5.81390695,8.47374414,1.59910588,5.68339386,0.07896748,1.61227772,2.57193789,0.00000000
-5.80790395,8.26976223,1.57911949,5.47870503,0.08068640,1.63482081,2.43456988,0.00000000
-5.80190095,8.06361519,1.56053748,5.27385565,0.08219829,1.65519735,2.29786262,0.00000000
-5.79589795,7.85690670,1.54286302,5.07110030,0.08346776,1.67288167,2.16327368,0.00000000
-5.78989495,7.65103208,1.52565421,4.87242610,0.08446356,1.68738971,2.03213232,0.00000000
-5.78389195,7.44715801,1.50853413,4.67952008,0.08515969,1.69828689,1.90561903,0.00000000
-5.77788894,7.24621387,1.49119864,4.49374943,0.08553633,1.70519491,1.78475130,0.00000000
-5.77188594,7.04889324,1.47342148,4.31615425,0.08558048,1.70779766,1.67037518,0.00000000
-5.76588294,6.85566452,1.45505641,4.14745155,0.08528644,1.70584591,1.56316219,0.00000000
-5.75987994,6.66678887,1.43603640,3.98804935,0.08465600,1.69916077,1.46361095,0.00000000
-5.75387694,6.48234417,1.41636985,3.83806928,0.08369832,1.68763594,1.37205276,0.00000000
-5.74787394,6.30225323,1.39613413,3.69737627,0.08242960,1.67123889,1.28866033,0.00000000
-5.74187094,6.12631516,1.37546682,3.56561337,0.08087254,1.65001093,1.21345905,0.00000000
-5.73586793,5.95423843,1.35455523,3.44224048,0.07905551,1.62406653,1.14633999,0.00000000
-5.72986493,5.78567488,1.33362469,3.32657519,0.07701171,1.59359191,1.08707417,0.00000000
-5.72386193,5.62025353,1.31292655,3.21783452,0.07477808,1.55884310,1.03532760,0.00000000
-5.71785893,5.45761367,1.29272633,3.11517618,0.07239431,1.52014365,0.99067663,0.00000000
-5.71185593,5.29743636,1.27329286,3.01773828,0.06990175,1.47788204,0.95262345,0.00000000
-5.70585293,5.13947395,1.25488894,2.92467654,0.06734238,1.43250880,0.92061143,0.00000000
-5.69984992,4.98357685,1.23776397,2.83519801,0.06475795,1.38453329,0.89404024,0.00000000
-5.69384692,4.82971708,1.22214886,2.74859086,0.06218917,1.33452018,0.87228058,0.00000000
-5.68784392,4.67800794,1.20825332,2.66424942,0.05967505,1.28308525,0.85468846,0.00000000
-5.68184092,4.52871935,1.19626560,2.58169424,0.05725244,1.23089059,0.84061900,0.00000000
-5.67583792,4.38228818,1.18635424,2.50058697,0.05495566,1.17863883,0.82943958,0.00000000
-5.66983492,4.23932324,1.17867163,2.42073967,0.05281638,1.12706623,0.82054224,0.00000000
-5.66383192,4.10060437,1.17335875,2.34211895,0.05086349,1.07693462,0.81335526,0.00000000
-5.65782891,3.96707551,1.17055051,2.26484479,0.04912321,1.02902190,0.80735370,0.00000000
-5.65182591,3.83983152,1.17038099,2.18918449,0.04761916,0.98411110,0.80206868,0.00000000
-5.64582291,3.72009887,1.17298794,2.11554207,0.04637261,0.94297821,0.79709528,0.00000000
-5.63981991,3.60921033,1.17851589,2.04444361,0.04540258,0.90637863,0.79209880,0.00000000
-5.63381691,3.50857428,1.18711739,1.97651899,0.04472605,0.87503269,0.78681920,0.00000000
-5.62781391,3.41963913,1.19895185,1.91248081,0.04435814,0.84961047,0.78107351,0.00000000
-5.62181091,3.34385382,1.21418202,1.85310093,0.04431211,0.83071626,0.77475625,0.00000000
-5.61580790,3.28262546,1.23296777,1.79918538,0.04459948,0.81887331,0.76783753,0.00000000
-5.60980490,3.23727534,1.25545767,1.75154839,0.04522990,0.81450915,0.76035914,0.00000000
-5.60380190,3.20899473,1.28177853,1.71098607,0.04621113,0.81794229,0.75242846,0.00000000
-5.59779890,3.19880205,1.31202363,1.67825065,0.04754886,0.82937068,0.74421054,0.00000000
-5.59179590,3.20750286,1.34624022,1.65402577,0.04924653,0.84886263,0.73591853,0.00000000
-5.58579290,3.23565445,1.38441737,1.63890370,0.05130519,0.87635057,0.72780285,0.00000000
-5.57978989,3.28353639,1.42647473,1.63336495,0.05372330,0.91162829,0.72013938,0.00000000
-5.57378689,3.35112859,1.47225338,1.63776107,0.05649662,0.95435176,0.71321727,0.00000000
-5.56778389,3.43809787,1.52150935,1.65230104,0.05961814,1.00404388,0.70732672,0.00000000
-5.56178089,3.54379405,1.57391059,1.67704178,0.06307806,1.06010323,0.70274728,0.00000000
-5.55577789,3.66725595,1.62903776,1.71188308,0.06686391,1.12181657,0.69973702,0.00000000
-5.54977489,3.80722737,1.68638914,1.75656719,0.07096062,1.18837493,0.69852306,0.00000000
-5.54377189,3.96218272,1.74538955,1.81068296,0.07535082,1.25889271,0.69929371,0.00000000
-5.53776888,4.13036118,1.80540305,1.87367450,0.08001503,1.33242918,0.70219251,0.00000000
-5.53176588,4.30980832,1.86574882,1.94485390,0.08493201,1.40801154,0.70731427,0.00000000
-5.52576288,4.49842305,1.92571945,2.02341743,0.09007902,1.48465868,0.71470312,0.00000000
-5.51975988,4.69400819,1.98460074,2.10846458,0.09543210,1.56140462,0.72435262,0.00000000
-5.51375688,4.89432194,2.04169192,2.19901901,0.10096624,1.63732066,0.73620764,0.00000000
-5.50775388,5.09712823,2.09632535,2.29405035,0.10665557,1.71153527,0.75016774,0.00000000
-5.50175088,5.30024337,2.14788443,2.39249608,0.11247336,1.78325090,0.76609198,0.00000000
-5.49574787,5.50157706,2.19581913,2.49328228,0.11839191,1.85175701,0.78380451,0.00000000
-5.48974487,5.69916602,2.23965816,2.59534249,0.12438243,1.91643885,0.80310079,0.00000000
-5.48374187,5.89119902,2.27901737,2.69763395,0.13041471,1.97678172,0.82375405,0.00000000
-5.47773887,6.07603263,2.31360417,2.79915065,0.13645680,2.03237086,0.84552151,0.00000000
-5.47173587,6.25219778,2.34321787,2.89893296,0.14247467,2.08288708,0.86815031,0.00000000
-5.46573287,6.41839761,2.36774630,2.99607374,0.14843179,2.12809882,0.89138270,0.00000000
-5.45972986,6.57349798,2.38715906,3.08972138,0.15428887,2.16785137,0.91496044,0.00000000
-5.45372686,6.71651219,2.40149824,3.17908002,0.16000367,2.20205418,0.93862831,0.00000000
-5.44772386,6.84658215,2.41086718,3.26340787,0.16553096,2.23066727,0.96213665,0.00000000
-5.44172086,6.96295820,2.41541832,3.34201443,0.17082274,2.25368787,0.98524306,0.00000000
-5.43571786,7.06498001,2.41534083,3.41425754,0.17582863,2.27113827,1.00771334,0.00000000
-5.42971486,7.15206081,2.41084895,3.47954132,0.18049657,2.28305580,1.02932185,0.00000000
-5.42371186,7.22367687,2.40217170,3.53731576,0.18477378,2.28948580,1.04985146,0.00000000
-5.41770885,7.27936383,2.38954451,3.58707888,0.18860797,2.29047788,1.06909351,0.00000000
-5.41170585,7.31872079,2.37320324,3.62838178,0.19194880,2.28608594,1.08684777,0.00000000
-5.40570285,7.34142257,2.35338084,3.66083711,0.19474949,2.27637183,1.10292292,0.00000000
-5.39969985,7.34723987,2.33030663,3.68413071,0.19696864,2.26141235,1.11713756,0.00000000
-5.39369685,7.33606631,2.30420811,3.69803624,0.19857198,2.24130910,1.12932204,0.00000000
-5.38769385,7.30795088,2.27531519,3.70243210,0.19953424,2.21620035,1.13932127,0.00000000
-5.38169085,7.26313384,2.24386610,3.69731980,0.19984080,2.18627403,1.14699841,0.00000000
-5.37568784,7.20208344,2.21011485,3.68284259,0.19948923,2.15178097,1.15223949,0.00000000
-5.36968484,7.12553120,2.17433936,3.65930321,0.19849052,2.11304700,1.15495888,0.00000000
-5.36368184,7.03450264,2.13684974,3.62717932,0.19686996,2.07048335,1.15510520,0.00000000
-5.35767884,6.93034114,2.09799605,3.58713536,0.19466763,2.02459402,1.15266753,0.00000000
-5.35167584,6.81472249,2.05817478,3.54002953,0.19193841,1.97597968,1.14768147,0.00000000
-5.34567284,6.68965805,2.01783357,3.48691492,0.18875156,1.92533743,1.14023451,0.00000000
-5.33966983,6.55748517,1.97747347,3.42903382,0.18518976,1.87345599,1.13047043,0.00000000
-5.33366683,6.42084395,1.93764838,3.36780485,0.18134766,1.82120647,1.11859205,0.00000000
-5.32766383,6.28264004,1.89896122,3.30480260,0.17733002,1.76952874,1.10486205,0.00000000
-5.32166083,6.14599403,1.86205672,3.24172995,0.17324942,1.71941375,1.08960147,0.00000000
-5.31565783,6.01417850,1.82761075,3.18038364,0.16922364,1.67188251,1.07318555,0.00000000
-5.30965483,5.89054450,1.79631626,3.12261404,0.16537276,1.62796247,1.05603687,0.00000000
-5.30365183,5.77843967,1.76886630,3.07028011,0.16181616,1.58866211,1.03861584,0.00000000
-5.29764882,5.68112094,1.74593438,3.02520132,0.15866938,1.55494477,1.02140862,0.00000000
-5.29164582,5.60166474,1.72815315,2.98910789,0.15604106,1.52770267,1.00491295,0.00000000
-5.28564282,5.54287808,1.71609188,2.96359143,0.15403001,1.50773213,0.98962233,0.00000000
-5.27963982,5.50721381,1.71023393,2.95005754,0.15272254,1.49571086,0.97600921,0.00000000
-5.27363682,5.49669336,1.71095505,2.94968251,0.15219006,1.49217810,0.96450790,0.00000000
-5.26763382,5.51283985,1.71850364,2.96337540,0.15248714,1.49751833,0.95549814,0.00000000
-5.26163082,5.55662432,1.73298385,2.99174739,0.15364999,1.51194908,0.94928995,0.00000000
-5.25562781,5.62842703,1.75434266,3.03508924,0.15569548,1.53551309,0.94611064,0.00000000
-5.24962481,5.72801556,1.78236143,3.09335801,0.15862062,1.56807513,0.94609477,0.00000000
-5.24362181,5.85454043,1.81665284,3.16617346,0.16240262,1.60932343,0.94927737,0.00000000
-5.23761881,6.00654868,1.85666341,3.25282430,0.16699948,1.65877551,0.95559115,0.00000000
-5.23161581,6.18201468,1.90168187,3.35228401,0.17235096,1.71578836,0.96486766,0.00000000
-5.22561281,6.37838738,1.95085327,3.46323579,0.17838008,1.77957227,0.97684245,0.00000000
-5.21960980,6.59265216,2.00319848,3.58410547,0.18499494,1.84920807,0.99116421,0.00000000
-5.21360680,6.82140513,2.05763850,3.71310150,0.19209086,1.92366712,1.00740723,0.00000000
-5.20760380,7.06093752,2.11302275,3.84826030,0.19955271,2.00183348,1.02508678,0.00000000
-5.20160080,7.30732712,2.16816050,3.98749558,0.20725742,2.08252763,1.04367668,0.00000000
-5.19559780,7.55653410,2.22185411,4.12865001,0.21507656,2.16453125,1.06262818,0.00000000
-5.18959480,7.80449803,2.27293308,4.26954747,0.22287895,2.24661227,1.08138938,0.00000000
-5.18359180,8.04723342,2.32028761,4.40804436,0.23053315,2.32754989,1.09942422,0.00000000
-5.17758879,8.28092100,2.36290047,4.54207857,0.23790991,2.40615891,1.11623032,0.00000000
-5.17158579,8.50199243,2.39987599,4.66971472,0.24488449,2.48131293,1.13135494,0.00000000
-5.16558279,8.70720643,2.43046530,4.78918471,0.25133875,2.55196613,1.14440836,0.00000000
-5.15957979,8.89371453,2.45408678,4.89892259,0.25716306,2.61717302,1.15507428,0.00000000
-5.15357679,9.05911542,2.47034113,4.99759330,0.26225808,2.67610619,1.16311709,0.00000000
-5.14757379,9.20149679,2.47902056,5.08411482,0.26653619,2.72807140,1.16838556,0.00000000
-5.14157079,9.31946450,2.48011184,5.15767364,0.26992281,2.77252003,1.17081342,0.00000000
-5.13556778,9.41215864,2.47379311,5.21773356,0.27235749,2.80905861,1.17041664,0.00000000
-5.12956478,9.47925709,2.46042473,5.26403814,0.27379474,2.83745515,1.16728803,0.00000000
-5.12356178,9.52096681,2.44053440,5.29660704,0.27420464,2.85764235,1.16158938,0.00000000
-5.11755878,9.53800374,2.41479733,5.31572685,0.27357330,2.86971739,1.15354176,0.00000000
-5.11155578,9.53156237,2.38401203,5.32193691,0.27190297,2.87393849,1.14341440,0.00000000
-5.10555278,9.50327595,2.34907272,5.31601063,0.26921201,2.87071815,1.13151272,0.00000000
-5.09954977,9.45516884,2.31093935,5.29893306,0.26553458,2.86061334,1.11816599,0.00000000
-5.09354677,9.38960215,2.27060630,5.27187521,0.26092004,2.84431268,1.10371513,0.00000000
-5.08754377,9.30921437,2.22907087,5.23616586,0.25543208,2.82262112,1.08850088,0.00000000
-5.08154077,9.21685836,2.18730282,5.19326132,0.24914766,2.79644238,1.07285291,0.00000000
-5.07553777,9.11553631,2.14621578,5.14471385,0.24215559,2.76675955,1.05707996,0.00000000
-5.06953477,9.00833420,2.10664181,5.09213936,0.23455493,2.73461454,1.04146125,0.00000000
-5.06353177,8.89835718,2.06930976,5.03718485,0.22645307,2.70108672,1.02623941,0.00000000
-5.05752876,8.78866749,2.03482821,4.98149631,0.21796374,2.66727137,1.01161487,0.00000000
-5.05152576,8.68222586,2.00367349,4.92668757,0.20920474,2.63425855,0.99774194,0.00000000
-5.04552276,8.58183787,1.97618310,4.87431063,0.20029565,2.60311264,0.98472649,0.00000000
-5.03951976,8.49010597,1.95255443,4.82582805,0.19135544,2.57485317,0.97262528,0.00000000
-5.03351676,8.40938780,1.93284877,4.78258779,0.18250010,2.55043717,0.96144690,0.00000000
-5.02751376,8.34176146,1.91700008,4.74580094,0.17384039,2.53074313,0.95115422,0.00000000
-5.02151076,8.28899749,1.90482791,4.71652256,0.16547971,2.51655687,0.94166832,0.00000000
-5.01550775,8.25253788,1.89605368,4.69563604,0.15751213,2.50855916,0.93287365,0.00000000
