energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.77499404,0.06704467,0.00042735,0.01965517,0.45497581,0.24979952,0.24205930
-5.99399700,0.76295743,0.06776595,0.00040750,0.01970980,0.44645035,0.24529303,0.23894323
-5.98799400,0.75525369,0.06847682,0.00039129,0.01975078,0.44100568,0.24410681,0.23671732
-5.98199100,0.75171108,0.06915516,0.00037884,0.01976901,0.43854902,0.24615648,0.23534717
-5.97598799,0.75219671,0.06978663,0.00037024,0.01975756,0.43900832,0.25138069,0.23480822
-5.96998499,0.75662592,0.07036564,0.00036554,0.01971201,0.44233732,0.25974181,0.23508915
-5.96398199,0.76496743,0.07089603,0.00036477,0.01963074,0.44851813,0.27122413,0.23619409
-5.95797899,0.77724397,0.07139122,0.00036795,0.01951510,0.45756101,0.28582996,0.23814381
-5.95197599,0.79352823,0.07187396,0.00037504,0.01936939,0.46950143,0.30357375,0.24097541
-5.94597299,0.81393449,0.07237555,0.00038604,0.01920084,0.48439467,0.32447451,0.24474086
-5.93996998,0.83860617,0.07293469,0.00040087,0.01901938,0.50230800,0.34854691,0.24950418
-5.93396698,0.86770013,0.07359590,0.00041948,0.01883730,0.52331115,0.37579175,0.25533755
-5.92796398,0.90136851,0.07440751,0.00044176,0.01866882,0.54746537,0.40618598,0.26231658
-5.92196098,0.93973910,0.07541954,0.00046759,0.01852960,0.57481188,0.43967312,0.27051480
-5.91595798,0.98289543,0.07668126,0.00049679,0.01843608,0.60536025,0.47615447,0.27999792
-5.90995498,1.03085757,0.07823880,0.00052918,0.01840492,0.63907743,0.51548165,0.29081789
-5.90395198,1.08356472,0.08013269,0.00056450,0.01845222,0.67587801,0.55745091,0.30300731
-5.89794897,1.14086064,0.08239563,0.00060248,0.01859294,0.71561633,0.60179967,0.31657424
-5.89194597,1.20248254,0.08505044,0.00064279,0.01884018,0.75808077,0.64820530,0.33149786
-5.88594297,1.26805422,0.08810838,0.00068507,0.01920458,0.80299064,0.69628658,0.34772505
-5.87993997,1.33708358,0.09156782,0.00072892,0.01969376,0.84999579,0.74560754,0.36516800
-5.87393697,1.40896484,0.09541346,0.00077389,0.02031189,0.89867897,0.79568368,0.38370318
-5.86793397,1.48298516,0.09961593,0.00081955,0.02105927,0.94856084,0.84599031,0.40317138
