energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.31589482,-0.31589482,0.00194499,-0.00194499,0.04732740,-0.04732740,0.07535269,-0.07535269,0.03476826,-0.03476826,0.07293536,-0.07293536,0.07086280,-0.07086280,0.00194540,-0.00194540,0.12193085,-0.12193085
-5.99399700,0.32710565,-0.32710565,0.00196648,-0.00196648,0.05048003,-0.05048003,0.07430208,-0.07430207,0.03681173,-0.03681173,0.07862266,-0.07862266,0.07477417,-0.07477417,0.00196455,-0.00196455,0.12451490,-0.12451490
-5.98799400,0.34223418,-0.34223418,0.00201109,-0.00201109,0.05416279,-0.05416279,0.07432870,-0.07432870,0.03926935,-0.03926935,0.08527727,-0.08527727,0.07937973,-0.07937973,0.00201215,-0.00201215,0.12867031,-0.12867031
-5.98199100,0.36110398,-0.36110398,0.00207537,-0.00207537,0.05834903,-0.05834903,0.07540609,-0.07540609,0.04211293,-0.04211293,0.09288487,-0.09288487,0.08461943,-0.08461943,0.00208730,-0.00208730,0.13433004,-0.13433004
-5.97598799,0.38350028,-0.38350028,0.00215574,-0.00215574,0.06300399,-0.06300399,0.07750022,-0.07750022,0.04531190,-0.04531190,0.10141963,-0.10141963,0.09042174,-0.09042174,0.00218908,-0.00218908,0.14141486,-0.14141486
-5.96998499,0.40917704,-0.40917705,0.00224850,-0.00224850,0.06808544,-0.06808544,0.08057204,-0.08057204,0.04883398,-0.04883398,0.11084443,-0.11084443,0.09670540,-0.09670540,0.00231654,-0.00231654,0.14983664,-0.14983664
-5.96398199,0.43786480,-0.43786481,0.00234991,-0.00234991,0.07354451,-0.07354451,0.08457974,-0.08457974,0.05264601,-0.05264601,0.12111126,-0.12111126,0.10338152,-0.10338153,0.00246882,-0.00246882,0.15950180,-0.15950181
-5.95797899,0.46927893,-0.46927893,0.00245617,-0.00245617,0.07932670,-0.07932670,0.08948107,-0.08948107,0.05671489,-0.05671489,0.13216154,-0.13216154,0.11035599,-0.11035599,0.00264514,-0.00264514,0.17031494,-0.17031494
-5.95197599,0.50312790,-0.50312791,0.00256357,-0.00256357,0.08537292,-0.08537292,0.09523525,-0.09523525,0.06100867,-0.06100867,0.14392669,-0.14392669,0.11753198,-0.11753198,0.00284491,-0.00284491,0.18218221,-0.18218221
-5.94597299,0.53912132,-0.53912133,0.00266844,-0.00266844,0.09162062,-0.09162062,0.10180463,-0.10180464,0.06549760,-0.06549760,0.15632856,-0.15632856,0.12481265,-0.12481265,0.00306774,-0.00306774,0.19501459,-0.19501459
-5.93996998,0.57697713,-0.57697713,0.00276735,-0.00276735,0.09800498,-0.09800498,0.10915581,-0.10915581,0.07015517,-0.07015517,0.16928003,-0.16928003,0.13210379,-0.13210379,0.00331351,-0.00331351,0.20873056,-0.20873056
-5.93396698,0.61642781,-0.61642781,0.00285707,-0.00285707,0.10446002,-0.10446002,0.11726027,-0.11726027,0.07495911,-0.07495911,0.18268551,-0.18268551,0.13931626,-0.13931626,0.00358234,-0.00358234,0.22325834,-0.22325834
-5.92796398,0.65722518,-0.65722519,0.00293469,-0.00293469,0.11091970,-0.11091970,0.12609444,-0.12609444,0.07989222,-0.07989222,0.19644149,-0.19644149,0.14636832,-0.14636832,0.00387467,-0.00387467,0.23853724,-0.23853725
-5.92196098,0.69914352,-0.69914353,0.00299771,-0.00299771,0.11731890,-0.11731890,0.13563913,-0.13563913,0.08494303,-0.08494303,0.21043708,-0.21043708,0.15318747,-0.15318747,0.00419119,-0.00419119,0.25451829,-0.25451829
-5.91595798,0.74198087,-0.74198088,0.00304404,-0.00304404,0.12359432,-0.12359432,0.14587831,-0.14587831,0.09010620,-0.09010620,0.22455464,-0.22455464,0.15971194,-0.15971194,0.00453288,-0.00453288,0.27116385,-0.27116386
-5.90995498,0.78555840,-0.78555841,0.00307208,-0.00307208,0.12968521,-0.12968521,0.15679738,-0.15679738,0.09538270,-0.09538270,0.23867039,-0.23867039,0.16589157,-0.16589158,0.00490091,-0.00490091,0.28844643,-0.28844643
-5.90395198,0.82971796,-0.82971796,0.00308073,-0.00308073,0.13553393,-0.13553393,0.16838086,-0.16838086,0.10077973,-0.10077973,0.25265519,-0.25265519,0.17168821,-0.17168821,0.00529666,-0.00529666,0.30634645,-0.30634645
-5.89794897,0.87431790,-0.87431791,0.00306944,-0.00306944,0.14108643,-0.14108643,0.18060969,-0.18060969,0.10631031,-0.10631031,0.26637544,-0.26637544,0.17707542,-0.17707542,0.00572157,-0.00572157,0.32484938,-0.32484938
-5.89194597,0.91922762,-0.91922762,0.00303818,-0.00303818,0.14629252,-0.14629252,0.19345828,-0.19345828,0.11199276,-0.11199276,0.27969416,-0.27969416,0.18203772,-0.18203772,0.00617712,-0.00617712,0.34394216,-0.34394216
-5.88594297,0.96432107,-0.96432107,0.00298742,-0.00298742,0.15110610,-0.15110610,0.20689145,-0.20689145,0.11784982,-0.11784982,0.29247233,-0.29247233,0.18656928,-0.18656928,0.00666472,-0.00666472,0.36360923,-0.36360923
