energy_ev,total_up,total_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.86546889,-3.39178924,0.01338989,-0.01406062,0.00000000,-0.00000000,0.97436097,-1.59930252,0.97104524,-0.92491527,0.01382562,-0.01296455,0.53718550,-0.74212822,0.02041247,-0.01841639,1.05745089,-1.22564897
-5.99399700,2.85611313,-3.43157217,0.01323765,-0.01457169,0.00000000,-0.00000000,0.94682527,-1.64143292,0.98025661,-0.91702450,0.01419357,-0.01336214,0.54006957,-0.73864119,0.02069666,-0.01920474,1.04623956,-1.25915006
-5.98799400,2.84486425,-3.45938274,0.01310129,-0.01505401,0.00000000,-0.00000000,0.92065155,-1.67793654,0.98721631,-0.90532219,0.01458287,-0.01373071,0.54166553,-0.73182643,0.02099824,-0.01994001,1.03577819,-1.28927889
-5.98199100,2.83109905,-3.47493787,0.01298035,-0.01550180,0.00000000,-0.00000000,0.89559625,-1.70822304,0.99167052,-0.89004228,0.01498670,-0.01406721,0.54173431,-0.72179982,0.02131296,-0.02061510,1.02597490,-1.31564962
-5.97598799,2.81416976,-3.47814353,0.01287352,-0.01590965,0.00000000,-0.00000000,0.87137747,-1.73178398,0.99338792,-0.87147718,0.01539757,-0.01436935,0.54005888,-0.70872483,0.02163573,-0.02122415,1.01669146,-1.33793494
-5.96998499,2.79343072,-3.46908880,0.01277868,-0.01627260,0.00000000,-0.00000000,0.84769351,-1.74820478,0.99216716,-0.84996635,0.01580751,-0.01463571,0.53645416,-0.69280598,0.02196072,-0.02176266,1.00774837,-1.35587250
-5.96398199,2.76826485,-3.44803630,0.01269300,-0.01658627,0.00000000,-0.00000000,0.82424090,-1.75717477,0.98784377,-0.82588434,0.01620821,-0.01486580,0.53077581,-0.67428189,0.02228138,-0.02222762,0.99893126,-1.36926971
-5.95797899,2.73810902,-3.41540980,0.01261302,-0.01684699,0.00000000,-0.00000000,0.80073125,-1.75849514,0.98029639,-0.79962858,0.01659124,-0.01506000,0.52292741,-0.65341810,0.02259055,-0.02261746,0.98999834,-1.37800669
-5.95197599,2.70247724,-3.37177942,0.01253480,-0.01705180,0.00000000,-0.00000000,0.77690620,-1.75208449,0.96945194,-0.77160775,0.01694822,-0.01521958,0.51286576,-0.63050001,0.02288059,-0.02293207,0.98068886,-1.38203761
-5.94597299,2.66098107,-3.31784548,0.01245401,-0.01719863,0.00000000,-0.00000000,0.75254981,-1.73798160,0.95528971,-0.74223099,0.01727099,-0.01534660,0.50060408,-0.60582618,0.02314348,-0.02317277,0.97073211,-1.38139021
-5.93996998,2.61334656,-3.25442116,0.01236615,-0.01728624,0.00000000,-0.00000000,0.72749813,-1.71634544,0.93784399,-0.71189850,0.01755178,-0.01544384,0.48621290,-0.57970225,0.02337101,-0.02334215,0.95985700,-1.37616369
-5.93396698,2.55942710,-3.18241489,0.01226667,-0.01731432,0.00000000,-0.00000000,0.70164574,-1.68745218,0.91720537,-0.68099368,0.01778335,-0.01551469,0.46981883,-0.55243540,0.02355491,-0.02344403,0.94780164,-1.36652515
-5.92796398,2.49921217,-3.10281258,0.01215113,-0.01728349,0.00000000,-0.00000000,0.67494909,-1.65168929,0.89352046,-0.64987706,0.01795915,-0.01556297,0.45160117,-0.52432973,0.02368711,-0.02348321,0.93432282,-1.35270459
-5.92196098,2.43283163,-3.01666012,0.01201539,-0.01719525,0.00000000,-0.00000000,0.64742699,-1.60954678,0.86699021,-0.61888196,0.01807342,-0.01559283,0.43178662,-0.49568222,0.02375987,-0.02346538,0.91920501,-1.33498872
-5.91595798,2.36055568,-2.92504648,0.01185576,-0.01705196,0.00000000,-0.00000000,0.61915829,-1.56160594,0.83786672,-0.58831200,0.01812130,-0.01560856,0.41064247,-0.46677961,0.02376606,-0.02339689,0.90226855,-1.31371384
-5.90995498,2.28279078,-2.82908748,0.01166909,-0.01685682,0.00000000,-0.00000000,0.59027726,-1.50852565,0.80644876,-0.55844010,0.01809894,-0.01561447,0.38846848,-0.43789578,0.02369934,-0.02328460,0.88337679,-1.28925793
