energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.57843307,0.00623802,0.24020815,0.93492050,0.51047709,0.00866366,0.73409499,0.23881774,0.10117817
-5.99399700,1.57225214,0.00611214,0.23982926,0.93655778,0.51031764,0.00874997,0.72925899,0.23889268,0.10026709
-5.98799400,1.56118146,0.00595208,0.23890186,0.93568436,0.50890636,0.00884232,0.72179171,0.23820917,0.09899893
-5.98199100,1.54614437,0.00576128,0.23750878,0.93262559,0.50646360,0.00894917,0.71222217,0.23692394,0.09746144
-5.97598799,1.52817587,0.00554417,0.23573186,0.92773117,0.50322596,0.00907931,0.70115910,0.23522418,0.09575492
-5.96998499,1.50839331,0.00530596,0.23364875,0.92136322,0.49943847,0.00924158,0.68927516,0.23332310,0.09398975
-5.96398199,1.48796600,0.00505258,0.23133041,0.91388578,0.49534737,0.00944464,0.67728946,0.23145474,0.09228356
-5.95797899,1.46808471,0.00479048,0.22883934,0.90565581,0.49119374,0.00969661,0.66594890,0.22986834,0.09075817
-5.95197599,1.44993198,0.00452652,0.22622864,0.89701632,0.48720800,0.01000487,0.65600890,0.22882232,0.08953639
-5.94597299,1.43465378,0.00426787,0.22354176,0.88829130,0.48360554,0.01037570,0.64821393,0.22857793,0.08873877
-5.93996998,1.42333315,0.00402183,0.22081303,0.87978268,0.48058324,0.01081405,0.64327840,0.22939278,0.08848041
-5.93396698,1.41696606,0.00379581,0.21806874,0.87176891,0.47831695,0.01132331,0.64186817,0.23151434,0.08886783
-5.92796398,1.41643974,0.00359718,0.21532862,0.86450470,0.47695965,0.01190501,0.64458324,0.23517344,0.08999606
-5.92196098,1.42251344,0.00343325,0.21260766,0.85822166,0.47664022,0.01255870,0.65194164,0.24057785,0.09194601
-5.91595798,1.43580176,0.00331123,0.20991788,0.85312915,0.47746251,0.01328178,0.66436504,0.24790622,0.09478213
-5.90995498,1.45676038,0.00323816,0.20727010,0.84941500,0.47950452,0.01406942,0.68216623,0.25730218,0.09855045
