energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.98119488,0.04601855,0.00000000,0.00541183,0.56688821,0.50019938,0.26614937
-5.99399700,0.91121896,0.04235416,0.00000000,0.00486645,0.52198393,0.46635317,0.24783040
-5.98799400,0.84743332,0.03904363,0.00000000,0.00435096,0.48055971,0.43621384,0.23109176
-5.98199100,0.79077859,0.03613172,0.00000000,0.00386920,0.44320369,0.41031830,0.21621721
-5.97598799,0.74213082,0.03366206,0.00000000,0.00342419,0.41047886,0.38917546,0.20347723
-5.96998499,0.70230091,0.03167712,0.00000000,0.00301815,0.38292217,0.37326665,0.19312833
-5.96398199,0.67203604,0.03021827,0.00000000,0.00265261,0.36104446,0.36304655,0.18541285
-5.95797899,0.65202253,0.02932574,0.00000000,0.00232846,0.34533064,0.35894444,0.18055933
-5.95197599,0.64288926,0.02903856,0.00000000,0.00204607,0.33623996,0.36136505,0.17878288
-5.94597299,0.64521095,0.02939438,0.00000000,0.00180539,0.33420564,0.37068877,0.18028574
-5.93996998,0.65951037,0.03042915,0.00000000,0.00160601,0.33963359,0.38727052,0.18525732
-5.93396698,0.68625860,0.03217666,0.00000000,0.00144732,0.35289983,0.41143706,0.19387389
-5.92796398,0.72587266,0.03466794,0.00000000,0.00132852,0.37434603,0.44348224,0.20629743
-5.92196098,0.77870982,0.03793033,0.00000000,0.00124873,0.40427324,0.48366009,0.22267355
-5.91595798,0.84505838,0.04198656,0.00000000,0.00120704,0.44293342,0.53217549,0.24312836
-5.90995498,0.92512462,0.04685345,0.00000000,0.00120251,0.49051905,0.58917276,0.26776431
-5.90395198,1.01901619,0.05254063,0.00000000,0.00123421,0.54715085,0.65472219,0.29665483
-5.89794897,1.12672249,0.05904903,0.00000000,0.00130118,0.61286421,0.72880514,0.32983827
-5.89194597,1.24809271,0.06636945,0.00000000,0.00140244,0.68759470,0.81129828,0.36731094
-5.88594297,1.38281272,0.07448098,0.00000000,0.00153690,0.77116357,0.90195779,0.40901998
-5.87993997,1.53038223,0.08334975,0.00000000,0.00170335,0.86326401,1.00040452,0.45485612
-5.87393697,1.69009369,0.09292766,0.00000000,0.00190034,0.96344917,1.10611107,0.50464709
-5.86793397,1.86101465,0.10315157,0.00000000,0.00212618,1.07112285,1.21839197,0.55815192
-5.86193097,2.04197534,0.11394271,0.00000000,0.00237883,1.18553397,1.33639793,0.61505688
-5.85592796,2.23156315,0.12520669,0.00000000,0.00265584,1.30577569,1.45911526,0.67497340
-5.84992496,2.42812542,0.13683391,0.00000000,0.00295434,1.43078986,1.58537115,0.73743851
-5.84392196,2.62978178,0.14870064,0.00000000,0.00327100,1.55937758,1.71384558,0.80191815
-5.83791896,2.83444686,0.16067057,0.00000000,0.00360200,1.69021610,1.84309003,0.86781363
